0: [[9, 17, 18, 16, 1, 15, 13, 2, 6], [4, 11, 20, 3, 8, 12], [7, 19, 22, 23, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
18: [[9, 17, 18, 16, 1, 15, 13], [2, 6, 4, 11, 20, 3, 7, 8, 12], [23, 19, 22, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
19: [[9, 17, 18, 16, 1, 15, 13, 2], [6, 4, 11, 20, 3, 7, 12], [19, 22, 23, 8, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
20: [[9, 17, 18, 16, 1], [15, 13, 2, 6, 4, 11, 20, 3, 12], [7, 23, 19, 22, 8, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
21: [[9, 17, 18, 16, 1, 15], [13, 2, 6, 4, 11, 20, 3, 12], [7, 19, 22, 23, 8, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
22: [[9, 17, 18, 16, 1], [15, 13, 2, 6, 4, 11, 20, 12], [3, 7, 19, 23, 22, 8, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
23: [[9, 17, 18, 16, 1], [15, 13, 2, 6, 4, 11, 20, 12], [3, 7, 19, 23, 22, 8, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
24: [[9, 17, 18, 16, 1, 15, 13], [2, 6, 4, 11, 20, 3, 7, 12], [23, 19, 22, 8, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
25: [[9, 17, 18, 16, 1, 15, 13], [2, 6, 4, 11, 20, 3, 7, 12], [23, 19, 22, 8, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
26: [[9, 17, 18, 16, 1, 15], [13, 2, 6, 4, 11, 20, 12], [3, 7, 19, 22, 23, 8, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
27: [[9, 17, 18, 16, 1, 15], [13, 2, 6, 4, 11, 20, 12], [3, 7, 19, 22, 23, 8, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
28: [[9, 17, 18, 16, 1, 15], [13, 2, 6, 4, 11, 20, 12], [3, 7, 19, 22, 23, 8, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
29: [[9, 17, 18, 16, 1, 15, 13, 2, 6], [4, 11, 20, 3, 8, 12], [7, 19], [23, 5, 25, 22, 10, 14], [28, 29, 24], [26, 21, 27]]
30: [[9, 17, 18, 16, 1, 15, 13, 2, 6], [4, 11, 20, 3, 8, 10, 12], [7, 19], [23, 5, 25, 22, 14], [28, 29, 24], [26, 21, 27]]
31: [[9, 17], [18, 16, 1, 15, 13, 2, 6], [4, 11, 20, 3, 8, 12], [7, 19, 23, 5, 25, 22, 10, 14], [28, 29, 24], [26, 21, 27]]
32: [[9, 17], [18, 16, 1, 15, 13, 2], [6, 4, 11, 20, 3, 8, 12], [7, 19, 23, 5, 25, 22, 10, 14], [28, 29, 24], [26, 21, 27]]
33: [[9, 17], [18, 16, 1, 15, 13, 2], [6, 4, 11, 20, 3, 8, 7, 22, 12], [19, 23, 5, 25, 10, 14], [28, 29, 24], [26, 21, 27]]
34: [[9, 17, 18, 16, 1, 15], [13, 2], [6, 4, 11, 20, 3, 8, 12], [7, 23, 19, 5, 25, 22, 10, 14], [28, 29, 24], [26, 21, 27]]
35: [[9, 17], [18, 16, 1, 15, 13, 2, 6], [4, 11, 20, 3, 8], [7, 19, 23, 5, 25, 22, 10, 12, 14], [28, 29, 24], [26, 21, 27]]
36: [[9, 17, 18, 16, 1], [15, 13, 2, 6, 4, 11, 20, 3, 8, 12], [7, 19], [23, 5, 25, 22, 10, 14], [28, 29, 24], [26, 21, 27]]
37: [[9, 17], [18, 16, 1, 15, 13, 2], [6, 4, 11, 20, 3, 8, 7, 19, 22, 12], [23, 25, 28, 29, 5, 10], [24, 14], [26, 21, 27]]
38: [[9, 17], [18, 16, 1, 15, 13, 2], [6, 4, 11, 20, 3, 8, 7, 19, 12], [23, 5, 25, 22, 10, 14], [28, 29, 24], [26, 21, 27]]
39: [[9, 17], [18, 16, 1, 15, 13, 2], [6, 4, 11, 20, 3, 8, 7, 19, 12], [23, 5, 25, 22, 10, 14], [28, 29, 24], [26, 21, 27]]
40: [[9, 17], [18, 16, 1, 15, 13, 2], [6, 4, 11, 20, 3, 8, 7, 19, 12], [23, 5, 25, 22, 10, 14], [28, 29, 24], [26, 21, 27]]
41: [[9, 17], [18, 16, 1, 15, 13, 2], [6, 4, 11, 20, 3, 7, 19, 22, 12], [23, 8, 5, 25, 10, 14], [28, 29, 24], [26, 21, 27]]
42: [[9, 17], [18, 16, 1, 15, 13, 2, 6, 4, 12], [11, 20, 3, 7, 19, 23, 22], [8, 5, 25, 10, 14], [28, 29, 24], [26, 21, 27]]
43: [[9, 17, 18, 16, 1, 15, 13, 2, 6, 4], [11, 20, 3, 8, 7], [22, 12], [19, 23, 5, 25, 10, 14], [28, 29, 24], [26, 21, 27]]
44: [[9, 17], [18, 16, 1, 15, 13, 2, 6, 4, 12], [11, 20, 3, 7, 8, 19], [23, 5, 25, 22, 10, 14], [28, 29, 24], [26, 21, 27]]
45: [[9, 17, 18], [16, 1], [15, 13, 2, 6, 4, 11, 20, 10, 12], [3, 8, 7, 19, 23, 22, 14], [5, 25, 28, 29, 24], [26, 21, 27]]
46: [[9, 17], [18, 16, 1, 15, 13, 2, 6, 4, 11, 22, 12], [20, 3, 8, 7], [19, 23, 5, 25, 10, 14], [28, 29, 24], [26, 21, 27]]
47: [[9, 17], [18, 16, 1, 15, 13], [2, 6, 4, 11, 20, 3, 22, 10, 12], [7, 19, 23, 8, 5, 25, 28], [29, 24, 14], [26, 21, 27]]
48: [[9, 17, 18], [16, 1], [15, 13, 2, 6, 4, 11, 20, 10, 12], [3, 7, 19, 23, 8, 22], [5, 25, 28, 29, 24, 14], [26, 21, 27]]
49: [[9, 17, 18], [16, 1], [15, 13, 2, 6, 4, 11, 20, 10, 12], [3, 7, 8, 19, 23, 22], [5, 25, 28, 29, 24, 14], [26, 21, 27]]
50: [[9, 17, 18, 16, 1, 15, 13, 2, 6], [4, 11], [20, 3, 7], [8, 19, 23, 22, 10, 12], [5, 25, 28, 24, 29, 14], [26, 21, 27]]
51: [[9, 17, 18], [16, 1], [15, 13, 2, 6, 4, 12], [11, 20, 3, 7, 19, 23, 22], [8, 5, 25, 28, 29, 24, 10, 14], [26, 21, 27]]
52: [[9, 17, 18], [16, 1], [15, 13, 2, 6, 4, 11, 12], [20, 3, 7, 8, 19, 23, 22], [5, 25, 28, 29, 24, 10, 14], [26, 21, 27]]
53: [[9, 17, 18], [16, 1], [15, 13, 2, 6, 4, 11, 20, 22, 12], [3, 8, 7, 19], [23, 5, 25, 28, 29, 24, 10, 14], [26, 21, 27]]
54: [[9, 17, 18], [16, 1], [15, 13, 2, 6, 4, 11, 20, 10, 12], [3, 7, 19, 23, 22], [8, 5, 25, 28, 29, 24, 14], [26, 21, 27]]
55: [[9, 17, 18], [16, 1], [15, 13, 2, 6, 4, 11, 20, 10, 12], [3, 7, 19, 23, 22], [8, 5, 25, 28, 29, 24, 14], [26, 21, 27]]
56: [[9, 17, 18], [16, 1], [15, 13, 2, 6, 4, 11, 20, 3, 7, 10, 12], [19, 23, 8, 22], [5, 25, 28, 29, 24, 14], [26, 21, 27]]
57: [[9, 17, 18], [16, 1], [15, 13, 2, 6, 4, 11, 20, 3, 7, 22, 12], [19, 23, 8, 5, 25], [28, 29, 24, 10, 14], [26, 21, 27]]
58: [[9, 17], [18, 16, 1, 15, 13], [2, 6, 4, 11, 20, 3, 7, 22, 10, 12], [23, 19, 8, 5, 25, 28, 29], [24, 14], [26, 21, 27]]
59: [[9, 17, 18], [16, 1, 15, 13, 2, 6, 4, 11, 20], [3, 7, 8, 12, 19, 23], [22], [10, 14, 5, 25, 28, 29, 24], [26, 21, 27]]
