0: [[6, 5], [1, 2], [3, 4], [13, 8, 24, 7, 19, 9, 15, 11, 16, 17, 10, 18, 12, 22, 14], [28, 23], [29], [20, 25], [21, 26, 27]]
16: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11], [16, 17], [10, 18, 12], [22, 14, 28, 23], [29, 20], [25, 21], [26, 27]]
17: [[6, 5], [1, 2], [3, 4, 13], [8, 24], [7, 19], [9, 15], [11, 16, 17], [10, 18], [12, 22], [14, 28], [23, 29, 20], [25], [21, 26, 27]]
18: [[6, 5], [1, 2], [3, 4, 13, 8, 24, 7, 19, 9, 15, 11, 17, 12], [16, 18], [10, 20], [14, 28], [22, 23, 21], [25, 29], [26, 27]]
19: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11], [16, 17], [10, 20], [12, 14, 18, 22, 21, 23, 28], [25, 29, 26, 27]]
20: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11], [16, 17], [10, 18], [28, 12, 14], [21, 23], [22, 20, 25, 29], [26, 27]]
21: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9, 15, 11, 16, 17, 10], [18, 14, 27, 12, 20, 21, 23, 22, 25, 29, 26, 28]]
22: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [23, 11], [10, 16], [15, 18], [12, 22], [14], [21, 17], [29, 20, 25], [28, 26, 27]]
23: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7, 19, 9], [15, 11, 16, 17, 22, 10, 20, 26, 28, 12, 23, 29, 14, 25, 21, 18, 27]]
24: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7, 19, 9, 15, 11, 16, 17, 10], [18, 12, 28, 14], [20, 25, 23, 22, 21, 29, 26, 27]]
25: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11], [10, 16], [14, 18], [28, 12, 17], [22, 21, 20], [23], [25, 29], [26, 27]]
26: [[6, 5], [1, 2, 3, 4, 13], [8, 24, 7, 19, 9, 15, 11, 16, 17, 10], [22, 12, 14, 18], [20, 27, 21, 28, 23, 25, 26, 29]]
27: [[6, 5], [1, 2], [3, 4], [13, 8], [24], [7, 19], [9, 15, 11, 16, 17, 10, 18], [12, 14], [21, 20, 23, 22], [28, 25, 29, 26, 27]]
28: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11], [16, 17], [10, 22], [14, 18, 12, 20, 23], [21, 28], [27, 25, 26, 29]]
29: [[6, 5], [1, 2], [3, 4], [13, 8, 24, 7], [19, 9, 15, 11, 16, 17], [14, 10, 12, 22], [18, 20, 23, 29, 28, 25, 21, 26, 27]]
30: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11], [16, 17], [10, 18, 28], [12, 22], [14, 21, 20], [29, 25, 23, 26, 27]]
31: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11], [16, 17, 14, 10, 12, 28, 20, 18, 22, 25, 23, 29, 21, 27, 26]]
32: [[6, 5, 1], [2, 3], [4, 13, 8, 12], [24, 7, 19, 9, 15, 11], [16, 17], [28, 10], [20], [23, 29, 14, 22], [18, 25, 21], [26, 27]]
33: [[6, 5], [1, 2, 3, 4], [13, 8, 24, 7, 19, 9], [15, 11, 16, 17], [10, 22, 12, 20, 14, 18, 23, 29, 28, 25, 21, 26, 27]]
34: [[6, 5], [1, 2], [3, 4, 13], [8, 24, 7, 19, 9, 15, 11, 16, 17, 10, 14, 28], [12, 20], [22, 21, 23, 18, 25, 29, 26, 27]]
35: [[6, 5], [1, 2], [3, 4], [13, 8, 24], [7, 19], [9], [15, 11], [16, 17, 10], [18, 23, 21, 29, 20, 25, 28, 26, 27, 12, 22, 14]]
36: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9, 22], [15, 17, 11, 14, 10], [20, 12, 16, 18, 29, 23, 21, 25, 28, 26, 27]]
37: [[6, 5], [1, 2], [3, 4, 13, 8, 24], [7, 19], [9, 15, 11, 16, 17], [10, 20], [12, 28, 14], [18, 21, 23, 22, 25, 29, 26, 27]]
38: [[6, 5], [1, 2], [3, 4, 13], [8, 24], [7, 19], [9, 15], [11], [16, 17, 10], [18, 12], [28, 22, 20], [23, 21, 14], [25, 29], [26, 27]]
39: [[6, 5], [1, 2], [3, 4, 13], [8], [24, 7], [19, 9], [15, 11], [16, 17], [18], [10, 14], [20], [12, 22, 23], [27, 28, 25], [21, 26, 29]]
40: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11, 16], [17, 10], [18, 28, 12], [21, 20, 14], [23, 27, 25, 26, 29, 22]]
41: [[6, 5], [1, 2, 3, 4], [13, 8, 24, 7], [19, 9], [15, 11, 16, 17, 10, 22, 14, 12, 28, 20, 29, 23, 18, 27, 21, 26, 25]]
42: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [22, 15, 10], [16, 25], [11, 12], [18, 20], [23, 14], [29, 17], [28, 21], [26, 27]]
43: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11, 16], [17, 10], [18, 14], [26, 12], [20, 22], [21, 23, 27, 25, 28, 29]]
44: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11], [16, 17], [10, 22, 14, 18, 12], [20, 21, 23, 27], [25, 29, 26, 28]]
45: [[6, 5], [1, 2], [3, 4, 13], [8, 24], [7, 19], [9, 15], [11, 16], [17, 10, 22, 14, 18, 12], [28, 20, 23, 25, 27, 21, 26, 29]]
46: [[6, 5], [1, 2], [3, 4], [13, 8], [24], [7, 19], [9, 14, 15], [11, 17], [25, 18], [10, 20], [12, 16, 23, 28], [21, 22, 29, 26, 27]]
47: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9, 14], [15, 11], [16, 17], [12, 10], [20, 22], [28, 18], [21, 29], [25, 23, 26, 27]]
48: [[6, 5], [1, 2, 3], [4, 13], [8, 24, 7], [19, 9], [15, 11], [16, 17], [10, 18], [12], [22, 14, 28, 23, 25, 20, 29, 21, 26, 27]]
49: [[6, 5], [1, 2, 3], [4, 13], [8, 24], [7, 19], [9, 14], [15, 11], [16, 17], [10, 20], [12, 22], [21, 23], [18, 28, 25], [29, 26, 27]]
50: [[6, 5], [1, 2], [3, 4, 13], [8, 24, 7, 19, 9, 23, 11, 16, 17, 26, 18, 10, 14, 12, 15, 20], [28, 21], [25, 22, 29, 27]]
51: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11], [16, 17, 10], [18, 28], [12, 14, 21, 23], [29, 20], [25, 22, 26, 27]]
52: [[6, 5], [1], [2, 3], [4, 13], [8, 24, 7, 19, 9], [23, 11, 16, 17], [10, 18, 28, 12, 14, 15, 29, 20, 21, 25, 22, 26, 27]]
53: [[6, 5], [1, 2], [3, 4, 13], [8, 24], [7, 19, 9, 15], [11, 16], [17, 10], [18, 12], [22, 28, 14], [23, 20], [21, 29, 25], [26, 27]]
54: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [14, 15, 10, 16], [11, 18], [12, 17], [28, 20, 29, 23, 21], [25, 22, 26, 27]]
55: [[6, 5], [1, 2], [3], [4, 13], [8, 24, 7], [19], [9, 15], [11, 16, 17], [10, 20, 12, 22, 14, 28, 23, 29, 18, 25, 21, 26, 27]]
56: [[6, 5], [1, 2], [3], [4, 13], [8, 24, 7], [19], [9, 15], [11, 16, 17], [10, 14, 12, 20, 28, 22, 23, 29, 18, 25, 21, 26, 27]]
57: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9, 23], [11, 17], [14], [15, 10], [20, 12, 18, 28, 21], [16, 22], [25, 29, 26], [27]]
58: [[6, 5], [1, 2, 3], [4, 13], [8, 24], [7, 19], [9, 15, 11], [16, 17], [10, 18, 12], [14, 28], [20, 22], [29, 21], [25, 23, 26, 27]]
59: [[6, 5], [1, 2], [3, 4, 13], [8, 24], [7, 19, 9, 15], [11, 16], [17, 10, 26], [12, 18], [14, 28], [23, 29], [20, 25, 21], [22, 27]]
