0: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4, 12], [15, 7, 14], [13, 9, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
25: [[18, 5, 6, 10], [1, 2, 19, 9], [8, 4, 12], [15, 7, 14], [11, 3, 13, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
26: [[18, 5, 6, 10], [1, 2, 19, 3], [8, 4, 12], [15, 13, 7], [11, 9, 17, 16, 22, 14], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
27: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4], [13, 7, 9, 11], [12, 14, 15, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
28: [[18, 5, 6], [10, 1, 2], [19, 3, 8, 4], [12, 15, 7, 14], [13, 9, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
29: [[18, 5, 6], [10, 1, 2], [19, 3, 8, 4], [12, 15, 7, 14], [11, 9, 13, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
30: [[18, 5, 6], [10, 1, 2], [19, 3, 8, 4], [12, 15, 7, 14], [13, 9, 11, 17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
31: [[18, 5, 6], [10, 1, 2], [19, 3, 8, 4], [12, 15, 13, 14], [11, 7, 9, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
32: [[18, 5, 6], [10, 1, 2, 19], [9, 8, 4], [12, 15, 7, 14], [3, 13, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
33: [[18, 5, 6], [10, 1, 2, 19, 3, 8], [4, 12, 15], [13, 7, 9, 14], [11, 17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
34: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4, 12, 15, 7], [9, 11, 13], [14, 17, 16], [22, 25, 29, 20], [21, 26, 27], [23, 24, 28]]
35: [[18, 5, 6], [10, 1, 2, 19, 3, 8], [4, 12, 15, 7], [14, 13, 9], [11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
36: [[18, 5, 6], [10, 1, 2, 19, 3, 8], [4, 12, 15, 7], [14, 13, 9], [11, 17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
37: [[18, 5, 6, 10, 1, 2], [19, 9, 8], [4, 12, 15], [13, 14, 11, 3], [7, 17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
38: [[18, 5, 6, 10, 1, 2], [19, 3, 8, 4], [12, 15, 7], [9, 11, 14], [13, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
39: [[18, 5, 6, 10, 1, 2], [19, 3, 8, 4], [12, 15, 7], [14, 11, 9, 13], [16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
40: [[18, 5, 6, 10, 1, 2], [19, 3, 8, 4], [15, 7, 11], [12, 13, 9], [16, 17, 22, 14], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
41: [[18, 5, 6, 1, 2, 10], [19, 3, 8], [4, 15, 13, 12], [11, 9, 14], [7, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
42: [[18, 5, 6, 10, 1, 2], [19, 3, 8], [4, 12, 15, 7], [14, 13, 9], [11, 17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
43: [[18, 5, 6, 10, 1, 2], [19, 3, 8], [4, 13, 15], [12, 9, 7, 14], [11, 17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
44: [[18, 5, 6], [10, 1, 2, 19, 3, 8], [4, 12, 15], [7, 14, 11], [9, 13, 16, 17], [22, 25, 29, 20], [21, 26, 27], [23, 24, 28]]
45: [[18, 5, 6], [10, 1, 2, 19, 3, 8], [4, 12, 15], [7, 14, 13], [9, 11, 16, 17], [22, 25, 29, 20], [21, 26, 27], [23, 24, 28]]
46: [[18, 5, 6], [10, 1, 2], [19, 3, 8, 4, 12, 15], [13, 7, 14], [9, 11, 17, 16], [22, 25, 29, 20], [21, 26, 27], [23, 24, 28]]
47: [[18, 5, 6], [10, 1, 2], [19, 3, 8, 4, 12, 15], [7, 14, 13], [9, 11, 17, 16], [22, 25, 29, 20], [21, 26, 27], [23, 24, 28]]
48: [[18, 5, 6], [1, 2, 10], [19, 3, 8, 4, 15, 12], [13, 11, 14], [9, 7, 17, 16], [25, 29, 20, 22], [21, 26, 27], [23, 24, 28]]
49: [[18, 5, 6], [10, 1, 2, 19, 9, 8], [4, 12, 15, 7], [14, 3, 13], [11, 17, 16], [22, 25, 29, 20], [21, 26, 27], [23, 24, 28]]
50: [[18, 5, 6], [10, 1, 2, 19, 3, 8], [4, 12, 15], [7, 14, 13, 9], [11, 16, 17], [22, 25, 29, 20], [21, 26, 27], [23, 24, 28]]
51: [[18, 5, 6], [10, 1, 2, 19, 3, 8], [4, 12, 15, 13], [14, 7, 9], [11, 16, 17], [22, 25, 29, 20], [21, 26, 27], [23, 24, 28]]
52: [[18, 5, 6], [10, 1, 2, 19, 3, 8], [4, 12, 15, 7], [14, 13, 9], [11, 17, 16], [22, 25, 29, 20], [21, 26, 27], [23, 24, 28]]
53: [[18, 5, 6], [10, 1, 2], [19, 3, 8, 4, 12, 15], [7, 9, 13, 14], [11, 17, 16], [22, 25, 29, 20], [21, 26, 27], [23, 24, 28]]
54: [[18, 5, 6], [10, 1, 2], [19, 3, 8, 4], [12, 15, 7], [14, 11, 9, 13], [16, 17, 22, 25, 29, 20], [21, 26, 27], [23, 24, 28]]
55: [[18, 5, 6], [1, 2, 10], [19, 3, 8, 4], [15, 7, 12], [13, 9, 11, 14], [16, 17, 25, 29, 20, 22], [21, 26, 27], [23, 24, 28]]
56: [[18, 5, 6], [10, 1, 2], [19, 3, 8, 4, 12, 15], [13, 14, 7], [9, 11, 16, 17], [22, 25, 29], [20, 21, 26, 27], [23, 24, 28]]
57: [[18, 5, 6], [10, 1, 2], [19, 3, 8, 4, 12, 15], [7, 14, 11, 9], [13, 16, 17], [22, 25, 29], [20, 21, 26, 27], [23, 24, 28]]
58: [[18, 5, 6], [10, 1, 2], [19, 3, 8, 4, 12, 15], [7, 14, 13, 9], [11, 16, 17], [22, 25, 29], [20, 21, 26, 27], [23, 24, 28]]
59: [[18, 5, 6], [10, 1, 2], [19, 3, 8, 4, 12, 15], [7, 14, 13], [9, 11, 16], [17, 22, 25, 29], [20, 21, 26, 27], [23, 24, 28]]
