0: [[28, 6, 5, 10], [3, 4, 8], [7, 9, 19, 24, 2], [12, 11, 15, 13, 14, 1], [16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
12: [[28, 6, 5, 10], [3, 4, 8, 7], [9, 19, 24, 12, 2, 1], [11, 15, 13, 14, 16], [17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
13: [[28, 6, 5, 10], [3, 4, 8, 7], [9, 19, 24, 12, 2, 1], [11, 15, 13, 14, 16], [17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
14: [[28, 6, 5, 10], [3, 4, 8, 7, 9], [19, 24, 2, 1], [12, 11, 15, 13, 14, 16, 17], [23, 22, 18], [20, 25], [21, 27, 26, 29]]
15: [[28, 6, 5, 10], [3, 4, 8, 7], [9, 19, 24, 12, 11, 2, 1], [15, 13, 14, 16], [17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
16: [[10, 28, 6, 5], [2, 1, 3, 4, 8], [7, 9, 19, 24, 12], [11, 15, 13, 14, 16, 17], [23, 22, 18], [20, 25], [21, 27, 26, 29]]
17: [[28, 5, 10, 6], [1, 3, 4, 8, 7, 9], [19, 24, 12, 2], [11, 15, 13, 14, 16, 17], [23, 22, 18], [20, 25], [21, 27, 26, 29]]
18: [[10, 28, 6, 5], [2, 1, 3, 4, 8], [7, 9, 19, 24, 12], [11, 15, 13, 14, 16], [17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
19: [[10, 28, 6, 5], [2, 1, 3, 4, 8], [7, 9, 19, 24, 12], [11, 15, 13, 14, 16], [17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
20: [[10, 28, 6, 5], [2, 1, 3, 4, 8], [7, 9, 19, 24], [12, 11, 15, 13], [14, 16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
21: [[10, 28, 6, 5], [2, 1, 3, 4, 8], [7, 9, 19, 24], [12, 11, 15, 13, 14], [16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
22: [[10, 28, 6, 5], [2, 1, 3, 4, 8], [7, 9, 19, 24, 12], [11, 15, 13, 14], [16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
23: [[28, 5, 1, 10, 6], [3, 4, 8], [7, 9, 19, 24, 12, 11, 2], [15, 13, 14, 16, 17, 23], [22, 18], [20, 25], [21, 27, 26, 29]]
24: [[28, 5, 1, 10, 6], [3, 4, 8], [7, 9, 19, 24, 12, 11, 2], [15, 13, 14, 16, 17, 23], [22, 18], [20, 25], [21, 27, 26, 29]]
25: [[10, 28, 6, 5], [2, 1, 3, 4, 8], [7, 9, 19, 24, 12], [11, 15, 13], [14, 16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
26: [[5, 10, 6], [2, 1, 3, 28], [4, 8, 7, 9, 19, 24], [12, 11, 15, 13, 14, 16, 17], [23, 22, 18], [20, 25], [21, 27, 26, 29]]
27: [[28, 6, 5, 10], [3, 4, 8, 7, 9], [19, 24, 12, 11, 2, 1], [15, 13, 14], [16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
28: [[28, 5, 1, 10, 6], [3, 4, 8], [7, 9, 19, 24, 12, 11, 15, 2], [13, 14, 16, 17, 23], [22, 18], [20, 25], [21, 27, 26, 29]]
29: [[28, 5, 1, 3, 10, 6], [4, 8, 7, 9], [19, 24, 12, 2], [11, 15, 13, 14, 16, 17], [23, 22, 18], [20, 25], [21, 27, 26, 29]]
30: [[10, 28, 6, 5], [2, 1, 3, 4], [8, 7, 9, 19, 24, 12], [11, 15, 13, 14, 16], [17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
31: [[10, 28, 6, 5], [2, 1, 3, 4], [8, 7, 9, 19, 24, 12], [11, 15, 13, 14, 16], [17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
32: [[5, 2, 1, 3, 4, 8, 10, 6], [7, 9, 19, 24], [12, 11, 15, 13, 14, 16, 17], [23, 22, 18, 28], [20, 25], [21, 27, 26, 29]]
33: [[5, 2, 1, 3, 4, 8, 10, 6], [7, 9, 19, 24], [12, 11, 15, 13, 14, 16, 17], [23, 22, 18, 28], [20, 25], [21, 27, 26, 29]]
34: [[28, 5, 1, 10, 6], [3, 4, 8, 7], [9, 19, 24, 12, 2], [11, 15, 13, 14, 16, 17, 23], [22, 18], [20, 25], [21, 27, 26, 29]]
35: [[10, 28, 6, 5], [2, 1, 3, 4, 8, 7], [9, 19, 24, 12], [11, 15, 13, 14, 16], [17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
36: [[28, 5, 1, 10, 6, 2], [3, 4, 8, 7, 9, 19], [24, 12, 11, 15], [13, 14, 16, 17], [23, 22, 18], [20, 25], [21, 27, 26, 29]]
37: [[28, 5, 1, 10, 6], [3, 4, 8, 7], [9, 19, 24, 12, 11, 2], [15, 13, 14, 16, 17, 23], [22, 18], [20, 25], [21, 27, 26, 29]]
38: [[10, 28, 6, 5], [2, 1, 3, 4, 8, 7, 9], [19, 24, 12], [11, 15, 13], [14, 16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
39: [[5, 2, 1, 3, 4, 10, 28, 6], [8, 7, 9, 19, 24], [12, 11, 15, 13], [14, 16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
40: [[5, 2, 1, 3, 4, 8, 10, 28], [7, 9, 19, 24, 12, 11], [15, 13, 14, 16], [17, 23, 22, 18, 6], [20, 25], [21, 27, 26, 29]]
41: [[28, 5, 1, 10, 6, 2], [3, 4, 8, 7, 9, 19], [24, 12, 11], [15, 13, 14, 16, 17, 23], [22, 18], [20, 25], [21, 27, 26, 29]]
42: [[10, 28, 6, 5], [2, 1, 3, 4], [8, 7, 9, 19], [24, 12, 11, 15, 13], [14, 16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
43: [[28, 5, 1, 3, 10, 6], [4, 8, 7, 9, 19, 2], [24, 12, 11, 15, 13], [14, 16, 17, 23], [22, 18], [20, 25], [21, 27, 26, 29]]
44: [[28, 5, 1, 3, 10, 6], [4, 8, 7, 9], [19, 24, 12, 11, 15, 2], [13, 14, 16, 17, 23], [22, 18], [20, 25], [21, 27, 26, 29]]
45: [[10, 28, 6, 5], [2, 1, 3, 4, 8], [7, 9, 19, 24, 12], [11, 15], [13, 14, 16, 17], [23, 22, 18, 20, 25], [21, 27, 26, 29]]
46: [[10, 28, 6, 5, 2, 1, 3], [4, 8, 7, 9], [19, 24, 12, 11, 15, 13], [14, 16, 17, 23], [22, 18], [20, 25], [21, 27, 26, 29]]
47: [[5, 2, 1, 3, 10, 28, 6], [4, 8, 7, 9, 19], [24, 12, 11, 15], [13, 14, 16, 17], [23, 22, 18, 20, 25], [21, 27, 26, 29]]
48: [[10, 28, 6, 5, 2, 1], [3, 4, 8, 7, 9], [19, 24, 12, 11], [15, 13], [14, 16, 17], [23, 22, 18, 20, 25], [21, 27, 26, 29]]
49: [[10, 28, 6, 5, 2], [1, 3, 4, 8, 7, 9], [19, 24, 12, 11], [15, 13], [14, 16, 17], [23, 22, 18, 20, 25], [21, 27, 26, 29]]
50: [[5, 2, 6], [1, 3, 4, 8, 7, 9, 19, 10], [24, 12, 11, 15, 28], [13, 14, 16], [17, 23, 22, 18, 20, 25], [21, 27, 26, 29]]
51: [[5, 2, 1, 3, 4, 10, 28, 6], [8, 7, 9, 19], [24, 12, 11, 15], [13, 14, 16, 17], [23, 22, 18, 20, 25], [21, 27, 26, 29]]
52: [[5, 2, 6], [1, 3, 4, 8, 7, 10], [9, 19, 24, 12, 11, 15], [13, 14, 16, 17, 23, 28], [22, 18, 20, 25], [21, 27, 26, 29]]
53: [[5, 2, 1, 3, 4, 10, 28, 6], [8, 7, 9, 19], [24, 12, 11], [15, 13, 14], [16, 17, 23, 22, 18, 20, 25], [21, 27, 26, 29]]
54: [[5, 2, 28, 6], [1, 3, 4, 8, 7, 9], [19, 24, 12, 11, 10], [15, 13, 14], [16, 17, 23, 22, 18, 20], [25, 21, 27, 26, 29]]
55: [[5, 2, 28, 6], [1, 3, 4, 8, 7, 9], [19, 24, 12, 11, 10], [15, 13, 14], [16, 17, 23, 22, 18, 20], [25, 21, 27, 26, 29]]
56: [[5, 2, 28, 6], [1, 3, 4, 8, 7, 9], [19, 24, 12, 11, 10], [15, 13, 14, 16, 17, 23], [22, 18, 20], [25, 21, 27, 26, 29]]
57: [[10, 28, 6, 5], [2, 1, 3, 4, 8], [7, 9, 19, 24, 12], [11, 15, 13, 14, 16], [17, 23, 22, 18, 20], [25, 21], [27, 26, 29]]
58: [[5, 2, 1, 3, 4, 10, 28, 6], [8, 7, 9], [19, 24, 12, 11], [15, 13, 14, 16, 17], [23, 22, 18, 20], [25, 21, 27, 26, 29]]
59: [[10, 28, 6, 5], [2, 1, 3, 4, 8], [7, 9, 19, 24, 12, 11], [15, 13, 14, 16, 17, 23], [22, 18, 20], [25, 21], [27, 26, 29]]
