0: [[22, 5, 4], [3, 6], [2, 9, 1, 19], [10, 7, 14, 11], [8, 13, 12, 15, 20, 16, 18, 17], [21, 23, 24]]
30: [[22, 5, 4, 6], [2, 9], [1, 19, 10, 7, 14, 11], [8, 13, 12, 15, 20], [16, 18, 17, 3], [21, 23, 24]]
31: [[22], [6, 2, 9, 1, 19, 4], [10, 7, 14, 11], [8, 13, 12, 5], [15, 20, 16, 18, 17, 3], [21, 23, 24]]
32: [[22, 5, 4], [2, 6], [9, 1, 19, 10, 3], [7, 14, 11], [8, 13, 12, 15, 20, 16, 18, 17], [21, 23, 24]]
33: [[22], [6, 2, 9, 1, 19, 4], [10, 7, 14], [11, 8, 13, 12, 15, 5], [20, 16, 18, 17, 3], [21, 23, 24]]
34: [[22, 5, 4, 3, 6, 2], [9, 1, 19], [10, 7, 14, 11, 8], [13, 12, 15, 20], [16, 18, 17], [21, 23, 24]]
35: [[22], [6, 2, 9, 1, 19], [10, 7, 14, 11, 8], [13, 12, 15, 5, 4], [20, 16, 18, 17, 3], [21, 23, 24]]
36: [[22, 5, 4, 3], [6, 2, 9, 1, 19], [10, 7, 14, 11], [8, 13, 12, 15, 20, 16], [18, 17], [21, 23, 24]]
37: [[22], [6, 5, 4, 3], [2, 9, 1, 19, 10], [7, 14, 11, 8], [13, 12, 15, 20, 16, 18, 17], [21, 23, 24]]
38: [[22], [6, 2, 9, 1, 4, 3], [19, 10, 7, 14, 11], [8, 13, 12, 15, 20, 16, 18, 17, 5], [21, 23, 24]]
39: [[22, 5, 4], [3, 6, 2, 9, 1], [19, 10, 7], [14, 11, 8, 13, 12], [15, 20, 16, 18, 17], [21, 23, 24]]
40: [[22, 5, 4, 3], [6, 2, 9, 1, 19], [10, 7, 14], [11, 8, 13, 12], [15, 20, 16, 18, 17], [21, 23, 24]]
41: [[22, 5, 4], [3, 6, 2, 9], [1, 19, 10, 7, 14], [11, 8, 13, 12], [15, 20, 16, 18, 17], [21, 23, 24]]
42: [[22, 5, 4, 6], [2, 9, 1, 19, 10, 7], [14, 11], [8, 13, 12, 15, 20], [16, 18, 17, 3], [21, 23, 24]]
43: [[22], [6, 2, 5], [9, 1, 19, 4], [10, 7, 14, 11, 8], [13, 12, 15, 20, 16, 18, 17, 3], [21, 23, 24]]
44: [[22, 4, 2, 9, 1, 6], [19, 10, 7, 14], [11, 8, 13], [12, 15, 20, 16, 3], [18, 17, 5], [21, 23, 24]]
45: [[22, 5, 2, 9, 1, 4, 6], [19, 10, 7], [14, 11], [8, 13, 12, 15], [20, 16, 18, 17, 3], [21, 23, 24]]
46: [[22], [6, 2, 9, 1, 4], [19, 10, 7, 14, 11], [8, 13, 12, 15, 5], [20, 16, 18, 17, 21, 3], [23, 24]]
47: [[22], [6, 2, 5, 3], [9, 1, 19, 4], [10, 7, 14, 11, 8], [13, 12, 15, 20, 16, 18, 17, 21], [23, 24]]
48: [[22, 5, 4], [3, 6], [2, 9, 1], [19, 10, 7, 14], [11, 8, 13, 12, 15, 20, 16, 18], [17, 21, 23, 24]]
49: [[22, 5, 4, 6], [2, 9, 1], [19, 10, 7, 14, 11], [8, 13, 12, 15], [20, 16, 18, 3], [17, 21, 23, 24]]
