0: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 19, 18, 17, 24, 28, 29], [21, 26, 27]]
17: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 18, 24, 28, 29, 19], [21, 26, 27]]
18: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 17, 28, 24, 29, 19], [21, 26, 27]]
19: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 18, 24, 19, 28, 29], [21, 26, 27]]
20: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 19, 17, 18, 14, 24, 29, 28], [21, 26, 27]]
21: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 19, 14, 18, 17, 24, 28, 29], [21, 26, 27]]
22: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 18, 28, 19, 24, 29], [21, 26, 27]]
23: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 19, 28, 18, 24, 29], [21, 26, 27]]
24: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 19, 17, 14, 28, 18, 29, 24], [21, 26, 27]]
25: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 19, 17, 24, 28, 18, 29, 14], [21, 26, 27]]
26: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 19, 28, 17, 29, 24], [21, 26, 27]]
27: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 24, 18, 19, 29, 28], [21, 26, 27]]
28: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 17, 19, 24, 28, 18, 29, 14], [21, 26, 27]]
29: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 28, 17, 19, 24, 18, 29, 14], [21, 26, 27]]
30: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 18, 28, 19, 29, 24], [21, 26, 27]]
31: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 24, 19, 18, 29, 28], [21, 26, 27]]
32: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 19, 17, 24, 28, 29], [21, 26, 27]]
33: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 19, 24, 18, 28, 29], [21, 26, 27]]
34: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 17, 19, 24, 28, 29], [21, 26, 27]]
35: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 17, 19, 29, 28, 24], [21, 26, 27]]
36: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 19, 17, 18, 24, 28, 29, 14], [21, 26, 27]]
37: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 24, 28, 18, 29, 19], [21, 26, 27]]
38: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 18, 19, 24, 29, 28], [21, 26, 27]]
39: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 19, 18, 24, 17, 28, 29], [21, 26, 27]]
40: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 19, 28, 18, 24, 29], [21, 26, 27]]
41: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 19, 24, 18, 29, 28], [21, 26, 27]]
42: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 24, 28, 18, 29, 19], [21, 26, 27]]
43: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 19, 24, 18, 29, 28], [21, 26, 27]]
44: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 17, 19, 24, 28, 29], [21, 26, 27]]
45: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 17, 19, 24, 28, 29], [21, 26, 27]]
46: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 19, 17, 28, 24, 18, 29], [21, 26, 27]]
47: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 19, 24, 17, 28, 29], [21, 26, 27]]
48: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 19, 17, 24, 28, 29], [21, 26, 27]]
49: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 19, 24, 18, 28, 29], [21, 26, 27]]
50: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 24, 17, 19, 29, 28], [21, 26, 27]]
51: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 17, 24, 19, 29, 28], [21, 26, 27]]
52: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 28, 17, 18, 24, 19, 29, 14], [21, 26, 27]]
53: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 19, 24, 17, 28, 29, 18], [21, 26, 27]]
54: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 18, 19, 24, 17, 28, 29, 14], [21, 26, 27]]
55: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 26, 24, 29, 17, 19], [21, 28, 27]]
56: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 19, 14, 18, 21, 29, 24, 17], [28, 26, 27]]
57: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 19, 17, 14, 26, 18, 29, 24], [21, 28, 27]]
58: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 26, 28, 18, 29, 24], [21, 19, 27]]
59: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 18, 19, 26, 29, 28], [21, 24, 27]]
