0: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15, 11], [13, 9, 24, 28, 23, 7, 10], [22, 16, 19, 18, 20, 12, 14], [21, 27, 26, 29]]
17: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 11, 13, 10, 7], [9, 12, 28, 14, 18, 16, 23, 19], [20, 22, 29], [21, 27, 24, 26]]
18: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15], [7, 9, 11, 10, 14, 12, 13], [20, 22, 18, 27, 16, 23, 21, 28], [19, 26, 24, 29]]
19: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 13, 11, 9], [12, 24], [10, 20, 22, 16, 19, 14, 18, 23, 26], [21, 27, 29, 28]]
20: [[25, 6, 5, 1, 17, 2], [3, 8, 4, 15, 11, 13, 7, 9], [10, 12], [14, 20, 23, 24, 16, 18, 19, 26, 22], [21, 27, 28, 29]]
21: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 13, 9, 11], [14, 10, 12, 21, 18, 16, 19, 26], [22, 20, 23], [28, 27, 24, 29]]
22: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15, 11], [9, 7, 26, 10, 12, 14, 13], [22, 18, 19, 16, 21, 28, 20], [23, 27, 24, 29]]
23: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 13, 11, 9], [14, 16], [10, 12, 22, 24, 23, 19, 20, 18, 26], [21, 27, 29, 28]]
24: [[25, 6, 5, 1, 17, 2, 3], [8, 4], [15, 7, 10, 11, 26, 9, 13], [12, 14, 18, 16, 19, 23, 20, 28, 22], [21, 27, 24, 29]]
25: [[25, 6, 5, 1, 17, 2, 3], [8, 4], [15, 7, 10, 11, 26, 9, 13], [12, 14, 18, 16, 19, 23, 20, 28, 22], [21, 27, 24, 29]]
26: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 13, 11, 12], [9, 20], [10, 14, 22, 24, 21, 19, 16, 18, 23], [26, 27, 29, 28]]
27: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 13, 10, 11], [9, 16], [12, 21, 18, 14, 19, 26, 22, 23, 20], [28, 27, 24, 29]]
28: [[25, 6, 5, 1, 17, 2, 3], [8, 4], [15, 7, 13, 9, 26, 11, 10, 12], [16, 18, 19, 22, 21, 20, 23, 14], [24, 27, 28, 29]]
29: [[25, 6], [5, 1, 17, 2, 3, 8, 4], [15, 7, 13, 9, 10, 14, 11], [12, 29, 18, 16, 23, 19, 20, 22, 26], [21, 27, 24, 28]]
30: [[25, 6], [5, 1, 17, 2, 3, 8, 4], [15, 7, 14, 9, 13, 16, 11], [12, 10, 22, 18, 23, 19, 20, 29, 26], [21, 27, 24, 28]]
31: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 14, 7, 9, 24, 12], [29, 13, 10, 18, 22, 19, 11], [16, 20, 26], [21, 23, 27, 28]]
32: [[25, 6, 5, 1, 17, 2, 3, 8], [4, 15, 7, 13, 11, 9, 14], [24, 12, 10], [22, 16, 23, 18, 20, 19, 26], [21, 27, 29, 28]]
33: [[25, 6, 5, 1, 17, 2, 3], [8, 4], [15, 7, 9, 10, 20, 12, 11, 13, 16], [22, 18, 19, 21, 14, 24, 27], [23, 28, 26, 29]]
34: [[25, 6, 5, 1, 17, 2, 3, 8], [4, 15, 7, 12, 11, 9, 10], [14, 13, 24, 18, 26, 23, 16], [19, 22, 20], [21, 27, 28, 29]]
35: [[25, 6, 5, 1, 17, 2, 3, 8], [4, 15, 7], [13, 11, 12, 9, 14, 19, 10], [18, 16, 20, 22, 21, 23, 29], [24, 27, 26, 28]]
36: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 13, 10, 26, 9], [16, 12, 11], [28, 18, 19, 14, 23, 22, 20], [21, 24, 27, 29]]
37: [[25, 6], [5, 1, 17, 2, 3, 8, 4], [15, 10, 9, 7, 13, 14, 23, 20, 11], [18, 24, 19, 22, 21, 12, 16], [26, 27, 28, 29]]
38: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15], [7, 11, 9, 10, 24, 14, 12], [20, 16, 13, 22, 19, 18, 21, 27], [23, 26, 28, 29]]
39: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15], [11, 9, 7, 12, 10, 13, 14, 26], [22, 20, 19, 18, 23, 27, 16], [21, 24, 28, 29]]
40: [[25, 6, 5, 1, 17, 2, 3, 8], [4, 15, 7], [13, 11, 26, 9, 10, 12, 14], [18, 22, 19, 16, 20, 28, 23], [21, 27, 24, 29]]
41: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 13, 11, 9, 14], [10, 12, 16], [22, 21, 23, 18, 19, 26, 20], [29, 27, 24, 28]]
42: [[25, 6, 5, 1, 17, 2, 3, 8], [4, 15, 11], [9, 7, 13, 10, 12, 14, 18], [22, 16, 19, 23, 24, 20, 27], [21, 29, 26, 28]]
43: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 9, 11, 12, 10], [13, 14, 23], [22, 18, 19, 16, 20, 28, 21], [29, 27, 26, 24]]
44: [[25, 6], [5, 1, 17, 2, 3, 8, 4], [15, 7, 9, 10, 26, 11, 13], [12, 14, 18, 24, 19, 16, 20, 28, 22], [21, 23, 27, 29]]
45: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 13, 10, 24], [9, 12, 14], [18, 22, 16, 19, 11, 20, 27, 23], [21, 29, 26, 28]]
46: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 9, 13, 10], [12, 11, 14], [16, 18, 28, 20, 22, 19, 23, 26], [21, 27, 24, 29]]
47: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 9, 13, 10, 28], [11, 12, 14], [18, 16, 19, 20, 21, 22, 23], [24, 27, 26, 29]]
48: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 13, 11, 28], [9, 14], [10, 23, 16, 12, 18, 19, 22, 20, 21], [24, 27, 26, 29]]
49: [[25, 6, 5, 1, 17, 2, 3, 8], [4, 15, 7], [9, 11, 28, 14, 10, 13, 12], [22, 18, 19, 20, 16, 21, 23], [26, 27, 24, 29]]
50: [[25, 6, 5, 1, 17, 2, 3, 8], [4, 15, 7], [11, 9, 13, 27, 10, 12, 26], [18, 16, 22, 19, 23, 29, 14], [21, 20, 24, 28]]
51: [[25, 6], [5, 1, 17, 2, 3, 8, 4], [15, 7, 13, 11, 10, 9, 12, 14, 19], [18, 16, 20, 21, 23, 22, 24], [28, 27, 26, 29]]
52: [[25, 6, 5, 1, 17, 2, 3, 8], [4, 15, 7], [9, 10, 12, 14, 28, 11, 20], [13, 16, 19, 22, 18, 21, 23], [24, 27, 26, 29]]
53: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 13, 10, 9], [11, 12], [14, 28, 18, 19, 16, 21, 29, 20, 22], [23, 27, 26, 24]]
54: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 13, 11, 28, 14, 12], [9, 10], [22, 16, 19, 18, 21, 24, 20], [23, 27, 26, 29]]
55: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 11, 9, 10], [12, 14], [13, 24, 16, 28, 22, 18, 19, 20, 26], [21, 27, 23, 29]]
56: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 9, 14, 12, 10], [13, 11, 21, 22, 18, 19, 16], [23, 29, 24], [20, 27, 26, 28]]
57: [[25, 6, 5, 1, 17, 2, 3, 8], [4, 15, 7, 13, 11, 9, 14], [24, 10, 12], [18, 21, 23, 19, 22, 26, 16], [20, 27, 28, 29]]
58: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 13, 11, 9], [14, 10], [12, 24, 22, 19, 23, 18, 21, 26, 16], [20, 27, 28, 29]]
59: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 10, 9, 7, 11], [14, 21], [28, 13, 18, 26, 19, 16, 23, 12, 20], [22, 27, 24, 29]]
