0: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
37: [[11, 7], [2, 16, 1, 3, 13], [4, 5, 12, 9, 6, 10], [14, 8], [15, 18, 17, 20, 19], [21, 23, 22, 24]]
38: [[11, 7], [2, 16, 1, 3, 13], [4, 5, 12, 9, 6, 10], [14, 8], [15, 18, 17, 20, 19], [21, 23, 22, 24]]
39: [[2, 1], [3, 13, 4, 5, 12, 9, 16], [6, 10, 11, 7], [14, 8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
40: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19, 21], [23, 22, 24]]
41: [[11, 7], [2, 16, 1], [3, 13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19, 21], [23, 22, 24]]
42: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6, 10], [14, 8], [15, 18, 17, 20, 19, 21], [23, 22, 24]]
43: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6, 10], [14, 8], [15, 18, 17, 20, 19, 21], [23, 22, 24]]
44: [[2, 1], [3, 13, 4, 5, 12, 9, 6, 10, 16], [14, 8, 11, 7], [15, 18, 17, 20, 19, 21], [23, 22, 24]]
45: [[11, 7], [2, 16, 1, 3, 13], [4, 5, 12, 9, 6, 10], [14, 8], [15, 18, 17, 20, 19, 21], [23, 22, 24]]
46: [[11, 7], [2, 16, 1, 3, 13], [4, 5, 12, 9, 6, 10], [14, 8], [15, 18, 17, 20, 19, 21], [23, 22, 24]]
47: [[11, 7], [2, 16, 1, 3, 13], [4, 5, 12, 9, 6, 10], [14, 8], [15, 18, 17, 20, 19, 21], [23, 22, 24]]
48: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9], [6, 10], [14, 8, 15, 18, 17, 20], [19, 21, 23, 22, 24]]
49: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9], [6, 10], [14, 8, 15, 18, 17, 20], [19, 21, 23, 22, 24]]
