0: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
24: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9], [8, 20, 14, 17, 22], [23, 21, 24]]
25: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9], [8, 20, 14, 17, 22], [23, 21, 24]]
26: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9], [8, 20, 14, 17, 22], [23, 21, 24]]
27: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9], [8, 20, 14, 17, 22], [23, 21, 24]]
28: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9], [8, 20, 14, 17, 22], [23, 21, 24]]
29: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15], [9, 8, 20, 14, 17, 22], [23, 21, 24]]
30: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17], [22, 23, 21, 24]]
31: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17], [22, 23, 21, 24]]
32: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17], [22, 23, 21, 24]]
33: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8, 20], [14, 17], [22, 23, 21, 24]]
34: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8, 20], [14, 17], [22, 23, 21, 24]]
35: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9], [8, 20, 14, 17], [22, 23, 21, 24]]
36: [[18, 16], [2, 11, 1, 13, 19, 12, 7, 5], [4, 3], [10, 6], [15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
37: [[18, 16], [2, 11, 1, 13, 19, 12, 7, 5], [4, 3], [10, 6], [15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
38: [[18, 16], [2, 11, 1, 13, 19, 12, 7, 5], [4, 3], [10, 6], [15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
39: [[18, 16], [2, 11, 1, 13, 19, 12, 7, 5], [4, 3], [10, 6], [15, 9, 8, 20], [14, 17, 22], [23, 21, 24]]
40: [[18, 16], [2, 11, 1, 13, 19, 12, 7, 5], [4, 3], [10, 6], [15, 9, 8, 20], [14, 17, 22], [23, 21, 24]]
41: [[18, 16], [2, 11, 1, 13, 19, 12], [7, 5], [4, 3], [10, 6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
42: [[18, 16], [2, 11, 1, 13, 19, 12], [7, 5], [4, 3], [10, 6, 15, 9], [8, 20, 14, 17], [22, 23, 21, 24]]
43: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22, 23], [21, 24]]
44: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8, 20], [14, 17, 22, 23], [21, 24]]
45: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8, 20], [14, 17, 22, 23], [21, 24]]
46: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8, 20], [14, 17, 22, 23], [21, 24]]
47: [[18, 16], [2, 11, 1, 13, 19, 12, 7, 5], [4, 3], [10, 6], [15, 9, 8], [20, 14, 17, 22, 23], [21, 24]]
48: [[18, 16], [2, 11, 1, 13, 19, 12, 7, 5], [4, 3], [10, 6], [15, 9, 8, 20], [14, 17, 22, 23], [21, 24]]
49: [[18, 16], [2, 11, 1, 13, 19, 12, 7, 5], [4, 3], [10, 6], [15, 9, 8, 20], [14, 17, 22, 23], [21, 24]]
