0: [[3, 4, 6, 2, 1, 10], [11, 7], [14, 8, 9, 15], [12, 5, 13], [16, 18], [20, 22, 17, 19], [21, 23, 24]]
15: [[3, 4], [6, 5, 19], [2, 11, 1], [7, 14, 10], [8, 9, 15], [13, 12, 16, 18, 20, 22, 17, 21], [23, 24]]
16: [[4, 6], [5, 2], [11, 7], [14, 8, 10], [9, 15], [13, 12, 1, 19], [16, 18, 3], [20, 22], [17, 21], [23, 24]]
17: [[3, 4, 6], [5, 2], [11, 7], [14, 8, 10, 19], [9, 15, 13, 1], [12, 16, 18], [20, 22], [17, 21], [23, 24]]
18: [[3], [4, 6], [5, 2], [11, 7], [14, 8, 10], [9, 15], [13, 12, 1], [16, 18, 20], [22, 17, 19], [21, 23, 24]]
19: [[4], [6, 5], [2, 11, 10, 1], [7, 14], [8, 9], [15, 13], [12, 16, 3], [18, 20], [22, 17, 19], [21, 23, 24]]
20: [[3], [4, 6, 5], [2, 11, 10], [7, 14, 8], [9, 15, 13, 1], [12, 16], [18, 20], [22, 17, 19], [21, 23, 24]]
21: [[4, 6, 1, 19], [5, 2], [11, 7], [14, 8, 9, 10], [15, 13], [12, 16, 18, 3], [20, 22], [17, 21], [23, 24]]
22: [[4, 6, 1, 19], [5, 2], [11, 7], [14, 8, 9, 10], [15, 13], [12, 16, 18, 3], [20, 22], [17, 21], [23, 24]]
23: [[3], [4, 6], [5, 2], [11, 7], [14, 8, 10, 19], [9, 15], [13, 12, 16, 18, 1], [20, 22, 17, 21], [23, 24]]
24: [[3], [4, 6], [5, 2], [11, 7], [14, 8, 10, 19], [9, 15], [13, 12, 16, 1], [18, 20], [22, 17, 21], [23, 24]]
25: [[3, 4, 10, 1, 19], [6, 5], [2, 11, 7], [14, 8, 9], [15, 13, 12, 16, 18], [20, 22], [17, 21, 23, 24]]
26: [[3, 4, 10, 1, 19], [6, 5], [2, 11, 7], [14, 8, 9], [15, 13, 12, 16, 18], [20, 22], [17, 21, 23, 24]]
27: [[3, 4], [6, 5], [2, 11, 10, 1, 19], [7, 14], [8, 9, 15], [13, 12], [16, 18], [20, 22], [17, 21, 23, 24]]
28: [[3, 4, 6, 10, 1, 19], [5, 2], [11, 7], [14, 8, 9], [15, 13, 12], [16, 18], [20, 22], [17, 21, 23, 24]]
29: [[3, 4], [6, 5], [2, 11, 10, 1, 19], [7, 14], [8, 9], [15, 13, 12], [16, 18], [20, 22], [17, 21, 23, 24]]
30: [[3, 4], [6, 5], [2, 11, 10, 1, 19], [7, 14, 8, 9], [15, 13, 12, 16, 18], [20, 22], [17, 21, 23, 24]]
31: [[10, 1, 19, 3], [4, 6], [5, 2], [11, 7], [14, 8, 9], [15, 13, 12], [16, 18], [20, 22], [17, 21, 23, 24]]
32: [[19, 3, 4, 6, 5, 1], [2, 11, 7, 14, 10], [8, 9, 15, 13, 12, 16, 18, 20, 22, 17, 21, 23, 24]]
33: [[10, 1, 19, 3], [4, 6], [5, 2], [11, 7], [14, 8, 9], [15, 13, 12], [16, 18], [20, 22], [17, 21, 23, 24]]
34: [[10, 1, 19, 3], [4, 6], [5, 2], [11, 7], [14, 8, 9], [15, 13, 12], [16, 18, 20, 22], [17, 21, 23, 24]]
35: [[3], [4, 6], [5, 2, 11, 10], [7, 14, 8], [9, 15, 13, 1], [12, 16], [18, 20], [22, 17, 21, 19], [23, 24]]
36: [[19, 3, 4, 10, 1], [6, 5], [2, 11, 7], [14, 8, 9, 15, 13, 12, 16, 18, 20, 22, 17, 21, 23, 24]]
37: [[3], [4, 6, 5, 2], [11, 7], [14, 8, 10, 19], [9, 15], [13, 12, 16, 1], [18, 20, 22, 17, 21, 23, 24]]
38: [[3, 4], [6, 5], [2, 11, 7, 14, 10], [8, 9, 1, 19], [15, 13], [12, 16, 18, 20, 22, 17, 21, 23, 24]]
39: [[3, 4, 6, 5], [2, 11, 10, 1], [7, 14, 8], [9, 15, 13], [12, 16], [18, 20], [22, 17, 19], [21, 23], [24]]
40: [[19, 1], [3, 4, 6, 5, 2, 10], [11, 7, 14, 8], [9, 15, 13, 12, 16, 18, 20, 22, 17, 21, 23, 24]]
41: [[3, 1], [4, 6, 19], [5, 2], [11, 7, 14, 10], [8, 9, 15], [13, 12, 16, 18, 20, 22, 17, 21, 23, 24]]
42: [[3, 10], [4, 6, 1, 19], [5, 2], [11, 7], [14, 8, 9, 15, 13, 12, 16, 18, 20, 22, 17, 21, 23, 24]]
43: [[3], [4, 6, 5], [2, 11, 10, 1, 19], [7, 14, 8], [9, 15, 13, 12, 16, 18, 20, 22, 17, 21, 23, 24]]
44: [[3, 4, 6], [5, 2, 11, 10, 1, 19], [7, 14, 8], [9, 15], [13, 12, 16], [18, 20, 22], [17, 21, 23, 24]]
45: [[10, 1, 19, 3], [4, 6, 5], [2, 11, 7, 14, 8, 9, 15, 13, 12, 16, 18, 20, 22, 17, 21, 23, 24]]
46: [[3], [4, 6], [5, 2], [11, 7], [14, 8, 10, 19], [9, 15], [13, 12, 16, 1], [18, 20, 22], [17, 21, 23, 24]]
47: [[3], [4, 6, 1, 19], [5, 2], [11, 7], [14, 8, 9, 10], [15, 13], [12, 16], [18, 20, 22], [17, 21, 23, 24]]
48: [[3], [4, 6, 1, 19], [5, 2], [11, 7], [14, 8, 10], [9, 15], [13, 12, 16, 18, 20, 22, 17, 21, 23, 24]]
49: [[10, 1], [19, 3, 4, 6, 5, 2, 11, 7, 14, 8, 9, 15, 13, 12, 16, 18, 20, 22, 17, 21, 23], [24]]
