0: [[4], [28, 26, 21, 27], [24, 6, 5, 14], [29, 19, 2, 18, 10], [9, 17, 11], [3, 16, 20, 25], [15, 8, 1], [23, 7], [13, 12, 22]]
20: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
21: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
22: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
23: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
24: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
25: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
26: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
27: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
28: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
29: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
30: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
31: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
32: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
33: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
34: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
35: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
36: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
37: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
38: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
39: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
40: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
41: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
42: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
43: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
44: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
45: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
46: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
47: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
48: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
49: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
50: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
51: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
52: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
53: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
54: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
55: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
56: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
57: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
58: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
59: [[4, 12, 18, 17, 2, 8, 6, 1, 3, 7], [19, 9, 11, 10, 13, 25, 14, 15, 16, 20], [21, 23, 5, 24, 22, 26, 29, 28, 27]]
