0: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
35: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
36: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
37: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
38: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
39: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
40: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
41: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
42: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
43: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
44: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
45: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
46: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
47: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
48: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
49: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
50: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
51: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
52: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
53: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
54: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
55: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
56: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
57: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
58: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
59: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
