0: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
44: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
45: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
46: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
47: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
48: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
49: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
50: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
51: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
52: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
53: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
54: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
55: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
56: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
57: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
58: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
59: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
