0: [[24, 8, 4], [11, 17, 2, 7, 1, 6, 9, 13, 18, 3, 15, 16, 22, 19, 10, 12, 14], [20, 25, 5], [27, 26, 21], [23, 28, 29]]
33: [[24, 8, 4, 12, 19], [2, 7, 1, 6, 10], [9, 5, 13, 14, 3, 15, 11, 25, 20, 16, 22, 17, 21, 18, 27, 28, 29, 23, 26]]
34: [[24, 8, 4, 12], [19, 2, 7, 1, 5, 9, 13, 6, 14, 10, 3, 15, 21, 26, 16, 18, 20, 17, 22], [11, 27, 28, 23, 25, 29]]
35: [[24, 8, 4], [12, 19, 3, 2, 7, 1], [9, 13, 5, 6, 15], [11, 18, 10], [22, 26, 14, 25, 16, 17, 20, 21, 29, 23, 27, 28]]
36: [[24, 8, 4], [12, 19, 2, 7, 1, 6, 10], [13, 16, 3], [15, 9, 11, 17, 14, 18, 20, 21, 22, 5, 27, 26, 29, 28, 23, 25]]
37: [[24, 8, 4, 12], [19, 2, 7, 1], [3, 10, 6], [5, 11, 9, 14, 13], [15, 17, 20, 21, 22], [16, 23, 25, 27, 18, 26, 28, 29]]
38: [[24, 8, 4, 12], [19, 2, 7], [1, 6, 9, 3], [5, 11, 10, 13, 14], [15, 25, 20, 16, 22], [17, 21, 26], [23, 18, 27, 28, 29]]
39: [[24, 8, 4, 12, 19], [2], [7, 1, 3, 10, 5, 22, 9, 14, 13, 11, 18, 16, 20, 23, 21, 6, 28, 15, 17, 25, 26, 27, 29]]
40: [[24, 8, 4, 12], [19, 2, 7, 1], [6, 9, 13, 3], [5, 14, 10, 15, 11], [27, 16, 20, 21, 22], [26, 23, 18, 17, 29], [25, 28]]
41: [[24, 8, 4], [13, 17, 2], [7, 1, 6, 9, 11, 18, 3, 15, 22, 23, 10, 16, 12, 14, 20, 25, 5, 27, 28, 19, 21, 26, 29]]
42: [[24, 8, 4, 12], [19, 2, 7, 1], [6, 9, 5, 22], [3, 15, 16, 14, 26], [10, 11, 13, 20], [28, 17, 21], [18, 29, 27, 23, 25]]
43: [[24, 8, 4], [12, 19, 2], [7, 1, 6], [9, 13, 16], [11, 23, 3, 21, 5, 14, 10, 28, 17, 18, 20, 25, 15, 22, 26, 29, 27]]
44: [[24, 8, 4], [11, 17, 2], [7, 1, 6, 9, 13, 18, 3, 15, 16, 22, 19, 10, 12, 14, 20, 25, 5, 27, 26, 21, 23, 28, 29]]
45: [[24, 8, 4], [11, 17, 2, 7], [1, 6, 9], [13, 18, 3, 14], [25, 5, 19], [26, 12, 10, 20, 15, 21], [23, 16, 22, 27, 28, 29]]
46: [[24], [8, 4, 12, 19, 2, 7, 1, 5, 11, 6, 3, 9, 10, 14, 13, 15, 16, 20, 18, 21, 17, 22, 23, 27, 26, 29, 25], [28]]
47: [[24, 8], [4, 11, 17, 2, 7, 1, 6, 13, 5, 18, 10, 3, 9, 22, 12, 28, 20, 14, 15, 25, 16, 26, 19, 29, 21, 23], [27]]
48: [[24, 8, 4, 12], [19, 2, 7, 1], [6, 9, 3], [11, 5, 15, 13], [16, 14, 18, 17, 20], [21, 23, 10, 22, 27], [26, 25, 29, 28]]
49: [[24, 8, 4, 12], [19, 2, 7, 1], [6, 9, 3], [13, 11], [15, 14], [16, 5, 17, 22, 10, 20, 18, 21, 23, 27, 26, 25, 29, 28]]
50: [[24, 8, 4], [11, 17, 2], [7, 1, 6], [9, 13, 18], [3, 15, 16, 22, 19, 10, 12, 14, 20, 25, 5, 27, 26, 21, 23, 28, 29]]
51: [[24, 8, 4, 12], [19, 2, 7, 1], [6, 9, 13], [3, 14, 15, 10], [17, 5, 11], [27, 16, 28, 18, 20], [29, 23, 22, 21, 25, 26]]
52: [[24, 8, 4, 13], [17, 2, 7, 1, 6, 10], [3, 5, 9], [11, 12, 14], [23, 15, 28], [16, 22, 25, 20, 19, 26, 21, 18, 27, 29]]
53: [[24, 8, 4], [13, 17, 2, 7], [1, 6, 9, 3, 16, 11], [15, 5, 14, 19], [10, 12, 26, 20, 25, 18, 27, 22, 21, 23, 28, 29]]
54: [[24, 8, 4, 10], [19, 2, 7, 1, 6, 9], [13, 17, 3], [15, 5, 22], [11, 14, 12, 16, 20, 29, 18, 27, 26, 28, 21, 23, 25]]
55: [[24, 8, 4, 11], [17, 2, 7, 1], [6, 9, 5, 18, 3], [15, 20, 22, 19, 10, 28], [12, 13, 26, 14, 27, 16, 21, 23, 25, 29]]
56: [[24, 8, 4], [11, 17, 2], [7, 1, 6], [9, 3, 18, 13, 15, 14, 22, 19, 10, 12], [16, 20, 21, 5], [23, 26, 25, 28, 29, 27]]
57: [[24, 8], [4, 11, 17, 2], [7, 1, 6, 9], [13, 18, 3, 14], [10, 12], [29, 15, 21], [16, 20, 25], [5, 27, 19, 22], [23, 28, 26]]
58: [[24, 8, 4], [12, 19, 2], [7, 1, 3, 9], [13, 6], [5, 15], [10, 14], [17, 11, 16], [26, 23, 22, 18], [20, 27, 28, 21], [29, 25]]
59: [[24, 8, 4], [12, 19, 2], [7, 1, 6], [9, 3], [5, 11, 15], [13, 23, 16], [10, 17], [14, 22, 18, 20, 21, 26, 25, 27, 28, 29]]
