0: [[35, 7, 2], [1, 3, 4], [8, 5, 14, 30, 11, 9, 22, 15, 13, 12, 16, 18, 10], [21, 6, 17], [19, 24, 20, 23, 31, 27, 26, 25, 28, 32, 50], [37, 36, 43, 45], [29, 41, 40, 38, 44, 33, 39, 47, 48, 58, 42], [34, 46, 51, 55, 53, 52, 56, 54, 59], [49, 60, 57]]
30: [[35, 7, 2], [1, 3, 4, 8, 21, 15, 5, 6, 9, 26, 10, 11], [29, 28, 16, 13, 23, 18, 12, 17, 22], [14, 19, 20, 24, 25, 27, 31, 30, 50], [33, 36, 32, 37, 34, 40, 45, 38, 42, 41], [39, 47, 43], [54, 46, 51, 59, 48, 53, 55], [44, 49, 52], [57, 58, 56, 60]]
31: [[35, 7, 2], [1, 3, 4], [8, 21, 14, 5, 6, 9, 11], [13, 15, 10], [20, 24, 17, 31, 22, 19, 30, 33, 16, 23, 28, 26, 18, 25, 29, 32, 38, 37, 36, 27, 44, 12, 42, 43, 40, 45, 46, 39, 41, 50, 47, 48, 34, 51, 57, 55, 53, 52, 49, 54, 58, 56, 60, 59]]
32: [[35, 7, 2], [1, 3, 4, 8, 21, 13, 14, 30, 5, 31, 10, 9, 6, 11, 22, 23, 12, 16, 15, 17, 27, 28, 18, 26, 24, 19, 25, 20, 29, 32, 40, 37, 34, 44, 39, 36, 41, 42, 51, 43], [33, 46, 47, 45, 48, 38, 58, 50, 49, 52, 53, 57, 54, 55, 59, 56, 60]]
33: [[35, 7, 2, 1, 3, 4, 8, 21, 13, 14, 30, 9, 31, 5, 6], [25, 24, 12, 10, 20, 22, 11, 15, 17, 18, 26, 16, 19, 28, 23, 27, 29, 48, 32, 46, 52, 41, 34, 40, 39, 36, 37, 33, 42, 43, 44], [57, 38, 58, 45, 49, 54, 47, 50, 51, 53, 55, 59, 56, 60]]
34: [[35, 7, 2, 1], [3, 4, 8], [9, 13, 21, 6, 5, 14, 10, 11, 28, 12, 23, 15, 19, 17, 31, 30, 18, 20, 25, 27, 22, 16, 24, 26, 45, 48, 49, 41, 40, 44, 37, 57, 29, 32, 42, 43, 39, 33, 34, 36, 38, 53, 51, 54, 46, 60, 47], [55, 50, 56, 59, 52, 58]]
35: [[35, 7, 2], [1, 3, 4], [8, 21, 15, 6, 5, 9, 14, 11, 10], [12, 28, 17], [26, 20, 13, 22, 19, 27, 16, 18], [24, 23], [25, 30, 29, 31], [32, 37, 44, 33, 36, 41, 40, 47, 38, 34, 39, 43, 42, 48, 59, 45, 58], [46, 49, 51, 52, 53, 54, 60, 56, 50, 55, 57]]
36: [[35, 7, 2], [1, 3, 4, 9, 5, 12, 6, 30, 8, 31, 14, 11, 15, 21, 25, 20, 23, 10, 29, 16, 19, 26, 18, 17, 22, 24, 27, 28, 32, 50, 37, 44, 38, 13, 36, 33, 42, 47, 40, 39, 41, 34, 43, 45, 46, 48, 53, 49, 57, 55, 52, 51, 54, 56], [59, 58, 60]]
37: [[35, 7, 2], [1, 3, 4, 8], [21, 15, 13, 6, 9, 18, 5, 14], [16, 24, 12], [10, 20, 11, 17], [23, 19, 22, 28, 26, 29, 30, 27, 25, 31], [34, 37, 33, 47, 45, 36, 32, 39, 38, 40, 41, 42, 43], [46, 58, 60, 44, 48, 53, 57, 49, 50, 52, 51, 54, 56, 55, 59]]
38: [[35, 7, 2], [1, 3, 4], [8, 13, 5, 14, 6, 9, 22, 10, 15, 16, 11, 29, 17, 27, 12, 23, 18, 19, 20, 21, 26, 25, 24, 30, 28, 31, 50, 44, 45], [34, 32, 36, 37, 38, 33, 39, 40, 43, 41, 42, 46, 47, 59, 48, 51, 49, 53, 52, 56, 54, 55, 57, 60, 58]]
39: [[35, 7, 2], [1, 3, 4, 8, 21, 13, 22, 5, 15, 23, 6, 11, 28, 24, 10, 9, 14, 27, 25, 12, 19, 17, 16, 20, 31, 18, 26, 29, 30, 50, 36, 32, 41, 40, 42, 34, 33, 46, 37, 38, 39, 47, 44, 51, 45, 43, 55, 57, 58, 49, 52, 53, 48, 54, 60], [56, 59]]
40: [[35, 7, 2], [1, 3, 4, 8, 21, 15, 6, 9], [10, 27, 14, 11, 5, 29], [18, 26, 13, 12, 16, 19, 24, 17, 20, 23, 30], [22, 25, 28, 31, 50, 37, 32, 38, 33, 36, 40, 34, 46, 52, 42, 41, 44], [45, 43, 47, 54, 55, 49, 39, 53, 51, 57, 60, 58, 59, 48, 56]]
41: [[35, 7, 2], [1, 3, 4], [8, 5, 13], [22, 11, 9, 27, 10, 6, 12, 28, 26, 14], [21, 17, 15, 19, 16, 20, 24, 23, 25, 18, 30, 29, 31, 50, 37, 36, 42, 45, 32, 41, 44, 34, 33, 38, 39, 40, 43, 47, 60, 48, 46, 49, 52, 53, 51, 55, 56, 54, 57, 58, 59]]
42: [[35, 7, 2, 1], [3, 4, 8, 21, 13, 15, 22, 11, 14, 5, 9, 12, 20, 28, 24, 29, 6, 10, 17, 16, 25, 18, 19, 26, 30, 31, 27, 23, 50, 37, 34, 38, 36, 32, 41, 43, 47, 33, 42, 39, 45, 40, 46, 44, 48, 52, 51, 59], [55, 49, 54, 53, 56, 58], [57, 60]]
43: [[35, 7, 2], [1, 3, 4, 8, 21, 13, 5], [30, 6, 26], [14, 9, 29, 15, 11, 24, 10, 16], [12, 17, 22, 20, 18, 27, 19, 23, 28], [25, 31, 56, 36, 33, 38, 44, 41, 32, 47, 34, 48, 37, 39, 46, 42, 45, 43, 59, 40, 53, 60, 54, 49, 50, 51, 52, 55, 57, 58]]
44: [[35, 7, 2], [1, 3, 4, 8, 21, 13, 5], [30, 6, 26], [14, 9, 29, 15, 11, 24, 10, 16], [12, 17, 22, 20, 18, 27, 19, 23, 28], [25, 31, 56, 36, 33, 38, 44, 41, 32, 47, 34, 48, 37, 39, 46, 42, 45, 43, 59, 40, 53, 60, 54, 49, 50, 51, 52, 55, 57, 58]]
45: [[35, 7, 2], [1, 3, 4, 8, 9, 12, 15, 13, 24, 14, 10, 11, 6, 28], [25, 19, 21, 22, 17, 27, 23, 16, 18, 20, 30, 26, 29, 31, 5, 50, 39, 40, 46, 33, 36, 42, 34, 44, 38, 37, 41, 47, 32, 43, 45, 52, 48, 53, 51, 58, 54, 55, 49, 60, 56, 57, 59]]
46: [[35, 7, 2], [1, 3, 4, 8, 21, 13, 5], [6, 9, 10, 15, 11, 12, 31, 14, 18, 16, 19, 17, 20, 23, 28, 22, 24, 27], [25, 30, 29], [26, 32, 36, 39, 41, 40, 33], [44, 38, 37], [42, 43, 34, 45, 46, 47, 48, 59, 54, 50, 55, 51, 52, 57, 49, 53, 60, 56, 58]]
47: [[35, 7, 2], [1, 3, 4, 8, 21, 13, 5, 14], [9, 15, 6, 11, 12, 10, 27, 16, 20], [18, 17, 24, 22, 25, 19, 23, 28, 31, 26, 29, 30, 50, 37, 32, 39, 45, 33, 41, 43], [34, 53, 38, 44, 36, 42, 40, 46, 47, 48, 55, 54, 51, 49, 60, 52, 57, 56, 59, 58]]
48: [[35, 7, 2], [1, 3, 4, 8, 21, 15, 13, 5, 9], [27, 22, 11, 10, 25, 24, 6], [28, 12, 23, 17, 19, 30, 26, 14, 16], [18, 29, 20, 43, 34, 32, 36, 39, 31, 33, 37, 41, 38, 42, 40, 45, 44], [46, 47, 48, 58, 49, 51, 53, 54, 52, 59, 50, 55, 57, 56, 60]]
49: [[35, 7, 2], [1, 3, 4, 8], [21, 15, 6, 5, 9], [11, 12, 14, 10, 28, 17, 29, 20, 16], [13, 22, 18, 19, 26, 23, 24, 27, 30, 25, 31, 40, 33, 34, 54, 44, 32, 37, 38, 45, 36, 41, 42, 39, 43, 60, 52, 47, 46, 53, 57, 58, 48, 49, 51, 50, 55, 56, 59]]
50: [[35, 7, 2, 1, 3, 4], [8, 5, 12, 6, 10, 9, 11, 14, 13, 28, 15, 21, 20, 23, 17, 31, 25, 16, 18], [22, 29, 19, 26, 24, 27, 30, 48, 53, 37, 43, 44, 38, 42, 40, 46, 34, 45, 41, 36, 32, 39, 47, 33, 59, 51, 54, 49, 50, 55, 60, 58, 52, 56, 57]]
51: [[35, 7, 2, 1, 3], [4, 8, 21, 15, 14, 6, 5, 12, 11, 10, 9, 29, 27, 13, 19, 16, 26, 17, 18, 20, 22, 23, 30, 24, 28, 25, 31, 48, 33, 34, 41, 44, 38, 32, 37, 46, 36, 39, 40, 42, 45, 47, 51, 58, 43, 55, 49, 52, 50, 54], [57, 53, 59, 60, 56]]
52: [[35, 7, 2], [1, 3, 4], [8, 21, 13, 15, 31, 9, 6, 10, 11, 5, 14, 20, 12], [17, 18, 23], [19, 16, 22, 29, 24, 27, 25], [26, 28, 30], [50, 36, 54, 38], [32, 33, 34, 37], [45], [41, 44, 39, 42, 40, 43, 46, 57, 47, 51, 49, 53, 48, 52, 55, 60, 58, 59, 56]]
53: [[35, 7, 2, 1, 3, 4], [8, 21, 13, 5, 12, 9, 26, 6, 10, 14, 20, 11, 16, 15, 17, 19, 25, 22, 18, 27, 23, 28, 30, 29, 24, 31, 48, 33, 41, 32, 38, 36, 37, 42, 44, 40, 43, 45, 34, 39, 47, 58, 46, 50, 52, 54, 53, 51, 55, 56, 49, 57, 59], [60]]
54: [[35, 7, 2, 1], [3, 4, 8], [21, 13, 6, 31, 9, 14, 10, 11, 5, 12, 22, 15, 17, 20, 18, 19, 16, 23, 24, 25, 27, 26, 30, 28, 29], [48, 36, 34, 54], [52, 33, 32, 37], [39], [41, 44, 38, 40, 42, 45, 43, 46, 47, 50, 49, 53, 55, 56, 51, 59, 58, 57, 60]]
55: [[35, 7, 2, 1, 3, 4, 8, 5], [12, 6, 13, 14, 21, 9, 11], [28, 10, 29, 15, 27, 16, 22, 17, 18, 25, 19, 31, 20, 23, 24, 56, 26, 48, 38, 41], [30, 60, 34, 33, 32, 46, 39, 44, 45, 36, 37, 40, 47, 42, 43, 54, 49, 51, 50, 52, 58, 55, 53, 57, 59]]
56: [[35, 7, 2], [1, 3, 4], [8, 21, 14, 6, 5, 9], [11, 12, 10, 15], [31, 19, 26], [17, 13, 20, 16, 18, 29, 22, 23, 25, 24, 27], [28, 30, 48, 44], [36, 34, 52, 38, 32, 37, 46, 47, 41, 40, 42], [33, 43, 45, 57, 39, 51, 49, 50, 54], [55, 53, 58], [59, 60], [56]]
57: [[35, 7, 2], [1, 3, 4, 8], [21, 14, 13, 6, 5, 31, 11, 15, 9], [24, 17, 26], [10, 22, 28], [23, 12], [18, 16, 19, 20, 25, 29, 27, 30, 58, 37, 34, 36, 40, 42, 32, 33, 44], [47, 38, 39, 43, 41, 48, 49, 45, 46, 51, 56, 53, 55, 50, 52], [54, 59, 57, 60]]
58: [[35, 7, 2], [1, 3, 4, 8, 5, 14, 12, 28], [13, 25, 6, 11, 31, 9, 19, 10, 15], [21, 17, 23], [20, 29, 16, 18, 24, 26, 22, 27, 30, 34, 40, 37], [32, 44, 33, 36, 38, 39, 60, 41, 42, 45, 43, 46], [47, 48, 50, 51, 49, 54, 55, 57, 53, 52, 56, 58, 59]]
59: [[35, 7, 2, 1], [3, 4, 8], [21, 13, 5, 6, 9, 14, 10, 11, 12, 29, 18, 20, 25, 15, 26, 27, 23, 16, 17, 28, 31], [19, 22, 24, 30, 48, 45, 33], [53, 44, 34], [32, 47, 36, 39, 37, 41, 40, 42, 52, 43, 46, 49, 38, 51, 50, 54, 55, 57, 58, 59, 56, 60]]
60: [[35, 7, 2], [1, 3, 4, 8, 21, 15, 14, 6], [9, 30, 5, 10, 11, 25, 12, 23], [17, 18, 16], [22, 19, 20], [28, 27, 24, 26, 29], [31, 13, 32, 37, 36, 39, 45, 33, 42], [40, 38, 34, 41, 43, 44, 46, 47, 49, 53, 54, 52, 55, 50, 48, 56, 57, 59, 51, 60, 58]]
61: [[35, 7, 2, 1, 3, 4], [8, 16, 15, 31], [5, 6, 14, 9, 11, 10, 28, 26, 12], [13, 20, 17, 18, 19, 21, 22, 23, 24, 25, 27, 29, 36, 48, 37, 40, 34, 32, 30, 42, 43, 33, 41, 39, 47, 38, 46, 45, 44, 51, 52, 53, 59, 55, 54, 50, 49, 58, 56, 57, 60]]
62: [[35, 7, 2], [1, 3, 4, 8], [5, 12, 6, 10, 9, 15, 11, 13, 14, 21, 19], [29, 22, 16, 20, 18, 23, 17, 24, 25, 30, 26], [27, 31, 28, 42], [37, 36, 47, 32], [33, 34, 39], [38, 40, 44, 41, 45, 43, 46, 48, 55], [49, 50, 51, 54, 53, 56, 52], [58, 60, 59, 57]]
63: [[35, 7, 2], [1, 3, 4, 8, 5, 13, 12, 6, 9, 10, 14, 11, 30, 17, 25, 15, 23, 18, 16], [31, 22, 19, 20, 21, 27, 24, 28, 26, 41, 50, 53, 29, 34, 33, 32, 42, 36, 44, 37, 39, 45, 38, 40, 43, 46, 59, 47, 49, 48, 55, 54, 56, 52, 57, 51, 58, 60]]
64: [[35, 7, 2], [1, 3, 4], [8, 21, 13], [22, 5, 9, 26, 10, 11, 14, 28], [12, 6, 15, 19, 23, 17, 18, 16, 20], [24, 27, 29, 30, 25, 31, 50, 37, 36, 47, 45, 33, 32, 40, 34, 49, 38, 41, 42, 43, 39, 44, 46, 55, 53, 52, 48, 51, 57, 58, 54, 56, 59, 60]]
65: [[35, 7, 2, 1], [3, 4, 8], [21, 13, 6, 22, 9, 15, 5, 11, 10, 25, 30, 17, 12, 28, 14, 31, 16, 19], [18, 23, 29, 26, 20, 24, 27, 58], [33, 34, 38, 60], [32, 40, 41, 37, 47, 36, 39, 42, 44, 43, 46, 50, 45, 52, 57, 49, 48, 51, 53, 54, 59, 55, 56]]
66: [[35, 7, 2], [1, 3, 4, 8, 17, 12, 31, 30, 5], [27, 6, 15, 24, 14, 11, 19, 23, 22, 9, 29, 10, 13, 16, 18, 25, 20, 21, 26, 28, 50, 32, 34, 38, 44, 37, 36], [43, 33, 41], [42, 40, 45, 46, 47, 48, 39, 58, 49], [51, 55, 53, 57, 52, 54, 59, 56, 60]]
67: [[35, 7, 2], [1, 3, 4], [8, 21, 15, 6, 10, 11, 30, 9, 13, 12, 28, 14, 16], [29, 17, 5], [19, 24, 23, 18, 20, 27, 26], [25, 22, 52], [50, 45, 36, 43, 31], [53, 32, 42, 38], [47, 33, 37, 41, 39, 40, 46, 34, 57, 55, 44, 48, 51, 56, 54, 58], [49, 60, 59]]
68: [[35, 7, 2], [1, 3, 4, 8, 21], [14, 29, 6, 10], [15, 5, 11, 13, 30, 18, 9, 12, 16, 19, 20, 23, 24, 22, 25, 26], [27, 17, 28, 31, 48, 45, 34, 56, 44, 47, 36, 46, 32, 37, 40, 38, 33, 39, 43, 41, 42, 53], [49, 50, 55, 54, 51, 52, 57, 59, 58, 60]]
69: [[35, 7, 2], [1, 3, 4], [8, 21, 15, 5, 28, 13, 30], [14, 6, 9], [10, 11, 26, 12, 18, 16, 25, 17], [19, 20, 31, 23, 22, 24, 29, 27, 56], [36, 33, 38, 44, 41, 34, 47, 42, 40, 37, 39, 46, 43, 45, 50, 51, 32, 53, 52, 49, 55, 48, 57, 58, 54, 59, 60]]
70: [[35, 7, 2], [1, 3, 4, 8, 21, 15, 5, 6], [9, 10, 12, 11, 29, 30, 18, 13, 19, 16], [17, 25, 22], [14, 23, 20, 24, 26, 27, 28], [31, 50, 32], [36, 33, 45, 34], [41, 37, 38, 40, 43, 44, 47, 42, 54, 46, 39, 59, 48, 55, 53, 49, 57, 52, 56, 51, 58, 60]]
71: [[35, 7, 2], [1, 3, 4], [8, 5, 13], [22, 6, 11, 27, 10, 14, 15, 12, 9, 17, 16, 23, 20, 19, 21, 24, 26], [18, 25], [31, 28, 29, 30, 32, 33, 34, 53, 47, 44, 36, 41, 38, 43, 39, 37, 40, 42, 48, 56, 50, 49, 45, 52, 46, 51, 54, 55, 59, 60, 58, 57]]
72: [[35, 7, 2], [1, 3, 4], [8, 5, 12, 6, 14, 11, 29, 9, 13], [21, 28, 15], [22, 16, 18, 10, 17, 19], [23, 26, 25, 31, 20], [24, 27, 30], [32, 43, 41], [33, 34, 39, 38, 36, 46, 37, 40, 42], [44, 45, 52, 47], [51, 50, 48], [49, 55, 54, 56, 57, 53, 58], [60, 59]]
73: [[35, 7, 2], [1, 3, 4], [8, 21, 15, 6, 5, 11, 12, 9, 10], [13, 14, 22, 23, 19, 16, 25, 24, 17, 20], [18, 27, 26], [30, 28, 31, 29, 48, 32, 40, 39, 33], [42, 34, 44, 38, 36, 41, 45, 37, 43, 54, 46, 47, 50, 60, 49, 55, 52, 53, 51, 59, 58, 56, 57]]
