0: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
26: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
27: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
28: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
29: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
30: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
31: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
32: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
33: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
34: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
35: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
36: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
37: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
38: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
39: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
40: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
41: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
42: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
43: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
44: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
45: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
46: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
47: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
48: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
49: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
50: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
51: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
52: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
53: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
54: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
55: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
56: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
57: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
58: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
59: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
