0: [[18, 19, 2], [25, 20], [3, 4, 22], [6, 5, 29], [1, 13, 17, 9], [24, 7], [15, 11, 8, 16, 10, 12, 14], [23, 28], [21, 26, 27]]
13: [[18, 19, 2], [25, 20, 3], [4, 6, 22], [5, 29], [1, 13, 17], [9, 24, 7], [15, 11, 8], [16, 10, 12], [14, 23, 28], [21, 27, 26]]
14: [[18, 19, 2], [25, 20, 3], [4, 6, 22], [5, 29], [1, 13, 17], [9, 24, 7], [15, 11, 8], [16, 10, 12], [14, 23, 28], [21, 27, 26]]
15: [[18, 19, 2], [25, 20], [3, 4, 22], [6, 5, 29], [1, 13, 17], [9, 24, 7], [15, 11, 8, 16], [23, 28, 21, 10, 12, 14], [27, 26]]
16: [[18, 19, 2], [25, 20], [3], [4, 22], [6, 5, 29], [1, 13], [17, 9], [24, 7, 15], [11, 8, 16], [12, 10], [14, 23, 28], [21, 26, 27]]
17: [[18, 19, 2], [25, 20], [3, 4, 6], [22, 5, 29, 1], [13, 17, 9], [24, 7, 15], [8, 16, 10], [11, 12], [14, 23, 28], [21, 27, 26]]
18: [[18, 19, 2], [25, 20, 3], [4, 22, 6], [5, 29, 1], [13, 17], [9, 24, 7], [15, 11, 8], [16, 10, 12], [14, 23, 28], [21, 27, 26]]
19: [[18, 19, 2], [25, 20, 3], [4, 6, 22], [5, 29, 1], [13, 17, 9], [24, 7, 15], [11, 8], [16, 10, 12], [23, 28, 14], [21, 27, 26]]
20: [[18, 19, 2], [25, 20, 3], [4, 6, 22], [5, 29, 1], [13, 17, 9], [24, 7, 15], [11, 8], [16, 10, 12], [14, 23, 28], [21, 27, 26]]
21: [[18, 19], [2, 25, 20], [3, 4, 22], [6, 5, 29], [1, 13, 17], [9, 24, 7], [15, 8, 16], [10, 11, 12], [14, 23, 28], [21, 27, 26]]
22: [[18, 19, 2], [25, 20, 3, 4, 6, 22, 5, 29, 1, 13, 17, 9, 24, 7, 15, 8, 16, 10], [23, 28], [12, 14, 11], [21, 26, 27]]
23: [[18, 19, 2], [25, 20], [3], [4, 22], [6], [5, 29, 1], [13, 17], [9, 24], [7, 15], [11, 8, 16, 12], [10, 14], [23, 28], [21, 26, 27]]
24: [[18, 19], [2, 25], [20, 3], [4, 22], [6, 5, 29], [1, 13, 17], [9, 24, 7], [15, 11, 8], [16, 10, 12], [14, 23, 28], [21, 27, 26]]
25: [[18, 19, 2], [25, 20], [3, 4, 22], [6, 5, 29], [1, 13], [17, 9, 24], [7, 15], [11, 8], [16, 12, 10], [23, 28], [14, 21, 26, 27]]
26: [[18, 19], [2, 25, 20], [3, 4, 22], [6, 5], [29, 1, 13], [17, 9, 24], [7, 15, 11, 8], [16, 10, 12], [14, 23, 28], [21, 27, 26]]
27: [[18, 19], [2, 25], [20, 3], [4, 22], [6, 5, 29], [1, 13, 17], [9, 24, 7], [15, 8], [16, 10], [23, 28, 12], [14, 11], [21, 26, 27]]
28: [[18], [19, 2], [25, 20], [3, 4, 22], [6, 5, 29], [1, 13, 17], [9, 24, 8], [7, 12, 11], [16, 10], [15, 14], [23, 28, 21], [26, 27]]
29: [[18, 19, 2], [25, 20, 3], [4, 22], [6, 5], [29, 1, 13], [17, 9, 24], [7, 15], [8, 16, 10], [23, 28], [12, 14, 11], [21, 26], [27]]
30: [[18, 19], [2, 25, 20], [3, 4], [6, 22], [5, 29, 1], [13, 17, 9], [24, 7], [15, 11, 8], [16, 10, 12], [23, 28, 14], [21, 27, 26]]
31: [[18, 19, 2], [25, 20], [3, 4], [22, 6, 5], [29, 1, 13], [17, 9, 24], [7, 15, 8], [16, 10, 11], [12, 14, 23], [28, 21, 27, 26]]
32: [[18, 19], [2, 25], [20, 3], [4, 22, 6], [5, 29, 1], [13, 17, 9], [24, 7], [15, 11, 8], [16, 10, 12], [14, 23, 28], [21, 27, 26]]
33: [[18, 19], [2, 25], [20, 3], [4, 22, 6], [5, 29], [1, 13, 17], [9, 24, 7], [15, 11, 8], [16, 10, 12], [14, 23, 28], [21, 26, 27]]
34: [[18, 19, 2], [25, 20], [3, 4, 22], [6, 5, 29], [1, 13, 17], [9, 24, 7], [15, 11, 8], [16, 12, 10, 23, 28, 14, 21, 27, 26]]
35: [[18, 19, 2], [25, 20], [3, 4, 22], [6, 5, 29], [1, 13, 17, 9, 24, 7, 15, 11, 8, 16, 10, 12, 14, 23, 28, 21, 27, 26]]
36: [[18, 19, 2], [25, 20], [3, 4, 22], [6, 5, 29], [1, 13], [17, 9], [24, 7, 15, 11, 8, 16, 10, 12, 14, 23, 28, 21, 27, 26]]
37: [[18, 19, 2], [25, 20, 3], [4, 22, 6], [5, 29], [1, 13, 17], [9, 24, 7, 15, 11, 8, 16, 10], [12, 14], [23, 28, 21, 26, 27]]
38: [[18, 19, 2], [25, 20], [3, 4, 22], [6, 5], [29, 1], [13], [17, 9, 24, 7, 15, 11, 8, 16, 12, 10, 23, 28, 14, 21, 27, 26]]
39: [[18], [19, 2], [25, 20], [3, 4, 22], [6, 5, 29], [1, 13, 17], [9, 8, 7], [15, 11, 24], [16, 10, 12], [23, 28, 14, 21, 27, 26]]
40: [[18, 19, 2], [25, 20], [3, 4, 22, 6], [5, 29], [1, 13, 17, 9, 24, 7, 15], [11, 8], [16, 10, 12], [14, 23, 28, 21, 26, 27]]
41: [[18, 19, 2], [25, 20], [3, 4], [22, 6, 5], [29, 1, 13], [17, 9, 8], [7, 15], [11, 24, 16], [10, 12, 14], [23, 28, 21], [27, 26]]
42: [[18, 19, 2], [25, 20, 3], [4, 6, 22], [5, 29, 1], [13, 17, 9], [24, 7], [15, 11, 8, 16], [12, 10, 23], [28, 14, 21, 27, 26]]
43: [[18, 19], [2, 25], [20, 3, 4], [22, 6], [5, 29, 1], [13, 17, 9], [24, 7], [15, 8], [16, 10, 23], [28, 12], [14, 11], [21, 26, 27]]
44: [[18, 19], [2, 25, 20], [3, 4, 22], [6, 5, 29], [1, 13, 17], [9, 24, 8], [7, 12, 11], [16, 10], [15, 14], [23, 28, 21], [26, 27]]
45: [[18, 19, 2], [25, 20, 3], [4, 6, 22], [5, 29], [1, 13, 17], [9, 24, 7], [15, 8, 16], [10, 23, 28], [12, 14, 11, 21, 26, 27]]
46: [[18, 19, 2], [25, 20], [3, 4, 22, 6, 5, 29, 1], [13, 17], [9, 24, 7], [15, 11, 8, 16, 10, 12, 14, 23, 28, 21, 26, 27]]
47: [[18, 19, 2], [25, 20], [3, 4], [22, 6, 5], [29, 1, 13], [17, 9, 24], [7, 15, 11, 8, 16, 10, 12, 14, 23, 28, 21, 26, 27]]
48: [[18, 19, 2], [25, 20, 3], [4, 6, 22], [5, 29], [1, 13, 17], [9, 24, 7], [15, 11, 8], [16, 10, 12], [14, 23, 28, 21, 26], [27]]
49: [[18, 19, 2], [25, 20], [3, 4, 6, 22], [5, 29, 1], [13, 17, 9, 24, 7, 15, 11, 8, 16, 12, 10, 23, 28, 14, 21, 27, 26]]
50: [[18, 19, 2], [25, 20, 3], [4, 22, 6], [5, 29, 1, 13, 17, 9, 24, 7, 15, 11, 8, 16, 12, 10, 23, 28, 14, 21, 27, 26]]
51: [[18, 19, 2], [25, 20, 3], [4, 6, 22], [5, 29, 1, 13, 17, 9, 24], [7, 15, 11, 8, 16, 10, 12, 14, 23, 28, 21, 27, 26]]
52: [[18, 19, 2], [25, 20, 3], [4, 22, 6], [5, 29, 1], [13, 17, 9], [24, 7, 15], [8, 16, 10], [11, 12, 14, 23, 28, 21, 27, 26]]
53: [[18, 19, 2], [25, 20, 3], [4, 22, 6], [5, 29, 1], [13, 17, 9, 24, 7, 15, 8, 16, 11, 12, 10, 23, 28, 14, 21, 27, 26]]
54: [[18, 19, 2], [25, 20, 3], [4, 22, 6], [5, 29, 1], [13], [17, 9, 8, 7, 15, 11, 27, 16, 10, 12, 14, 23, 28, 21, 24, 26]]
55: [[18, 19, 2], [25, 20, 3], [4, 6, 22, 5, 29, 1, 13, 17, 9, 24], [7, 15, 8], [16, 26, 10], [12, 23, 28, 14, 21, 27, 11]]
56: [[18, 19], [2, 25, 20], [3, 4], [22, 6, 5], [29, 1, 13], [17, 9, 8], [7, 15, 11], [24, 16, 10], [12, 23, 28], [14, 21, 27, 26]]
57: [[18, 19, 2], [25, 20, 3, 4, 22, 6, 5, 29, 1, 13], [17, 9, 24], [7, 15, 11], [8, 16, 10, 12, 14, 23, 28, 21, 26, 27]]
58: [[18, 19], [2, 25, 20, 3, 4, 22, 6, 5, 29, 1, 13, 17, 9], [24, 7, 15, 11, 8, 16, 10, 28, 12, 14, 23, 21, 26, 27]]
59: [[18, 19], [2, 25], [20, 3], [4, 22, 6], [5, 29, 1], [13, 17, 9], [24, 7, 15], [11, 8, 16], [10, 12, 23, 28, 14, 21, 27, 26]]
