0: [[4, 17, 23], [9, 7, 1, 22], [6, 5], [15, 8, 2, 13, 10], [3, 11, 18, 14], [24, 28], [16, 19, 12], [20, 25, 29], [21, 26, 27]]
35: [[4, 17, 23], [9, 7], [1, 22], [3, 5, 8, 2], [6, 15, 10, 14, 13, 11, 20, 12, 16, 19, 21, 18], [28, 24, 25, 26, 27, 29]]
36: [[4, 17, 23], [9, 7, 1], [22, 6, 3], [2, 12], [5, 11, 8], [10, 15, 13, 14], [28, 18], [16, 29, 24, 27, 19, 21], [25, 20], [26]]
37: [[4, 17, 23, 9, 5, 1, 6], [3, 2, 7], [11, 15, 8, 10, 12, 14, 22, 21, 13, 18, 19], [20, 24, 25, 26, 16, 29, 27, 28]]
38: [[4, 17, 23, 9], [7, 5, 22], [2, 3, 14, 1, 11, 15], [6, 8, 13, 10], [12, 16], [18, 19, 20, 21, 26, 24, 25, 27, 29, 28]]
39: [[4, 17, 23], [9, 7, 1, 22], [2, 5], [3, 8, 13], [6, 11, 10, 15, 14, 24, 12, 18, 26, 27, 19], [25, 20, 16], [29, 28, 21]]
40: [[4, 17, 23], [9, 7], [1, 22, 6, 5, 3, 13, 2], [10, 8, 11, 12, 15, 14], [28, 19, 18, 29, 20, 27, 21, 24, 16, 25, 26]]
41: [[4, 17, 23, 9, 7, 1, 22], [6, 3, 15, 5, 11, 13], [8, 14, 18, 10, 2], [16, 12, 27, 20, 29, 26, 19], [24, 21, 25], [28]]
42: [[4, 17, 23], [9, 7, 1], [6, 3, 5, 8], [10, 13, 11], [12, 2], [15, 14, 18, 24], [20, 16, 19], [22, 21, 25, 29], [27, 26, 28]]
43: [[4, 17, 23], [9, 7, 1], [6, 3, 2], [5, 11, 8], [13, 10, 19, 15, 14, 12, 16], [18, 20, 22, 26, 25, 28, 29, 21, 27, 24]]
44: [[4, 17, 23], [9, 7, 3, 6, 1], [5, 2], [11, 10, 15], [8, 12, 13, 14, 21], [16, 20, 18, 19, 22], [29, 25, 24, 27, 26, 28]]
45: [[4, 17, 23, 9, 7], [1, 22, 3], [2, 5, 14, 8, 13], [6, 10], [15, 12], [11, 16], [18, 19, 29, 20, 24, 27, 25, 21, 26, 28]]
46: [[4, 17, 23, 9, 7, 1], [22, 6, 5], [8, 11, 2], [25, 13, 15], [3, 10, 12, 14, 24, 28], [16], [26, 18], [19, 20, 27, 29, 21]]
47: [[4, 17, 23], [9, 7, 1], [2, 3, 5, 6, 14], [8, 15, 12], [10, 11, 13], [18, 24, 22], [16, 27, 20, 21, 25, 29, 19], [26, 28]]
48: [[4], [17, 23, 9, 6, 1, 2, 5, 3, 7, 8, 12, 13, 14, 15, 16, 10], [11, 26, 28, 20], [18, 24], [21, 19, 25, 27, 22, 29]]
49: [[4, 17, 23, 9], [3, 1, 6, 5], [7, 11], [10, 2, 15, 8], [13, 16, 14, 18], [26, 20], [19, 22, 12], [25, 24, 29], [21, 28, 27]]
50: [[4, 17, 23], [9, 7, 5], [22, 2, 1, 14], [12, 3, 8, 6, 11, 10, 15, 13, 16], [18, 19, 28, 20, 27, 26], [21, 24], [25, 29]]
51: [[4, 17, 23], [9, 5, 3, 1], [2, 6, 7], [11, 10, 8], [15, 12], [13, 14, 21, 16, 18, 19, 22, 24, 20, 27, 25, 29, 26, 28]]
52: [[4, 17], [23, 9], [1, 2], [6, 3, 5], [11, 7], [12, 13, 8], [14, 15, 10], [22, 18], [24, 21], [16, 20, 28], [19, 25], [26, 27, 29]]
53: [[4, 17, 23, 9], [7, 1, 22], [6, 2, 3], [8, 11], [12, 13, 14], [15, 10, 28], [16, 20, 5], [18, 21, 19], [26, 24, 27], [25, 29]]
54: [[4, 17, 23, 9, 7], [1, 2, 3, 5, 6], [14, 8], [11, 12, 10], [15, 13, 16, 24, 18], [22, 19, 20, 21, 27], [29, 25, 26, 28]]
55: [[4, 17], [23, 9, 7, 1, 22, 2, 3, 5, 10], [6, 14, 8, 15, 11, 29], [26, 24], [20], [12, 13, 16, 18, 27, 28, 19, 21, 25]]
56: [[4, 17, 23, 9], [7, 1, 22, 6], [3, 14, 5], [11, 15, 10], [8, 13, 2], [12, 16, 18, 26, 20], [21, 19, 24], [25, 29, 27], [28]]
57: [[4, 17], [23, 9, 7], [1, 6], [2, 3, 13], [14, 5], [15, 8], [10, 11, 12, 19], [16, 18, 20], [28, 22], [24, 25], [26, 21], [27, 29]]
58: [[4, 17, 23, 9], [7, 1, 6, 5], [3, 15, 14, 2], [8, 12, 10], [11, 13, 18], [16, 22, 25], [19, 20, 24, 27], [29, 21, 26, 28]]
59: [[4, 17, 23, 9, 7], [1], [22, 5, 3], [8, 2], [11, 13], [10, 14, 15, 6], [12, 24, 16, 19], [29, 18], [21, 25], [26, 20], [27, 28]]
