0: [[60], [55, 37, 25], [4, 28, 23, 24, 45, 12], [27, 11], [8, 38, 44, 18], [47, 20, 19, 26, 31], [39], [32, 17], [14, 42], [54, 52, 16, 29], [36, 50], [15, 22, 6, 10], [53], [3, 33, 30, 34, 51], [43, 49], [1, 58], [41, 5], [40, 13, 7, 21], [35, 46, 2], [57, 9, 48], [56, 59]]
11: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
12: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
13: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
14: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
15: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
16: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 57, 59, 56, 58, 60]]
17: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 57, 59, 56, 58, 60]]
18: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 57, 59, 56, 58, 60]]
19: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
20: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
21: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 52, 48, 55, 56, 59, 57, 58, 60]]
22: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
23: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
24: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
25: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
26: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
27: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
28: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 57, 59, 56, 58, 60]]
29: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
30: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
31: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
32: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 57, 59, 56, 58, 60]]
33: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
34: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
35: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
36: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
37: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 57, 59, 56, 58, 60]]
38: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
39: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
40: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
41: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
42: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
43: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
44: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
45: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
46: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
47: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
48: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
49: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
50: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
51: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
52: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
53: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
54: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
55: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
56: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
57: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
58: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
59: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
60: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
61: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
62: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
63: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
64: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
65: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
66: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
67: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
68: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
69: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
70: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
71: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
72: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
73: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
