0: [[9, 2, 1], [7, 6, 5, 3, 16, 4], [10, 14, 13], [8, 15, 11, 12, 22, 17, 18, 20, 19], [21, 23, 24]]
38: [[2, 7, 1, 4], [6, 5, 9], [3, 16], [10, 13, 14], [8, 15], [11, 12, 22, 17, 18, 20, 19, 21, 23, 24]]
39: [[9, 2, 1], [7, 6], [5, 3, 16, 4], [10, 13, 14, 8, 15, 11, 12, 22, 17, 18, 20, 19, 21, 23, 24]]
40: [[2], [7, 6, 5, 3, 4], [16, 10], [13, 14, 8, 9], [15, 11], [12, 22, 17], [18, 20, 19, 21, 1], [23, 24]]
41: [[2], [7, 6, 5, 1, 4], [3, 16], [10, 13, 14], [8, 15, 11, 12], [22, 17, 9], [18, 20, 19, 21, 23, 24]]
42: [[9, 2, 1], [7], [6, 5, 4], [3, 16, 10, 13, 14, 8, 15, 11, 12, 22, 17, 18, 20, 19, 21, 23, 24]]
43: [[2, 1], [7], [6, 5, 3, 16, 4], [10, 13], [14, 8, 9], [15, 11, 12], [22, 17, 18, 20, 19, 21, 23, 24]]
44: [[2], [7, 6, 5, 3], [16, 10, 1, 4], [13, 14], [8, 15, 11, 9], [12, 22, 17, 18, 20, 19, 21, 23, 24]]
45: [[2], [7, 6, 5, 9, 1], [3, 16], [10, 13, 14, 8], [15, 11], [12, 22, 17, 4], [18, 20, 19, 21, 23, 24]]
46: [[2], [7, 1], [6, 5, 9], [3, 16, 10, 13, 14, 4], [8, 15, 11], [12, 22, 17], [18, 20, 19, 21, 23, 24]]
47: [[9, 2], [1, 4], [7, 6, 5, 3, 16, 10, 13, 14, 8, 15, 11, 12, 22, 17, 18, 20, 19, 21, 23, 24]]
48: [[9, 2], [1, 4, 7, 6], [5, 3, 16, 10, 13, 14, 8, 15, 11, 12, 22, 17, 18, 20, 19, 21, 23, 24]]
49: [[9, 2], [1, 4, 7, 6], [5, 3, 16, 10, 13, 14, 8, 15, 11, 12, 22, 17, 18, 20, 19, 21, 23, 24]]
