0: [[38, 5, 7], [2, 43, 12, 22], [3, 4, 1], [6, 9, 8], [24, 30, 11], [27, 15, 14], [18, 21, 16, 17], [50, 51, 19], [20, 25, 26, 13, 23], [60, 61, 48], [37, 49], [28, 35, 29], [33, 42], [36, 40, 47, 34, 31], [44, 32, 39, 10], [53, 41, 52], [56, 45, 57, 55], [59, 54, 46, 58, 63, 62, 68, 66], [64, 67, 69, 65, 70, 76, 78], [71, 74, 72, 73, 75, 77], [79, 81, 86, 82], [83, 84, 80, 87, 85, 88]]
11: [[38, 5, 7], [2, 12, 22, 1], [3, 4, 10], [9, 8, 27, 6], [13, 15, 14, 11, 24, 23, 17, 16, 18, 19, 21, 20, 31, 60, 57, 28, 59, 26, 25], [29, 61, 30, 51, 49, 32, 33, 34, 36, 37, 42, 40, 43, 44, 45, 39, 47, 52, 46, 48, 35, 41, 54, 50, 53, 55, 58, 63, 56, 62, 65, 66, 64, 68, 70, 67, 71, 69, 74, 78, 72, 75, 79, 73, 77, 76, 83, 80, 86, 81, 85, 82, 87, 84, 88]]
12: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 6, 8], [29, 9, 28], [11, 15, 13, 17, 19, 16, 61, 14, 24], [48, 21, 26, 18, 60, 20, 23, 25, 30, 27, 31, 33, 34, 53, 35, 40, 41, 45, 43, 42, 32, 39, 44, 47, 49, 50, 51, 37, 46, 59, 52, 36, 55, 62, 54, 56, 58, 57, 63, 65, 66, 64, 69, 67, 68, 70, 77, 72, 78, 74, 79, 73, 71, 75, 76, 83, 81, 87, 80, 82, 86, 85, 84, 88]]
13: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 6, 8], [11, 13, 9, 14, 15, 28, 17, 23, 49, 19, 20, 16, 50, 21, 18, 25, 60, 27, 48, 31, 29, 26, 37, 24, 30, 35, 33], [32, 54, 34, 40, 42, 51, 36, 45, 39, 47, 59, 44, 41, 43, 61, 55, 46, 52, 57, 62, 53, 56, 58, 63, 72, 68, 66, 65, 70, 67, 75, 71, 69, 64, 73, 76, 74, 78, 77, 79, 86, 81, 82, 80, 83, 87, 85, 84, 88]]
14: [[38, 5, 7], [2, 12, 22, 1], [3, 4, 10, 6], [8, 18], [11, 28, 13, 15, 9, 14, 19, 17, 20, 23, 21, 46, 24, 16, 25, 31, 27, 26, 29, 62, 44, 56, 36, 49, 58, 40], [39, 45, 59, 37, 34, 33, 30, 32, 35, 41, 43, 42, 54, 47, 50, 52, 53, 57, 55], [48, 51, 61, 60, 63, 64], [66, 67, 69, 70, 71, 68, 77, 78, 75, 65, 73, 72, 79, 76, 86, 80, 74, 83, 81, 82, 85, 84, 87, 88]]
15: [[38, 5, 7], [2, 12, 22, 1, 9], [4, 10, 6, 8, 11, 13], [28, 15, 26, 14], [3, 17, 19, 21, 16], [31, 27, 20], [18, 59, 24, 30], [56, 47], [23, 32, 25, 58], [29, 52, 35], [41, 39, 36], [44, 33, 34, 43], [42, 46, 45, 51, 48, 49, 40, 37, 62, 50, 54, 53, 57, 61, 55, 60, 63], [73, 64, 66], [67, 69, 72, 70, 78, 65, 77, 71, 74, 76, 75, 79, 82, 68, 81, 86, 83, 80, 87, 85, 84, 88]]
16: [[38, 5, 7], [2, 12, 22, 1], [3, 4, 9, 6, 10, 25], [8, 13, 15, 29, 14, 24, 26, 16, 21, 19, 48, 11, 49, 17, 31, 18, 20, 23, 30, 27, 35, 37, 36, 44, 28, 34, 61, 47, 33, 43, 45, 39, 40, 41, 42, 32, 46, 56, 50, 59, 52, 51, 53], [54, 63, 62, 57, 60, 58, 55, 68, 64, 65, 67, 74, 66, 70, 72, 69, 79, 75, 73, 76, 78, 77, 71, 81, 84, 82, 80, 83, 85, 86, 87, 88]]
17: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 6, 11], [17, 9, 25], [26, 8, 14, 27, 21, 19, 15, 18, 28, 16, 13, 23, 20, 53, 29, 58, 24, 31, 63, 40, 54, 52, 33, 32, 41], [30, 62, 34, 37, 56], [35, 46, 36, 45, 47, 61], [39, 49, 48, 42, 43, 44, 50, 55, 51, 57, 60, 59, 73, 64, 66, 65, 67, 68, 78, 71, 74, 69, 77, 75, 70, 76, 72], [79, 82, 80, 85, 81], [86, 84, 83, 87, 88]]
18: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 14, 8, 26, 9], [6, 29, 15], [28, 18, 13, 49, 11, 16, 20, 21, 19, 17, 24, 63, 23, 52, 25, 27], [30, 45, 34, 46, 39], [40, 36, 31, 32, 41, 35, 37, 42, 47, 43, 44, 33, 48, 61, 58, 54, 56], [53, 50, 55, 51], [57, 60, 59], [62, 68, 71], [65, 64, 67], [69, 79, 66, 73, 74, 75, 70, 72, 76, 77, 78, 82, 83, 81, 80, 84, 87, 85, 88, 86]]
19: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [6, 8, 9, 10, 11], [14, 29, 13, 15], [18, 30, 48, 19, 16, 26, 20, 17, 21, 24, 57, 23, 53, 27, 28, 25], [45, 43, 31, 33, 39], [36, 34, 40, 32, 35, 37, 42, 44, 46, 47, 41, 49, 52, 51, 50, 54, 61, 59], [60, 62, 55, 58], [56, 63, 73, 66, 64, 65, 69, 67, 76, 71, 68, 70, 72, 74, 79], [77, 75, 85], [78, 81, 82], [80, 83, 86], [87, 84, 88]]
20: [[38, 5, 7], [2, 12, 22], [1, 3, 6, 13], [14, 4], [15, 41, 9, 8, 25, 11, 21, 48, 28], [18, 27, 26], [17, 19, 61, 29, 30], [24, 20, 46, 16, 60, 23], [47, 34, 32, 56, 36, 31, 33, 35, 55, 37], [40, 43, 42, 44, 39, 10], [59, 49, 45], [51, 52, 50], [58, 53, 54], [57, 62, 63, 65], [66, 64, 69], [67, 70, 72, 71, 68, 76, 74, 75, 73, 77], [78, 79, 81, 84, 82, 83, 86, 80, 87, 85, 88]]
21: [[38, 5, 7], [2, 12, 22, 1], [3, 4, 10], [6, 9, 24, 8, 29, 13, 14, 11, 27, 20, 16, 15, 23, 17, 18, 31, 19, 26, 21, 28], [62, 30, 39], [47, 25, 55], [52, 33, 32], [35, 40, 57, 34, 37, 41, 42, 46, 36, 43, 45, 44, 53, 49, 50, 48, 54, 51, 58, 63, 56, 59, 60, 61, 72], [64, 66, 68, 69, 77], [67, 70, 71, 74, 76, 65], [75, 78, 73], [79, 83, 80, 81, 82], [84, 85, 86, 87, 88]]
22: [[38, 5, 7], [2, 12, 22], [23, 3, 4], [1, 6, 9, 24], [8, 30, 11], [29, 15, 14], [19, 10, 16], [25, 58, 13], [50, 20, 21, 17], [18, 26, 61], [57, 48, 37, 27, 28], [39, 31, 33], [42, 32], [34, 41, 35], [43, 36], [40, 47, 44, 45, 46], [53, 49, 60, 59], [51, 62, 52], [54, 56, 55, 63], [70, 66], [68, 64, 65, 67, 76, 69, 78], [71, 75, 73, 72, 74, 77], [79, 81, 80, 86], [83, 82, 84, 87, 85, 88]]
23: [[38, 5, 7], [2, 1, 3, 4], [11], [8, 15, 9, 14, 6, 25, 17, 24, 18, 21, 16, 31, 19, 20], [27, 56], [62, 28, 30, 12, 13, 22, 23], [29, 26, 33, 36, 34, 51], [35, 45, 44], [43, 39, 40, 10], [41, 42, 32], [37, 46, 50], [47, 57, 49], [53, 54, 48], [59, 58, 61, 60, 55, 52, 63, 72, 80, 64, 70, 65, 67, 66, 68], [78, 76, 74, 69, 77, 75, 71, 79, 81, 73, 83, 82, 84, 86, 87, 85, 88]]
24: [[38, 5, 7], [2, 12, 22, 1], [3, 4, 10, 6, 8], [27, 13, 9], [15, 30, 14], [16, 19, 53], [17, 20, 23, 28, 24, 18, 25, 26, 29, 44, 21, 62, 57, 11, 31, 36], [37, 33, 32, 45], [39, 35, 49, 41, 42, 40, 47, 34, 59, 43, 48, 46, 51, 61, 52, 50, 54, 55, 56, 58, 60, 63, 72, 64, 70, 65, 66, 76, 67, 74, 79, 73, 68, 71, 77, 75, 83, 69, 78, 81, 82, 86, 85, 84, 87, 80, 88]]
25: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [6, 10, 8], [24, 11, 15, 14, 9, 13, 29, 17, 16, 20, 19, 30, 21, 25, 26, 18, 23], [62, 58, 27], [31, 32, 28], [57, 39, 35, 34, 33, 41, 43, 36, 37, 46, 60, 40, 42, 56, 47, 53, 51, 44, 50], [45, 55, 61], [54, 48, 49], [52, 59, 63], [72, 64, 67, 68, 65, 66, 69, 75, 73, 70, 77, 71, 78, 76, 79, 74, 80, 84, 87, 81, 83, 82, 86, 85, 88]]
26: [[38, 5, 7], [2, 12, 22, 1], [3, 4, 10, 6, 8, 11], [15, 9, 14], [21, 13, 25], [17, 16, 24, 19], [20, 26, 23], [27, 58, 48, 61, 60, 28, 29], [62, 45, 37, 49], [18, 33, 35], [43, 30, 32], [59, 47, 31], [34, 39, 36, 42], [40, 41, 46, 51], [44, 52, 50], [53, 56, 54, 57], [63, 55, 68, 66], [65, 64, 74], [79, 76, 67], [73, 69, 70], [72, 77, 78], [82, 75, 81, 71, 80], [85, 86, 84, 87, 83, 88]]
27: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [6, 14, 9, 10, 8, 13, 11, 30, 15, 27, 19, 17, 40, 20, 18, 16, 31, 54, 24, 21, 23, 25, 26, 29, 60, 41, 33, 34, 37, 32, 45, 42, 39, 28, 35, 36, 62, 43, 44, 46, 47, 48, 49, 50, 59, 57, 52, 61, 58, 56, 51, 63, 53, 55, 65, 70, 64, 66, 68, 67, 69, 71, 77, 78, 74, 75, 76, 73, 88, 72, 83, 84, 82, 81, 79, 80, 85, 87, 86]]
28: [[38, 5, 7], [2, 1, 12, 22], [3, 4], [6, 9, 11, 24, 43, 25, 13, 23], [15, 21], [27, 18, 8, 39], [20, 14, 17, 56, 26], [54, 16, 19, 28, 30], [47, 31, 29, 40], [36, 34, 32, 35], [41, 49, 44, 42, 33], [61, 45, 46], [48, 51, 37], [53, 50, 55], [52, 57, 59, 60, 62, 58, 63, 72, 66, 64, 65, 68, 71, 77, 74, 69, 67, 70, 75, 73, 79, 76, 78, 10], [82, 81, 80], [84, 86, 85], [83, 87, 88]]
29: [[38, 5, 7], [2, 12, 22, 1], [3, 4], [10, 6, 8, 26, 9, 14, 15, 11, 20], [18, 13, 49], [21, 28, 16], [50, 19, 17, 23, 55, 25], [24, 62, 60, 27, 35, 29, 31, 39, 33, 40, 46, 34, 32, 42, 30, 36, 45, 37, 43, 41, 44, 47, 59, 48, 56, 53, 52, 57, 51, 54, 58, 63, 61, 72, 70, 64, 68, 65, 67, 66, 69, 71, 75, 73, 76, 74, 77, 78, 79, 86, 84, 80, 83, 81, 82, 85, 87, 88]]
30: [[38, 5, 7], [2, 12, 20], [4, 11, 3], [10, 1, 6, 25, 8, 9, 13, 30, 14, 21], [27, 18, 15], [16, 19, 17], [22, 36, 31], [23, 29, 24], [26, 50, 28], [53, 32, 58, 51], [37, 34, 40], [33, 42, 39, 43, 44, 46, 35], [45, 47, 41, 62, 49, 52, 61, 54, 48, 55, 63, 57, 56, 59, 60, 72], [66, 64, 67, 69, 68, 65, 71, 73, 74, 77, 76, 78, 70, 75, 79, 84, 80, 86, 82, 83, 88, 85, 87, 81]]
31: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 10, 6, 8, 11, 9, 13, 29, 14, 30, 18, 15, 49, 19, 20, 17, 16, 21, 23, 24, 60, 55, 48, 31, 56, 25, 45, 28, 26, 35, 33, 36, 39, 34], [32, 42, 53, 58, 37, 41, 46, 43, 27, 40, 44, 47, 51, 50, 52, 62, 54, 61, 59], [57, 63, 72, 70, 66, 64, 68, 67, 75, 65, 69, 74, 73, 71, 78, 76, 79, 77, 86, 81, 82, 80, 83, 87, 85, 84, 88]]
32: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [6, 9, 8], [18, 11], [13, 10, 14, 23, 21], [25, 17, 26], [20, 15, 16], [29, 57, 24], [27, 19, 58, 59], [28, 44, 47], [33, 50, 30], [32, 45, 61, 31, 36, 34, 40, 35, 37, 42, 39], [46, 41, 55], [56, 43, 52, 53, 48, 60, 49, 51, 54, 63, 62, 72, 66, 65, 64, 70, 67, 76], [77, 78, 74], [69, 75, 68, 79, 73, 80, 81, 86, 82, 83, 71, 84, 85, 87, 88]]
33: [[38, 5, 7], [2, 12, 22, 1], [3, 4, 6, 10], [8, 28, 42], [27, 15, 9, 11, 14, 16, 21, 20, 23, 19, 17, 57, 18, 24, 25], [31, 26, 59], [29, 55, 13], [34, 39, 48, 49, 30, 33], [36, 61, 32], [35, 37, 40, 47, 54, 41, 46, 43, 44, 50, 45, 52, 51, 62], [53, 58, 56], [63, 60, 74], [66, 64, 68], [70, 67, 76, 65], [71, 69], [79, 72, 78, 75], [73, 77, 82], [80, 85, 87], [84, 81, 83, 86, 88]]
34: [[38, 5, 7], [2, 12, 22, 1], [3, 4, 10, 6, 8, 11], [13, 9, 15], [17, 14, 25, 21, 16, 18, 19, 20, 26, 24, 27, 58, 48, 61], [53, 28, 29], [60, 47, 37, 49, 23, 33, 40, 35, 30, 32, 51, 31, 34, 46, 44], [36, 39, 42], [41, 43, 50], [45, 63, 52, 54, 56, 57, 59, 62], [55, 72, 68, 66], [70, 65, 75], [76, 67, 77], [69, 71, 64], [78, 74, 86], [73, 81, 79, 82], [85, 84, 80, 87, 83, 88]]
35: [[38, 5, 7], [2, 12, 22], [1, 9, 4], [10, 11, 3, 17], [39, 6, 19, 8, 15], [14, 16, 13, 28, 18, 20, 27, 30, 26, 31, 48, 21, 24, 23, 25, 29, 41, 33, 32, 34, 35, 50, 37, 36, 43, 45, 60, 46, 40, 42, 44, 47, 61, 62, 51, 49, 56, 52, 53, 54, 55, 57, 58, 59, 63, 72, 66, 64, 69, 85, 65, 67, 68], [71, 70, 77, 75, 76, 73, 74, 79, 82, 80, 83, 87], [84, 78, 81, 86, 88]]
36: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [6, 10, 8, 25, 11], [9, 31, 15], [13, 18, 14], [48, 23, 16], [26, 50, 20], [17, 19, 51, 29, 60, 27, 28, 21, 37, 58, 30, 24, 33, 40, 36, 43, 32, 35, 39, 42, 47, 34, 46, 41, 44, 45], [59, 62, 56, 53, 49, 61, 54, 55, 52, 57, 63, 72, 70, 66, 64, 68, 67, 69, 71, 65, 73, 76, 78, 75, 77, 74], [86, 79, 84, 82, 80, 83, 85, 81, 87, 88]]
37: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 6, 9, 24], [8], [13, 11, 17], [23, 14, 21], [19, 25, 26], [27, 36, 20, 28, 18, 29, 31, 59, 30, 34, 15, 51, 33, 41, 56, 32, 16, 37, 54, 39, 35, 42, 40, 45, 44, 43, 46, 57, 47, 49, 48, 62, 50, 52, 53, 55, 60, 61, 58, 63, 65, 64, 66, 68, 75, 67, 74, 76, 69, 77, 70, 72, 73], [71, 78, 79, 82, 86, 80, 81, 83, 84, 87, 85, 88]]
38: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 6, 11, 8, 25, 9], [13, 10, 31, 15, 18, 23, 19, 17, 16, 21, 52, 26, 24, 20, 28, 30, 53, 27, 56, 29, 33, 34, 40, 35, 42, 46, 37, 36, 39, 43, 45, 14, 32, 60, 41, 51, 49, 44, 47, 48, 50, 58, 55, 54, 62, 61, 63, 57, 59, 65, 64, 67, 66, 68, 70, 74, 78, 71, 77, 69, 75, 72, 76, 73, 79, 80, 85, 82, 81, 83, 86, 84, 87, 88]]
39: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 6, 11, 8, 25, 9], [13, 10, 31, 15, 18, 23, 19, 17, 16, 21, 52, 26, 24, 20, 28, 30, 53, 27, 56, 29, 33, 34, 40, 35, 42, 46, 37, 36, 39, 43, 45, 14, 32, 60, 41, 51, 49, 44, 47, 48, 50, 58, 55, 54, 62, 61, 63, 57, 59, 65, 64, 67, 66, 68, 70, 74, 78, 71, 77, 69, 75, 72, 76, 73, 79, 80, 85, 82, 81, 83, 86, 84, 87, 88]]
40: [[38, 5, 7], [2, 12, 22, 1, 3], [4, 10, 6, 9, 8], [11, 41, 13, 24, 31, 14, 19, 56, 17, 15], [25, 27, 18, 21, 16], [55, 28, 30, 57, 20, 43, 45], [37, 23, 32, 26, 29, 34, 33, 42, 36], [35, 39, 47, 40, 50, 49, 54, 44, 52, 46, 48, 51, 53, 58, 62, 59, 63, 60, 61, 65, 66, 64, 69, 67, 74, 70, 79, 68, 71, 77, 72, 75, 73, 76, 78, 81, 80, 86, 83, 82, 84, 87, 85, 88]]
41: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 10], [11, 8, 19, 9, 14, 6, 13, 30, 25, 15, 20, 17, 18, 21, 31, 16, 23], [24, 27, 26, 28, 29, 34, 46, 41, 35, 37, 40, 33, 32, 39, 36, 43, 55, 42, 44, 45, 48, 60, 52, 49, 51, 53], [56, 54, 47, 57, 58, 50, 59, 61, 62, 63, 68, 66, 65, 64, 70, 67, 69, 71, 77], [73, 72, 78, 74], [75, 76], [79, 80, 84, 85, 82, 83], [87, 86, 81, 88]]
42: [[38, 5, 7], [2, 12, 22, 1], [3, 4, 10, 9, 6], [13, 28, 8], [14, 31, 25, 11, 18], [17, 19, 21], [20, 16, 23, 24, 29, 26, 27, 45, 30, 15, 57, 58, 60, 46, 33, 48, 32, 34, 35, 37, 36, 51, 39, 42, 40, 44, 41, 50, 47], [43, 55, 53, 52, 49, 54], [56, 62, 61, 59, 63, 68, 66, 64, 67, 74, 65, 72, 70, 75, 71, 73, 76], [77, 78, 79, 69, 85, 80], [81, 82, 83, 86, 84, 87, 88]]
43: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 6, 11, 9, 13, 14, 26, 8, 30, 19, 17, 23, 15, 16], [61, 18, 20, 29, 21, 56, 24, 27, 25, 43, 28, 42, 40, 36, 37, 39, 31, 58, 32, 33, 44, 35, 46, 47, 48, 45, 34, 55, 49, 50, 52, 59, 41, 51, 53, 54, 62, 57, 60, 63, 73], [64, 66, 65, 67, 68, 76, 79, 74, 69, 77, 75, 70, 71, 72, 78, 82, 80, 86, 81, 85, 84, 83, 87, 88]]
44: [[38, 5, 7], [2, 12, 22, 1], [3, 4], [6, 9, 8, 11], [15, 10, 14], [21, 29, 17, 13, 48], [16, 18, 19, 23, 59], [25, 26, 24, 20, 62], [27, 28, 30, 40, 33], [45, 41, 39], [31, 32, 37], [34, 43, 36, 35, 58, 44], [46, 42, 47], [61, 49, 51], [52, 53], [50], [60, 54, 57, 55, 56, 63, 68, 70, 66, 64, 65, 71, 73, 67, 78, 69, 72, 75, 76, 74, 79, 77, 88, 81, 80, 84, 82, 86, 83, 87, 85]]
45: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [6, 9, 8], [25, 11], [10, 15, 30, 13, 14, 21, 16, 20, 18, 31, 49, 17, 19, 52, 23, 28, 58, 26, 57], [24, 27, 43, 37, 29, 40, 32, 54, 41, 36, 33, 59, 35, 46, 42, 45, 62, 48, 55, 34, 50, 47, 39, 44, 51, 53, 56, 63, 60, 61, 65, 66, 67, 64, 70, 69, 68, 75, 72, 71, 74, 77, 76, 79, 73, 78, 83, 80, 81, 82, 84, 86, 87, 85, 88]]
46: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [6, 11, 8], [19, 14, 9, 10], [29, 13, 24, 26], [28, 16, 15], [61, 30, 17, 18, 45, 20, 21, 31, 25, 59, 27, 57, 36, 50, 44, 35, 40, 32, 34, 39, 33, 51, 42, 37, 47, 43, 41, 46, 49, 48, 52, 62, 53, 54, 55, 23, 56, 60, 58, 63, 65, 66, 64, 69, 68, 67, 76, 77, 70, 79, 72, 71, 74, 73, 75, 78, 80, 81, 86, 84, 87, 82, 83, 85, 88]]
47: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 6, 8], [28, 14, 13, 15, 24, 9, 19, 26, 16], [25, 11, 17, 52, 20, 23, 18, 29, 30, 55, 21, 31, 27, 32, 33, 43, 56, 37, 35, 34, 40, 42, 39, 41, 47, 44, 45, 61, 54, 51, 48, 46, 49, 62, 36, 50, 60, 53, 57, 59, 58, 63, 65, 66, 64, 68, 73, 70, 71, 76, 72, 67, 78, 79, 69, 74, 75, 77, 83, 81, 82, 80, 86, 87], [85, 84, 88]]
48: [[38, 5, 7], [2, 12, 22, 1], [3, 4, 10], [9, 6, 25], [8, 13, 15, 14, 11, 16, 21, 28, 17, 18, 27, 19, 20, 23, 53, 26, 24, 29, 30, 59, 58, 39, 41, 32, 33, 37, 43, 31, 35, 36, 40, 34, 45, 46, 42, 44, 62, 47, 48, 56, 63, 49], [52, 55, 51], [50, 60, 54], [57, 61, 68], [66, 67, 65], [64, 69], [70, 71, 74, 79, 76, 72, 73, 77, 75, 78, 81, 80, 82, 86, 84, 83, 87, 85, 88]]
49: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 10, 14, 8, 9, 11, 6, 29, 15, 20, 13, 18, 45, 16, 17, 19, 23, 24, 25, 28, 57, 53, 21, 30], [40, 60, 61, 26, 27, 41], [33, 34, 37, 35], [31, 44, 32, 43, 36, 63, 46, 47, 48, 50, 39, 42, 49, 58, 54, 62, 51, 52, 59], [55, 56, 68, 70, 66, 64, 65, 71, 75, 74, 67, 72, 73, 69, 76, 78, 79, 77, 84, 81, 86, 80, 83, 82, 85, 87, 88]]
50: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 10, 6, 8, 11, 9, 13, 27, 14, 30, 18, 15, 49, 19, 20, 17, 16, 31, 24, 21, 60, 55, 48, 23, 56, 25, 37, 36, 42, 35, 41, 44, 39, 34], [33, 26, 28], [58, 29, 32], [43, 40, 45, 51, 46, 47, 50, 52], [53, 62, 54, 61, 59, 57, 63, 72, 64, 67, 66, 68, 70, 74, 75, 71, 76, 69, 65, 73, 78, 79, 77, 86, 81, 82, 80, 83, 87, 85, 84, 88]]
