0: [[2], [22, 4, 5], [6, 3, 13], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 1, 9], [23, 21, 24]]
16: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
17: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
18: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
19: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
20: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
21: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
22: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
23: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
24: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
25: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
26: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
27: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
28: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
29: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
30: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
31: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
32: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
33: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
34: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
35: [[2], [22, 5, 4], [13, 6, 9], [3, 14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 1], [23, 21, 24]]
36: [[2], [22, 5, 4], [13, 6, 9], [3, 14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 1], [23, 21, 24]]
37: [[2], [22, 5, 4], [13, 6, 3, 14], [7, 10, 12, 11], [8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
38: [[2, 22], [5, 4, 13], [6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
39: [[2, 22, 5], [4, 13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
40: [[2], [22, 5], [4, 13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
41: [[2, 22], [5, 4, 13], [6, 3, 14], [7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
42: [[2], [22, 5, 4], [13, 6, 9, 1], [3, 14, 7, 11], [10, 12, 8, 15, 18, 16], [19, 20, 17], [23, 21, 24]]
43: [[2, 22, 5], [4, 13, 6], [3, 14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
44: [[2], [22, 5], [4, 13, 6], [3, 14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
45: [[2], [22, 5, 4], [13, 6, 9], [3, 14, 7, 11], [10, 12, 8, 15, 18], [16, 19, 20, 17, 1], [23, 21, 24]]
46: [[2], [22, 5, 4, 13, 6], [3, 14, 7, 11], [10, 12], [8, 15, 18, 16, 19], [20, 17, 9, 1], [23, 21, 24]]
47: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 12, 11], [8, 15, 18, 16, 19], [20, 17, 23, 9, 1], [21, 24]]
48: [[2], [22, 5, 4], [13, 6, 9], [3, 14, 7, 11], [10, 12, 8, 15, 18], [16, 19, 20, 1], [17, 23, 21, 24]]
49: [[2, 22], [5, 4, 13], [6, 3, 14, 9], [7, 10, 12, 8, 15, 18, 11], [16, 19, 20, 1], [17, 23, 21, 24]]
