0: [[7, 11, 35, 2], [1, 3, 4, 30], [13, 5, 6, 21], [8, 27, 14, 9, 12, 29, 16, 15, 19, 17, 10], [23, 22, 25, 28], [24, 20, 26, 31, 32], [37, 33, 38, 34, 36], [46, 40, 44, 41, 39, 18], [45, 42], [43, 50, 48], [47, 54, 53, 51], [57, 49, 52], [56, 55, 58, 59, 60]]
37: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 9], [15, 24, 29, 10, 26, 14, 8], [16, 17], [12, 18, 19, 27, 28, 22, 20, 23], [31, 25, 42, 45, 32, 34, 38, 36, 33, 37, 41, 40, 39, 51, 43, 46, 44, 57, 49, 48, 60, 47, 54, 50, 55, 52, 56, 58, 53, 59]]
38: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [9, 8, 26], [12, 14, 10, 15], [25, 16, 23, 24, 17, 19], [18, 20, 22, 27, 28, 31, 29, 47], [36, 33, 32, 38, 42, 39, 34, 45, 43, 40, 37, 41], [44, 52, 50, 46, 51, 48, 54, 49, 53, 55, 56, 57, 60, 59, 58]]
39: [[7, 11, 2, 35, 1], [3, 4, 30, 13, 21, 5, 6], [12, 9, 8, 10, 26, 14, 17, 15, 20, 27, 23, 16, 18, 22, 19, 24, 25, 31, 29, 28, 42, 46, 32, 37], [36, 33, 41, 39, 34, 38, 40, 44, 43, 58, 47, 45, 56], [54, 52, 50, 49], [57, 51, 53, 60], [48, 55, 59]]
40: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [9, 12, 16, 8, 10, 31, 25], [15, 20, 27, 18], [14, 22, 17, 23, 29, 26], [19, 24, 28, 44, 45, 40, 37, 32, 46, 41], [39, 33, 43, 47, 34, 36, 59], [38, 56, 42, 48, 54, 51, 49, 52, 50, 55, 53, 58, 57, 60]]
41: [[7, 11, 34, 35], [1, 3, 4, 30], [13, 5, 2, 8, 25, 28, 18, 21, 6], [9, 12, 10], [31, 17, 19, 22, 14, 15, 20, 16, 23, 24, 26, 27, 47, 38, 32, 37, 33, 46, 29, 36, 43, 39, 42, 40, 41, 44, 48, 45, 50, 54, 60, 52, 51], [53, 55, 58, 49, 56, 57, 59]]
42: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 8, 9, 10, 24, 22, 15, 25, 12], [16, 18, 14, 17, 19, 20, 23, 27, 26, 28, 29, 31, 36, 32, 33, 38, 34, 37, 42, 39, 45, 56, 47, 40, 41, 43, 44, 46, 49, 50, 54, 48, 51, 53, 52, 55], [59, 58, 57, 60]]
43: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [9, 8, 12, 10, 14, 23], [15, 19, 17, 18], [16, 20, 27, 24], [22, 28, 25, 26], [31, 29], [34, 33, 32, 36, 50, 37, 46, 38], [39, 60, 40, 42, 43, 41, 45, 58], [44, 54, 49, 47], [52, 48, 53, 55], [51, 56, 57], [59]]
44: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 9, 14, 8, 15, 12, 26, 10, 19, 17, 31], [18, 20, 28, 16, 23, 22, 24, 29, 25, 27, 47, 32, 34, 36, 33, 37, 38, 42, 44, 39, 41, 40, 43, 45, 46, 49, 52, 53, 50, 54], [48, 60, 55, 56, 51, 57, 58, 59]]
45: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 8, 12, 10], [9, 18, 14, 15], [20, 22, 17, 23, 16, 26], [27, 24, 28, 29, 19, 31, 25, 42], [44, 33, 37, 38, 32, 34, 46, 36], [39, 40, 43, 41], [47, 50, 45, 48, 52, 53, 54, 57, 51, 55, 49, 56, 58, 59, 60]]
46: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 21, 6], [5, 9], [8, 10, 14, 17, 26, 15, 12, 16], [27, 22, 31, 19, 20, 23, 18, 25, 24, 28, 29, 46, 32, 33, 36, 34, 37, 38, 39, 40, 42, 43, 59, 44, 41, 45, 47, 48, 49, 53, 50, 57, 52, 54, 55, 51, 56, 58], [60]]
47: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 5, 27, 6], [9, 8, 12, 14], [15, 10, 16, 25, 21, 23, 24, 19, 17, 18, 20, 22, 28, 31], [26, 29, 36, 32, 33, 34, 38, 39, 41, 47, 37, 43, 44, 40, 45, 42, 46, 59, 52, 55, 48, 53], [49, 50, 51, 54, 56, 60, 58, 57]]
48: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [8, 9, 12, 24], [10, 27, 14, 15, 17, 31], [16, 19, 18, 20], [22, 23, 25, 26, 29, 28], [38, 33, 32, 37], [36, 40, 45, 34], [47, 44, 39, 41], [42, 43, 46, 49, 60, 50], [48, 51, 53, 52, 55, 54, 58, 59, 57, 56]]
49: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 10, 6], [5, 24, 9, 8, 12], [14, 15, 20, 27, 28, 16, 17, 18], [23, 19], [26, 22, 25, 31, 29, 33, 39], [40, 36, 32, 47], [43, 38, 37, 34, 41, 42, 44], [45, 46, 57, 50, 54, 51, 53, 49, 55, 52, 56], [48, 59, 58, 60]]
50: [[7, 11, 2, 35, 1, 3], [4, 30, 13, 21], [26, 5, 6, 9, 14, 12, 10, 27, 8, 16, 15, 24, 20, 18, 17, 22, 23, 19, 25, 28, 31, 29, 32, 37, 33, 36, 34, 47, 43, 38, 39, 42, 41, 40], [44, 46, 45, 49, 50, 51, 52, 57, 53, 55, 54, 58, 48, 56, 60, 59]]
51: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [9, 10, 8, 28], [12, 14], [18, 15, 17, 27, 19, 16, 26, 24, 20, 22, 25, 23, 45, 29, 47, 32, 39, 44, 37, 31, 33, 34, 36, 40, 38, 42, 43, 46, 41, 49, 52, 51, 53, 50, 54, 56, 55, 57, 48, 58, 59, 60]]
52: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 21, 5, 20, 8, 6, 24, 15, 18, 14, 16, 9], [29, 10, 19, 17, 22, 31, 12, 23, 27, 25, 28], [26, 42, 36, 33, 32, 38, 34, 37, 41, 39], [47, 43, 44, 40, 45], [59, 46, 56, 52, 48, 50, 53, 51, 49, 55, 60, 54, 58, 57]]
53: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5], [6, 9, 8, 28], [10, 14, 12, 18, 15, 22, 16, 17, 19, 20, 29, 25], [26, 23, 27, 24, 31, 39, 32, 37, 36, 33, 41, 38, 44, 40, 58, 42, 43, 46, 45, 55, 34, 47, 50, 48, 49, 53, 59, 51, 56, 52, 57, 54, 60]]
54: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 9, 8], [12, 14, 10, 15, 16, 18, 17, 22, 24, 20], [25, 19, 28, 23], [27, 26, 29, 31], [34, 44, 40, 37], [36, 38, 32, 43], [33, 47, 42, 39, 41, 45, 53, 56, 46, 48, 49, 54], [51, 55, 50, 52, 57, 58, 59, 60]]
55: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 5, 9, 26, 12, 8], [10, 15, 18, 14, 20, 6, 28, 16, 19, 17, 21, 22, 23, 31, 25, 27, 24, 29, 32, 44, 33, 37, 36, 38, 39, 41, 34, 47, 40], [45, 42, 46, 43, 53, 58, 52, 57, 50, 48, 51, 49, 55, 60, 59, 54, 56]]
56: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [8, 12, 9, 15], [24, 31, 10, 17], [14, 19, 26, 20], [16, 18, 22], [25, 27, 23, 44, 51], [45, 34, 40, 28, 33], [29, 55, 32, 42, 36, 47], [37, 46, 39, 38, 41], [50, 49, 43, 60, 48, 53], [52, 57], [56, 59, 58, 54]]
57: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 8, 9], [10, 12, 14, 26, 15, 17, 16], [19, 18, 22, 23, 20, 25], [28, 24, 27, 29, 31, 46], [32, 37, 36, 33, 42, 40, 38], [34, 41, 47, 45, 60, 39, 52], [44, 49, 50, 43, 48, 51], [54, 53, 55, 58, 57, 59, 56]]
58: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 15, 6], [8, 28, 9, 12, 22, 5], [10, 16, 14, 19, 17], [18, 23, 26, 25, 24, 27, 29], [31, 20, 33, 36], [32, 40, 37, 55], [41, 34, 45, 39, 38], [44, 42], [60, 50, 57, 49, 43, 52, 46, 47, 48, 51, 53, 54, 59, 56, 58]]
59: [[7, 11, 3, 2], [1, 10, 4, 30], [13, 21, 5, 6, 8, 9, 12], [17, 14, 26, 20], [15, 23, 18, 16, 24, 22, 29], [27, 19, 25, 31], [28, 32, 36, 33], [34, 35, 37, 40], [45, 39, 38, 58, 41, 44, 43, 46], [47, 50, 52, 42, 51, 54, 55, 53], [49, 57, 59, 56], [48, 60]]
60: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 9, 14, 5, 17, 21, 6], [8, 12], [15, 20, 16, 19, 22, 25, 23, 18, 10], [26, 27, 24, 28, 31, 29, 39, 32], [40, 46, 37], [38, 33, 34, 36, 41, 42, 48, 43, 44, 45, 51, 49, 50, 53, 47, 54, 57, 56, 58, 52, 60, 55, 59]]
61: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 12, 6, 9, 10, 14, 24, 8, 15, 19], [26, 17, 16], [20, 23, 22, 31, 29, 27, 25, 28, 33, 18, 32, 34, 40, 47, 39, 5, 45, 38, 36, 42, 37, 41, 43, 46, 44, 59, 52, 48, 49, 50], [53, 54, 51, 56, 55, 57, 60, 58]]
62: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 27, 9, 8, 28, 5, 14, 12, 20, 17, 22, 24, 15, 19, 16, 18, 10, 21, 6], [23, 26, 31, 29, 25, 34, 36, 33, 37, 32, 39, 38], [41, 40], [42, 44, 48, 43], [47, 46, 49, 54, 45, 53, 58, 59, 50, 51, 52, 57, 56, 55, 60]]
63: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [14, 8, 10, 12], [15, 9, 27, 18], [20, 17, 16, 22, 25, 23, 19], [26, 24, 28, 31, 29, 39, 47, 40, 33, 32, 37, 41], [34, 36, 46, 43, 56, 45, 42, 44, 57, 50, 38, 52, 53], [51, 54, 48, 55], [49, 58, 59, 60]]
64: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 21, 5, 6, 8], [9, 14, 24, 22], [15, 28, 10, 17, 12, 25, 31, 19, 16], [18, 20, 23, 26, 27, 57, 34, 40, 33, 38, 47, 29, 32, 42, 44, 37, 36, 39, 43, 46, 45, 41, 56, 55, 53, 50, 48, 54, 49, 52, 59, 58, 51, 60]]
65: [[7, 11, 2, 35, 1], [3, 4, 30, 13, 21, 15, 5, 6], [24, 26], [12, 10, 8, 31, 9, 18, 17], [16, 19, 25, 23], [27, 14, 28, 20, 22, 29, 47], [38, 40, 39, 32, 37, 43, 33, 36, 46, 34, 56], [42, 58, 44, 41], [55, 54, 52, 45, 51, 48, 50, 53, 49, 60, 57, 59]]
66: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 6, 5, 8, 14], [10, 9, 18, 12, 26, 15, 20], [27, 23, 16, 19, 22, 17, 24, 25, 31, 28, 29], [40, 34, 32, 36, 43, 38], [33, 46, 47, 37, 39], [44, 41, 42, 60, 45, 49, 48], [56, 52, 53, 51, 50, 54, 55, 57, 58, 59]]
67: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21], [5, 6, 9, 8, 12, 26, 14, 10], [17, 15, 22, 20], [27, 19, 16, 29], [24, 25, 18, 23], [28, 31, 32], [34, 37, 38, 33, 47, 36, 39], [40, 42, 44, 41, 46], [43, 52, 55, 45, 50], [53, 59, 48, 49, 51, 56, 54, 58, 57, 60]]
68: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 12], [8, 10, 25, 26], [9, 15, 14, 20], [17, 19], [16, 23, 18, 22, 24, 28, 27, 29, 31, 40, 46, 33, 37, 38], [39, 32, 42, 34, 41, 36, 43, 44, 47, 50, 45, 59, 52, 48, 54, 49, 51, 53, 57, 56, 55, 58, 60]]
69: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 9, 24, 12, 8, 14, 15, 27, 23, 20, 10, 16, 19, 18, 22, 28, 17, 25, 26, 29], [45, 40, 41, 54, 34, 38, 31, 32, 33, 36, 37, 43, 44, 42, 46, 47, 39, 48, 51, 53, 50, 49, 52, 55, 56, 58, 57, 59, 60]]
70: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [8, 12, 9, 14, 10, 28], [31, 18, 19, 25], [20, 15, 22, 26], [16, 24, 17, 23, 29, 27], [42, 34, 44, 32, 36, 33, 37, 38, 39, 46], [41, 45, 40, 47, 48, 51, 55, 49, 43, 57, 52, 53, 50, 54], [56, 58, 59, 60]]
71: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [9, 8, 24, 14], [18, 10, 12, 15, 17, 22], [25, 28, 16, 20], [23, 19, 26, 27, 31, 29, 47], [32, 33], [39, 36, 37, 40, 34, 44, 38, 41], [42, 43, 45, 46, 48, 49, 51, 52, 55, 54, 53, 60, 56, 50, 58, 57, 59]]
72: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 12, 8, 9], [10, 14, 17, 15, 19, 16, 18, 20], [22, 23, 25, 24, 27, 29, 26, 31], [28, 32, 33, 40], [34], [36, 44, 47, 46, 37, 55, 42, 41], [43, 38, 39, 45, 51, 50], [48, 60], [52, 49], [53, 54, 57, 58, 56, 59]]
73: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 21, 12, 6, 8, 19, 10], [24, 20, 15], [25, 26, 16, 29, 14, 17, 18, 28, 23, 27, 31, 33, 9, 22, 36, 32, 40, 46, 34, 5, 37, 39, 45, 58, 47, 38, 43, 41, 44, 42], [52, 48, 51, 50, 49, 53, 54, 59], [55, 56, 57, 60]]
