0: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
35: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
36: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
37: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
38: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
39: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
40: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
41: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
42: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
43: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
44: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
45: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
46: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
47: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
48: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
49: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
50: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
51: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
52: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
53: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
54: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
55: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
56: [[3, 18, 2, 5, 6], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [20, 19, 16, 23, 10, 22, 14], [21, 29, 26, 27, 25]]
57: [[3, 18, 2, 5, 6], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [20, 19, 16, 23, 10, 22, 14], [21, 29, 26, 27, 25]]
58: [[3, 18, 2, 5, 6], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [20, 19, 16, 23, 10, 22, 14], [21, 29, 26, 27, 25]]
59: [[3, 18, 2, 5, 6], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [20, 19, 16, 23, 10, 22, 14], [21, 29, 26, 27, 25]]
