0: [[53, 27, 35, 7, 2], [1, 3], [4, 11, 24, 12], [13, 9, 14, 6, 21], [5, 8, 16, 15, 10, 18], [19, 17, 23, 20], [22, 28, 30, 26, 25], [31, 29, 32, 37, 38], [41, 36, 34, 33, 47], [44, 43, 39, 46, 40, 42], [45, 50, 51, 56], [54, 52, 48, 55], [49, 57], [60, 58, 59]]
11: [[53, 27, 2, 35, 7], [1, 3, 5, 13, 20, 4, 8, 12, 6, 30, 21, 9, 10, 11], [15, 31, 23, 14, 17, 22, 24, 18, 16, 26, 28, 19], [47, 25, 29, 37, 46, 40, 38, 32, 34], [33, 58, 36, 45, 41, 39, 55, 42, 43, 44], [59, 48, 51, 49, 52, 56, 57], [60, 50], [54]]
12: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 4, 9], [11, 8, 10, 12, 14, 15, 19, 18, 17, 20, 16, 22], [23, 25, 31, 29], [26, 24, 28, 30, 32, 37], [42, 33, 36, 38, 41, 34], [39, 40, 43, 45, 47, 44, 46, 48, 60], [51, 52, 59, 54, 49, 57], [58, 50, 55, 56]]
13: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 6, 21, 4], [14, 11, 16, 9, 8, 15, 26, 20, 12, 19], [17, 23, 22, 25, 28, 30, 24, 29, 31, 18, 10], [32, 33, 37, 34, 36, 39, 42, 45, 38, 40, 44, 46, 43, 41, 47, 52, 59], [50, 49, 48, 54, 55, 56, 51, 57, 58, 60]]
14: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 4, 8, 21, 6], [15, 12, 11, 9, 14, 25, 18, 17, 19, 16, 31, 10], [20, 24, 23, 22, 26, 28, 29, 30, 32, 37, 42, 33, 34, 46, 40, 43], [39, 36, 38, 41, 44, 45, 47, 48, 52, 49, 56, 54, 60, 50, 57, 58, 51, 55, 59]]
15: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 4, 8], [15, 11, 9, 12, 10, 30, 14], [31, 17], [16, 22, 19, 18, 24, 23, 20, 26, 29, 28, 25, 32, 37, 42, 41, 34, 38, 40, 33, 43], [36, 46, 49, 39, 54, 44, 47, 60, 45, 55, 48, 50, 51, 57, 58, 59, 52, 56]]
16: [[53, 27, 2, 35, 7], [1, 5, 3, 13, 21, 6], [4, 14, 12, 25, 10], [8, 15, 19, 9, 17, 31, 11, 18], [22, 16, 20, 26, 28, 30, 23], [29, 24, 32, 33, 46, 42, 39, 37, 41], [34, 59, 47, 44, 36, 43, 38, 40, 56, 52], [45, 49, 51, 50, 48, 54, 57, 58], [55, 60]]
17: [[53, 27, 2, 35, 7], [1, 5, 3, 13, 21, 6], [4, 8, 11, 14, 12, 9], [18, 10, 16, 24, 19, 15, 22, 17], [20, 23, 26, 28, 25, 29, 30, 31, 34, 37, 36, 40, 44, 32, 33, 45, 42], [43, 41, 38, 39, 46, 47, 54, 48, 57, 50, 51, 49, 55, 52, 59, 56, 58, 60]]
18: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6], [4, 8, 9, 11, 12, 22, 18, 15, 10], [19, 31, 17, 14, 16, 20, 23, 24, 29, 26, 25, 30, 33, 37, 45, 40, 32, 28, 44, 34, 41, 36, 38, 43, 42, 39, 46, 51, 47, 52, 59, 50, 48, 49, 55, 57, 58, 54, 56, 60]]
19: [[53, 27, 2, 35, 7], [1, 5, 3, 13, 21, 6, 4, 8, 14, 9, 10, 12, 15, 17], [11, 18, 19, 16, 20, 23, 22, 29, 26, 28, 24, 25], [30, 31, 32, 36, 46, 38, 39, 41, 33], [40, 42, 37, 34, 43, 45, 44, 50, 48, 51], [47, 52, 49, 54, 60, 55, 57], [58, 56], [59]]
20: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 4, 9], [11, 10, 15, 8, 26, 18, 28, 12, 14], [17, 22, 19, 20, 23, 16, 24, 25, 30, 29], [31, 32, 37, 38, 47, 33, 36], [34, 41, 43, 39, 40, 42, 45], [51, 46, 44, 49, 57, 52, 48, 50], [54, 56, 58, 60, 55], [59]]
21: [[53, 27, 2, 35, 7], [1, 5, 3, 13, 21, 6], [12, 4, 15, 8, 9, 11, 17, 10, 20, 14], [19, 16, 22, 18, 23, 28, 26, 24, 25, 29, 30, 31, 34, 32, 46, 40, 36, 33, 37, 38, 42, 43, 44, 39, 41, 45, 47, 55, 51, 56, 49, 50, 48, 57, 58, 52], [59, 54, 60]]
22: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6], [4, 8, 11, 15, 9, 10, 14, 31, 19, 12, 17, 18, 23, 16, 20], [29, 22, 26, 24, 25, 30, 28, 32, 37, 38, 41, 33, 34, 36, 39, 42, 40, 45, 46, 43, 44, 60, 49, 47, 50, 59, 48, 55, 51, 54, 56, 57, 52, 58]]
23: [[53, 27, 2, 35, 7], [1, 5, 3, 13, 21], [6, 4, 8, 10, 14, 15, 12, 9, 31, 11, 18, 17, 16, 23, 19, 22, 29, 20, 28, 24, 25, 26, 30, 32, 37, 38, 39, 33, 41, 36, 40, 42, 43, 34, 46], [45, 44, 60, 50, 49, 47, 52, 48, 55, 51, 54, 59, 57, 56, 58]]
24: [[53, 27, 2, 35, 7, 1], [5, 3], [13, 21, 6, 4, 15, 14, 12], [11, 8, 16, 10, 9, 30, 24, 22, 17, 18, 19, 20, 23, 26, 28, 29, 31, 25, 32, 37, 47, 34, 38, 33, 44, 42, 41, 39, 36, 40, 43, 46, 45, 54, 55, 50, 48], [49, 58, 60, 51, 56, 57, 52, 59]]
25: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 12], [9, 10, 4, 14, 15], [8, 18, 19, 24, 11, 16, 22, 17], [23, 20, 25, 26, 30, 28], [29, 31, 32, 37, 42, 46, 36], [33, 34, 40, 47, 41, 38, 39, 44, 43, 45], [54, 49, 57, 50, 48, 51, 55, 59, 58, 52, 56, 60]]
26: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 4, 8], [15, 12, 11, 9, 10, 14, 26, 19, 17, 18, 22, 31], [16, 20, 23, 29, 24, 25, 28, 30, 32, 37, 42, 33, 34], [38, 40], [43, 39, 36, 41, 45, 47, 46, 44, 48, 60, 49, 52, 56, 54, 50, 57, 58, 51, 55, 59]]
27: [[53, 27, 2, 35, 7, 1], [5, 4, 13, 21, 6, 3, 12], [10, 8, 11, 9, 15, 14, 16, 24, 17, 18, 22, 28], [19, 20, 23, 26, 25, 29, 30, 31, 39, 37, 32, 34, 42], [33, 40], [43, 38, 36, 41, 44, 45, 46, 47, 48, 55, 60, 49, 51, 54, 50, 56, 58], [52, 57, 59]]
28: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6], [4, 10, 8, 9, 14, 12, 16, 31, 18, 11, 29, 26, 19], [15, 22, 23, 17, 20, 24], [28, 25, 33, 30, 37, 36, 46], [44, 34, 39, 45, 40, 38], [32], [41, 43, 47, 42, 52, 48, 51, 50, 54, 49, 57, 55, 56, 58, 59, 60]]
29: [[53, 27, 2, 35, 7], [1, 5, 3, 13, 21, 6], [4, 9, 11, 24, 10, 8], [15, 12, 14, 30, 28, 16, 18, 22], [19, 17, 25, 20, 26, 23, 29, 31, 32, 37, 33, 42, 44, 38, 41, 40, 59], [47, 34, 46, 36, 39, 45, 58, 52], [43, 48, 55, 50, 49, 51], [56, 57, 54, 60]]
30: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 4], [6, 8, 14, 9, 15, 26, 25, 23, 29, 17, 10, 11, 12, 18, 16, 22, 30, 28, 19, 20, 24, 31, 32, 37, 38, 39, 33, 40, 36, 34, 42, 41, 44, 45], [43, 46, 47, 50, 48, 59, 49, 52, 55, 51, 54, 56, 57, 60, 58]]
31: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 4, 8, 10, 9, 12, 15, 14, 23, 11, 28, 16, 17, 18, 31, 19, 20, 22, 24, 26, 29, 25, 30, 32, 37, 33], [41, 38, 36, 45, 34, 43, 42, 40], [46, 39], [47, 44, 48, 52, 59, 51], [54, 50, 49, 55, 58, 57, 56, 60]]
32: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6], [4, 8, 11, 9, 16, 12, 10], [26, 28], [15, 23, 14, 30, 17, 18], [20, 24, 25, 19, 29, 22, 39], [32, 37, 34, 47, 31, 46, 33], [41, 36, 40, 38, 42, 45], [43, 44, 60, 55, 57, 48, 49, 50], [52, 56, 58, 51, 54], [59]]
33: [[53, 27, 2, 35, 7], [1, 3, 5, 13, 21, 6], [4, 8, 9, 15, 11, 12, 31, 14, 28, 20, 17, 16, 19, 18, 22, 10], [24, 23, 25, 26, 29, 30, 36, 37, 42], [34, 44, 39, 41, 32, 33, 47, 46, 43, 38, 40, 45, 55, 48, 50, 49, 58, 57, 51, 52, 59, 56, 54, 60]]
34: [[53, 27, 35, 7, 2], [1, 3, 4, 13, 21, 6, 5, 12, 9, 10], [18, 8, 14, 16, 11, 15, 17], [19, 25, 20, 23, 22, 24, 30, 26, 29, 31, 28, 33, 37, 38, 41, 32, 39, 40, 47, 34, 44, 45, 43, 36, 50, 46, 42, 51, 59, 48, 52, 49], [55, 54, 57, 56, 58, 60]]
35: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 4], [10, 9, 8, 11, 15, 12, 14], [17, 23, 18, 16, 19], [20, 22, 25, 29, 28, 24, 26, 31], [30, 32, 33, 41, 42, 36, 34, 39], [47, 37, 38], [46, 40, 45, 43, 55, 48], [44, 51, 50, 52, 54, 49, 56, 57], [58, 60], [59]]
36: [[53, 27, 3, 35, 2, 1], [7, 4, 13, 21, 6, 5], [8, 14, 10, 18, 9, 11, 16, 17, 15, 12], [19, 25, 20, 22, 23, 30, 24, 26, 31, 29, 28, 33, 37, 46, 40, 32, 45, 41, 39, 34, 44, 38, 43, 36, 42, 50, 58, 51, 47, 48, 52, 49], [55, 54, 59, 56, 57, 60]]
37: [[53, 27, 2, 35, 7, 1], [3, 5, 13, 21, 6, 14, 8, 10, 9, 11, 20, 4, 12, 15, 30, 19, 16, 23], [22, 18, 25, 24, 28, 26], [29, 17, 31, 32, 38, 39, 34, 33, 42, 36, 45, 37, 40, 43, 44, 41, 46], [47, 48, 49, 51, 50, 54, 59, 52, 56, 55, 57, 58, 60]]
38: [[53, 27, 2, 35, 7, 1], [5, 4, 13, 21, 6, 3, 8, 9], [12, 10, 11, 14, 23, 15], [28, 16, 17, 18, 19, 22, 20, 25, 29, 30, 24, 26, 31, 32, 37, 33, 44, 34, 36, 47, 38, 40, 39, 42, 43, 41, 46, 45, 60, 48, 52, 51, 54, 50, 49, 56, 58, 55, 57, 59]]
39: [[53, 27, 2, 35, 7, 1, 5], [3, 13, 21, 6, 4, 12, 9], [11, 14], [8, 10, 19, 25, 16, 17], [30, 18, 15, 22, 20, 24, 23, 26], [28, 29, 31, 32, 39, 42], [34, 33, 38, 37, 40, 44], [47, 41, 36, 43, 45, 58, 54], [55, 51, 50, 46, 56, 60], [48, 57, 49, 52, 59]]
40: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 4], [9, 11, 10, 8, 12, 15, 18], [14, 28, 17, 19, 20], [16, 22, 24, 29, 23, 26, 25], [30, 31, 32, 33, 36, 46, 44, 39, 34, 45, 43, 37, 41, 42, 38, 40], [47, 51, 48, 59, 50, 49, 56, 55, 54], [52, 57, 60, 58]]
41: [[53, 27, 2, 35, 7, 1], [3, 5, 13, 21, 6], [4, 9, 10, 20, 8, 14, 12, 19], [11, 25, 17, 15, 16], [18, 23, 22, 28, 24, 26, 31, 29], [30, 32, 37, 41, 33, 39, 34, 36], [38, 40, 42, 45, 43, 44], [46, 50, 47, 48, 55, 49, 51], [57, 54, 59, 52, 58, 60], [56]]
42: [[53, 27, 2, 35, 7], [1, 3, 5, 13, 21, 6], [8], [14, 4, 9, 18, 11, 20], [10, 15, 12, 23, 17, 19, 22, 24, 16, 30, 26, 25, 28, 40], [29, 31, 37, 34, 44, 38, 36, 45, 42, 57, 32, 33, 47, 39, 54, 46, 41, 43, 49, 55, 50, 48, 52, 56, 51, 59, 58, 60]]
43: [[53, 27, 2, 35, 7, 1], [5, 3], [13, 21, 6, 4, 12, 10, 9, 11], [8, 14], [17, 15, 28, 30, 16], [18, 19, 23, 20, 22, 29, 25, 24, 26, 31, 32, 37, 34, 43, 39, 36], [45, 38, 41, 33, 40, 47, 42], [44, 46, 51, 55, 50], [48, 54, 49, 52, 56, 58, 57, 59, 60]]
44: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 20, 6, 4], [8, 9, 11, 10, 14, 15, 19, 16, 12, 17, 21, 18, 22, 23, 26, 29, 24, 28, 30, 25, 31, 32, 37, 38, 33, 36, 34, 39, 45, 47], [43, 54, 46, 41, 42, 40, 48, 52], [50, 51, 49, 57, 44, 59], [56, 55, 60, 58]]
45: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 4], [14, 12, 8, 10, 9, 11, 22, 19, 18], [17, 15, 24, 16, 23, 29, 25, 20, 26, 28, 30, 31, 32, 33, 37, 40, 36, 38, 45, 34, 43, 39, 46, 42, 47, 44, 41, 50, 48, 51, 49, 54, 55, 52, 59, 56, 57, 58, 60]]
46: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 9], [4, 10, 8, 15, 12, 14, 18, 11, 25, 17, 16], [19, 22, 23, 26, 29, 20, 24], [28, 31, 30, 32, 37, 34, 41, 39, 33, 38], [36, 40, 42, 46, 43, 45, 44, 47, 51, 48, 50, 52, 55, 57, 49, 59, 56, 54, 58, 60]]
47: [[53, 27, 2, 35], [7, 1, 3, 4, 13, 21, 6], [5, 8, 11, 9, 10, 18], [26], [30, 15, 12, 17, 14, 29, 22, 31, 20, 19, 23, 16, 25, 28, 39, 24, 37, 32, 38, 33, 45, 34, 40, 46, 36, 41, 43, 44, 42, 47, 51, 55, 60, 48, 54, 49, 50, 56, 57, 59, 52, 58]]
48: [[53, 27, 2, 35, 7], [1, 3, 5, 13, 21, 6], [4, 8, 9, 14, 10, 11, 12, 19, 17, 28, 15, 18, 16, 20, 22, 23], [25, 26, 30, 24, 31, 29], [36, 37, 34, 33, 44, 38, 41, 32, 40, 39, 46, 42, 47, 43, 45, 54, 49, 48, 50, 52, 55, 51, 57, 60, 56, 58, 59]]
49: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 12, 4, 9, 8], [11, 24, 10, 14, 30, 15, 19, 17, 16, 31, 18, 20, 25, 22, 23, 28], [26, 29, 32, 45, 38, 36, 37, 34, 43, 33], [44, 39, 41, 40, 42, 51, 46, 50, 48, 49, 47, 52, 56, 54, 55, 59, 58, 57, 60]]
50: [[53, 27, 2, 35, 7, 1, 3, 4, 13], [21, 6, 5, 12, 10, 9, 11, 15, 26, 22, 19, 8, 17, 14, 28, 16, 24, 20, 18, 23, 25, 29, 30, 34, 31, 37, 32, 38, 33, 41, 39, 40, 42, 36, 43, 46, 44, 45, 47, 51, 55, 60, 48], [54, 49, 50, 56, 57, 58, 52, 59]]
51: [[53, 27, 2, 35], [7, 1, 3, 4], [13, 21, 6, 5, 12, 10, 9, 11, 15, 26, 22, 19, 8, 17, 14, 28, 16, 24, 20, 18, 23, 25, 29, 30, 34, 31, 37, 32, 38, 33, 41, 39, 40, 42, 36], [43, 46, 44, 45, 47, 51, 55, 60, 48, 54, 49, 50, 56, 57, 58, 52, 59]]
52: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 20, 4, 6, 8, 12, 15, 10, 9, 11, 22, 26, 14, 16, 17, 18, 23, 21, 24, 19, 25, 30, 29, 28, 31, 60, 37, 34, 33, 44], [36, 45, 40, 46, 47, 38, 32, 42, 39], [41, 50, 51, 49, 58, 48, 43, 54, 55, 52, 57, 56, 59]]
53: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 4, 21, 6], [8, 10, 24, 9, 11, 14, 15, 18, 12, 19], [22, 16, 23, 26, 31, 29, 20, 25], [28, 17, 30, 32, 37, 33, 34, 36, 38, 42], [43, 39, 40, 44, 41, 47], [45, 50, 46, 48, 49, 51, 58, 52], [54, 57, 55, 59, 56, 60]]
54: [[53, 27, 2, 35, 7, 1, 5], [3], [13, 4, 11, 14, 21, 6], [8, 15, 9, 31, 26, 18, 10], [12, 23, 22, 30, 16], [19, 24, 17, 20, 25, 29], [28, 32, 33], [42, 34, 41, 39, 36, 38, 44, 40, 45, 37, 43], [46, 47, 48, 49, 51, 52, 50, 56, 55, 59, 54, 57, 58, 60]]
55: [[53, 27, 2, 35, 7, 1, 5], [3, 13, 21, 6, 8], [4, 9, 12, 10, 15, 11, 20, 14, 28, 17], [16, 22, 18, 19, 23, 26, 29, 30, 24, 25, 31], [32, 37, 34, 44, 39, 36, 33, 38, 40, 41, 42, 43, 45, 46, 47], [58, 52, 49, 51, 48, 55], [50, 54, 59, 60, 57, 56]]
56: [[53, 27, 2, 35, 7, 1, 5, 3], [13, 21, 6, 4, 12, 14], [9, 15, 10, 8, 30, 25], [24, 23, 16, 17, 18, 19, 11, 20], [28, 26, 22, 29, 31, 36, 33, 39, 46, 34, 32, 37], [38, 41], [40, 47, 42, 43, 44, 45, 55, 48, 52, 51, 54], [49, 57, 56, 58, 59, 50, 60]]
57: [[53, 27, 2, 35, 7], [1, 5, 3, 13, 20], [8, 6, 9, 10, 14, 15, 12, 4, 16, 23, 18, 25, 31, 22, 11], [17, 28, 19, 21, 24, 26, 29, 30, 32, 36, 46, 37, 33, 41, 38], [39, 42, 40, 34, 45, 43, 44], [60, 50], [52, 47, 49, 48, 55, 51, 54, 57, 58, 59, 56]]
58: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 4, 21, 6], [9, 8, 15, 12, 11, 14, 10], [22, 17, 16, 19, 18], [20, 23, 25, 31, 29, 24, 28, 30], [26, 33, 37, 38, 32, 43, 34, 39], [47, 41, 36, 40, 45, 44], [42, 46, 54, 50, 49, 48, 51, 52, 57, 59, 55, 56, 60, 58]]
59: [[53, 27, 2, 35, 7, 1, 5, 3], [13, 21, 6, 4, 11, 10], [12, 8, 9, 15, 31, 20], [14, 16, 17, 18, 19, 22, 23, 28, 24, 26, 25, 29, 30, 32, 33, 37, 46, 34, 36, 39, 43, 59, 40, 44, 38, 41], [47, 60, 52, 48, 42, 49, 54, 50], [57, 55, 58, 45, 51, 56]]
60: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 4, 9], [14, 10, 15, 11, 26, 20, 18, 12, 8], [17, 22, 19, 23, 25, 16], [24, 28, 30, 29, 31, 32, 37, 38, 41, 33, 36, 34, 43], [42, 39, 44, 40, 45, 51, 46, 47, 49, 50, 54, 48, 52, 55, 57, 56, 60, 58, 59]]
61: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 4, 8], [10, 12, 11, 9, 14, 15], [26, 16, 17, 18, 30, 19], [29, 20, 22, 28, 24, 25, 23, 31], [32, 37, 33, 39, 36, 38, 34, 43], [40, 42, 41, 45, 47, 44], [46, 48, 50, 49, 52, 59, 54], [55, 56, 57, 51, 58, 60]]
62: [[53, 27, 2, 35, 7], [1, 5, 4, 13, 21], [6, 3, 8, 15, 24, 19, 9, 10, 23, 28], [12, 11, 16, 17, 14, 18, 22, 25, 20, 26, 31, 29, 30, 36, 37, 32, 41, 34, 33, 45, 38, 39, 40, 44, 42, 43, 46, 50, 47, 51, 55, 57, 54, 48, 49, 58], [56, 59, 60, 52]]
63: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 4, 10], [9, 8, 30, 11, 14, 15], [12, 17, 16, 26, 19, 31, 23], [18, 25, 29, 24, 28, 20, 22, 32, 37, 46], [34, 44, 33, 38, 36, 40, 39], [42, 41, 47, 43, 45, 50, 49, 48, 51, 54, 57, 52, 55, 56, 58, 59], [60]]
64: [[53, 27, 2, 35, 7, 1], [3, 5, 13, 21, 6], [4, 9, 11, 20, 8, 14, 12, 23], [19, 18, 10, 15, 24, 22], [16, 29, 28, 26, 17, 30, 25], [31, 32, 36, 33, 40, 37, 34, 41, 38, 43], [39, 46, 42, 44, 45, 47, 50, 48], [55, 52, 49, 54, 51, 59], [56, 57, 58, 60]]
65: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6, 4, 8], [14, 9], [15, 11, 10, 20, 12, 28], [17, 16, 23, 22, 19, 24, 18, 31, 25], [29, 26, 30, 33, 37, 36], [42, 41, 32, 34, 38, 39], [43, 44, 40, 45, 46], [47, 58, 49, 52, 50, 48, 51, 54, 55, 59, 56], [60, 57]]
66: [[53, 27, 2, 35, 7], [1, 5, 3, 13, 21], [6, 4, 8, 10, 26, 19], [15, 9, 11, 14, 12, 17, 16, 22, 18, 20, 31, 23, 24, 29, 28, 25, 30, 32, 37, 34, 41, 33, 38, 39, 47, 59, 44, 40, 46, 43], [42, 60, 45, 49, 36, 51], [54, 55, 50, 48, 57, 56, 52, 58]]
67: [[53, 27, 2, 35, 7], [1, 5, 3, 13, 21, 6, 8], [10, 4], [9, 12, 14, 16, 20], [15, 28, 17, 11], [30, 18, 19, 24, 22], [23, 25], [29, 26, 31, 34, 37, 36, 40, 33, 32], [47, 38, 43, 41, 39, 42, 44, 45, 46, 58], [52, 49, 48, 50, 54, 51, 56, 59, 60, 55, 57]]
68: [[53, 27, 2, 35, 7], [1, 5, 3, 13, 21, 6, 8], [10, 4], [9, 12, 14, 16, 20], [15, 28, 17, 11], [30, 18, 19, 24, 22], [23, 25], [29, 26, 31, 34, 37, 36, 40, 33, 32], [47, 38, 43, 41, 39, 42, 44, 45, 46, 58], [52, 49, 48, 50, 54, 51, 56, 59, 60, 55, 57]]
69: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 14, 4], [8, 6, 10, 9, 11, 12], [15, 26, 19, 23, 17, 22, 16, 18], [20, 24, 29, 28], [25, 30, 31, 32, 37], [34, 33, 36, 44, 38, 41], [40, 45, 43, 42, 39], [46, 47, 50, 48, 51, 52, 54, 49, 55], [58, 57, 60, 56, 59]]
70: [[53, 27, 2, 35, 7], [1, 5, 4, 13, 21, 6, 8, 12, 10, 24, 3, 11, 14, 22, 9, 15, 16, 18, 17, 23, 19, 25, 20, 28, 26, 29, 30, 31, 32, 37, 33, 41, 44, 36, 39, 34, 43, 47, 38, 45, 40, 46, 52, 58, 50, 48, 42, 49, 51, 56, 59], [54, 55, 57, 60]]
71: [[53, 27, 2, 35, 7, 1, 5, 3], [13, 21, 6, 4, 11, 15], [12, 8, 10, 9, 31, 28, 14, 23, 16, 17], [18, 19, 22, 20, 24, 26, 25, 29, 30, 36, 33, 39, 46, 34, 32, 37, 38, 41, 40, 44, 42, 43, 47, 45, 55, 51, 52, 49, 54, 48, 57, 58, 56, 59, 50, 60]]
72: [[53, 27, 2, 35, 7], [1, 5, 3, 13, 21], [14, 6, 4, 8, 11, 10], [9, 12, 31, 15, 17, 16, 19], [22, 18, 25, 20, 24, 29, 26, 23], [28, 30, 32, 33], [34, 46, 36, 39, 37], [40, 59, 47, 38], [42, 43, 41, 44, 45, 48, 51], [50, 49, 55, 54, 52, 57, 56, 58, 60]]
73: [[53, 27, 2, 35, 7], [1, 5, 3, 13, 20], [6, 4, 8, 9, 25, 10], [12, 15, 30, 11, 19, 28], [23, 16, 14, 17, 26, 18, 31], [29, 21, 22, 24, 32, 37], [46, 42, 36, 38, 44, 33, 39], [40], [34, 41, 43, 45, 51, 47, 50], [55, 52], [59, 48, 49, 57, 54, 56, 58, 60]]
