0: [[49, 57], [29, 8, 15, 9, 10, 18], [34, 7, 35, 4, 2], [14, 22, 23, 26], [39, 33, 13, 25, 17, 6, 21], [46, 38], [1, 53, 5, 47], [32, 48, 51, 3, 20, 19, 30], [55, 16, 37, 56], [31, 41], [27, 43, 42, 11], [40, 24, 45, 12, 28], [50, 36], [54, 44, 52, 58, 59, 60]]
11: [[49, 57], [29, 8], [15, 9, 10, 18, 34], [7, 35, 4, 2, 14], [22, 23, 26], [39, 33, 13], [25, 17, 5, 21, 46], [38, 1, 53, 6, 32], [48, 47, 51, 3], [20, 19, 30], [55, 16, 37, 56, 31], [41, 27, 43, 42], [11, 40, 24, 45, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
12: [[49, 57], [29, 8, 15, 9], [34, 7, 35, 2, 10, 18], [4, 14, 22, 23], [26, 39], [33, 13, 25, 17, 6, 21], [46, 38], [1, 53, 5], [47, 32], [48, 51], [3, 20, 19, 30, 55], [16, 37, 56, 45], [41, 27, 43, 42, 11], [31, 24, 40, 28, 12], [50, 36, 54, 44, 52, 58], [59, 60]]
13: [[49, 57], [29, 8], [15, 9, 6, 10], [34, 7, 35, 2], [4, 14, 22, 23], [26, 39, 33], [13, 25, 17, 18, 21, 46], [38, 1, 53, 5, 47], [32, 48, 51, 3, 20, 19, 30], [55, 16, 37, 56, 45, 41, 27, 43, 42], [11, 40, 24, 31, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
14: [[49, 57], [29, 8], [15, 9, 10, 18], [34, 7, 35, 2], [4], [14, 22], [23, 26], [39, 33, 13, 25], [17, 6, 21], [46, 38, 1, 53, 5], [47, 32, 48, 51, 3, 20], [19, 30, 55], [16, 37, 56], [31, 41, 27, 43], [42, 11, 40, 24, 45], [12, 28, 50], [36, 54, 44, 52, 58, 59], [60]]
15: [[49, 57], [29, 8], [15, 9], [10, 18, 34], [7, 35, 2, 4, 14], [22, 23, 26, 39], [33, 13], [25, 6, 21, 17, 46], [38, 1], [53, 5, 47, 32], [48, 51, 3, 20, 19], [30, 55, 16, 37, 56], [45, 41], [27, 43], [42, 11, 40, 24], [31, 12, 28], [50, 36, 54], [44, 52, 58, 59, 60]]
16: [[49, 57], [29, 8, 15, 9, 10, 34], [7, 35, 4, 14, 2], [18, 22, 23, 26, 39, 33], [13, 25, 6, 21], [17, 46, 38, 1, 53], [5], [47, 32, 48, 51], [3, 20, 19, 30, 55], [16, 37, 56, 31], [41, 27, 43, 42, 11, 40, 24, 45, 12, 28, 50, 36, 54, 44, 52, 58], [59, 60]]
17: [[49, 57], [29, 8, 15, 9], [10, 18, 34], [7, 35, 2, 4], [14, 22, 23, 26, 39], [33, 13, 25], [17, 6, 21, 46], [38, 1, 53, 5, 47], [32, 48, 51, 3, 20], [19, 30, 55, 16], [37, 56, 31], [41, 27, 43, 42, 11], [40, 24, 45, 12, 28], [50, 36, 54, 44], [52, 58], [59, 60]]
18: [[49, 57], [29, 8, 15, 9], [18, 10], [34, 7, 35, 4, 2], [14, 22, 23], [26, 39, 33, 13, 25], [17, 6, 21, 46, 38], [1, 53], [5, 47, 32, 48, 51, 3], [20, 19, 30, 55], [16, 37, 56, 31, 41], [27, 43, 42, 11, 40], [24, 45, 12, 28], [50, 36, 54, 44, 52, 58], [59, 60]]
19: [[49, 57], [29, 8], [15, 9, 10, 18, 34], [7, 35, 2, 4, 14], [22, 23, 26, 39, 33, 13], [25, 6, 21, 17], [46, 38], [1, 53], [5, 47, 32, 48, 51, 3, 20, 19], [30, 55, 16, 37, 56, 45, 41, 27, 43, 42, 11, 31, 24], [40, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
20: [[49, 57], [29, 8, 15], [9, 10, 18, 34], [7, 35, 4, 2, 14], [22, 23, 26], [39, 33, 13, 25, 17], [6, 21, 46, 38], [1, 53, 5], [47, 48, 32, 51, 3], [20, 19], [30, 55], [16, 37, 56, 31, 41], [27, 43, 40, 11, 45], [24, 42, 12, 28, 50], [36, 54, 44], [52], [58, 59, 60]]
21: [[49, 57], [29, 8], [15, 9, 10, 18, 34], [7, 35, 2, 4, 14], [22, 23, 26, 39, 33, 13], [25, 6, 21, 17], [46, 38], [1, 53, 5, 47], [32, 48, 51], [3, 20, 19], [30, 55, 16, 37], [56, 45, 41, 27, 43], [42, 11, 40], [24, 31, 12, 28, 50, 36], [52, 58, 44, 54, 59, 60]]
22: [[49, 57], [29, 8], [15, 9], [34, 10, 18], [7, 35, 4, 14, 22, 2], [23, 26, 39, 33, 13], [25, 17, 6, 21], [46, 38, 1, 53, 5], [47, 32, 48, 51, 3, 20, 19, 30], [55, 16, 37, 56, 31, 41, 27, 43, 42, 11, 40], [24, 45, 12, 28, 50, 36, 54, 44, 52, 58, 59], [60]]
23: [[49, 57], [29, 8, 15, 9, 10, 18], [34, 7], [35, 4, 14, 22, 2], [23, 26, 39, 33, 13], [25, 6, 21], [17], [46, 38, 1, 53, 5], [47, 32, 48], [51, 3, 20, 19, 30], [55, 16, 37, 56, 45], [41, 27, 43], [40, 11], [31, 24, 42, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
24: [[49, 57], [29, 8, 15, 9, 10, 18], [34, 7, 35, 4, 2], [14, 22, 23, 26], [39, 33, 13, 25, 6, 21, 17, 46, 38, 1], [53, 5, 47, 32, 48, 51, 3, 20, 19, 30, 55, 16, 37, 56, 31, 41, 27, 43, 42, 11, 40, 24, 45, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
25: [[49, 57], [29, 8, 15, 9], [10, 18, 34], [7, 35, 4, 2, 14], [22, 23, 26, 39], [33, 13, 25], [17, 6, 21], [46, 38, 1, 53], [5, 47, 32, 48, 51], [3, 20, 19], [30, 55, 16, 37, 56, 45], [41, 27, 43, 42, 11, 40, 24, 31, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
26: [[49, 57], [29, 8, 15, 10, 18], [9, 34], [7, 35, 4, 14, 2], [22, 6], [23, 26, 39, 33], [25, 17, 13, 46, 21], [38, 1, 53, 5], [47, 32, 48, 51], [3, 20, 19], [30, 55, 16, 37, 56], [45, 41, 27, 43, 42], [11, 40, 24, 12], [31, 28], [50, 36, 54, 44], [52], [58, 59, 60]]
27: [[49, 57], [29, 8], [15, 9, 34, 6, 10, 18], [7, 35, 4, 14, 2], [22, 23, 26, 39, 33], [13, 25, 17, 46, 38, 21], [1, 53, 5, 47, 32, 48, 51, 3, 20, 19, 30, 55, 16, 37, 56], [31, 41, 27, 43, 42, 11, 40, 24], [45, 12, 28], [50, 36, 54, 44, 52], [58, 59, 60]]
28: [[49, 57], [29, 8], [15, 9, 34, 6, 10, 18], [7, 35, 4, 2], [14], [22, 23], [26, 39, 33], [13, 25, 21], [17, 46, 38, 1], [53, 5, 47, 32, 48], [51, 3, 20, 19, 30, 55], [16, 37, 56, 31, 41, 27, 43], [42, 11, 40, 24, 45], [12, 28, 50, 36, 54, 44, 52, 58], [59, 60]]
29: [[49, 57], [29, 8, 15, 9, 10, 18], [34, 7, 35, 2, 4], [14, 22], [23, 26, 39, 33, 13, 25], [17, 6, 21, 46, 38], [1, 53, 5], [32, 48, 47, 51], [3, 20, 19], [30, 55, 16], [37, 56, 31], [41, 27, 43, 42], [11, 40, 24, 45, 12], [28, 50, 36, 54, 44, 52, 58, 59, 60]]
30: [[49, 57], [29, 8, 15, 9], [34, 7, 35, 4, 2, 10, 18], [14, 22, 23, 26, 39], [33, 13, 25, 6, 21], [17], [46, 38, 1, 53, 5], [47, 32], [48, 51, 3, 20, 19], [30], [55, 16, 37, 56], [45, 41, 27, 43, 42], [11, 40, 24, 31], [12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
31: [[49, 57], [29, 8], [15, 9, 10, 18, 34], [7, 35, 4, 2, 14], [22], [23, 26, 39], [33, 13, 25, 17, 21, 6, 46, 38], [1, 53, 5, 47, 32, 48, 51, 3, 20, 19, 30, 55, 16, 37, 56, 45, 41], [27, 43, 42, 11, 40, 24, 31, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
32: [[49, 57], [29, 8], [15, 9, 10, 18], [34, 7, 35, 2], [4], [14, 22], [23, 26, 39], [33, 13, 6, 25], [21, 17, 46, 38], [1, 53, 5, 47], [32, 48, 51], [3, 20, 19], [30, 55, 16, 37], [56, 45], [41, 27, 43, 42, 11], [40, 24, 31, 12, 28], [50, 36, 54, 44, 52, 58, 59, 60]]
33: [[49, 57], [29, 8, 15, 9, 34, 7, 35, 4, 2, 14], [22, 23, 26, 18, 10, 39, 33], [13, 25, 17, 21, 6, 46], [38, 1], [53, 5, 47, 32], [48, 51], [3, 20, 19, 30, 55], [16, 37, 56, 31], [41, 27, 43], [42, 11, 40, 24, 45], [12, 28, 50, 36, 52, 58], [44, 54, 59], [60]]
34: [[49, 57], [29, 8, 15, 9, 10, 18, 34, 7], [35, 4, 2, 14, 22], [23, 26, 39, 33], [13, 25, 17, 6, 21, 46], [38, 1, 53, 5, 32], [48, 47, 51, 3], [20, 19], [30, 55, 16, 37, 56], [45, 41, 27], [43, 42, 11, 40, 24], [31, 12, 28, 50, 36], [52], [58, 44], [54], [59, 60]]
35: [[49, 57], [29, 8], [15, 9], [34, 18, 10], [7, 35, 4, 14, 22, 2], [23, 26, 39, 33, 13], [25, 17, 6, 21], [46, 38], [1, 53, 5, 47, 32, 48], [51, 3, 20, 19, 30, 55], [16, 37, 56, 45, 41, 27], [43, 42, 11, 31, 24], [40, 12, 28, 50, 36, 54], [44, 52, 58, 59, 60]]
36: [[49, 57], [29, 8, 15, 9], [10, 18], [34, 7], [35, 4, 2, 14, 22], [23, 26, 39, 33, 13], [25, 17, 6, 21, 46], [38, 1], [53, 5, 47, 32, 48], [51, 3, 20, 19], [30, 55], [16, 37, 56, 45, 41], [27, 43, 42], [11, 40, 24, 31, 12], [28, 50, 36, 52, 58], [44], [54, 59], [60]]
37: [[49, 57], [29, 8], [15, 9, 6, 10], [34, 7], [35, 4, 14, 22, 2], [23, 26, 39, 33, 13, 21], [25, 17, 46], [38, 1], [53, 5, 47, 32, 48, 18], [51, 3, 20, 19], [30, 55], [16, 37, 56, 45, 41], [27, 43, 42], [11, 40, 24, 31, 12], [28, 50, 36, 52, 58], [44], [54, 59], [60]]
38: [[49, 57], [29, 8], [15, 9, 10, 18, 34], [7, 35, 4, 2, 14], [22, 23], [26, 39, 33, 13, 25, 6], [21, 17, 46, 38, 1, 53, 5, 47, 32, 48], [51, 3, 20, 19], [30, 55, 16, 37], [56, 31, 41, 27], [43, 40, 11], [45, 24, 42], [12, 28, 50], [36, 54, 44, 52, 58, 59, 60]]
39: [[49, 57], [29, 8], [15, 9, 10], [18, 34, 7, 35, 4, 2], [14, 22, 23, 26], [39, 33, 13, 25, 6, 21, 17], [46, 38, 1], [53, 5, 47, 32, 48], [51, 3, 20, 19], [30, 55, 16, 37, 56, 31, 41, 27, 43, 42, 11, 40, 24, 45, 12, 28, 50, 36, 52, 58, 44, 54, 59, 60]]
40: [[49, 57], [29, 8, 15, 9], [10, 18], [34, 7], [35, 2, 4, 6, 14], [22, 23, 26, 39, 33], [13, 25, 21, 17, 46], [38, 1], [53, 5, 47, 32, 48], [51, 3, 20, 19], [30, 55], [16, 37, 56, 31, 41], [27, 43, 40], [11, 45, 24, 42, 12], [28, 50, 36, 54, 44], [52, 58, 59, 60]]
41: [[49, 57], [29, 8, 15, 9], [10, 18, 34], [7, 35, 4, 2, 14], [22, 23, 26, 39, 33], [13, 25, 17, 6, 21, 46], [38, 1, 53], [5, 47, 32, 48, 51, 3], [20, 19, 30, 55, 16, 37, 56, 31, 41, 27, 43, 42], [11, 40, 24, 45, 12], [28, 50, 36, 54, 44, 52, 58, 59, 60]]
42: [[49, 57], [29, 8], [15, 9, 6], [34, 10, 18], [7, 35, 4, 14, 22, 2], [23, 26, 39, 33, 13, 21], [25, 17], [46, 38], [1, 53, 5, 47, 32], [48, 51], [3], [20, 19, 30, 55], [16, 37, 56, 31, 41], [27, 43, 42, 11, 40], [24, 45, 28, 12], [50, 36, 54, 44, 52, 58], [59, 60]]
43: [[49, 57], [29, 8, 15, 9, 10], [18, 34, 7], [35, 4, 2, 14], [22, 23, 26, 39], [33, 13, 25, 6], [21, 17], [46, 38, 1, 53], [5, 47], [32, 48], [51, 3, 20, 19, 30], [55, 16, 37, 56], [31, 41], [27, 43, 40, 11], [42, 24, 45, 28, 12], [50, 36], [54, 44, 52, 58], [59, 60]]
44: [[49, 57], [29, 8], [15, 9, 18], [10, 34, 7, 35, 4, 2], [14, 22, 23, 26], [39, 33, 13, 25, 17, 6, 21], [46, 38, 1], [53, 5, 47, 32], [48, 51], [3, 20, 19, 30, 55], [16, 37, 56, 45, 41, 27, 43, 42], [11, 31, 24], [40, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
45: [[49, 57], [29, 8, 15, 9], [10, 18, 34], [7, 35, 4, 2, 14], [22, 23], [26, 39, 33, 13], [25, 17, 6, 21, 46], [38, 1, 53], [5, 47, 32, 48, 51, 3], [20, 19, 30, 55, 16, 37, 56, 31, 41, 27, 43, 42, 11, 40, 24, 45, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
46: [[49, 57], [29, 8, 15, 9], [10, 18, 34], [7, 35, 4], [2, 14, 22, 23, 26], [39, 33], [13, 25, 6, 21, 17], [46, 38], [1, 53, 5], [47, 32, 48], [51, 3, 20, 19], [30, 55, 16, 37, 56], [45, 41, 27, 43, 42], [11, 40, 24], [31, 12, 28, 50], [36, 54, 44, 52], [58, 59, 60]]
47: [[49, 57], [29, 8, 15], [9, 10, 18, 34], [7, 35, 4, 2], [14, 22, 23, 26, 39], [33, 13], [25, 6], [21, 17, 46, 38], [1, 53, 5], [47, 32, 48], [51, 3, 20, 19, 30], [55, 16, 37, 56, 31], [41, 27], [43, 40, 11, 45], [24, 42, 12, 28, 50, 36], [54, 44, 52, 58, 59, 60]]
48: [[49, 57], [29, 8], [15, 9, 6, 10, 34], [7, 35, 4, 2], [14, 22, 23, 26, 39], [33, 13], [25, 17, 18, 21], [46, 38, 1, 53, 5, 47, 32], [48, 51, 3, 20], [19, 30], [55, 16, 37, 56], [45, 41, 27, 43, 42], [11, 31], [24, 40, 12, 28, 50, 36], [54, 44, 52, 58, 59, 60]]
49: [[49, 57], [29, 8], [15, 9], [34, 7, 35, 4, 2, 14], [22, 23, 26, 39], [33, 13, 25, 17, 6, 10], [21, 46, 38, 1], [53, 5, 18, 47, 32], [48, 51, 3, 20, 19, 30], [55, 16, 37], [56, 31, 41, 27, 43, 40], [11, 45, 24, 42, 12, 28, 50, 36, 54], [44, 52, 58, 59, 60]]
50: [[49, 57], [29, 8, 15, 9], [10, 18, 34], [7, 35, 4, 2], [14, 22, 23, 26], [39, 33], [13, 25], [6, 21, 17, 46], [38, 1, 53], [5, 47, 32, 48, 51], [3, 20], [19, 30, 55], [16, 37, 56, 31], [41, 27, 43, 40], [11, 45, 24, 42, 12], [28, 50, 36], [54, 44, 52, 58, 59, 60]]
51: [[49, 57], [29, 8], [15, 9, 10, 18], [34, 7, 35, 2], [4], [14, 22], [23, 26, 39], [33, 13, 6, 25], [21, 17, 46, 38], [1, 53, 5, 47, 32], [48, 51, 3, 20, 19, 30], [55, 16, 37, 56, 31, 41, 27, 43], [42, 11, 40, 24, 45], [12, 28, 50, 36, 54, 44, 52, 58], [59, 60]]
52: [[49, 57], [29, 8, 15, 9, 10], [18, 34, 7, 35, 4], [2, 14], [22, 23], [26, 39, 33, 13, 25], [17, 6, 21], [46, 38, 1, 53, 5], [47, 32], [48, 51], [3, 20, 19, 30, 55, 16], [37, 56, 31], [41, 27, 43, 42, 11], [40, 24, 45, 12, 28], [50, 36], [54, 44, 52, 58, 59, 60]]
53: [[49, 57], [29, 8], [15, 9, 10, 18, 34, 7], [35, 4, 2, 14, 22], [23, 26, 39, 33, 13], [25, 17, 6, 21, 46, 38], [1, 53, 5, 47, 32, 48, 51, 3, 20, 19, 30, 55, 16, 37, 56], [31, 41, 27, 43, 42, 11, 40, 24], [45, 12, 28], [50, 36, 54, 44, 52, 58], [59, 60]]
54: [[49, 57], [29, 8, 15], [9, 10, 18], [34, 7, 35, 4, 2], [14, 22], [23, 26, 39, 33, 13], [25, 6], [21, 17, 46], [38, 1, 53], [5, 47, 32, 48], [51, 3, 20, 19, 30], [55, 16, 37, 56, 45], [41, 27, 43], [42, 11, 40, 24], [31, 12, 28, 50], [36, 54, 44], [52, 58, 59, 60]]
55: [[49, 57], [29, 8], [15, 9, 10, 18, 34], [7, 35, 2, 4], [14], [22, 23], [26, 39, 33], [13, 6, 25, 17], [21, 46, 38, 1], [53, 5, 47, 32, 48], [51, 3, 20, 19, 30, 55], [16, 37, 56, 31, 41], [27, 43, 42, 11, 40], [24], [45, 12, 28, 50, 36], [54, 44], [52, 58, 59, 60]]
56: [[49, 57], [29, 8, 15, 9, 18], [10, 34], [7, 35, 4, 2, 14], [22, 23, 26, 39], [33, 13, 25, 17, 6, 21, 46, 38, 1, 53, 5, 47, 32, 48, 51, 3], [20, 19, 30, 55, 16, 37, 56, 31, 41, 27, 43, 42, 11, 40, 24, 45, 28, 12, 50, 36, 54, 44, 52, 58, 59, 60]]
57: [[49, 57], [29, 8], [15, 9], [34, 10, 18], [7, 35, 4, 14, 22, 2], [23, 26, 39, 33, 13], [25, 17, 6, 21], [46, 38], [1, 53, 5], [47, 32, 48, 51], [3, 20, 19, 30, 55, 16, 37, 56, 31, 41, 27], [43, 42, 11, 40, 24, 45, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
58: [[49, 57], [29, 8], [15, 9, 18, 10], [34, 7, 35, 2, 4, 14], [22, 23, 26, 39, 33, 13, 25, 17, 46, 38, 1, 53, 5, 47, 32, 48, 51, 3, 20, 21, 6], [19, 30], [55, 16, 37, 56, 31, 41, 27, 43, 42, 11, 40, 24, 45, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
59: [[49, 57], [29, 8, 15, 9], [10, 18], [34, 7], [35, 4, 2, 14, 22], [23, 26, 39, 33, 13], [25, 17, 6, 21, 46], [38, 1], [53, 5, 47, 32], [48, 51, 3, 20, 19], [30, 55, 16, 37], [56, 45, 41], [27, 43, 42, 11, 40, 24], [31, 12, 28, 50, 36], [54, 44, 52, 58, 59, 60]]
60: [[49, 57], [29, 8, 15, 9], [10, 18, 34, 7], [35, 4, 2, 14, 22], [23, 26, 39], [33, 13, 25], [6, 21, 17, 46], [38, 1], [53, 5, 47, 32, 48], [51, 3, 20, 19, 30], [55, 16, 37], [56, 45, 41, 27, 43, 42, 11, 40, 24, 31, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
61: [[49, 57], [29, 8, 15, 9, 10, 18], [34, 7, 35, 4], [2, 14, 22, 23, 26], [39, 33, 13, 25, 17, 6, 21, 46], [38, 1, 53, 5, 47, 32, 48, 51, 3, 20, 19, 30, 55, 16, 37, 56, 31, 41, 27, 43, 42, 11, 40, 24, 45, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
62: [[49, 57], [29, 8, 15], [9, 10, 18], [34, 7, 35, 4, 2], [14, 22, 6, 23, 26, 39, 33, 25], [17, 13, 21], [46, 38, 1, 53, 5, 47, 32, 48, 51, 3, 20, 19, 30, 55, 16, 37, 56, 45, 41, 27], [43, 42, 11, 40, 24, 31], [12, 28, 50], [36, 52, 58, 44, 54], [59, 60]]
63: [[49, 57], [29, 8, 15], [9, 10, 18, 34], [7, 35, 4, 2], [14, 22, 23], [26, 39, 33, 13, 25, 17], [6, 21, 46, 38, 1, 53, 5, 47], [32, 48, 51, 3, 20, 19, 30, 55, 16, 37, 56, 45, 41, 27, 43, 42, 11, 40, 24, 31, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
64: [[49, 57], [29, 8, 15, 9], [10, 18, 34], [7, 35, 4, 2, 14, 22], [23, 26, 39, 33], [13, 25, 17], [6, 21, 46, 38, 1], [53, 5], [47, 32, 48, 51, 3, 20], [19, 30, 55, 16, 37, 56], [31, 41, 27], [43, 42], [11, 45, 24], [40, 12, 28, 50], [36, 54, 44, 52, 58], [59, 60]]
65: [[49, 57], [29, 8, 15, 9, 18, 10], [34], [7, 35, 4], [14, 22, 2, 23], [26, 39, 33, 13, 25, 17, 46, 38, 1, 21, 6], [53, 5, 47, 32, 48, 51, 3, 20, 19, 30, 55, 16, 37, 56, 45, 41, 27, 43, 42, 11, 31, 24, 40, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
66: [[49, 57], [29, 8], [15, 9], [10, 18, 34, 7, 35], [4, 2, 14, 22, 23], [26, 39, 33, 13], [25, 17, 6, 21], [46, 38, 1], [53, 5, 47, 32], [48, 51, 3], [20, 19, 30, 55], [16, 37, 56], [31, 41, 27, 43, 42], [11, 40, 24, 45, 12], [28, 50, 36], [52], [58, 44, 54, 59, 60]]
67: [[49, 57], [29, 8, 15, 9, 10], [18, 34, 7], [35, 4, 2, 14], [22, 23, 26, 39, 33, 13], [25, 17, 6, 21, 46, 38, 1, 53, 5, 47, 32, 48, 51], [3, 20, 19, 30, 55], [16, 37, 56, 31, 41, 27, 43, 40, 11, 45, 24, 42, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
68: [[49, 57], [29, 8, 15], [9, 10, 18, 34], [7, 35, 4, 2, 14], [22, 23], [26, 39], [33, 13, 25, 17], [6, 21], [46, 38], [1, 53, 5, 47, 32, 48, 51], [3, 20, 19, 30, 55, 16], [37, 56, 31, 41], [27, 43, 42, 11, 40], [24, 45, 12, 28, 50, 36, 54, 44], [52, 58, 59, 60]]
69: [[49, 57], [29, 8, 15, 9], [10, 18, 34, 7], [35, 4, 2, 14], [22, 23, 26], [39, 33, 13, 25, 17], [6, 21], [46, 38, 1], [53, 5, 47, 32], [48, 51, 3, 20, 19], [30, 55, 16], [37, 56, 31, 41, 27, 43, 42, 11, 40], [24, 45, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
70: [[49, 57], [29, 8, 15, 9], [10, 18, 34], [7, 35, 4], [2, 14, 22], [23, 26, 39, 33], [13, 25, 6, 21, 17], [46, 38, 1, 53, 5, 47, 32, 48, 51, 3, 20, 19, 30, 55, 16, 37, 56, 31, 41, 27, 43, 42], [11, 40, 24, 45, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
71: [[49, 57], [29, 8], [15, 9, 10], [18, 34, 7, 35, 4, 2], [14, 22, 23, 26], [39, 33, 13, 25, 6, 21, 17], [46, 38, 1], [53, 5, 47, 32], [48], [51, 3, 20, 19, 30, 55, 16, 37, 56, 31, 41, 27, 43, 42, 11, 40, 24, 45], [12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
72: [[49, 57], [29, 8, 15, 9, 10, 18], [34, 7, 35, 4], [2, 14, 22, 23, 26], [39], [33, 13, 25, 17], [6, 21, 46, 38, 1], [53, 5, 47, 32, 48], [51, 3, 20], [19, 30], [55, 16, 37, 56, 31], [41, 27, 43, 40, 11], [45, 24, 42], [12, 28, 50, 36, 54], [44, 52, 58, 59, 60]]
73: [[49, 57], [29, 8], [15, 9], [10, 18, 34, 7], [35, 2, 4], [6, 14, 22], [23, 26], [39, 33, 13, 25, 21], [17, 46, 38, 1, 53], [5, 47, 32, 48], [51, 3], [20, 19, 30, 55], [16, 37, 56, 31], [41, 27, 43, 40, 11], [45, 24, 42, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
