0: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9], [5, 11, 12, 19], [26, 15, 13], [16, 7, 37], [30, 21, 31, 27, 36, 32, 23, 33]]
12: [[25, 17, 24, 28], [4, 14, 6], [22, 29, 34, 8], [3, 20, 35], [1, 2], [10, 18, 9], [5, 11, 12, 19], [26, 15, 13], [16, 7, 37, 30], [21, 31, 27, 36], [32, 23, 33]]
13: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18, 9], [5, 11, 12, 19], [26, 15, 13], [16, 7, 37, 30], [21, 31, 27], [36, 32, 23, 33]]
14: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18, 9], [5, 11, 12], [19, 26, 15, 13], [16, 7, 37, 30], [21, 31, 27, 36], [32, 23, 33]]
15: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18, 9], [5, 11, 12], [19, 26, 15, 13], [16, 7, 37, 30], [21, 31, 27, 36], [32, 23, 33]]
16: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18, 9], [5, 11, 12], [19, 26, 15, 13], [16, 7, 37, 30], [21, 31, 27, 36], [32, 23, 33]]
17: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1], [2, 10, 18, 9], [5, 11, 12, 19], [26, 15, 13, 16], [7, 37, 30], [21, 31, 27], [36, 32, 23, 33]]
18: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1], [2, 10, 18], [9, 5, 11, 12], [19, 26, 15, 13], [16, 7, 37], [30, 21, 31, 27, 36, 32, 23, 33]]
19: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18, 9], [5, 11, 12, 19], [26, 15, 13, 16], [7, 37, 30], [21, 31, 27], [36, 32, 23, 33]]
20: [[25, 17], [24, 28, 4], [14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9], [5, 11, 12], [19, 26, 15, 13], [16], [7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
21: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2, 10, 18], [9, 5, 11, 12, 19], [26, 15, 13, 16, 7, 37], [30, 21, 31, 27, 36, 32, 23, 33]]
22: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2, 10], [18, 9, 5, 11, 12], [19, 26, 15], [13, 16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
23: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18], [9, 5, 11, 12], [19, 26, 15, 13], [16, 7, 37], [30, 21, 31, 27], [36, 32, 23, 33]]
24: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1], [2, 10, 18, 9], [5, 11, 12], [19, 26, 15, 13, 16, 7, 37, 30, 21, 31, 27], [36, 32, 23, 33]]
25: [[25, 17, 24, 28, 4], [14, 6, 22], [29, 34, 8, 3], [20, 35, 1], [2, 10, 18], [9, 5, 11, 12], [19, 26, 15, 13], [16, 7, 37], [30, 21, 31, 27], [36, 32, 23, 33]]
26: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9, 5, 11, 12, 19], [26, 15, 13, 16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
27: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18], [9, 5, 11, 12], [19, 26, 15, 13], [16, 7, 37, 30], [21, 31, 27], [36, 32, 23, 33]]
28: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9, 5, 11], [12, 19, 26, 15, 13, 16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
29: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1], [2, 10, 18], [9, 5, 11, 12], [19, 26, 15, 13], [16, 7, 37, 30, 21, 31, 27], [36, 32, 23, 33]]
30: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18], [9, 5, 11], [12, 19, 26, 15], [13, 16, 7, 37], [30, 21, 31, 27, 36, 32, 23, 33]]
31: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18], [9, 5, 11], [12, 19, 26, 15], [13, 16, 7, 37], [30, 21, 31, 27, 36, 32, 23, 33]]
32: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18], [9, 5, 11], [12, 19, 26, 15], [13, 16, 7, 37], [30, 21, 31, 27, 36, 32, 23, 33]]
33: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9, 5], [11, 12, 19], [26, 15, 13, 16, 7, 37, 30], [21, 31, 27, 36, 32, 23, 33]]
34: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18], [9, 5, 11, 12], [19, 26, 15], [13, 16, 7, 37], [30, 21, 31, 27], [36, 32, 23], [33]]
35: [[25, 17, 24], [28, 4, 14, 6], [22, 29, 34, 8], [3, 20, 35, 1], [2, 10, 18, 9], [5, 11, 12], [19, 26, 15, 13], [16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
36: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18, 9], [5, 11, 12, 19, 26], [15, 13, 16], [7, 37, 30, 21], [31, 27, 36], [32, 23, 33]]
37: [[25, 17, 24, 28], [4, 14, 6, 22, 29], [34, 8, 3], [20, 35, 1, 2], [10, 18, 9, 5], [11, 12, 19], [26, 15, 13, 16, 7, 37, 30, 21], [31, 27, 36, 32, 23, 33]]
38: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1], [2, 10, 18], [9, 5, 11], [12, 19, 26, 15], [13, 16, 7, 37], [30, 21, 31, 27], [36, 32, 23, 33]]
39: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1], [2, 10, 18], [9, 5, 11, 12], [19, 26, 15, 13, 16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
40: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18, 9], [5, 11, 12, 19, 26, 15, 13, 16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
41: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9, 5], [11, 12, 19], [26, 15, 13, 16], [7, 37, 30, 21], [31, 27, 36, 32, 23, 33]]
42: [[25, 17, 24, 28], [4, 14, 6], [22, 29, 34, 8], [3, 20, 35], [1, 2, 10, 18], [9, 5, 11, 12], [19, 26, 15], [13, 16, 7, 37], [30, 21, 31, 27], [36, 32, 23, 33]]
43: [[25, 17, 24, 28], [4, 14, 6], [22, 29, 34, 8], [3, 20, 35, 1], [2, 10, 18], [9, 5, 11, 12], [19, 26, 15, 13, 16, 7, 37], [30, 21, 31, 27, 36, 32, 23, 33]]
44: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9, 5], [11, 12, 19], [26, 15, 13, 16], [7, 37, 30], [21, 31, 27], [36, 32, 23, 33]]
45: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35], [1, 2, 10, 18], [9, 5, 11], [12, 19, 26, 15], [13, 16, 7, 37], [30, 21, 31, 27], [36, 32, 23, 33]]
46: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18], [9, 5, 11, 12, 19, 26, 15, 13, 16, 7], [37, 30, 21, 31, 27, 36, 32, 23, 33]]
47: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35], [1, 2, 10, 18], [9, 5, 11], [12, 19, 26, 15, 13, 16, 7, 37], [30, 21, 31, 27, 36, 32, 23, 33]]
48: [[25, 17], [24, 28, 4], [14, 6, 22, 29], [34, 8, 3], [20, 35, 1], [2, 10, 18, 9], [5, 11, 12, 19], [26, 15, 13, 16], [7, 37, 30], [21, 31, 27, 36], [32, 23, 33]]
49: [[25, 17, 24, 28], [4, 14, 6], [22, 29, 34, 8], [3, 20, 35, 1], [2, 10, 18, 9, 5, 11, 12, 19, 26], [15, 13, 16, 7, 37], [30, 21, 31, 27, 36, 32, 23, 33]]
50: [[25, 17], [24, 28, 4], [14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18, 9], [5, 11, 12, 19], [26, 15, 13, 16], [7, 37, 30], [21, 31, 27, 36], [32, 23, 33]]
51: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35], [1, 2, 10, 18], [9, 5, 11, 12], [19, 26, 15, 13, 16, 7], [37, 30, 21, 31, 27, 36, 32, 23, 33]]
52: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18, 9, 5, 11, 12], [19, 26, 15, 13, 16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
53: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3, 20], [35, 1, 2, 10, 18, 9, 5, 11, 12, 19, 26, 15, 13, 16, 7, 37], [30, 21, 31, 27], [36, 32, 23, 33]]
54: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1, 2, 10, 18], [9, 5, 11, 12, 19, 26, 15, 13, 16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
55: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9, 5], [11, 12, 19, 26], [15, 13, 16], [7, 37, 30, 21], [31, 27, 36, 32, 23, 33]]
56: [[25, 17, 24, 28], [4, 14, 6], [22, 29, 34, 8], [3, 20, 35], [1, 2, 10, 18], [9, 5, 11], [12, 19, 26, 15], [13, 16, 7, 37, 30], [21, 31, 27, 36], [32, 23, 33]]
57: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2, 10], [18, 9, 5], [11, 12, 19, 26], [15, 13, 16], [7, 37, 30, 21], [31, 27, 36, 32, 23, 33]]
58: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2, 10, 18, 9, 5, 11, 12, 19, 26, 15, 13, 16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
59: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2, 10, 18, 9, 5, 11, 12, 19, 26, 15, 13, 16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
60: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18], [9, 5, 11], [12, 19, 26, 15], [13, 16, 7], [37, 30, 21, 31], [27, 36, 32, 23, 33]]
61: [[25, 17, 24], [28, 4, 14], [6, 22, 29], [34, 8, 3, 20], [35, 1, 2, 10], [18, 9, 5, 11], [12, 19, 26, 15], [13, 16, 7, 37], [30, 21, 31, 27], [36, 32, 23, 33]]
62: [[25, 17, 24, 28], [4, 14, 6], [22, 29, 34], [8, 3, 20, 35], [1, 2, 10, 18], [9, 5, 11, 12], [19, 26, 15, 13, 16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
63: [[25, 17], [24, 28, 4, 14], [6, 22, 29, 34], [8, 3, 20, 35], [1, 2, 10, 18], [9, 5, 11, 12], [19, 26, 15, 13], [16, 7, 37], [30, 21, 31, 27], [36, 32, 23, 33]]
64: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2, 10], [18, 9, 5, 11], [12, 19, 26], [15, 13, 16, 7], [37, 30, 21, 31], [27, 36], [32, 23, 33]]
65: [[25, 17, 24, 28], [4, 14, 6], [22, 29, 34, 8], [3, 20, 35], [1, 2, 10, 18], [9, 5, 11], [12, 19, 26, 15], [13, 16], [7, 37, 30, 21], [31, 27, 36], [32, 23, 33]]
66: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3, 20, 35, 1, 2, 10, 18, 9, 5, 11, 12, 19, 26, 15, 13, 16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
67: [[25, 17, 24], [28, 4, 14, 6], [22, 29, 34, 8, 3, 20, 35], [1, 2, 10, 18, 9, 5, 11, 12, 19, 26, 15, 13, 16, 7, 37], [30, 21, 31, 27, 36, 32, 23, 33]]
68: [[25, 17, 24, 28, 4, 14, 6, 22, 29, 34, 8], [3, 20, 35, 1], [2, 10, 18, 9, 5, 11, 12, 19, 26, 15, 13, 16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
69: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10], [18, 9, 5], [11, 12, 19, 26], [15, 13, 16], [7, 37, 30, 21], [31, 27, 36], [32, 23, 33]]
70: [[25, 17, 24], [28, 4, 14], [6, 22, 29, 34, 8, 3, 20, 35, 1, 2, 10], [18, 9, 5, 11, 12, 19, 26, 15, 13, 16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
71: [[25, 17, 24, 28], [4, 14, 6], [22, 29, 34, 8], [3, 20, 35, 1], [2, 10, 18], [9, 5, 11], [12, 19, 26], [15, 13, 16, 7], [37, 30], [21, 31, 27], [36, 32, 23, 33]]
72: [[25, 17, 24], [28, 4, 14], [6, 22, 29, 34, 8, 3, 20, 35], [1, 2, 10, 18, 9, 5, 11, 12, 19, 26, 15, 13, 16, 7, 37, 30, 21, 31, 27, 36, 32, 23, 33]]
73: [[25, 17, 24, 28], [4, 14, 6], [22, 29, 34], [8, 3, 20, 35], [1, 2, 10], [18, 9, 5], [11, 12, 19, 26], [15, 13, 16, 7], [37, 30, 21], [31, 27, 36], [32, 23, 33]]
