0: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [13, 11, 8, 9, 6, 21], [15, 17, 14, 16, 10, 18], [23, 26, 19, 31, 22, 28], [30, 20, 25, 24, 29, 32, 37], [33, 36, 34, 46, 39, 38], [43, 45, 41, 40, 42, 44, 50], [51, 47, 52], [59, 49, 48, 53, 57], [56, 55], [58, 60]]
11: [[35, 27, 54, 7, 2, 1, 5], [12, 3, 4, 9], [14, 8, 10, 6, 11, 13, 31, 15, 17, 16, 18, 19, 20, 26, 24, 21, 22, 23], [28, 25, 29], [30, 41, 37, 32, 33, 46, 34, 39, 38, 43], [42], [44, 40, 58, 36, 45, 47, 51, 55, 48, 50, 52, 53], [49, 56, 57, 59, 60]]
12: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11], [9, 6, 10, 18, 21, 13, 8], [30, 31, 15, 14, 20, 16, 17], [19, 24, 26, 23, 22, 25, 28], [29, 33, 37, 40, 36, 38, 32, 34, 39, 41, 47], [42, 43, 50, 44, 51, 45, 46, 49, 52, 55, 48, 59, 53, 57, 58, 56, 60]]
13: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 11], [6, 8, 14, 9, 21, 10, 15, 16, 18, 13, 17, 22, 20, 19, 24], [31], [23, 26, 30, 25, 29, 28, 41, 37, 60, 34, 38, 42], [32, 36, 44, 39, 33], [40, 43, 45, 51, 48], [46, 55, 57, 52, 47, 53, 49, 50, 56, 59, 58]]
14: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 11, 14, 8, 9, 13, 20], [6, 21, 10, 28, 17], [15, 16, 19, 18, 22, 26, 25], [24, 29, 23, 31, 30], [41, 37, 32, 36, 33, 40], [34, 44, 39, 46, 43], [38, 42, 45, 51], [50, 47, 48, 52], [57, 55, 49, 53, 56, 58, 59, 60]]
15: [[35, 27, 54, 7, 2, 1, 5], [12, 3, 4, 11, 10, 24, 9], [6, 21, 8, 31, 15, 18], [13, 17, 23], [14, 16, 29, 22, 28], [19, 20, 25, 26, 30, 33, 37, 40], [45, 38, 36], [32, 34, 43, 39, 47], [42, 41], [44, 51, 55], [48, 46, 56, 52, 50, 53, 49, 59, 57, 58, 60]]
16: [[35, 27, 54, 7, 2], [1, 5], [12, 3, 4], [9, 10, 8, 6, 11, 21, 13, 17, 14, 16, 19, 15, 18], [31, 20, 22, 24, 28, 25, 29, 23, 26, 30, 33, 37, 32, 39, 38, 42, 36, 45, 43, 34, 41, 46, 47, 40, 51, 48, 44, 52, 59, 53, 50, 49, 57, 55, 56, 58, 60]]
17: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 8, 14, 11, 9, 6, 21, 13], [20, 10, 16, 17, 19, 15], [25, 22, 23, 18, 28, 30], [24, 26, 31, 29, 45, 41], [32, 36, 34, 38, 37], [39, 33, 40, 46], [43, 42, 44, 50, 48, 47, 52, 57, 55, 51, 60, 49, 59, 53, 56, 58]]
18: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 15, 14, 24], [13, 10, 21, 9, 6, 19], [20, 17, 26, 23, 18], [8, 22, 11, 16, 28, 25, 30, 31], [29, 41, 37, 42, 38, 33], [32, 36, 34, 44, 40, 43, 39, 45, 46, 50, 47], [52, 51, 48, 49, 55, 57, 53, 56, 59, 58, 60]]
19: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 11], [10, 8, 14, 6, 21, 17, 13, 15, 18, 9, 24], [22, 19, 20, 29, 30], [16, 23, 31, 25, 26, 28, 41], [37, 46, 34, 38, 43, 33, 36], [47, 32, 39], [42, 40, 44, 50, 55], [45, 52], [57, 56, 53, 48, 51, 58, 49, 59, 60]]
20: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 9], [8, 10, 6, 11], [21, 15, 16, 13, 20, 25, 22, 18, 31], [14, 23, 17, 28, 24], [19, 26, 29, 30, 37, 33, 32, 36], [46, 34, 39, 38, 47, 45, 42, 41, 43], [40, 50], [48, 44, 49, 57], [52, 53], [59, 55, 51, 56, 58, 60]]
21: [[35, 27, 54, 7, 2], [1, 5], [12, 3, 4, 11, 10, 6, 8], [18, 13, 9, 21], [15, 29, 23, 24], [19, 14, 17, 16, 28], [25, 20, 31, 22, 26, 30], [33, 37, 44, 36, 38, 32, 34, 47, 39, 40, 41, 43, 46, 45, 50, 56, 42, 53, 51], [48, 52, 55, 57, 58, 59, 49, 60]]
22: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 9, 10], [6, 8, 25, 14, 13, 21, 15, 30, 16, 19, 23, 11, 18, 24, 28, 17, 22], [31, 20, 29, 26, 33], [37, 40, 36, 38, 32, 34, 46, 39, 41, 44, 43, 42], [45, 50, 56, 51, 53, 47, 52, 48, 49, 55, 57, 58, 59, 60]]
23: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11], [24, 14, 13, 8, 9, 21, 6], [19, 15, 17, 22, 16, 18, 10], [29, 30, 28, 23, 20, 25], [26, 31, 33], [37, 40, 36, 38, 47], [32, 39, 43, 34, 41, 42, 52, 44], [50, 46, 45, 53, 59, 56, 51, 49, 55, 57, 58, 48, 60]]
24: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [14, 10, 6, 9, 11, 21, 8, 19, 13, 18, 30, 15, 16, 31, 17], [23, 24, 20, 29, 25, 22, 28, 26, 40, 37, 34, 44, 38, 32, 33, 36, 47, 43, 39, 41, 42, 45, 50, 46, 48, 52, 51, 49, 53, 59, 55, 58, 57, 56, 60]]
25: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 9, 10], [6, 13, 19, 8, 11, 21, 15, 28, 17, 14], [20, 18, 16, 24, 30], [25, 23, 22, 29, 31, 26, 33, 37], [47, 36, 32, 39, 34, 46], [38, 40, 43, 44, 42, 41, 50, 56], [45, 55, 52, 57, 48, 49, 53, 51, 59, 58, 60]]
26: [[35, 27, 54, 7, 2, 1, 5, 12, 3, 4, 11, 9, 8, 10, 6, 21, 13, 15, 19, 28], [16, 17, 23, 14, 18, 22, 25, 24, 20, 31, 29, 26, 30, 41, 37, 32, 38, 33, 34, 36], [46, 39], [40, 43, 45, 42, 44, 48, 50, 47, 52, 51, 55, 56], [49, 57, 53, 60, 58, 59]]
27: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [15, 11, 14, 9, 6, 21, 8, 19], [10, 29, 13, 16], [18, 17, 22, 23, 28, 20, 24, 26], [25, 30, 31, 41, 33, 32, 34, 36, 43, 37, 38, 39, 44, 40, 47, 42, 45, 50], [49, 46, 48, 59, 51, 55, 52, 53, 56, 57, 58, 60]]
28: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 11], [6, 14, 8, 9, 21], [10, 15, 13, 17, 16], [26, 22, 20, 18], [19, 28, 23, 25, 31], [29, 24, 30, 45, 37], [33, 32, 38, 34, 36, 40], [42, 39, 43, 46, 41, 47, 51], [48, 50, 52, 59], [44, 55, 53, 49, 56, 58, 57, 60]]
29: [[35, 27, 54, 7, 2, 1], [5, 12, 3], [4, 9, 10, 6, 8, 14, 21], [13, 15, 11, 19, 16, 18, 29, 20, 17, 24, 31, 22, 28, 26], [23, 25, 30, 32, 37, 42, 36, 34, 33, 38, 39, 44, 41, 46, 40, 52, 43, 51, 45], [55, 59, 50, 47, 53, 60, 48, 49, 56, 57, 58]]
30: [[35, 27, 54, 7, 2], [1, 5], [12, 3, 4, 9, 10, 8], [11, 6, 19, 14, 15], [31, 17, 13, 18, 16, 20, 26], [24, 21, 22, 28, 23, 30, 25], [29, 41, 37], [33, 32], [38, 34], [39], [46, 43, 42, 40, 44, 45, 36], [51, 47, 50], [55, 48, 58, 52, 53], [49, 56, 57, 59, 60]]
31: [[35, 27, 54, 7, 2, 1, 5], [12, 3, 4, 11, 6, 10], [14, 15, 21, 8, 17, 13, 16], [9, 28, 18], [19, 20, 23, 22, 26], [25, 24, 30], [29, 31, 32, 37], [33, 39, 34], [46, 36, 40, 41], [42, 38, 43, 44, 45, 51, 49, 48, 52, 56, 47, 55], [50, 57, 59, 53, 58, 60]]
32: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 11, 10], [6, 9, 14, 21, 28], [17, 8, 15, 18], [16, 19, 22, 20, 23, 25, 13, 24, 26, 29, 30, 31, 41, 37, 32, 34, 33, 46, 36, 38, 47, 40, 43, 42, 39, 45, 50, 59, 44, 52, 57, 49, 55, 51, 53], [56, 58, 48, 60]]
33: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [11, 6, 10, 9, 8, 21], [14, 16, 13, 23, 15, 19], [18, 26, 17, 30, 22, 28], [31, 20, 24, 25, 29, 32, 37], [42, 36, 34, 33, 38, 39], [43, 41, 44, 40], [46, 47, 51, 50, 45, 52], [58, 49, 55], [53, 48, 56, 57, 60, 59]]
34: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 9, 6, 10, 8, 13, 21, 11, 15, 30, 16], [29, 20, 22, 18, 19, 17, 25, 23, 14], [26, 24, 28, 31, 37, 38, 32, 34, 33, 46, 36, 39, 45, 47, 41, 40, 42], [43], [50, 49, 44, 60, 56, 51, 55, 52, 48, 58, 53, 57, 59]]
35: [[35, 27, 54, 7, 2, 1, 5], [12, 3, 4, 11, 8], [14, 13, 22, 21, 6], [9, 10], [15, 16, 24, 18, 17, 19], [20, 23, 25, 26, 28], [29, 30, 31, 32, 45, 41, 34, 36, 33], [38, 47, 37, 40, 39, 44, 43, 46, 51, 42], [48, 50, 49, 52, 56, 53, 57, 58, 59, 60, 55]]
36: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 8, 14, 10, 11, 9, 21, 13, 6, 31, 19, 15], [17, 16, 20, 18, 29, 23, 25, 22, 26, 24, 28, 30, 37, 33, 42, 34, 36, 32, 38, 39, 40, 41, 43, 45, 44, 46, 50, 49, 47, 52, 48, 55, 53, 51, 57, 58, 56, 59, 60]]
37: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11, 6, 9, 10, 29, 15, 8, 22, 13, 18, 23], [14], [16, 19, 20, 17, 26, 30, 21, 24, 28, 31, 25, 37, 33], [32, 36, 38, 45, 39, 46, 34, 43, 42, 40], [41, 44, 50, 47, 48, 57, 52, 49, 53, 59], [55, 51, 58, 56, 60]]
38: [[35, 27, 54, 7, 2, 1, 5], [12, 3, 4, 9], [15, 14, 8, 6, 13, 11, 19, 10, 17, 16, 18, 24, 21, 25, 20, 30], [22, 29, 23, 26, 28, 31], [41, 37, 32, 34, 46], [38, 33, 36, 44, 42, 43, 40, 58, 39, 45, 47, 51, 55, 48, 49, 52, 53, 50, 56, 57, 59, 60]]
39: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11, 8, 18, 10, 6], [9], [29, 13, 22, 14, 19, 23, 15, 16, 20, 17, 26, 21], [30, 24, 28, 25, 31, 41, 33, 34, 36, 38], [43, 32, 46, 37, 47], [42, 44, 40, 39, 50], [45, 48, 49, 53, 52, 51, 59, 56, 55, 58, 57, 60]]
40: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [13, 8, 9, 6, 10, 20], [15, 17, 14, 21, 11, 19], [18, 26, 22, 31, 28, 23], [16, 24, 25, 29], [30, 34, 37, 32, 33], [36, 47, 38], [39, 42, 45, 41], [40, 43, 44, 50, 51], [46, 52, 59, 53, 48], [49, 57, 56, 55, 58, 60]]
41: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 8], [6, 19, 9, 10], [21, 13, 29, 31], [18, 14, 24, 23, 30], [11, 15, 25, 17, 20, 16, 22, 26, 28, 33, 32], [46, 39, 37, 38, 34, 36, 43, 45, 40, 42, 60, 47, 51], [44, 41, 49, 48, 52, 50, 57, 53, 56, 55, 59, 58]]
42: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 11], [6, 8, 9, 10, 21, 17, 14, 15, 18, 13, 24, 22, 19, 16, 25], [28, 20, 23, 31, 26, 30, 29, 41, 32, 46, 34], [38, 43, 33, 37, 44], [39, 47, 42, 36, 45, 50, 48, 40, 49, 57, 52, 51, 53, 56, 58, 55, 59, 60]]
43: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [11, 13], [14, 6, 18, 21, 10, 15, 19], [29, 16, 8, 22], [17, 9, 20, 28], [24, 23, 25, 26, 30], [31, 45, 37, 44, 32, 38], [33, 34, 40, 36, 39, 43, 41, 46, 47, 50, 58, 42, 53, 48], [51, 52, 55, 59, 56, 57, 49, 60]]
44: [[35, 27, 54, 7, 2], [1, 5], [12, 3, 4], [10, 6, 8], [14, 29, 11, 18, 9], [19, 16, 15, 13, 17], [31, 21, 22, 30], [28, 20, 24, 23], [25, 26, 33, 37, 34, 32], [39, 40], [38, 44], [43, 45, 46], [36, 41, 42, 50, 55, 47], [53, 57, 48, 51, 52, 49], [56, 58, 59, 60]]
45: [[35, 27, 54, 7, 2], [1, 5, 12], [3, 4, 11], [8, 10, 14, 13, 21, 31, 17, 15, 20, 9, 22, 6], [19, 18, 23, 16], [30, 26, 24, 28, 29, 25, 37, 43, 48, 34, 44, 33], [32, 36, 47, 39, 38, 40], [42, 45, 50, 41, 51, 46, 56, 52, 49, 59, 55, 58, 53, 57, 60]]
46: [[35, 27, 54, 7, 2, 1, 5], [12, 3, 4, 9], [15, 8, 10, 6, 13, 11, 29, 14, 16, 19, 17, 18, 20, 26, 24, 28, 22, 21], [23, 25, 31], [30, 32, 37, 33, 36, 42, 34, 39, 38, 43], [41], [45, 40, 57, 44, 46, 47, 49, 52, 53, 48, 51, 50], [58, 56], [55, 59], [60]]
47: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 8], [6, 9, 15, 13, 21], [14, 17, 10, 20, 11, 23, 18, 19, 16, 22], [29, 25, 30, 24], [28, 26, 31, 37, 43, 52, 34, 44, 33, 32, 36, 42, 39, 38, 40], [41, 46, 51, 47, 45, 48, 56, 50, 49, 58, 55, 57, 53, 60, 59]]
48: [[35, 27, 54, 7, 2, 1, 5], [12, 3, 4, 11, 10, 8, 14, 6, 21, 9], [19, 31, 13, 15, 16, 17, 20], [18, 23, 22], [30, 24, 28, 25, 26, 29, 33, 37, 40, 36], [46], [42, 39, 38, 34, 32, 43, 44, 41, 45, 51, 47, 55], [53, 58, 49, 48, 50], [52, 57, 59, 60, 56]]
49: [[35, 27, 54, 7, 2, 1], [5, 12, 3], [4, 9, 10, 8, 14, 6, 21, 11, 15, 13], [17], [16, 22], [18, 20, 19, 25, 28, 26], [23, 24, 30, 29, 31, 33], [37, 56], [36, 46, 42, 39, 38, 44, 32, 34, 40, 47, 43], [51], [41, 49, 55, 50, 45, 53, 57], [48, 58, 59, 52, 60]]
50: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11, 8, 9, 6, 26, 15, 10, 17, 14, 21, 23], [13, 18, 19, 22, 20, 28], [31, 16, 24, 25, 29, 30, 34, 37, 32, 36, 33, 47, 39, 38, 42, 45, 41, 40, 43, 44, 50, 46, 48, 57, 52, 53, 55, 56, 49, 51, 59, 58, 60]]
51: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 9, 6, 10, 8, 13, 21, 15, 11, 30, 16], [29, 19, 14, 25, 22, 17, 18, 23, 20], [24, 26, 28, 31, 45, 38, 32, 34, 33, 46, 36, 39, 37, 47, 41, 43, 42], [44], [50, 48, 40, 52, 56, 51, 55, 59, 49, 58, 53, 57, 60]]
52: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [9, 11, 30, 14], [6], [13, 17, 8, 20, 31, 29], [10, 15, 16, 19, 24], [21, 18, 26, 28, 25, 22, 23], [33, 45, 48, 36, 34, 41], [38, 47, 43, 37, 32, 40, 39], [44, 51, 46, 42, 56], [49, 55, 50, 53, 52, 57, 58, 59, 60]]
53: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 9], [10, 11, 6, 14, 21], [8, 19, 13, 26, 15], [16, 18, 22, 17, 20, 25, 23, 24, 28], [29, 31, 30, 37, 33, 32, 34, 36, 38, 42, 39, 41, 43], [40, 47, 44, 50], [45, 49, 46, 53, 59, 51, 52, 48, 55, 56, 57, 58, 60]]
54: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11], [6, 24, 9, 14, 21, 8, 10], [19, 18, 15, 17, 16, 13, 20, 25, 28, 22, 23, 29, 26, 30, 31, 33, 32, 34], [36, 38, 46, 39, 41, 40, 37, 43, 42, 45, 44, 50, 47, 48, 49, 59, 52, 51, 53, 56, 57, 58, 55, 60]]
55: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 8, 6, 22, 15, 10, 21, 9, 24, 31, 19], [14, 11, 16, 20, 17, 18, 25, 13, 26, 29, 23, 28, 30, 33, 37, 42, 38, 32, 36, 34, 39, 40, 41, 43, 45, 52, 47, 51, 44, 46, 49, 56, 55, 50, 48, 59, 58, 53, 57, 60]]
56: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11], [14, 9, 10, 6, 25, 13], [16, 19, 21, 15, 18], [23, 8, 20, 29, 31], [22, 17], [28, 26, 24, 30, 33], [37, 40, 36, 38], [46, 32, 39, 43, 34, 41, 42], [58, 44, 50, 47], [45, 52, 59], [48, 51], [53, 49, 56, 57, 55, 60]]
57: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 9, 10, 8], [6, 11, 21], [13, 15, 14, 17, 16, 18, 23, 19, 22, 25], [28, 20, 29, 24, 26, 30, 31, 33, 32, 46, 36], [34, 43, 37, 39, 44], [38, 47, 42, 52, 41, 50, 40, 48, 49, 51, 45, 58, 53, 56, 59, 55, 57, 60]]
58: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11], [6, 24, 9, 8, 21, 14, 10], [31, 16, 15, 17, 19, 18, 13], [20, 25, 22, 23, 29, 30], [28, 26, 33, 37, 41, 36], [40, 32, 38, 39], [43, 34, 42, 45], [53, 46, 50, 47, 44, 48, 51, 55, 56, 49, 52, 57, 59, 58, 60]]
59: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [13, 8, 11, 20, 21, 6], [9, 17, 14, 28], [15, 19, 16, 26, 22, 24, 25, 29, 10], [23, 31, 30, 37, 39, 32, 33, 34, 36, 38, 42, 43, 40, 41, 46, 44, 45, 51, 50, 47, 52, 55, 49, 48, 59, 53, 56, 57, 58, 60, 18]]
60: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [13, 11, 8, 9, 10, 21], [15, 17, 14, 16, 26, 6], [23, 30, 19, 31, 18, 28], [20, 24, 22, 25, 29, 32, 37], [33, 44, 34, 36, 39, 38], [43, 40, 45, 41, 42, 46, 50], [47, 49, 52], [51, 53, 48, 55, 56], [57, 59], [58, 60]]
61: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 10, 6, 8, 14, 29, 11], [18, 9, 13, 16, 17, 15, 22, 19, 20, 23, 21, 28, 24, 26, 25, 30, 31, 33, 37, 58, 34, 36, 47, 38, 44, 43, 39, 41, 32, 40, 42, 50, 53, 46, 52, 49, 45, 51, 57, 55, 48, 59, 56, 60]]
62: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 11, 8], [6, 14, 10, 23, 15, 9], [13, 21, 19, 16], [18, 31, 22, 17, 30], [24, 20, 26], [25, 28, 29, 32, 37, 48], [33, 34, 47, 38, 39], [44, 43, 36, 40, 42], [41, 50, 45, 46, 52], [49, 53], [51, 57, 55, 56, 59], [58, 60]]
63: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 11, 10], [6, 8, 9, 21, 14], [17, 13, 19, 15, 16, 18, 20, 22, 23, 24, 29, 30, 25, 26, 28, 31, 33, 37, 41, 36], [34, 46, 32, 38, 47, 40, 42, 43, 39, 45, 51, 44, 52, 48, 58, 49, 60, 59, 50, 55, 57, 53, 56]]
64: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 9, 8, 10, 14, 13, 21, 31, 17, 11, 15, 16, 22, 6], [19, 18], [20, 23, 30, 26, 28, 24, 25, 29, 37, 43, 48, 34, 44, 33, 36, 32, 47, 42, 38, 40, 39, 45, 50, 41, 46, 49, 55, 52, 51, 59, 53, 58, 57, 56, 60]]
65: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 9, 10, 8, 14, 6], [21, 13, 15, 11], [17, 16, 19, 31, 20, 18, 25, 28, 23, 22], [26, 24, 30], [29, 37, 33, 60, 38, 46, 34, 36, 32, 39], [42], [44, 40, 45, 41, 51, 47, 43, 55, 52, 50, 49, 57], [48, 53, 56, 59, 58]]
66: [[35, 27, 54, 7], [2, 1, 5, 12], [3, 4, 11, 10, 30, 6, 8, 21, 14, 9, 13], [15, 17, 18, 20, 22, 19, 16, 31, 23], [26, 24, 25, 28, 29, 32, 37, 48, 36, 40], [33, 34, 39, 43, 38, 42, 44, 41, 47, 51], [45, 49, 50, 46, 55, 56, 53, 52, 57, 59, 58, 60]]
67: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11], [6, 24, 14, 8, 21, 10, 13], [28, 18, 29, 16, 19, 15, 9], [17, 20, 22, 26, 25], [31, 30, 23, 32, 45], [41, 36, 34, 33, 38, 47, 37], [43, 39, 40, 53, 46, 51], [42, 44, 48, 49, 52, 56, 50], [55, 57, 58, 59, 60]]
68: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 9, 8], [10, 11, 6, 23], [14, 13, 30, 16, 15, 21, 22, 17, 18, 19, 28, 29, 25], [31, 20, 24, 26, 32, 39, 40, 36, 46, 34], [37, 38], [41, 42, 43, 44, 48, 45, 50, 47, 33, 52, 49, 57, 53, 59, 51, 55, 58, 56, 60]]
69: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 11, 6, 10], [14, 8, 21, 9, 13, 31, 17, 23, 15, 22, 20, 18, 16, 28, 25, 19, 29, 24, 26, 30, 44, 33, 34], [37, 32, 36, 39, 40, 43, 38, 42, 41, 45, 46, 50, 48, 47, 53, 56, 51, 55, 52, 49, 58, 59, 57, 60]]
70: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [15, 6], [14, 9, 10, 21, 8, 19, 11, 29, 16, 20, 18, 26, 23, 17, 28, 13, 22, 31, 24, 25, 30, 32, 37, 33, 34, 36, 46, 43, 41, 42, 38, 39, 47, 44, 45, 50, 49, 40, 53, 59, 51, 48, 58, 52, 57, 55, 56, 60]]
71: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4], [11, 8, 6, 9], [18, 10, 13, 19, 14, 17, 15, 21], [20, 16, 24, 22, 31, 23, 26, 29, 28, 25, 30, 32, 37, 34, 33, 39, 40, 36, 38, 41, 44, 43], [47, 45, 42, 51, 58, 46, 53, 57, 52, 55], [48, 49, 56, 50, 60, 59]]
72: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 9, 11, 8, 6, 13, 21], [15, 18, 14, 24, 10, 19], [16, 22, 20, 17, 30, 23, 25], [28, 29, 31, 26, 32, 37], [39, 36, 33, 46, 34, 38, 47], [45, 43, 40], [41, 44, 48, 42, 49], [52, 55], [57, 50], [53, 51, 56], [60, 58, 59]]
73: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [11, 6, 9, 10, 14], [15, 8, 16, 13, 17, 21, 18, 20, 26, 19, 31, 22, 28, 29, 23, 24, 25, 30, 33, 37, 32, 36, 34, 46, 39, 38, 43, 45, 42, 40, 41, 44, 50, 55, 47, 49, 59, 48, 53, 52, 56, 51, 57, 58, 60]]
