0: [[25, 5], [3, 1, 18, 6, 2, 19, 7, 4, 8, 10, 12], [15, 11, 13, 9, 17, 16, 29, 14], [20, 23, 22], [24, 28], [21, 27, 26]]
23: [[25, 5], [3, 1, 18, 6, 2, 17, 7, 8], [13, 4, 29, 11, 9, 28, 19, 15, 10, 12, 14], [16, 21], [20, 23, 22], [24, 27, 26]]
24: [[25, 5], [3, 1, 18, 12], [6, 2, 19, 7, 4, 8, 10], [15, 11, 13, 9, 22, 17, 16, 23, 20, 27, 14], [29, 28], [21, 24, 26]]
25: [[25, 5, 3, 1, 18, 6, 2, 19], [7, 4, 15], [8, 9, 11, 21, 13, 24, 16, 20, 10, 12, 14], [17, 22], [28, 23], [29, 27, 26]]
26: [[25, 5, 3, 1, 18, 6, 2, 19], [7, 4, 15], [8, 9, 11, 21, 13, 24, 16, 20, 10, 12, 14], [17, 22], [28, 23], [29, 27, 26]]
27: [[25, 5], [3, 1, 18, 6, 2, 11, 7, 4, 8, 14, 12], [15, 13, 9, 17, 29, 16], [19, 20, 21, 28], [23, 22, 10], [24, 27, 26]]
28: [[25, 5, 3], [1, 18, 6, 22, 12], [2, 7], [4, 8, 9, 11, 15, 13, 26, 20, 19, 10], [28, 16, 23, 17, 24, 14], [21, 27, 29]]
29: [[25, 5], [3, 1, 18, 6, 2, 17, 15, 8, 7], [13, 29, 9, 14], [4, 16, 11, 27, 20, 28, 22, 10, 12], [24, 19], [21, 26, 23]]
30: [[25, 5, 3], [1, 18], [6, 2], [4, 20, 8, 7, 13, 9, 22, 10, 12], [11, 28, 15, 19, 16, 23, 21, 17, 24, 14], [27, 29, 26]]
31: [[25, 5, 3], [1, 18, 6, 2, 19, 4, 20, 9, 13, 22, 14, 12], [7, 10], [29, 8], [11, 16, 24, 23, 15, 17, 28, 21], [27, 26]]
32: [[25, 5, 3, 1, 18, 6, 2, 19, 7, 4, 11, 22, 12], [9, 10], [8, 13], [15, 17, 20, 16, 21, 23, 14], [28, 24], [29, 27, 26]]
33: [[25, 5, 3], [1, 18, 6, 2, 19, 7, 4, 9, 13, 11, 8, 14, 12], [15], [24, 17, 20, 16, 21, 23, 22, 10], [28], [29, 27, 26]]
34: [[25, 5, 3, 1, 18, 6, 2, 17, 13, 4, 12], [8, 11], [9, 22], [7, 21, 29, 14], [16, 19, 20, 15, 24, 28, 23, 10], [27, 26]]
35: [[25, 5], [3, 1, 18, 6, 2, 19, 4, 7, 13, 22, 12], [8, 11], [15, 9, 21, 16, 24, 17, 23, 10], [20, 27], [26, 28, 29, 14]]
36: [[25, 5, 3, 1, 18, 6, 2, 22], [17, 7, 9], [11, 8, 13, 21, 24, 4, 15, 28, 19, 10, 12], [16], [23, 20, 14], [27, 29, 26]]
37: [[25, 5, 3, 1], [18, 6, 2, 4, 8, 12], [13, 7, 9, 11, 24, 21, 28, 16, 10, 14], [23, 19, 22], [15, 20, 17], [29, 27, 26]]
38: [[25, 5], [3, 1, 18, 22, 12], [6, 2, 7, 9, 8, 15, 14], [13, 16, 26, 4, 17, 11, 21, 20, 19, 10], [28, 24], [29, 27, 23]]
39: [[25, 5, 3, 1, 18, 6, 2, 16, 15, 8, 4], [13], [7, 9], [11, 24, 20, 17, 23, 21, 22, 12, 14], [19, 28, 10], [29, 27, 26]]
40: [[25, 5, 3, 1, 18, 6, 4, 7, 11, 2, 9, 10, 12], [8, 13], [15, 16, 19, 24, 17, 14], [21, 23, 20, 22], [28], [27, 29, 26]]
41: [[25, 5, 3, 1, 2, 4, 19, 12], [6, 7], [9, 13, 11, 8, 28, 24, 15, 16, 20, 10, 14], [21, 18], [23, 17, 22], [29, 27, 26]]
42: [[25, 5, 3], [1, 18], [6, 2], [19, 4, 20, 9, 8, 13, 16, 10], [11, 28, 7, 15, 17, 29, 21, 23, 22, 12, 14], [27, 24, 26]]
43: [[25, 5, 3, 1, 18, 6, 2], [19, 9, 4, 8, 10], [15, 7], [11, 13, 17, 16, 20, 29, 24, 21, 23, 22, 12, 14], [27, 28, 26]]
44: [[25, 5, 3, 1], [18, 6, 2, 17, 4, 8, 7, 11, 12], [15, 9], [13, 24, 21, 16, 19, 20, 29, 10, 14], [23, 22], [28, 27, 26]]
45: [[25, 5], [3], [1, 18, 6, 2, 11, 22], [7, 4, 21, 9, 8, 10], [15, 13, 17, 19, 16, 23, 24, 20, 27, 12, 14], [28, 29, 26]]
46: [[25, 5, 3, 1, 18, 2, 10], [6, 4, 13, 22, 12], [8, 14], [7, 9, 15, 24, 19, 20, 28, 21, 23, 17, 11], [16], [27, 29, 26]]
47: [[25, 5, 3, 1], [18, 6, 4, 19, 22, 14, 12], [8, 13, 16, 9, 7, 20, 11, 15, 2, 17, 23, 10], [21, 24], [29], [28, 27, 26]]
48: [[25, 5, 3, 1, 18, 6, 10], [2, 4, 13, 8, 11, 7, 20, 28, 9, 12], [19, 14], [17, 15], [16, 21, 23, 24, 22], [29, 26, 27]]
49: [[25, 5, 3, 1, 18, 6, 22, 12], [2, 7, 4, 9], [8, 11], [13, 15, 29, 21, 16, 17, 19, 23, 20, 24, 10, 14], [28, 26, 27]]
50: [[25, 5, 3], [1, 18, 7, 2, 4, 8, 12], [28, 9, 15, 6, 11, 16, 21, 24, 13, 10, 14], [17, 19], [20, 29, 22], [23, 27, 26]]
51: [[25, 5, 3, 1, 18, 6, 2, 19], [7, 4, 15, 12], [8, 13, 9, 11, 21, 16, 17, 22, 10, 14], [20, 27], [24, 29], [28, 23, 26]]
52: [[25, 5, 3], [1, 18], [6, 2], [19, 4, 20, 7, 13, 11, 22, 10, 12], [9, 8, 21, 24, 16, 23, 15, 17, 27], [28, 29, 26, 14]]
53: [[25, 5, 3, 1, 18, 2, 10], [15, 4, 13, 6, 7, 9, 17, 8, 11, 12, 14], [16], [19, 21, 23, 27, 22], [20, 29], [24, 28, 26]]
54: [[25, 5, 3, 1, 18, 6, 2, 11, 22, 10], [4, 20, 12], [8], [13, 9], [27, 28, 7, 29, 15, 23, 19, 24, 16, 14], [21, 17, 26]]
55: [[25, 5, 3, 1, 18, 4, 6, 28, 10], [8, 9], [2, 11, 7, 13, 23, 22, 12], [17, 16, 21, 15, 19, 20, 14], [29], [24, 27, 26]]
56: [[25, 5, 3, 1, 10], [18, 6, 7, 20, 9, 4, 22, 12], [2, 8, 13, 11, 21, 15, 29, 23, 19, 14], [24], [17, 28], [16, 27, 26]]
57: [[25, 5, 3, 1, 18, 6, 2, 19, 9, 20, 8], [11, 15, 4, 24, 29, 7, 10, 14], [13, 28, 22, 12], [21, 16], [17], [23, 27, 26]]
58: [[25, 5, 3, 1, 18, 6, 10], [2, 11, 7, 4, 22, 12], [8], [15, 13, 9, 17, 29, 16, 19, 20, 21, 28, 14], [23], [24, 27, 26]]
59: [[25, 5, 3, 1, 18, 6, 2, 4, 7, 8, 10], [15, 9, 29, 11, 16, 14], [28, 19, 13], [23, 24, 21, 20, 22, 12], [17, 27, 26]]
