0: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
21: [[5, 4, 6], [1, 13, 9], [2, 7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
22: [[5, 4, 6], [1, 13, 9], [2, 7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
23: [[6, 4, 3, 5], [1, 13, 2, 9], [7, 11, 14, 10, 8], [12, 16, 15, 18], [19, 17, 20, 22], [23, 21, 24]]
24: [[6, 4, 3, 5], [1, 13, 2, 9], [7, 11, 14, 10, 8], [12, 16, 15, 18], [19, 17, 20, 22], [23, 21, 24]]
25: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 3], [18, 19, 17, 20, 22], [23, 21, 24]]
26: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 3], [18, 19, 17, 20, 22], [23, 21, 24]]
27: [[6, 4, 3, 5], [1, 13, 2], [7, 11, 14, 10, 8], [12, 16, 15, 18, 19], [17, 20, 22, 9], [23, 21, 24]]
28: [[6, 4, 3, 5], [1, 13, 2], [7, 11, 14, 10, 8], [12, 16, 15, 18, 19], [17, 20, 22, 9], [23, 21, 24]]
29: [[6, 4, 3, 5], [1, 13, 2], [7, 11, 14, 10, 8], [12, 16, 15, 18, 19], [17, 20, 22, 9], [23, 21, 24]]
30: [[6, 4, 3, 5], [1, 13, 2], [7, 11, 14, 10, 8], [12, 16, 15, 18, 19], [17, 20, 22, 9], [23, 21, 24]]
31: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14], [10, 8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
32: [[9, 5, 1, 6, 4], [13, 2], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
33: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 3], [18, 19, 17, 20], [22, 23, 21, 24]]
34: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 3], [18, 19, 17, 20], [22, 23, 21, 24]]
35: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 3], [18, 19, 17, 20], [22, 23, 21, 24]]
36: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 3], [18, 19, 17, 20], [22, 23, 21, 24]]
37: [[9, 5, 1, 6, 4], [13, 2, 7, 11], [14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
38: [[5, 4, 6], [1, 13, 9], [2, 7, 11, 14], [10, 8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
39: [[9, 3, 5, 6], [4, 1, 13], [2, 7, 11, 14, 10, 8], [12, 16, 15, 18], [19, 17, 20, 22], [23, 21, 24]]
40: [[5, 4, 6], [1, 13, 2, 7, 9], [11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
41: [[5, 4, 6], [1, 13, 2, 7, 9], [11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
42: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14], [10, 8, 12, 16, 15, 3], [18, 19, 17, 20], [22, 23, 21, 24]]
43: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14], [10, 8, 12, 16, 15, 3], [18, 19, 17, 20], [22, 23, 21, 24]]
44: [[5, 4, 6], [1, 13, 9], [2, 7, 11, 14], [10, 8, 12, 16, 15, 3], [18, 19, 17, 20, 22], [23, 21, 24]]
45: [[6, 4, 3, 5], [1, 13, 2, 7], [11, 14, 10, 8], [12, 16, 15, 18], [19, 17, 20, 22, 9], [23, 21, 24]]
46: [[6, 3], [4, 1, 13, 9], [2, 7, 11, 14], [10, 8, 12, 16, 15, 18], [19, 17, 20, 22, 5], [23, 21, 24]]
47: [[6, 3], [4, 1, 13, 9], [2, 7, 11, 14], [10, 8, 12, 16, 15, 18], [19, 17, 20, 22, 5], [23, 21, 24]]
48: [[9, 5, 1, 6, 4], [13, 2, 7], [11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
49: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22, 23], [21, 24]]
