0: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
33: [[7, 14, 11, 10, 12, 20, 16], [3, 1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
34: [[7, 14, 11, 10, 12, 20, 16], [3, 1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
35: [[7, 14, 11, 10, 12, 20, 16], [3, 1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
36: [[7, 14, 11, 10, 12, 20, 16], [3, 1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
37: [[7, 14, 11, 10, 12, 20, 16, 3, 1], [6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
38: [[7, 14, 11, 10, 12, 20, 16, 3, 1], [6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
39: [[7, 14, 11, 10, 12, 20, 16, 3, 1], [6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
40: [[7, 14, 11, 10, 12, 20, 16, 3, 1], [6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
41: [[7, 14, 11, 10, 12, 20, 16, 3, 1], [6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
42: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15], [22, 21, 23, 24]]
43: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15], [22, 21, 23, 24]]
44: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15], [22, 21, 23, 24]]
45: [[7, 14, 11, 10, 12, 20, 16], [3, 1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15], [22, 21, 23, 24]]
46: [[7, 14, 11, 10, 12, 20, 16, 3], [1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15], [22, 21, 23, 24]]
47: [[7, 14, 11, 10, 12, 20, 16, 3], [1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15], [22, 21, 23, 24]]
48: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22, 21], [23, 24]]
49: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4, 5], [9, 17, 8, 18, 19, 15, 22, 21], [23, 24]]
