0: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
11: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
12: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
13: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
14: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
15: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
16: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
17: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
18: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
19: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
20: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
21: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
22: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
23: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
24: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
25: [[3, 5, 6, 1, 2, 10], [4, 15, 11, 13, 12, 8, 14], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
26: [[3, 5, 6, 1, 2, 10], [4, 15, 11, 13, 8, 12, 14], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
27: [[3, 5, 6, 1, 2, 10], [14, 4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
28: [[3, 5, 6, 1, 2, 10], [14, 4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
29: [[3, 5, 6, 1, 2, 10], [14, 4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
30: [[3, 5, 6, 1, 2, 10], [14, 4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
31: [[3, 5, 6, 1, 2, 10], [14, 4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
32: [[3, 5, 6, 1, 2, 10], [14, 4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
33: [[3, 5, 6, 1, 2, 10], [14, 4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
34: [[3, 5, 6, 1, 2, 10], [14, 4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
35: [[3, 5, 6, 1, 2, 10], [14, 4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
36: [[3, 5, 6, 1, 2, 10], [4, 15, 11, 13, 8, 12, 14], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
37: [[3, 5, 6, 1, 2, 10], [14, 4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
38: [[3, 5, 6, 1, 2, 10], [14, 4, 15, 11, 13, 8, 12], [7, 9, 17, 18, 16, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
39: [[3, 5, 6, 1, 2, 10], [14, 4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
40: [[3, 5, 6, 1, 2, 10], [14, 4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
41: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12, 7, 9, 17], [16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
42: [[3, 5, 6, 1, 2, 10, 14, 4, 15], [9, 8, 12, 11, 7, 13, 17], [16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
43: [[3, 5, 6, 1, 2, 10, 14, 4, 15], [11, 13, 8, 12, 7, 9, 17], [16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
44: [[3, 5, 6, 1, 2, 10, 14, 4, 15], [11, 13, 8, 12, 7, 9, 17], [16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
45: [[3, 5, 6, 1, 2, 4, 15, 10, 14], [11, 13, 8, 7, 9, 17, 12], [16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
46: [[3, 5, 6, 1, 2, 4, 15, 10, 14], [11, 13, 8, 7, 9, 17, 12], [16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
47: [[3, 5, 6, 1, 2, 10, 14, 4, 15], [11, 13, 8, 12, 7, 9, 17], [16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
48: [[3, 5, 6, 1, 2, 10, 14, 4, 15], [11, 13, 8, 12, 7, 9, 17], [16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
49: [[3, 5, 6, 1, 2, 10, 12, 4, 15], [9, 8, 11, 13, 7, 14, 17], [16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
50: [[3, 5, 6, 1, 2, 10], [4, 7, 11, 15, 9, 8, 14], [12, 13, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
51: [[3, 5, 6, 1, 2, 10, 14, 4, 15], [11, 13, 8, 12, 7, 9], [17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
52: [[3, 5, 6, 1, 2, 10, 14, 4, 15], [11, 13, 8, 12, 7, 9], [17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
53: [[3, 5, 6, 1, 2, 10, 14, 4, 15], [11, 13, 8, 12, 7, 9], [17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
54: [[3, 5, 6, 1, 2, 10, 14, 4, 15], [11, 13, 8, 12, 7, 9], [17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
55: [[3, 5, 6, 1, 2, 10, 14, 4, 15], [11, 13, 8, 12, 7, 9], [17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
56: [[3, 5, 6, 1, 2, 10, 14, 4, 15], [11, 13, 8, 12, 7, 9], [17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
57: [[3, 5, 6, 1, 2, 10, 14, 4, 15], [11, 13, 8, 12, 7, 9], [17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
58: [[3, 5, 6, 1, 2, 10, 14, 4, 15], [11, 13, 8, 12, 7, 9], [17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
59: [[3, 5, 6, 1, 2, 10, 14, 4, 15], [11, 13, 8, 12, 7, 9], [17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
