0: [[16, 6, 3, 4], [9], [15, 8, 5], [11, 7], [14, 10, 2], [12, 20, 17, 19, 18, 22, 1, 13], [23, 21, 24]]
31: [[16, 1, 3], [9], [15, 2], [13, 8, 6, 5], [11, 7], [14, 10], [12, 20, 17], [19, 18, 22, 23, 4], [21, 24]]
32: [[4], [16, 1, 3], [9, 15, 2, 13, 6, 5], [8, 11, 7], [14, 10, 12, 20, 17, 19], [18, 22, 23, 21, 24]]
33: [[4, 6, 3, 5], [16, 1], [9, 15, 2], [13, 8], [11, 7], [14, 10], [12, 20, 17, 19], [18, 22, 23], [21, 24]]
34: [[6, 3, 5, 4], [16, 1, 9, 15, 2, 13, 8, 11, 7, 14, 10, 12, 20, 17, 19, 18, 22, 23], [21, 24]]
35: [[4, 16, 3], [1, 9], [15, 2], [13, 8, 11, 6], [7, 14, 10], [12, 20, 17, 5], [19, 18, 22, 23, 21, 24]]
36: [[4, 16, 1, 6, 3], [9, 15], [2, 13], [8, 11, 7, 14], [10, 12, 5], [20, 17, 19], [18, 22, 23, 21, 24]]
37: [[4, 6, 3, 5], [16], [1, 9], [15, 2], [13, 8], [11, 7], [14, 10], [12, 20, 17, 19, 18, 22, 23, 21, 24]]
38: [[4, 6, 5], [16, 3], [1, 9], [15, 2], [13, 8], [11, 7], [14, 10, 12, 20, 17, 19, 18, 22, 23, 21, 24]]
39: [[4, 16, 3], [1, 9], [15, 2, 13], [8, 11], [7, 14, 6], [10, 12, 20], [17, 19, 18, 22, 23, 5], [21, 24]]
40: [[5, 4], [16, 1, 9, 15, 2, 13, 6, 3], [8, 11], [7, 14, 10], [12, 20, 17, 19, 18, 22, 23, 21, 24]]
41: [[6, 3, 5, 4], [16, 1, 9, 15, 2, 13], [8, 11], [7, 14], [10, 12, 20], [17, 19], [18, 22, 23], [21, 24]]
42: [[16, 3], [1, 9, 6], [15, 2], [13], [8, 11], [7, 14], [10, 12], [20, 17, 5], [19, 18], [22, 23, 4], [21, 24]]
43: [[5, 4, 16, 3], [1, 9, 15, 2, 13, 6], [8, 11, 7, 14, 10, 12, 20, 17, 19, 18, 22, 23, 21, 24]]
44: [[4, 16, 3], [1, 9, 15, 6], [2, 13], [8, 11, 5], [7, 14], [10, 12, 20, 17], [19, 18], [22, 23, 21], [24]]
45: [[4, 16, 3], [1, 9], [15, 2], [13, 8, 11, 7, 14, 6, 5], [10, 12, 20, 17, 19, 18, 22, 23, 21, 24]]
46: [[6, 3], [5, 4], [16], [1, 9, 15, 2, 13], [8, 11, 7], [14, 10, 12, 20, 17, 19, 18, 22, 23, 21, 24]]
47: [[4], [16, 1, 9, 15, 6, 3], [2, 13, 8, 11, 5], [7, 14, 10], [12, 20, 17, 19, 18, 22, 23, 21, 24]]
48: [[4], [16, 1, 3], [9, 15, 2, 13, 6], [8, 11, 5], [7, 14, 10, 12], [20, 17, 19, 18, 22, 23, 21, 24]]
49: [[4], [16, 1, 3], [9, 15, 6], [2, 13, 8, 11, 5], [7, 14, 10, 12], [20, 17, 19, 18, 22, 23, 21, 24]]
