0: [[20, 1, 2], [19, 5, 4], [16, 3], [6, 9, 15], [11, 7], [8, 14, 10], [13, 12], [17, 18], [22], [23, 21, 24]]
13: [[2], [4, 5], [16, 3], [6, 9], [15, 11], [7, 8], [14, 10], [13, 1, 19], [12, 17, 18, 20], [22, 23, 21, 24]]
14: [[2], [4, 16], [3, 6], [9, 15], [11, 7], [8, 14], [10, 13, 12, 20, 1, 19], [17, 18, 5], [22, 23, 21, 24]]
15: [[2, 5, 4, 16], [3, 6], [9, 15], [11, 7], [8, 14], [10, 13, 1, 19], [12, 17, 20], [18, 22], [23, 21, 24]]
16: [[2], [4, 5], [16, 3], [6, 9, 1], [15, 11], [7, 8], [14, 10, 13], [12, 17, 20, 19], [18, 22], [23, 21, 24]]
17: [[2], [4], [16, 3], [6, 9, 1], [15, 11], [7, 8, 14], [10, 20, 19], [13, 12, 5], [17, 18, 22], [23, 21, 24]]
18: [[2], [4, 19], [16, 3], [6, 9, 5], [15, 11], [7, 8], [14], [10, 13, 12, 20, 1], [17, 18, 22], [23, 21, 24]]
19: [[2], [4], [16, 3], [6, 9, 5], [15, 11], [7, 8], [14, 10], [13, 12, 20, 1, 19], [17, 18], [22, 23, 21, 24]]
20: [[2], [4, 16, 1, 19], [3, 6, 9], [15, 11], [7, 8], [14, 10, 13], [12, 17, 20, 5], [18, 22], [23, 21, 24]]
21: [[2], [5, 4, 16], [3, 6], [9, 15, 11, 7], [8, 14], [10, 13, 1, 19], [12, 17, 20], [18, 22], [23, 21, 24]]
22: [[2], [5], [4, 16], [3, 6, 9], [15, 11], [7, 8, 14, 10], [13, 12, 20, 1, 19], [17, 18], [22, 23, 21, 24]]
23: [[2], [4, 16], [3, 6], [9, 15, 11, 1], [7, 8, 5], [14, 10], [13, 12, 20], [17, 18, 19], [22, 23, 21, 24]]
24: [[20, 1, 2], [19, 5, 4], [16, 3], [6, 9, 15], [11, 7, 8], [14, 10], [13, 12, 17, 18], [22, 23], [21, 24]]
25: [[2], [4, 19], [16, 3, 6, 9], [15, 11], [7, 8], [14], [10, 13, 1], [12, 17, 20, 5], [18, 22], [23, 21, 24]]
26: [[20, 1, 2], [19, 5, 4], [16, 3, 6, 9, 15, 11, 7, 14, 10, 13, 12, 17, 8], [18, 22, 23, 21, 24]]
27: [[2], [5], [4, 16], [3, 6, 9, 15], [11, 7, 8], [14, 10], [13, 12, 17, 20, 1, 19], [18, 22, 23, 21, 24]]
28: [[2], [4], [16, 3], [6, 9, 15, 11], [7, 8], [14, 10], [13, 12, 20, 1, 19], [17, 18, 5], [22, 23], [21, 24]]
29: [[20, 1, 2, 19], [5, 4], [16, 3], [6, 9], [15, 11], [7, 8], [14, 10, 13], [12, 17, 18], [22, 23], [21, 24]]
30: [[2], [4, 16], [3, 6], [9, 15], [11, 7], [8, 14], [10, 13, 1, 19], [12, 17, 20, 5], [18, 22, 23], [21, 24]]
31: [[20, 2, 1], [19, 5, 4], [3, 6, 16], [9, 15], [11, 7], [8, 14, 10, 13, 12, 17, 18, 22, 23, 21, 24]]
32: [[2], [4], [16, 3], [6, 9, 5], [15, 11], [7, 8], [14, 10], [13, 12, 20, 1, 19], [17, 18, 22, 23], [21, 24]]
33: [[2, 5], [4, 16, 3], [6, 9], [15, 11], [7, 8], [14, 10], [13, 12, 17, 20, 1, 19], [18, 22, 23], [21, 24]]
34: [[20, 2, 1], [5, 4, 16, 3], [6, 9], [15, 11, 7, 8], [14, 10, 13, 12, 17, 18, 22, 23, 21, 24, 19]]
35: [[20, 2, 1], [4, 16, 3], [6, 9, 15, 5], [11, 7, 8, 14], [10, 13, 12, 17, 18, 22, 23, 21, 24, 19]]
36: [[2], [5, 4], [16, 3, 6], [9, 15], [11, 7, 8, 14], [10, 13, 20, 1, 19], [12, 17, 18, 22, 23, 21, 24]]
37: [[20], [2], [4, 16], [3, 6], [9, 15], [11, 7], [8, 14, 5], [10, 13, 12, 17, 1, 19], [18, 22, 23], [21, 24]]
38: [[2], [5], [4, 16], [3, 6, 9], [15, 11], [7, 8], [14, 10], [13, 12, 20, 1, 19], [17, 18, 22, 23], [21, 24]]
39: [[2, 5], [4, 16], [3, 6, 9], [15, 11], [7, 8, 14], [10, 13, 12, 20, 1, 19], [17, 18], [22, 23], [21, 24]]
40: [[20], [2], [4], [16, 3, 6], [9, 15, 11, 1], [7, 8, 14], [10, 13, 12, 17, 19, 5], [18, 22, 23, 21, 24]]
41: [[20, 1], [2, 19], [5, 4], [16, 3], [6, 9], [15, 11, 7, 8], [14, 10, 13, 12, 17, 18, 22, 23, 21, 24]]
42: [[20, 1, 2], [19, 5], [4, 16, 3], [6, 9], [15, 11], [7, 8], [14, 10, 13, 12], [17, 18, 22, 23, 21, 24]]
43: [[20, 1], [2], [4, 16, 3, 6, 5], [9, 15, 11], [7, 8, 14, 10, 19], [13, 12, 17, 18, 22, 23, 21, 24]]
44: [[20, 1], [2, 19], [5, 4], [16, 3, 6, 9], [15, 11, 7], [8, 14, 10, 13, 12, 17, 18, 22, 23, 21, 24]]
45: [[20, 1], [2, 5], [4, 16, 3], [6, 9, 15], [11, 7, 8, 14, 10, 13, 12, 17, 18, 22, 23, 21, 24, 19]]
46: [[20, 1], [2, 19], [5, 4], [16, 3], [6, 9, 15, 11], [7, 8], [14, 10, 13, 12, 17, 18, 22, 23, 21, 24]]
47: [[20, 1], [2], [5, 4, 16, 19], [3, 6, 9, 15, 11, 7, 8, 14, 10, 13, 12, 17, 18, 22, 23, 21, 24]]
48: [[20], [1, 2, 19, 5, 4, 16, 3, 6, 9, 15, 11, 7, 8, 14, 10, 13, 12, 17, 18, 22, 23, 21], [24]]
49: [[20, 1], [2, 19, 5], [4, 16, 3, 6, 9, 15, 11, 7, 8, 14, 10, 13, 12, 17, 18, 22, 23, 21, 24]]
