0: [[7, 16, 11], [10, 3, 4, 2, 5, 6, 13, 14, 1, 12], [9, 15, 8, 19, 18, 20, 22, 17], [23, 21, 24]]
29: [[12, 1], [10, 3, 16], [4, 2, 5], [6, 13, 14, 7, 11], [9, 15, 8, 17], [19, 18, 20], [22, 23], [21, 24]]
30: [[7, 16, 11], [12, 1, 10, 3], [4, 2, 5], [6, 13, 14, 9], [15, 8, 17, 19, 18, 20, 22, 23, 21, 24]]
31: [[12, 1, 16], [10, 3], [4, 2, 5], [6, 13], [14, 9, 7, 11], [15, 8, 17, 19], [18, 20, 22, 23, 21, 24]]
32: [[12, 1], [10, 3, 4], [2, 5, 6], [13, 14, 7, 11], [9, 15, 8], [17, 19], [18, 20, 16], [22, 23, 21], [24]]
33: [[12], [1, 10], [3, 4, 16], [2, 5, 6], [13, 14, 7, 11], [9, 15, 8], [17, 19], [18, 20, 22, 23], [21, 24]]
34: [[11, 12, 1, 10, 7], [3, 4, 2, 5, 6, 13, 14, 16], [9, 15, 8], [17, 19, 18, 20, 22, 23, 21, 24]]
35: [[12, 1, 10, 11], [3, 4, 16], [2, 5, 6], [13, 14, 9, 15, 7], [8, 17, 19, 18, 20, 22], [23], [21, 24]]
36: [[12], [1, 10, 3, 4], [2, 5], [6, 13], [14, 9, 15], [8, 17, 7, 11], [19, 18, 16], [20, 22, 23, 21, 24]]
37: [[7, 16, 11], [12, 1], [10, 3], [4, 2], [5, 6, 13, 14], [9, 15, 8, 17, 19, 18, 20, 22, 23, 21, 24]]
38: [[11, 12, 1, 7, 16], [10, 3], [4, 2, 5, 6], [13, 14, 9, 15, 8, 17, 19, 18, 20, 22, 23, 21, 24]]
39: [[11, 12, 1, 7, 16], [10, 3], [4, 2, 5, 6], [13, 14, 9, 15, 8, 17, 19, 18, 20, 22, 23, 21, 24]]
40: [[12, 1, 16], [10, 3, 4], [2, 5, 6], [13, 14, 7, 11], [9, 15], [8, 17, 19], [18, 20, 22, 23], [21, 24]]
41: [[12], [1, 10, 3, 4, 16], [2, 5], [6, 13, 14, 7, 11], [9, 15, 8, 17, 19, 18, 20, 22, 23, 21, 24]]
42: [[12, 1, 10], [3, 4, 2, 16], [5, 6, 13], [14, 9, 15], [8, 17, 7, 11], [19, 18], [20, 22, 23], [21, 24]]
43: [[12], [1, 10], [3, 4, 16], [2, 5, 6], [13, 14, 9, 7, 11], [15, 8, 17], [19, 18, 20, 22, 23], [21, 24]]
44: [[12], [1, 10, 11], [3, 4, 16], [2, 5], [6, 13, 14, 7], [9, 15, 8, 17, 19, 18, 20, 22, 23, 21, 24]]
45: [[12], [1, 10, 11], [3, 4, 16], [2, 5], [6, 13], [14, 9, 15, 8, 7], [17, 19, 18, 20, 22, 23, 21, 24]]
46: [[11, 12, 7], [1, 10, 3, 16], [4, 2, 5, 6, 13, 14, 9, 15, 8, 17, 19, 18, 20, 22, 23, 21, 24]]
47: [[11, 12, 1, 10, 7, 16], [3, 4], [2, 5, 6, 13], [14, 9, 15, 8, 17, 19, 18, 20, 22, 23, 21, 24]]
48: [[7, 16, 11], [12, 1, 10], [3, 4, 2, 5, 6, 13, 14, 9, 15, 8, 17, 19, 18, 20, 22, 23, 21, 24]]
49: [[7, 16], [11, 12, 1, 10, 3, 4, 2, 5, 6, 13, 14, 9, 15, 8, 17, 19, 18, 20, 22, 23, 21], [24]]
