0: [[20, 17], [13, 8, 19, 1, 2, 12], [11, 7], [10, 9, 14, 6], [15, 4, 5], [18, 3, 16], [22], [23, 21, 24]]
18: [[12, 8, 20, 17], [19, 1, 11], [2], [7, 10], [9, 14], [6, 15, 13], [4, 18, 5], [3, 16], [22, 23, 21, 24]]
19: [[13, 17], [12, 8, 20, 5], [19, 1], [11, 2], [7, 10], [9, 14], [6, 15], [4, 18, 3, 16], [22, 23, 21, 24]]
20: [[13, 17], [12, 8, 19], [1, 11], [2, 7], [10, 9, 20], [14, 6, 15], [4, 18, 5], [3, 16, 22], [23, 21, 24]]
21: [[20, 17], [5, 13, 12, 8, 19], [1, 11, 2], [7, 10, 9, 14], [6, 15, 4, 18], [3, 16, 22, 23], [21, 24]]
22: [[12, 8, 20, 17], [19, 1, 13], [11, 2, 7], [10, 9, 14], [6, 15], [4, 18, 5], [3, 16], [22, 23], [21, 24]]
23: [[20, 17], [5, 13, 12], [8, 19], [1, 11, 2], [7, 10, 9], [14, 6, 15, 4], [18, 3, 16], [22, 23], [21, 24]]
24: [[13, 17], [12, 8, 20], [19, 1], [11, 2, 7], [10, 9, 14], [6, 15, 4, 5], [18], [3, 16, 22, 23], [21, 24]]
25: [[20, 17, 5, 13, 12, 8, 19, 1, 11, 2, 7, 10, 9, 14, 6, 15, 4, 18, 3, 16], [22, 23], [21, 24]]
26: [[20, 17], [5, 13, 12, 8, 19, 1, 11, 2, 7, 10, 9, 14, 6, 15, 4, 18, 3, 16, 22, 23], [21, 24]]
27: [[20, 17], [5, 13, 12], [8, 19], [1, 11, 2], [7, 10, 9], [14, 6], [15, 4, 18], [3, 16], [22, 23, 21], [24]]
28: [[5, 17], [12, 8, 19, 20, 13], [1, 11], [2, 7, 10, 9, 14], [6, 15, 4], [18, 3, 16, 22, 23, 21, 24]]
29: [[12, 8, 20, 17, 5], [19, 1, 13], [11, 2], [7], [10, 9], [14, 6, 15], [4, 18, 3, 16], [22, 23], [21, 24]]
30: [[13, 12, 17, 5], [8, 19, 1, 20], [11, 2], [7, 10], [9, 14, 6], [15, 4, 18, 3], [16, 22, 23], [21, 24]]
31: [[20, 17], [5, 13, 12], [8, 19], [1, 11, 2], [7, 10], [9, 14, 6], [15, 4, 18], [3, 16, 22, 23, 21, 24]]
32: [[13, 12, 17, 5], [8, 19, 1, 20], [11, 2, 7, 10], [9, 14], [6, 15, 4, 18, 3, 16, 22, 23, 21, 24]]
33: [[20, 17, 5, 13], [12, 8, 19, 1, 11, 2, 7, 10, 9, 14, 6], [15, 4, 18, 3, 16, 22, 23, 21, 24]]
34: [[13, 12, 8, 5], [19, 1, 11], [2, 7], [10, 9, 20, 17], [14, 6], [15, 4, 18, 3], [16, 22, 23, 21, 24]]
35: [[13, 17, 5], [12, 8, 20], [19, 1, 11, 2], [7, 10, 9, 14], [6, 15, 4, 18], [3, 16, 22, 23, 21, 24]]
36: [[20, 17], [13], [8, 19, 1, 12], [11, 2], [7, 10, 9, 14], [6, 15, 5], [4, 18, 3], [16, 22, 23], [21, 24]]
37: [[5, 17], [12, 8, 19, 20, 13], [1, 11], [2, 7], [10, 9, 14], [6, 15, 4], [18, 3, 16, 22, 23, 21, 24]]
38: [[20, 17], [13], [8, 19, 1, 11, 12], [2, 7], [10, 9, 14, 6], [15, 4, 18, 5], [3, 16, 22, 23, 21, 24]]
39: [[20, 17], [13], [12, 8, 19, 1, 5], [11, 2, 7, 10], [9, 14, 6, 15, 4, 18, 3, 16, 22, 23, 21, 24]]
40: [[13, 17], [12, 8, 20, 5], [19, 1, 11], [2, 7, 10, 9], [14, 6, 15], [4, 18, 3], [16, 22, 23], [21, 24]]
41: [[12, 20, 13], [8, 19, 17, 5], [1, 11], [2, 7], [10, 9], [14, 6, 15], [4, 18, 3], [16, 22, 23], [21, 24]]
42: [[13, 17], [12, 8, 19, 20, 5], [1, 11], [2, 7, 10, 9], [14, 6, 15], [4, 18, 3, 16, 22, 23, 21, 24]]
43: [[13, 12, 20, 17], [8, 19, 1, 11], [2, 7], [10, 9, 14], [6, 15, 4, 5], [18, 3], [16, 22, 23, 21], [24]]
44: [[13, 12, 8, 20, 17], [19, 1], [11, 2], [7, 10], [9, 14], [6, 15], [4, 5], [18, 3, 16, 22, 23, 21, 24]]
45: [[13, 17], [12, 8, 20, 5], [19, 1, 11, 2], [7, 10], [9, 14], [6, 15], [4, 18, 3], [16, 22, 23, 21, 24]]
46: [[20, 17], [5, 13, 12], [8, 19, 1, 11, 2, 7, 10, 9, 14, 6, 15, 4, 18, 3, 16, 22, 23, 21, 24]]
47: [[13, 12], [8, 19, 1, 20, 5], [11, 2], [7, 10, 9, 17], [14, 6, 15, 4, 18, 3, 16, 22, 23, 21, 24]]
48: [[13, 12, 17], [8, 19, 1, 20], [11, 2], [7, 10, 9], [14, 6, 15], [4, 18, 5], [3, 16, 22, 23, 21, 24]]
49: [[20], [13], [12, 8, 19, 1, 5], [11, 2, 7, 10, 9, 14, 6, 15, 4, 18, 3, 16, 22, 23, 21, 24, 17]]
