0: [[23, 28], [1, 2, 15, 7], [16, 9, 17, 11], [24, 18, 10], [3, 20], [4, 8, 12], [25, 5], [6, 13, 22], [19, 29, 14], [21, 26, 27]]
41: [[23, 28], [1, 2, 15, 7], [16, 9, 17], [11, 24, 18], [10, 3], [20, 4, 8], [12, 25, 5], [6, 13], [22, 19, 29], [14, 21], [26, 27]]
42: [[23, 28], [1, 2, 15], [7, 16, 9, 17, 11, 24, 18, 3, 10, 20, 4, 8, 12, 25], [5, 6, 13, 19, 22, 29, 14, 21, 26, 27]]
43: [[23, 28], [1, 2], [15, 7, 16], [9, 17], [11, 24, 18], [3, 10, 20], [4, 8, 25], [5, 12, 6, 13, 22, 19, 29, 14, 21, 26, 27]]
44: [[23, 28], [1, 2], [15, 7, 16, 9, 17, 11, 24, 18, 10, 3, 20, 4, 8, 12], [25, 5, 6, 13, 19, 22, 29, 14, 21, 26, 27]]
45: [[23, 28], [1, 2], [15, 7, 16], [9, 17, 11], [24, 18], [10, 3], [20, 4, 8, 12, 25, 5, 6, 13, 22, 19, 29, 14, 21, 26, 27]]
46: [[23, 28], [1, 2], [15, 7], [16, 9, 17], [11, 24, 18], [10, 3, 20], [4, 8, 12, 25, 5, 6, 13, 22, 19, 29, 14, 21, 26, 27]]
47: [[23, 28], [1, 2], [15, 7, 16], [9, 17], [11, 24, 18], [10, 3, 20], [4, 8, 12, 25, 5, 6, 13, 22, 19, 29, 14, 21, 26, 27]]
48: [[23, 28], [1, 2], [15, 7], [16, 9, 17], [11, 24, 18], [10, 3], [20, 4, 8], [12, 25, 5], [6, 13], [22, 19, 29], [14, 21, 26, 27]]
49: [[23, 28], [1, 2], [15, 7, 16], [9, 17], [11, 24], [18, 10, 3], [20, 4, 8], [12, 25], [5, 6, 13], [22, 19, 29], [14, 21, 26, 27]]
50: [[23, 28], [1, 2, 15], [7, 16, 9], [17, 11, 24, 18, 10, 3, 20, 4, 8, 12, 25, 5, 6, 13, 19, 22, 29, 14, 21, 26, 27]]
51: [[23, 28], [1, 2], [15, 7], [16, 9, 17], [11, 24], [18, 10, 3], [20, 4, 8], [12, 25, 5], [6, 13, 19], [22, 29], [14, 21], [26, 27]]
52: [[23, 28], [1, 2], [15, 7], [16, 9, 17], [11, 24], [18, 10, 3], [20, 4, 8], [12, 25, 5], [6, 13], [22, 19, 29], [14, 21, 26, 27]]
53: [[23, 28], [1, 2], [15, 7, 16], [9, 17], [11, 24], [18, 10, 3], [20, 4], [25, 5, 6], [8, 12, 13], [19, 29], [21, 22, 26], [27, 14]]
54: [[23, 28, 1], [2, 15], [7, 16, 9], [17, 11], [24, 18, 10], [3, 20, 4], [8, 12, 25], [5, 6, 13, 22, 19, 29, 14, 21, 26, 27]]
55: [[23, 28], [1, 2, 15], [7, 16, 9], [17, 11], [24, 18], [10, 3], [20, 4, 8], [12, 25, 5], [6, 13], [19, 22, 29], [14, 21, 26], [27]]
56: [[23, 28, 1], [2, 15, 7], [16, 9], [17, 11], [24, 18, 10], [3, 20, 4, 8, 12, 25, 5, 6, 13, 19, 22, 29, 14, 21, 26, 27]]
57: [[23, 28], [1, 2, 15], [7, 16], [9, 17, 11, 24], [18, 10, 3], [20, 4], [8, 12, 25], [5, 6, 13, 22, 19, 29, 14, 21, 26, 27]]
58: [[23, 28, 1], [2, 15], [7, 16], [9, 17], [11, 24], [18, 3], [10, 20], [4, 8], [12, 25], [5, 6, 13], [22, 19, 29, 14, 21], [26, 27]]
59: [[23, 28, 1, 22], [2, 15], [7, 16], [9, 17], [11, 24, 10], [18, 3, 20, 4, 8, 25, 5, 6, 13, 19, 29, 21, 26, 27, 12, 14]]
