0: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
35: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
36: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
37: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
38: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
39: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
40: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
41: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
42: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
43: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
44: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
45: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
46: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
47: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
48: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
49: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
50: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
51: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
52: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
53: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
54: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
55: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
56: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
57: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
58: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
59: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
