0: [[22, 1, 2, 5, 3, 6, 4, 9], [7, 11], [10, 13, 8, 14, 12, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
17: [[22, 1, 2], [5, 3, 6, 4, 9, 7, 11, 10], [13, 8], [14, 12, 15, 16, 18, 17], [19, 20], [23, 21, 24]]
18: [[22, 1, 2], [5, 3, 6, 4, 9, 7, 11, 10], [13, 8], [14, 12, 15, 16, 18, 17], [19, 20], [23, 21, 24]]
19: [[22, 1, 2, 5, 3, 6], [4, 9], [7, 11], [10, 13, 8], [14, 12, 15, 16, 18, 17, 19, 20], [23, 21, 24]]
20: [[22, 1], [2, 5], [3, 6, 4, 9, 7, 11, 10], [13, 8, 14, 12, 15, 16, 18], [17, 19, 20], [23, 21, 24]]
21: [[22, 1], [2, 5], [3, 6, 4, 9, 7, 11, 10], [13, 8, 14, 12, 15, 16, 18], [17, 19, 20], [23, 21, 24]]
22: [[22, 1], [2, 5, 3, 6, 4, 9, 7, 11], [10, 13, 8, 14, 12, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
23: [[22, 1], [2, 5, 3, 6, 4, 9, 7, 11], [10, 13, 8, 14, 12, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
24: [[22, 1], [2, 5, 3, 6, 4, 9, 7, 11], [10, 13, 8, 14, 12, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
25: [[22, 1, 2, 5], [3, 6], [4, 9, 7, 11, 10], [13, 8], [14, 12, 15, 16, 18, 17, 19, 20], [23, 21, 24]]
26: [[22, 1], [2, 5, 3, 6, 4], [9, 7, 11, 10, 13, 8], [14, 12], [15, 16, 18, 17, 19, 20], [23, 21, 24]]
27: [[22, 1], [2, 5, 3, 6, 4, 9, 7], [11, 10, 13, 8, 14, 12, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
28: [[22, 1, 2], [5, 3], [6, 4, 9, 7, 11, 10], [13, 8], [14, 12, 15, 16, 18, 17, 19, 20], [23, 21, 24]]
29: [[22, 1, 2], [5, 3], [6, 4, 9, 7, 11, 10, 13], [8, 14], [12, 15, 16, 18, 17, 19, 20], [23, 21, 24]]
30: [[22, 1], [2, 5, 3, 6, 4], [9, 7, 11, 10, 13, 8, 14, 12], [15, 16], [18, 17, 19, 20], [23, 21, 24]]
31: [[22, 1], [2, 5, 3, 6, 4, 9], [7, 11, 10, 13, 8, 14, 12, 15, 16], [18, 17], [19, 20], [23, 21, 24]]
32: [[22, 1, 2], [5, 3], [6, 4, 9, 7, 11, 10, 13], [8, 14, 12, 15, 16, 18, 17], [19, 20], [23, 21, 24]]
33: [[22, 1, 2, 5, 3, 6, 4, 9, 7], [11, 10], [13, 8, 14, 12, 15, 16], [18, 17], [19, 20], [23, 21, 24]]
34: [[22, 1, 2, 5], [3, 6], [4, 9, 7, 11, 10, 13], [8, 14, 12, 15, 16, 18, 17], [19, 20], [23, 21, 24]]
35: [[22, 1, 2, 5], [3, 6], [4, 9, 7, 11, 10, 13], [8, 14, 12, 15, 16, 18, 17], [19, 20], [23, 21, 24]]
36: [[22, 1], [2, 5], [3, 6, 4, 9, 7, 11, 10], [13, 8, 14, 12, 15, 16, 18, 17], [19, 20], [23, 21, 24]]
37: [[22, 1, 2], [5, 3], [6, 4, 9, 7, 11, 10, 13, 8], [14, 12, 15, 16, 18, 17], [19, 20], [23, 21, 24]]
38: [[22, 1], [2, 5], [3, 6, 4, 9, 7, 11], [10, 13], [8, 14, 12, 15, 16, 18, 17, 19, 20], [23, 21, 24]]
39: [[22, 1, 2, 5, 3], [6, 4], [9, 7], [11, 10, 13, 8, 14, 12, 15, 16, 18], [17, 19, 20], [23, 21, 24]]
40: [[22, 1, 2, 5, 3, 6, 4, 9], [7, 11, 10], [13, 8], [14, 12, 15, 16, 18], [17, 19], [20, 23, 21, 24]]
41: [[22, 1, 2, 5, 3, 6, 4, 9], [7, 11, 10, 13, 8, 14], [12, 15], [16, 18], [17, 19, 20, 23], [21, 24]]
42: [[22, 1], [2, 5, 3, 6, 4, 9], [7, 11, 10, 13, 8, 14, 12, 15], [16, 18], [17, 19], [20, 23, 21, 24]]
43: [[22, 1, 2, 5, 3, 6, 4, 9], [7, 11], [10, 13, 8, 14, 12, 15, 16], [18, 17], [19, 20, 23], [21, 24]]
44: [[22, 1], [2, 5, 3, 6, 4, 9, 7], [11, 10, 13, 8, 14, 12, 15], [16, 18], [17, 19], [20, 23, 21, 24]]
45: [[22, 1], [2, 5], [3, 6, 4, 9, 7, 11, 10], [13, 8], [14, 12, 15, 16, 18, 17, 19], [20, 23, 21, 24]]
46: [[22, 1, 2, 5, 3, 6], [4, 9], [7, 11, 10, 13, 8, 14, 12, 15], [16, 18], [17, 19, 20, 23], [21, 24]]
47: [[22, 1], [2, 5], [3, 6, 4, 9, 7], [11, 10], [13, 8, 14, 12, 15, 16, 18, 17, 19], [20, 23, 21, 24]]
48: [[22, 1, 2, 5, 3], [6, 4], [9, 7, 11, 10, 13, 8, 14, 12], [15, 16], [18, 17, 19], [20, 23, 21, 24]]
49: [[22, 1], [2, 5, 3, 6, 4, 9, 7, 11], [10, 13], [8, 14, 12, 15, 16, 18], [17, 19], [20, 23, 21, 24]]
