0: [[1, 35, 7, 2], [13, 3, 5, 8, 6, 21], [20, 12, 24], [9, 4, 11, 26, 14, 16, 17, 19, 15, 30, 10, 18], [22, 28, 25, 23], [29, 27, 31, 40, 42], [36, 41, 32, 37], [34, 47, 33, 39, 44, 38, 45, 46, 43], [57, 49], [50, 53, 48, 54, 51, 55], [59, 52, 58, 56, 60]]
11: [[1, 35, 7, 2], [13, 3, 21, 6], [5, 4, 8, 11], [30, 9, 10, 12, 14], [23], [15, 18, 17, 25, 19], [29, 16, 20, 22, 27, 26], [24, 28, 31, 32, 37, 33, 36, 34, 38, 39, 41, 42, 43, 47, 46, 44, 40, 45], [51, 58, 48, 55, 54, 50, 56, 53], [49, 52, 57, 59, 60]]
12: [[1, 35, 7, 2], [13, 3, 21, 6, 4, 5, 14, 11, 9, 12, 8], [27, 31, 25, 10, 15, 17, 18, 23, 16, 20, 19, 26, 22, 24, 28, 29, 30, 60, 53, 38, 39, 32, 36, 33, 34, 37, 40, 43, 41, 42, 44, 45, 58, 48, 55, 56, 46], [51, 57, 47, 49, 50, 52, 54, 59]]
13: [[1, 35, 7, 2], [13, 3, 21, 6], [5, 8, 28, 9, 4, 11, 12, 18, 10, 26, 14, 20, 16, 15, 22, 24, 23, 17, 19, 27, 31, 25, 29, 30], [33, 37, 34, 38, 41, 44, 40, 32, 36, 42, 43, 45], [46, 39, 47, 48, 49, 52, 56, 54, 51, 53, 55, 50, 57, 58, 59, 60]]
14: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 10, 11, 9, 12, 14, 15, 17, 31, 25, 18, 8, 24, 16, 19, 23, 22, 26, 20, 29, 28], [27, 30, 48, 39, 32, 33, 34, 38, 47], [40, 44, 36, 42, 55, 46, 37, 41, 43], [50, 53, 45, 51, 49, 54, 59, 52, 56, 58, 57, 60]]
15: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 8, 11, 9, 10, 14, 15, 23, 24, 25, 18], [12, 17, 16, 19, 27, 20, 26, 22, 29, 28, 30, 31, 48, 37, 36, 32, 33, 34, 44, 42, 38, 47, 40, 39, 41, 43, 45, 51, 46, 52, 49, 54, 50, 53, 55], [59, 58, 56, 57, 60]]
16: [[1, 35, 7, 2], [13, 3, 21, 6], [5], [4, 8, 15, 24, 12, 30, 10, 11, 9, 23], [14, 18, 19, 25, 17, 22, 16, 20, 26, 27, 29, 28, 31, 32, 55, 37, 33, 41, 34], [36, 40, 38, 44], [39, 42, 45, 46, 43, 58, 48, 47, 50, 49, 51, 60, 52, 53, 56, 54, 57, 59]]
17: [[1, 35, 7, 2], [13, 3, 21, 6, 4, 11], [8, 5, 25, 9, 14, 10, 15, 12, 16, 18, 17, 23], [20, 31, 22, 19, 29, 27, 26, 30, 24, 28, 34, 37, 40, 32, 36, 33, 42, 38, 45, 47, 44, 46, 39, 41, 43, 51, 48, 52, 49, 54], [50, 53, 55, 58, 57, 56, 59, 60]]
18: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 8, 11, 29, 10, 9, 27, 14, 30, 15], [12, 20, 18, 16, 22, 17, 28, 25, 24, 26, 19, 23, 31, 33, 37, 48, 34, 36, 39, 32, 38, 47, 42, 41, 44, 43, 40, 55, 45, 46, 56, 49, 51, 50, 54, 53, 59], [52, 57, 58, 60]]
19: [[1, 35, 7, 2], [13, 3, 6, 21], [5, 12, 10, 11, 28, 4, 14, 19, 15, 25, 31, 8, 9, 18, 22, 17, 20, 27, 23, 24, 26, 30, 34, 37, 33, 36, 32, 38, 39, 43, 42, 47, 40, 46, 41, 44, 45, 48, 50, 51, 53, 49, 57, 55, 52, 58, 16, 29], [54, 56, 59, 60]]
20: [[1, 35, 7, 2], [13, 3, 21, 6], [5, 20, 12, 8], [4, 9, 10, 11, 14, 15, 23, 30, 17, 18, 22, 19], [25, 16, 24, 26, 27, 28, 29, 31, 44], [53, 33, 47, 34], [38, 36, 45, 39, 43], [40, 32, 37, 41], [46, 51, 48, 50, 52, 54], [42, 55, 56, 59, 49, 58, 57, 60]]
21: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 10, 15, 9, 12, 30, 11, 14, 8, 16, 19, 18, 17, 20, 23, 22, 24, 26, 27, 25, 29, 28, 31, 32], [37, 33, 39, 36, 42, 44, 40, 45, 34, 47, 46, 41, 50, 43, 49, 54, 52, 38, 48, 55, 53, 51, 57, 56, 59, 58, 60]]
22: [[1, 35, 7, 2], [13, 3, 21, 6, 4], [5, 8, 11, 24, 9, 10, 27, 12, 16, 15, 18, 31, 17, 19, 20, 22, 14, 25, 23, 30, 26, 28, 29, 33, 53, 32, 45, 37, 36, 38, 34], [40, 39, 49, 41, 43, 44, 42, 54, 46, 48, 57, 47, 52, 50, 55, 56, 51, 59, 58, 60]]
23: [[1, 35, 7, 2], [13, 3, 21, 6], [5, 4, 8, 11, 10, 12, 15, 9], [14, 26, 20, 18, 28, 17, 23, 19, 24, 16, 22, 25, 29, 27, 30, 31, 40, 37, 34, 39, 32, 33, 41, 43, 47, 36, 44, 38, 42, 51, 45, 46, 54, 53, 57, 50, 58, 48, 52], [49, 56, 55, 59], [60]]
24: [[1, 35, 7, 2], [13, 3, 21, 6, 4], [5, 8, 9, 26], [11, 10, 18, 15, 31, 12, 19, 16, 14, 17, 20], [22, 30, 23, 24, 25, 27, 29, 28, 36, 53, 34, 46, 32], [33, 44, 37, 38, 45, 42, 40, 39], [43, 41], [48, 54, 47, 52, 51, 55, 49, 50, 56, 57, 59, 58, 60]]
25: [[1, 35, 7, 2], [13, 3, 21, 6], [5, 4, 10, 11], [9, 12, 14, 15, 17, 27, 19, 18, 8, 25, 16, 23, 29, 22, 26, 20, 31, 30], [24, 28, 40, 37, 32, 33, 36, 34, 47], [41, 46, 38, 42, 39, 43, 44, 45, 56], [50, 52, 51, 49, 53, 54, 59, 55, 48, 58, 57, 60]]
26: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 12, 8, 24, 9, 10], [27, 26, 15, 11, 22, 20, 30, 14, 16, 19, 17], [25, 18, 23, 28, 29, 31, 40, 34, 37, 33, 32, 36, 39, 42, 38, 41, 46, 43, 44, 45, 53, 51, 48, 47, 57, 50, 49, 54, 55, 52, 56, 59, 58, 60]]
27: [[1, 35, 7, 2], [13, 3, 5, 10, 6, 21], [28, 12, 24], [4, 8, 26, 11, 9], [14, 19, 17, 15, 16, 27, 20, 22, 25, 18, 23, 29, 30, 31, 40, 37, 36], [32], [33, 39, 34, 47, 41, 38, 42, 43, 44], [46, 45, 49, 51, 48, 53, 52, 50, 55, 54, 59, 57, 56, 58, 60]]
28: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 10, 11], [29, 12, 8, 9], [25, 20, 28, 15, 17, 14, 26, 19, 27, 18, 16], [22, 23, 24, 31, 30, 32, 37, 34, 40, 33, 42, 36, 39, 43, 38, 44, 45], [46, 47, 41, 59, 48, 49, 53, 57, 55, 50, 51, 52, 58, 54, 56, 60]]
29: [[1, 35, 7, 2], [13, 3, 21, 6, 4, 5, 9, 11, 25, 12, 10, 15, 30, 8, 23, 14, 20, 18, 16, 19, 27, 22, 17, 26, 24, 28, 29, 31, 40, 37, 33, 36, 32, 34, 38, 43, 39, 45, 42, 44, 41], [46, 50, 47, 56, 49, 48, 53, 51, 52, 55, 58, 60, 57, 59, 54]]
30: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 8, 11], [28, 10, 12, 9, 20, 31, 15, 19, 14, 18, 17, 22], [16, 23, 24, 25, 26, 30, 27, 29, 41, 37, 32], [33, 38, 36, 43, 46, 45, 34, 39, 40, 42, 44, 47, 50, 57, 52, 60], [53, 49, 58, 48, 59, 51, 54, 55], [56]]
31: [[1, 35, 7, 2], [13, 3, 4, 12, 20, 21, 6], [8, 24, 9, 5, 18, 15, 11, 14, 16, 23, 10], [22, 17, 26, 19, 25, 28, 27, 30, 31, 29, 40, 42, 36, 33, 32, 39, 34, 37, 38, 41, 46, 43, 45, 44, 47, 59, 48, 49, 53, 50, 51, 54, 55, 52, 57, 58, 56, 60]]
32: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 8, 9], [10, 12, 11, 15], [31, 14, 26, 17], [23, 18, 20, 19, 22], [28, 24, 16, 25], [29, 27, 30, 56], [53, 36, 34, 37, 33, 47, 39, 32, 42, 38, 41], [40, 43, 44, 59, 50], [60, 45, 55, 48, 54, 46, 58, 49, 51, 57, 52]]
33: [[1, 35, 7, 2], [13, 3, 21, 6, 5, 4, 12, 11, 29, 9, 10, 8, 28, 14, 15, 22, 17, 20, 18, 19, 23, 24, 16, 25, 27, 30, 31, 26, 44], [53, 33, 41, 32], [36, 37, 47, 38, 34, 39, 42, 43], [40, 45, 54, 46, 48], [49, 50, 52, 58, 55, 51, 56, 59, 57, 60]]
34: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 10, 11], [9, 14, 12, 15, 19, 31, 25, 18, 8, 24, 16, 20, 17, 30, 26, 22, 23, 28], [27, 29, 48, 39, 32, 33, 34, 38, 46], [40, 44, 36, 47, 37, 42, 45, 41, 59], [43, 49, 53, 50, 51, 54, 52, 55, 58, 56, 57, 60]]
35: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 8, 9], [11, 12, 15, 20, 10, 19, 14, 30, 16, 23, 17, 18, 24, 22, 26, 27, 29, 25, 28], [31, 41, 53, 32, 38, 33, 34, 36, 42, 47, 37, 44, 40, 39, 43, 45, 50, 58, 54, 48, 49], [46, 52, 51, 55, 56, 57, 59, 60]]
36: [[1, 35, 7, 2], [13, 3, 21, 6, 5, 4, 12, 11, 9, 8, 14], [10, 31, 25, 18, 15, 16, 28, 19], [30, 27, 23, 17, 26, 24, 20, 22, 29, 48, 37, 33, 32, 34, 36, 38, 47, 39, 40, 42, 44, 41, 45, 43, 49, 58, 46, 51, 52, 53, 50, 55, 57, 54, 59, 56, 60]]
37: [[1, 35, 7, 2], [13, 3, 21, 6], [4], [5, 12, 11, 8, 9, 10, 14], [15, 29, 17, 22, 19, 18, 23, 16, 24], [25, 20, 26, 27, 28, 30, 31, 40, 37, 54, 38, 33, 34, 46, 42, 47, 36, 32, 39, 41, 45, 44, 43, 48, 50, 53, 49], [51, 52, 55, 56, 58, 57, 59, 60]]
38: [[1, 35, 7, 2], [13, 3, 21, 4, 6], [30, 20, 9, 8], [5, 10, 11, 27, 15], [16, 17, 19, 29], [22, 12, 14, 28, 18, 25], [23, 24, 26], [31, 40, 44, 32], [43, 36, 34, 33, 47], [37, 38, 39, 42], [45, 46], [41, 59], [49, 54, 55, 53, 50, 52, 57], [51, 48, 58, 56, 60]]
39: [[1, 35, 7, 2], [13, 3, 21, 6, 4, 5, 8, 11], [24, 12, 9, 18], [14, 30, 26, 27, 31, 15, 16, 10, 17, 20, 22, 25, 19, 28, 23, 29, 34, 37, 32, 33, 38, 36, 39], [40, 42, 47, 56, 44, 41, 46, 45, 54, 48, 49, 52, 43, 53, 55, 50, 59, 51, 58, 57, 60]]
40: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 8, 11], [10, 12, 15, 9, 26, 14, 18, 31, 25, 23, 17, 19, 16, 20, 22, 24, 28, 27, 29], [30, 40, 53, 32, 33, 34, 38, 36, 46, 45, 37, 39, 42, 43, 44, 41, 50, 56, 54, 48, 49], [47, 52, 51, 55, 57, 58, 59, 60]]
41: [[1, 35, 7, 2], [13, 3, 21, 6, 4, 5, 8, 9], [28, 10, 14, 25, 11, 29, 12, 22], [15, 18, 16, 19], [20, 23, 24, 27, 26, 17], [31, 30, 58, 37, 33, 32, 36, 34], [46, 38, 39, 47, 41, 42, 45], [44, 40, 43, 49, 52], [53, 54, 48, 50, 57, 55, 51, 56, 59, 60]]
42: [[1, 35, 7, 2], [13, 3, 21, 6], [5], [12, 8, 15, 25], [4, 9, 10, 11, 29, 16, 14, 19, 20, 28, 23, 18, 17, 22, 27, 24, 26, 30, 31, 32, 39, 33, 37, 36, 34, 46, 44, 38, 40, 47, 42, 43, 53, 41, 58, 50, 45, 52, 49, 48, 54, 51, 55, 56, 57, 59, 60]]
43: [[1, 35, 7, 2], [13, 3, 21, 6, 5, 4, 10, 9, 8], [14, 12, 26, 15, 19, 11, 23, 18, 16, 17, 27], [22, 24, 20, 28, 25, 30, 29, 31, 42, 37, 32, 36, 33, 38, 45, 34, 40, 39, 47, 41, 46, 43, 44, 49, 52, 48, 50, 51, 53, 56, 54, 59, 55, 57, 60, 58]]
44: [[1, 35, 7, 2], [13, 3, 21, 6, 4], [20], [8, 11, 9, 14], [15, 12, 10, 19, 16, 18], [17], [22, 5, 26, 23, 31], [30, 27, 25, 24, 29, 28, 40, 45, 33, 38, 32, 36, 34, 42, 37, 39, 44, 41, 47], [43, 46, 49, 56, 50, 52, 51], [53, 55, 54, 57, 48, 58, 59, 60]]
45: [[1, 35, 7, 2], [13, 3, 21, 6, 4, 5, 10, 11, 9, 12, 15, 8], [19, 25, 14, 18, 17, 16, 22, 23, 24, 26, 27, 20, 31, 28, 30, 29, 48, 37, 38, 32, 33, 36, 47, 39, 44, 41, 34, 46, 43, 40, 45, 42, 49, 53, 50, 55, 51, 57, 52, 54, 58, 59, 56, 60]]
46: [[1, 35, 7, 2], [13, 3, 21, 6, 11, 5], [30, 8, 24], [4, 12, 10, 9, 14], [26, 15, 16, 23, 22, 17, 20, 18, 19, 25, 31], [29], [28, 27, 32, 37, 36, 33, 34, 39, 43, 41, 44, 38, 40, 42, 45], [46, 47, 49, 53, 48, 50, 52, 51, 55, 60, 54, 59, 56, 58, 57]]
47: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 26, 11, 27, 9, 10], [8, 14, 12, 20, 15, 17, 16, 18, 19, 23], [30, 22, 28, 24, 31, 29, 25, 40, 37, 32, 33, 38, 34, 39, 36, 47, 45, 41, 46, 42, 58, 43, 44, 59, 52, 48, 49, 55, 54, 50, 57, 56, 51, 53, 60]]
48: [[1, 35, 7, 2], [13, 3, 21, 6, 5, 4, 8, 9, 15, 11, 10, 18, 12, 19, 14, 27, 16, 23, 17], [20, 26, 22, 24, 28, 29, 30, 25, 31, 41, 53, 33, 37, 32, 36, 34, 42, 47, 38, 40, 44], [45, 43, 39, 54, 59, 49, 50, 51], [46, 55, 48, 52, 56, 57, 58, 60]]
49: [[1, 35, 7, 2], [13, 3, 21, 6, 5, 4, 30, 9, 8], [14, 10, 12, 16, 15, 11, 23, 18, 17, 19, 25, 20], [22, 28, 26, 27, 24, 29, 31, 40, 37, 33, 36], [38, 32, 43, 47, 39, 34, 46, 41, 42, 44, 56, 48, 45, 49, 51, 53], [50, 52, 54, 59, 60, 55, 58, 57]]
50: [[1, 35, 7, 2], [13, 3, 21, 6, 4], [11, 9, 5, 8], [12, 14, 10, 25, 30, 17], [24, 15, 19, 20, 18, 16, 23], [22, 31, 26, 27, 28, 29, 32, 37, 34, 38, 36, 44, 33, 39, 43, 40, 45, 41, 42, 46, 47, 51, 57, 52, 55, 56, 53, 50, 54, 49, 48, 58, 59, 60]]
51: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 10, 11], [8, 9, 12, 20, 14, 31, 15], [22, 17, 23, 16, 26, 28, 30], [18, 19, 24, 25, 27, 29, 40, 53, 32, 46, 33, 34, 36, 42, 38, 39, 37, 44, 43, 41, 45, 47, 58, 54, 49, 52, 50, 48, 51, 55, 57, 59, 56, 60]]
52: [[1, 35, 7, 2], [13, 3, 21, 6, 4, 5], [28, 11, 24, 14, 9, 8], [12, 15, 10, 23, 20], [18, 16, 17, 30], [29, 19, 22, 26, 25, 27, 31, 40, 55, 39, 33, 36, 32, 38, 42, 34, 47, 44, 37, 46, 41, 43, 52, 56, 45, 53, 48, 54, 49, 50, 51, 58, 59, 57, 60]]
53: [[1, 35, 7, 2], [13, 3, 21, 6], [4], [5, 8, 15, 9, 12, 26, 10, 14, 11, 16], [31, 18, 19, 28, 20, 22, 17, 23, 24, 25, 27], [30, 29, 32, 55, 33], [37, 40, 34, 36, 44, 38, 41, 39, 42, 45, 47, 43, 59, 48, 50, 46, 49, 52, 54, 51, 53, 56, 58, 57, 60]]
54: [[1, 35, 7, 2], [13, 3, 21, 6], [4], [5, 8, 15, 9, 12, 26, 10, 14, 11, 16], [31, 18, 19, 28, 20, 22, 17, 23, 24, 25, 27], [30, 29, 32, 55, 33], [37, 40, 34, 36, 44, 38, 41, 39, 42, 45, 47, 43, 59, 48, 50, 46, 49, 52, 54, 51, 53, 56, 58, 57, 60]]
55: [[1, 35, 7, 2], [13, 3, 21, 6, 5, 4, 24], [10, 8, 9, 11, 15], [12, 14, 23, 22, 17], [19, 18, 16, 20, 26, 28, 27, 29, 31, 25, 30, 41], [33, 32, 34, 36, 38, 40, 43, 37, 39, 42], [46, 45, 47, 56, 48, 44, 54, 49, 51, 55, 53, 50, 58, 52, 59, 57, 60]]
56: [[1, 35, 7, 2], [13, 3, 21, 6, 4, 5, 16, 9, 17, 11, 10, 8, 14, 12, 23], [15, 18, 22, 20, 19, 26, 27, 24, 29, 28, 25, 31, 30, 32, 37, 33, 45, 36, 34, 38, 47, 39, 41, 40, 42, 43, 44, 56, 50, 46, 51, 48, 53, 49, 52, 55, 54, 60, 57, 59, 58]]
57: [[1, 35, 7, 2], [13, 3, 21, 6, 5], [4, 9, 10, 11, 14, 8, 29, 15], [12, 28, 16, 27, 31], [26, 17, 25, 19, 22, 18, 20, 23, 24], [30, 47, 37, 32, 36, 33, 34, 38, 39, 42, 43, 44, 45], [41, 46, 40, 49, 48, 60, 51, 54, 52, 50, 53, 59, 58, 55], [57, 56]]
58: [[1, 35, 7, 2, 13, 3, 21, 6], [4, 5, 24, 11, 20], [8, 12, 18, 14, 26, 22, 9, 15, 16, 19, 23, 28, 17, 25, 27, 29, 30, 31, 34, 37, 32, 39, 44, 36, 33, 40, 38, 41, 42, 43, 10], [47, 45, 46, 48, 59, 56, 57, 54, 49, 51, 55, 50, 52, 58, 53, 60]]
59: [[1, 35, 7, 2], [13, 3, 21, 6, 5], [4], [9, 11, 25, 10], [8, 14, 12, 23, 15, 16], [17], [26, 19, 30, 20, 28], [22, 24, 27, 18, 31, 29, 40, 45, 32, 33, 34, 36, 38, 42, 39, 41, 46, 43, 44, 47, 54, 49, 50, 53, 56, 51, 55, 57, 37, 59, 48, 58, 60, 52]]
60: [[1, 35, 7, 2], [13, 3, 5, 6, 4, 21], [16, 8, 24], [9, 12, 11, 30, 10, 19, 25, 14, 15, 17, 20, 18], [22, 28, 26, 29], [23, 27, 31, 32, 34], [37, 33, 36, 44], [42, 47, 41, 38, 39, 43, 40, 46, 45, 51, 49, 50, 53, 52, 48, 55], [58, 54, 57, 59, 56, 60]]
61: [[1, 35, 7, 2], [13, 3, 21, 6, 4, 5, 8, 9, 29], [11, 14, 10, 15, 31, 23, 12, 20, 16, 19, 17, 22, 24, 18, 25], [28, 26, 27, 30, 40, 37, 32, 36, 41, 34, 38, 33, 44, 39, 43, 45, 42, 47, 46, 51, 50, 52, 54, 55, 49, 48, 53, 59, 56, 57, 60, 58]]
62: [[1, 35, 7, 2], [13, 3, 21, 6, 4], [5], [8, 11, 9, 12, 10, 30, 14, 15, 24, 31], [18, 16, 20, 22, 23], [17, 19, 28, 25], [26, 27, 29, 32, 55, 36, 37, 40], [34, 33, 38, 42, 45], [39, 47, 44, 41], [46, 59, 50, 43], [58, 49, 48, 54, 51], [52, 53, 56, 57, 60]]
63: [[1, 35, 7, 2], [13, 3, 21, 6, 4, 5, 8, 11, 9, 12, 14, 15], [20, 29, 17, 22, 10, 16, 23, 19, 27, 24, 18, 28, 25, 26, 30, 31, 56, 37, 36, 32, 33, 34, 47, 42, 44, 38, 39, 55, 40, 43, 45, 46, 50, 48, 41], [53, 51, 52, 49, 54], [57, 58, 59, 60]]
64: [[1, 35, 7, 2, 13, 3, 21, 6, 5, 4, 8, 9, 25, 10], [12, 11, 15, 28, 20, 30, 14, 19, 24, 18, 16, 17, 26, 31, 27, 22, 23, 29, 32, 37, 33, 34, 38, 36, 40, 43, 39, 44, 42, 41, 45, 47], [46, 52, 54, 48, 51, 55, 49, 50, 53, 56, 58, 57, 59, 60]]
65: [[1, 35, 7, 2], [13, 3, 21, 6, 5, 4, 10, 11, 25, 14, 8, 24, 28, 9, 15, 12, 19, 16, 30, 17, 27, 18, 20, 23, 22, 26, 29, 31, 32, 39, 33, 42, 34, 38, 36, 46, 37, 40, 43, 45, 44, 41, 47, 51, 50], [52, 49, 48, 53, 54, 58], [59, 55, 57, 56, 60]]
66: [[1, 35, 7, 2], [13, 3, 21, 6, 5, 4], [8], [11, 9, 10, 14], [12, 30, 15, 17, 19, 16], [20, 18, 24, 22, 23, 26], [25, 29, 27, 31], [28, 32, 37, 34], [33, 36], [38, 39, 46, 41], [47, 44, 40, 42, 43], [45, 60, 48, 53, 52, 49, 57, 51], [54, 50, 56, 55, 59, 58]]
67: [[1, 35, 7, 2], [13, 3, 5, 4, 6, 15, 20, 8, 25, 16, 14, 11, 10, 12, 23, 9, 19, 21, 30, 17, 18, 24, 26, 27, 22, 28, 31, 29, 40, 33, 32, 34, 36, 37], [38, 47, 39, 41, 42, 43, 45, 44, 58], [50, 46], [49, 48, 53, 54, 51, 55], [59, 60, 57, 56, 52]]
68: [[1, 35, 7, 2], [13, 3, 21, 6], [5, 4, 9, 10], [8, 12, 15, 14, 19, 11, 22, 20, 25, 16, 23, 17], [24, 18, 30, 26, 27, 28, 31, 29, 32, 37, 33, 40, 36, 38, 44, 39, 43, 41, 34, 47, 48, 42, 45, 53, 49, 55, 50, 52, 46, 57, 58, 51, 54, 59, 56, 60]]
69: [[1, 35, 7, 2], [13, 3, 21, 6, 4, 5, 8, 11, 9, 15, 10, 12, 30, 26, 14, 17, 25, 22, 16, 19, 23], [31, 28, 29, 18, 20, 24, 27, 32], [37, 33, 47, 36, 38, 34, 46, 39], [42, 44, 41, 43, 45, 48, 54, 50, 40, 52, 49, 51, 53, 55, 56, 58, 57, 59, 60]]
70: [[1, 35, 7, 2, 13, 3, 21, 6, 4], [5, 24, 11, 9, 8, 10, 12], [31, 29, 15, 14, 18, 16, 30, 17], [19, 20], [22, 25, 26, 23, 27], [28, 32, 52, 37, 33], [34, 46, 45, 36], [40, 43, 38, 41, 39, 44, 42, 57, 50, 47, 49], [51, 53, 54, 59, 48, 58, 55, 56], [60]]
71: [[1, 35, 7, 2, 13, 3, 5], [4, 6, 9, 8, 12, 24, 10, 14, 29, 15, 20, 11, 22, 17, 23], [16, 26, 18, 19, 25, 27, 21, 30, 28, 31, 34, 47, 38, 41, 36, 37, 32, 40, 33, 39, 42, 43, 44, 45, 46, 59, 55, 48], [53, 50, 49, 54, 51, 52, 60, 58, 57, 56]]
72: [[1, 35, 7, 2], [13, 3, 21, 6, 5], [12, 4, 11, 10], [9, 15, 8, 28, 25], [14, 18], [23, 17, 19, 16, 20, 22, 24, 29], [31, 26, 27, 30], [48], [45, 52, 37, 33], [34, 39, 36, 32, 38, 40, 46, 42], [41, 47, 59, 50, 54, 49, 43, 57, 55, 44, 51], [53, 56, 58, 60]]
73: [[1, 35, 7, 2], [13, 3, 21, 6, 4, 11], [24, 9, 5, 8], [10, 12, 15, 14, 30, 17], [23, 27, 28, 22, 20, 16, 18, 25], [19, 29, 31, 26, 40, 33, 32], [34, 36, 37, 42, 38], [39, 45, 41, 43, 44, 46, 47, 49, 52, 48, 54], [51, 55, 50, 53, 57, 58, 56, 59, 60]]
