0: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9], [41, 15, 14], [11, 13, 23], [25, 19, 16], [17, 20, 21], [28, 31, 43], [27], [26, 62, 29, 34], [30, 44, 39, 8], [35, 37, 32], [47, 36, 40], [42], [45, 61], [56, 58, 46], [50, 51], [49, 54, 55], [52, 53, 48], [59, 57], [60, 63, 68], [64, 66], [71, 67, 70], [69, 73, 77, 10], [72, 76, 74], [75, 78], [79, 82], [85, 80, 81], [87, 84, 86], [83, 88]]
11: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 11, 8], [26, 10, 13], [16, 21, 19, 20, 59], [17, 25, 56, 23, 15, 27, 30, 29, 31, 40, 28, 14, 32, 36, 47], [37, 35, 41, 45, 39, 62, 46, 43, 50, 44, 34, 52, 42, 48, 51, 57, 53, 49, 54, 55, 58, 60, 63, 61, 66, 64, 70, 69, 73, 77, 68, 67, 78, 71, 74, 75, 76, 72, 79, 81, 80, 83, 82, 87, 86, 84, 85, 88]]
12: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5, 7], [6, 9, 10, 11, 13, 21, 17, 31, 8, 15, 48, 19, 16, 20, 14, 29, 23, 27, 30, 25, 57, 26, 58, 28, 32, 50, 35, 34, 44, 37, 39, 41, 40, 42, 49, 46, 43, 61, 52, 63, 45, 36, 47, 51, 53, 55, 54, 60, 59, 56, 62, 64, 67, 66, 70, 76, 68, 77, 78, 72, 71, 73, 75, 74, 69], [79, 81, 84, 80, 83, 82, 85, 86, 87, 88]]
13: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5, 7], [6, 9, 10], [11, 8, 30, 15], [14, 13], [29, 17, 27, 19, 16, 20, 21, 54, 25, 23, 62, 26, 28, 37, 44, 52, 31, 51, 50, 35, 32, 36, 41, 43, 34, 39, 47, 40, 42, 45, 49, 56, 48, 46, 53, 58, 61, 55, 57, 63, 60, 59, 66, 64, 71, 67, 68, 73, 69, 74, 72, 70, 78, 75], [77, 76, 79, 82, 85, 80, 87, 81, 83, 86, 84, 88]]
14: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 10], [8, 11, 27, 15, 25], [23, 14], [16, 17, 21, 13], [20, 19, 63], [30, 26, 52], [29, 28], [48, 54, 50, 39, 44, 31, 32, 45, 40, 34, 36, 42, 35, 37, 47, 49, 41, 43, 46, 51, 53, 62, 60, 55, 56, 58, 57, 59, 61, 66, 64, 71, 67, 70, 79, 74, 69, 68, 75, 76, 72, 73, 77, 78, 80, 82, 81, 85, 86, 83, 87, 84, 88]]
15: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 10], [13, 15, 8, 14, 19, 17, 16, 21, 11, 20, 52, 27, 29, 23, 50, 26, 30, 62, 28, 31, 36], [58, 25, 35], [32, 34, 44], [49, 42, 37], [47, 40, 46], [45, 41, 55, 39, 48, 54, 57, 53], [63, 51, 56, 60, 59, 61, 43, 64, 66, 71, 69, 72, 76, 68, 70, 78, 67, 73, 74, 77, 75, 79, 81, 85, 80, 83, 82, 86, 84, 87, 88]]
16: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 40, 8], [47, 10, 28], [13, 19, 23], [11, 14, 16, 27, 15, 17], [25, 31, 21, 26, 52, 60, 29, 39, 34, 20, 48, 58, 30], [32, 35, 37, 46, 36, 44, 41, 42, 57, 43, 49, 50, 54, 45, 55, 51, 53, 56, 59, 62, 61, 63, 66, 64, 67, 87, 69, 68, 79, 70, 78, 76, 72, 71, 74, 73, 77, 80, 81, 83, 75, 86, 84, 82, 85, 88]]
17: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 10], [11, 14, 8, 15], [27, 16, 13, 23], [19, 17, 56], [52, 29, 21], [51], [25, 30], [62, 26], [58, 20, 31], [28, 50, 37], [35, 43, 39], [32, 34, 41], [45, 48, 40, 36, 42, 60, 59, 44, 46, 49, 47, 57, 53, 54, 55, 63, 61, 64, 68, 66, 87], [72, 76, 71, 70, 67, 73, 79, 69, 77, 78, 75], [82, 81, 80, 74, 86, 84, 85, 83, 88]]
18: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5, 7], [6, 9, 10], [11, 8, 15, 13, 14, 30, 17, 19, 25, 29, 20, 16, 21, 23, 26, 46, 62, 27, 28, 31, 60], [48, 45, 35, 34, 37, 39, 36, 41, 42, 43, 52, 47, 40, 44, 50, 49, 57, 32, 55, 54, 51, 53, 56, 61, 63, 58, 59, 66, 64, 71, 67, 68, 73, 69, 77, 72, 70, 74, 75, 76, 78, 79], [83, 81, 80, 85, 86, 84, 82, 87, 88]]
19: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 10], [8, 14, 26], [11, 15, 29, 13, 23, 17, 20, 50, 16, 25, 19, 52, 59, 30, 21, 27], [28, 54, 60, 41, 34, 31, 36, 35, 55, 40], [46, 44, 42, 32, 62, 43, 37, 49, 61, 45, 39], [47, 53, 48, 51, 56, 58, 57, 63, 64, 66, 67, 87], [68, 70, 71, 69, 74, 76, 73, 77, 72, 79, 86], [81, 75, 88, 83, 84, 78, 80, 82, 85]]
20: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9], [40, 8, 14, 45, 15], [10, 11, 13, 20, 16, 17, 19, 27, 21, 49, 31, 28, 23, 25, 26, 62, 29, 53, 44, 35, 30, 51, 36, 47, 48, 32, 34, 37, 39, 42, 41, 43, 46, 56, 52, 54, 61, 55, 59, 60, 50, 57, 58, 63, 68, 66, 75, 64], [77, 69, 67, 78, 70, 72, 71, 79, 86, 74, 83, 84, 73], [80, 76, 81, 82, 85, 87, 88]]
21: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5, 7], [6, 9, 10], [8, 23, 13], [11, 15], [25, 16, 20], [14, 17, 21], [27, 28, 31], [58, 29, 26, 52, 19, 30, 60, 40, 41, 35, 32, 42, 36, 48, 37, 43, 46, 47, 34, 45, 51, 39, 63, 53, 50, 49, 44], [57, 55, 56, 62, 61, 59, 54, 64, 66, 68, 86, 78, 67, 71, 70, 76, 69, 74, 75, 72, 80, 73, 83, 79, 81, 87, 82, 77, 84, 85, 88]]
22: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5, 7], [6, 9, 40], [8, 15], [11], [14, 13, 23], [26, 16, 19], [50, 20, 17], [57, 25, 28], [30, 29], [31, 21, 56], [41, 53, 42], [61, 32, 44, 34, 54, 59, 39, 10], [27, 35, 46, 63, 49, 43], [36, 45, 47, 37, 55, 48, 62, 51, 52, 58, 60, 66, 64, 74, 84], [76, 77, 67, 68, 79, 70, 69, 71, 72, 73, 75, 78, 85, 82, 80, 81, 87, 83, 88, 86]]
23: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5], [7, 6, 9, 10], [8, 15, 42], [11, 14, 28, 21, 13, 27, 17, 19, 60, 16, 20, 23, 25, 61], [58, 26, 31, 49, 29], [44, 30, 34, 35, 37, 32, 47, 40, 45, 56], [57], [36, 39, 43, 41, 46, 51, 48, 55, 54, 52, 53, 59, 50, 62, 63, 66], [68, 69, 67, 64, 71, 75, 74, 70, 72, 76, 73], [79, 77, 78, 83, 80, 82, 85, 84, 81, 87, 86, 88]]
24: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9], [10, 8, 25], [27, 13, 29, 26, 31, 11, 30, 14, 15, 49, 17, 16, 19, 20, 21, 23, 60], [32, 63], [62, 37], [36, 48, 61, 28], [34, 52, 35, 39, 42, 40, 43, 41, 45, 46, 47, 44, 58, 54, 51, 50, 53, 55, 59, 56, 57, 64, 70, 72, 85], [67, 76, 69, 75, 78, 68, 66, 71], [77, 73, 74, 83, 79, 80, 82, 84, 86, 81, 87, 88]]
25: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5, 7], [6, 9, 10, 8, 11, 15, 13, 14, 29, 20, 50, 17, 21, 19, 23], [25, 16, 60, 28, 27, 26, 30, 45, 31, 36, 54, 35, 32, 37, 40, 46, 47, 34, 44, 63, 41, 43, 39, 48, 62, 55, 42, 49, 53, 52, 56, 51, 57, 58, 59, 61, 64, 66, 76, 85, 69, 67, 74, 78, 70], [71, 73, 68, 72, 79, 75, 86], [81, 77, 83, 80, 84], [82, 87, 88]]
26: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5], [7, 6, 9], [10, 8, 59, 11], [15, 23, 20, 52, 13, 14, 19, 48], [21, 16, 17, 28], [63, 30, 25], [26, 27, 57], [37, 29], [62, 34], [32, 31, 35, 42], [41, 36, 39], [40], [43, 44, 47, 45, 60, 46, 49, 50, 53, 58, 54, 51, 55, 56, 61, 66, 72, 68, 69, 78, 67], [79, 64, 70], [71, 73, 74, 75, 76, 77, 82, 83, 80], [81, 86, 84, 85, 87, 88]]
27: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 8], [14, 26, 19], [13, 15, 25, 27], [10, 28], [17, 11], [51, 31, 16, 20], [23, 61], [29, 21, 30], [60, 34, 39], [35, 32, 36, 45, 46, 49, 37, 42, 44, 47, 40, 41, 59, 43, 50, 48, 52, 63, 57, 56, 53, 54, 55, 58, 62, 64, 66, 70, 85, 74, 77, 69, 68, 76, 79, 73, 75], [71, 72, 78, 67, 82, 81, 80, 83, 86, 87, 84, 88]]
28: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 10], [8, 14, 11], [13], [46, 20, 31, 15], [21, 17, 25], [43, 16], [51, 29, 55, 26], [19, 28, 23], [27, 30, 53, 32], [37, 36, 35, 41, 47, 57, 34], [40, 44], [42, 45, 54, 56, 39, 50, 49, 48, 52, 58, 59, 63, 61, 62, 60, 64, 80, 71, 69, 66, 68, 75, 78, 76, 70, 67, 73, 72, 74, 79, 77, 81, 84, 82, 83, 87, 86, 85, 88]]
29: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7, 6], [9, 40, 10], [8, 30, 15, 14], [11, 19, 23, 31, 16, 48, 53], [27, 17, 20, 21, 25, 26, 28, 13, 44, 57, 29, 32, 45, 36, 34, 42, 50, 43, 35, 37, 39, 41, 58, 46, 47, 52, 54, 51, 56], [49, 55, 60, 61, 62, 59, 63, 64, 69, 66, 80, 71, 77, 67, 72, 75, 68, 74, 73, 78, 70, 79, 76, 85, 81, 82, 83, 86], [84, 87, 88]]
30: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 10], [8, 15, 16, 14, 26, 17, 11, 29, 20, 13, 60, 19, 21, 23, 50, 25, 30, 62, 36], [27, 28, 59, 31], [39, 32, 34, 45], [35, 46, 37, 42], [41, 40, 43], [44, 61, 47, 58], [51, 49], [52, 55], [48, 53, 57, 63], [54, 56, 64], [66, 71, 69], [72, 76, 67, 68, 70, 73, 75, 74], [77, 78, 79, 80, 83, 81, 85, 82, 86, 84, 87, 88]]
31: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 8, 15], [14, 10], [13, 23], [27, 19, 16], [25, 21, 17], [11, 20, 43], [31, 26], [60, 29, 32], [30, 36, 35, 28], [34, 37, 42], [40, 44], [41, 45], [39, 56, 47], [58, 46, 50], [49, 53], [54, 51, 52, 59, 48, 61, 57, 62, 55, 85, 64, 68, 69, 70, 63, 67, 73, 71, 76, 66, 72, 79, 75, 74, 78, 82, 83, 80, 81, 87, 84, 86, 77, 88]]
32: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5, 7], [6, 9, 10], [8, 29], [11, 25, 30, 13, 15], [14, 16], [19, 28], [17, 20, 21], [23, 54, 42, 57, 26, 53, 31, 60], [36, 34, 27, 32, 43, 37], [40, 45], [35], [39, 41, 46], [59, 47, 44, 50, 49], [48, 52, 63], [55, 51, 56, 58, 62, 61, 64], [74, 70], [67, 66, 68, 73, 78, 71, 75, 76, 77, 72, 69, 79, 83, 86, 80, 87, 82, 84, 88, 85, 81]]
33: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5, 7], [6, 9], [8, 14], [10, 11, 39], [21, 29, 13], [16, 17, 15], [19, 20, 25], [27, 23, 58, 50, 42, 30, 55, 26, 44, 60, 28, 54, 41, 36, 40, 53], [31, 45, 34, 35], [43, 46, 51, 61, 32, 56, 49, 37, 47, 48, 52, 57, 59, 62, 63, 66, 64, 70, 84, 76, 67, 75, 68, 78], [73, 71, 72, 74, 77, 79, 83, 69, 82, 85, 80, 81, 86, 87, 88]]
34: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 10], [8, 14, 11], [13], [46, 20, 31, 16], [29, 17, 25], [34, 21, 19, 23, 59, 30, 26, 28, 27, 47, 35, 41, 32], [15, 42, 39, 37, 43, 50, 51, 40, 44, 36, 45], [60, 48], [54, 62, 49, 56, 52, 58, 53, 63, 61, 55, 57, 64, 80, 70, 78, 68, 66, 75, 77, 76, 74, 67, 73, 69, 71, 72, 79, 81, 87, 85, 82, 83, 86, 84, 88]]
35: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5], [7, 6, 9, 10, 8, 14, 43, 13], [25, 27, 11, 15, 16, 21, 45, 17, 29], [19, 55, 28, 20, 60, 62, 26, 23, 30], [31, 35, 34, 32, 39, 47, 36, 37, 42, 40, 41, 44, 50, 53, 46, 49, 51], [54, 56, 52, 57, 63, 48, 59, 58, 61, 64, 68, 78, 73, 76, 66, 74, 67, 75, 71, 77, 72], [69], [70, 85, 82, 79, 81], [84, 83, 87, 80, 88, 86]]
36: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5], [7, 6], [11, 10, 8, 13, 15, 30, 9, 14, 27, 16, 19, 49, 20], [17, 58, 29, 23, 31, 61, 21, 26, 25, 57, 28, 37, 59, 34, 36, 56, 42, 39, 44, 32, 35, 40, 41, 46, 48, 43, 45, 47, 52, 50, 54, 51, 55, 53, 60, 63, 62, 66, 64, 74, 84, 69, 70, 67, 73, 78, 68, 71, 72, 75, 77], [76, 86, 85, 81], [82, 80, 79, 83, 87, 88]]
37: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7, 6], [9, 10], [8, 14, 45], [13, 27, 11], [16, 15, 23, 49, 25, 19, 29, 48, 59, 20, 17, 21, 55, 26, 28, 46, 47, 51, 30, 31, 37, 34, 32, 35, 40, 42, 44, 36, 39, 54, 43, 41, 50, 58, 57, 52, 53, 60, 61, 62, 56, 63, 64, 80, 71, 72, 78, 66, 67, 68, 75, 69, 76, 77, 73, 70, 74, 83], [79, 81, 82, 85, 87, 84, 88, 86]]
38: [[33, 65, 4], [3, 1, 24], [18, 2, 12, 22], [38, 5], [7, 6], [9, 10, 8], [11, 47, 21], [13, 19, 17], [26, 14, 15], [27, 29, 30, 16, 56, 23], [25, 20, 55, 28, 31, 35, 61, 34, 48, 57, 39, 32, 37, 63, 36, 40, 42, 44, 43, 53, 45, 59, 52, 46, 41, 49, 54, 50, 51, 58, 60, 62, 66, 64, 69, 70, 68, 71, 72, 75, 78, 67, 73, 76, 74, 79, 77, 85, 82, 83, 84, 87, 81, 80, 86, 88]]
39: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5], [7, 6], [9, 8, 10, 14, 43, 13, 11, 17, 30, 16, 25, 19, 60, 15, 21, 62, 20, 23, 37, 26, 27, 31, 58, 34, 63, 40, 28, 35, 29, 32, 41, 36, 39, 42, 44, 45, 56, 50, 61, 47, 46, 55, 59, 48, 49, 53, 51, 52, 57, 54, 67, 70, 64, 66, 72, 77, 76, 68, 78, 75, 69, 73, 71, 74, 79, 83, 80, 81, 85, 84, 82, 86, 87, 88]]
40: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5], [7, 6, 9, 8], [15, 10, 42], [14, 11, 21, 17, 16, 25], [26, 30, 31], [20, 19], [58, 29, 28, 23, 27], [35, 51], [34, 43, 36, 61, 32, 50], [13, 37, 46, 44], [41, 40], [47], [39, 45, 48, 49, 53, 54], [59], [56, 63], [52, 57, 55, 62], [60, 66, 68], [64, 79, 73, 69, 71], [67, 76, 72, 70, 75, 74, 78], [77, 82], [81, 80, 87, 86, 84], [83, 85, 88]]
41: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9], [10, 8, 15, 27, 13, 14], [11, 29, 19, 26, 20, 21, 23, 17, 30, 31, 58, 63, 25, 16, 60, 28, 37, 35, 52, 39, 43, 44, 32, 55, 36, 40, 46, 34, 45, 57, 56, 41, 42, 50, 47, 53, 49, 48, 51, 54, 59, 61, 62], [64, 80, 67], [69, 71, 76, 75, 72, 66, 77, 78, 70, 73, 68, 79, 82, 85, 88, 86, 74, 81, 87, 83, 84]]
42: [[33, 65], [4, 3], [1, 24, 18, 2], [12, 22], [38, 5, 7, 6], [9, 10, 11], [8, 14, 13, 15, 19, 25], [16, 26, 23], [20, 29], [21, 27, 30, 17, 31], [34, 28], [35, 59, 42, 43, 50], [41, 32, 49, 36], [39, 37], [44], [40, 47, 46, 45, 57, 52], [54], [58, 55], [60, 48, 56, 53, 51, 61, 63, 62], [67, 68, 66], [69, 70, 77], [79, 64, 76, 74, 71], [73, 72, 75, 78, 80, 86, 81], [82, 84], [87, 83], [85, 88]]
43: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 8], [27, 10], [11, 29, 14], [17, 23, 30, 13, 16, 19, 58, 21, 20, 25, 26, 28, 31, 50, 34, 63, 35], [42, 36], [32, 37, 43, 41, 53], [47, 40, 15, 45], [44, 46], [48, 52, 55, 39, 59, 49, 51, 57, 54, 56], [60, 61, 62, 64, 68, 70, 84, 75, 66, 67, 69, 72, 78, 76, 71, 73, 74, 77, 85, 81], [82, 79, 80, 86, 83, 87, 88]]
44: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 10, 8], [14, 29, 11, 31, 13, 15, 37, 17, 19, 16, 20, 56, 21, 23, 59, 54, 58, 26, 62], [25, 28, 27, 30], [34, 44, 35], [36, 42], [40, 41, 43], [45, 47], [39, 53, 46, 48, 32], [49, 61, 50, 60, 51, 52, 55, 63, 57, 66, 64], [68, 84, 69, 67, 71, 76, 73, 70, 74, 81, 75, 72, 77, 82, 78, 83, 79, 80, 87, 85, 86, 88]]
45: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9], [10, 8, 15, 14, 13, 17, 11, 25, 26], [20, 16, 48, 56, 23, 19, 58, 21, 27, 28, 29, 30, 60, 41, 32, 34, 31, 50, 52, 35, 39, 36, 47, 40, 43, 37, 42, 44, 57, 46, 53], [45, 54, 49, 59, 62, 51, 55, 61, 63, 66, 64, 68, 80, 71, 67, 74, 73, 69, 70, 76, 72, 78, 75, 77, 81, 79, 88, 84, 82, 86, 85, 83, 87]]
46: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 10], [8, 11], [15, 13], [30, 14, 16], [21, 25, 17], [19, 20, 48], [52, 23, 26, 28], [61, 27, 29, 31, 35, 37, 40, 36, 32, 41, 34, 54, 47, 39, 43, 46, 50, 51, 45], [44, 42, 56, 49, 58, 57, 60], [53, 63], [55, 62, 59, 66, 72, 68, 70, 64, 76, 67, 69, 75, 74, 78, 84, 73, 71, 77, 79, 83, 88, 80, 81, 82, 87, 85, 86]]
47: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9], [10, 8, 42, 14], [28, 15, 11, 13, 26, 17, 31, 19, 27, 29, 16, 20, 51, 56, 21, 30, 23, 60, 25, 43, 32, 36, 37, 40, 34, 53, 47, 35, 41, 39, 45, 44, 46, 63, 48, 52, 49, 50, 58, 54, 57, 59, 55, 62, 61, 64, 66, 70, 81, 67, 71, 74, 68, 69, 75, 76, 78, 73, 72, 77, 79, 84, 88, 82, 80, 86, 85, 87, 83]]
48: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 8], [10, 15], [11, 13, 14, 16, 28], [17, 23], [19, 25, 21, 30], [20, 29], [27, 54, 31], [26, 63, 57], [52, 36, 61], [32, 37, 34, 42, 47, 39, 35, 43, 46, 40, 56, 41, 45, 58, 50], [51, 49, 55, 44, 59, 48, 53, 60, 62, 64, 69, 70, 83], [67, 66, 72, 71, 79, 68, 73, 76, 75, 77, 87, 81, 74, 80, 82, 86, 78, 84, 85, 88]]
49: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 8], [10, 15], [11, 13, 14, 16, 28], [17, 23], [19, 25, 21, 30], [20, 29], [27, 54, 31], [26, 63, 57], [52, 36, 61], [32, 37, 34, 42, 47, 39, 35, 43, 46, 40, 56, 41, 45, 58, 50], [51, 49, 55, 44, 59, 48, 53, 60, 62, 64, 69, 70, 83], [67, 66, 72, 71, 79, 68, 73, 76, 75, 77, 87, 81, 74, 80, 82, 86, 78, 84, 85, 88]]
50: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 40], [10, 29, 8, 15, 13, 21, 16, 17, 11, 28, 23, 27, 25, 19, 26, 20, 62, 14, 30, 31, 53], [34, 57, 32], [35, 37, 36], [58, 42, 41], [39, 44], [52, 45, 46, 55], [51, 47, 48], [60, 49, 59, 50, 56, 54, 63, 61, 43, 64, 81, 70, 69, 72], [76, 68, 66, 75, 71, 73, 74, 77, 79, 78, 80, 85, 88, 67, 84, 83, 82, 87, 86]]
