0: [[2], [10, 4, 14, 3], [6, 12, 7, 5, 13, 11], [9, 8], [15, 18], [19, 17, 16, 20, 1], [22], [21, 23, 24]]
29: [[11, 1], [2, 3, 10, 4, 14, 5, 6, 12, 7, 9, 8, 13, 15, 18, 19, 17, 16, 20, 22, 21], [23, 24]]
30: [[11], [2], [4, 1, 3, 10], [14, 5, 6, 12, 7, 9, 8, 13, 15, 18, 19, 17, 16], [20, 22, 21], [23, 24]]
31: [[2, 1], [10, 4, 14, 3], [5, 6, 12, 7, 11], [9], [8, 13, 15], [18, 19, 17, 16, 20, 22, 21, 23, 24]]
32: [[2], [10, 4, 14, 3], [5, 6, 12, 7, 11], [9, 8, 13, 1], [15], [18, 19, 17], [16, 20, 22, 21, 23, 24]]
33: [[2, 1], [10, 4, 14], [5, 6, 3], [12, 7, 11], [9, 8], [13, 15, 18, 19], [17, 16, 20, 22, 21, 23, 24]]
34: [[2, 1], [3, 10, 4, 14], [5, 6, 12, 7, 11], [9, 8, 13, 15, 18, 19, 17, 16, 20, 22, 21, 23, 24]]
35: [[2, 1], [10, 4, 14], [5, 6, 12, 3], [7, 9, 8, 11], [13, 15, 18, 19, 17, 16, 20, 22, 21, 23, 24]]
36: [[2, 3, 10, 1], [4, 14, 5, 6], [12, 7, 9, 8, 13, 15, 18, 19, 17, 16, 20, 22, 21, 23, 24, 11]]
37: [[2, 1], [10, 3], [4, 14], [5, 6, 12], [7, 9, 8, 11], [13], [15, 18, 19], [17, 16, 20, 22, 21, 23, 24]]
38: [[2, 1], [10, 4, 14], [5, 6, 3], [12], [7, 9, 8, 13, 11], [15, 18, 19, 17, 16, 20, 22, 21, 23, 24]]
39: [[2, 1], [10, 4, 14, 3], [5], [6, 12, 7, 9, 11], [8, 13, 15, 18, 19, 17, 16, 20, 22, 21, 23, 24]]
40: [[2], [10, 4, 3], [14, 5, 6, 12], [7, 9, 11], [8, 13, 1], [15, 18, 19, 17, 16, 20, 22, 21, 23, 24]]
41: [[2], [4], [14, 5], [6, 12, 3, 10], [7, 9, 8, 11], [13, 15], [18, 19, 17], [16, 20, 22, 1], [21, 23], [24]]
42: [[2], [10, 4, 3], [14, 5, 6, 12], [7, 9, 8, 13, 11, 1], [15, 18, 19], [17, 16], [20, 22, 21, 23], [24]]
43: [[11, 1], [2, 3, 10, 4, 14], [5, 6, 12, 7, 9, 8, 13, 15, 18, 19, 17, 16, 20, 22, 21, 23, 24]]
44: [[2, 3, 1], [10, 4, 14, 5, 6], [12, 7, 9, 8, 11], [13, 15, 18, 19, 17, 16, 20, 22, 21, 23, 24]]
45: [[2], [10, 4, 1, 3], [14, 5, 6], [12], [7, 9, 8, 11], [13, 15, 18], [19, 17, 16, 20, 22, 21, 23, 24]]
46: [[2], [10, 3], [4, 14, 5], [6, 12, 7, 9, 11], [8], [13, 15, 18, 19, 1], [17, 16, 20, 22, 21, 23, 24]]
47: [[11], [1, 2, 3, 10], [4, 14, 5, 6, 12, 7, 9, 8, 13, 15, 18, 19, 17, 16, 20, 22, 21, 23, 24]]
48: [[11, 1], [2, 3, 10, 4, 14, 5, 6, 12, 7, 9, 8, 13, 15, 18, 19, 17, 16, 20, 22, 21, 23], [24]]
49: [[2, 3], [10, 4], [14, 5, 6, 12], [7, 9, 8, 13, 15, 18, 19, 17, 16, 20, 22, 21, 23, 24, 11, 1]]
