0: [[27], [4, 25, 8], [23, 3, 20, 12, 22], [19, 16, 2], [13, 9, 17, 1], [5, 6], [11, 10], [28, 24], [21, 26], [15, 18, 29, 7, 14]]
31: [[27], [4], [25, 8], [23, 3, 20], [12], [22, 19, 16, 2, 13, 9, 17, 1, 5, 6], [11, 28, 24, 21, 26, 15, 18, 7, 29, 10, 14]]
32: [[27], [4, 25, 8], [23, 3, 20], [12, 22, 19], [16, 2], [13, 9], [17, 1, 5], [6], [11, 10, 28], [24, 21, 26], [15, 18, 7, 29, 14]]
33: [[27, 4], [25, 8], [23, 3, 20], [12, 22, 19], [16, 2, 17], [9, 13, 1], [5, 6, 11, 10], [28, 24, 21], [26, 15], [18, 29], [7, 14]]
34: [[27], [4], [25, 8], [23, 3], [20, 12, 22], [19, 16, 2], [17, 9, 13, 1, 5, 6, 11, 10, 28, 24, 21, 26, 15, 18, 29, 7, 14]]
35: [[27], [4], [25, 8], [23, 3], [20, 22, 12], [19, 16, 2], [17, 9], [13, 1, 5], [6, 11, 10], [28, 24, 21], [26, 15, 18, 29, 7, 14]]
36: [[27, 4], [25, 8], [23, 3, 20], [12, 22, 19], [16, 2], [17, 9, 13], [1, 5, 6], [11, 10, 28], [24, 21], [26, 15], [18, 29, 7, 14]]
37: [[27], [4, 25, 8, 23], [3, 20, 12, 22, 19, 16, 2, 17, 9, 13, 1, 5, 6], [11, 10, 28, 24, 21, 26, 15, 18, 29, 7], [14]]
38: [[27, 4, 25, 8, 23, 3, 12, 22], [20, 19], [16, 2], [13], [9, 17, 1, 5], [6, 11, 28, 24, 21, 26, 15, 18, 7, 29, 10, 14]]
39: [[27, 4], [25, 8], [23, 3], [20, 22], [12, 19, 16], [2, 17, 9, 13], [1, 5, 6], [11, 10, 28], [24, 21, 26], [15, 18], [7, 29, 14]]
40: [[27], [4, 25], [8, 23], [3, 20], [12, 22, 19, 16], [2], [17, 9, 13], [1, 5, 6, 11], [10, 28, 24, 21, 26, 15, 18, 29, 7, 14]]
41: [[27], [4, 25, 8], [23, 3, 20], [22, 12, 19, 16], [2, 17], [9, 13], [1, 5], [6, 11], [10, 28, 24, 21, 26], [15, 18, 29, 7, 14]]
42: [[27], [4, 25], [8, 23, 12, 22], [3, 20], [19], [16], [2, 17, 9], [13, 1, 5, 6, 11, 28, 24, 21, 26, 15, 18, 7, 29, 10, 14]]
43: [[27, 4, 25, 8], [23, 3], [20, 12], [22, 19], [16, 2], [17, 9, 13, 1, 5], [6, 11, 10, 28, 24, 21, 26, 15, 18, 29, 7, 14]]
44: [[27, 4, 25, 8], [23, 3, 20], [12], [22, 19], [16, 2], [13, 9, 17], [1, 5, 6], [11, 10, 28], [24, 21, 26], [15, 18], [29, 7], [14]]
45: [[27, 4], [25, 8], [23, 3], [20, 12, 22], [19, 16, 2], [17, 9], [13, 1, 5], [6, 11, 10, 28, 24, 21, 26, 15, 18], [29, 7, 14]]
46: [[27, 4, 25, 8, 23, 3], [20, 22, 19, 16, 2, 12], [13, 9], [17, 1, 5], [6, 11, 28], [10, 24, 21], [26, 15, 18, 29, 7, 14]]
47: [[27], [4, 25, 8], [23, 3], [20, 12], [22, 19], [16, 2, 17, 9], [13, 1, 5], [6, 11, 10, 28, 24, 21, 26, 15, 18, 29, 7, 14]]
48: [[27], [4, 25], [8, 23, 3], [20, 12, 22], [19, 16], [2, 17, 9], [13, 1, 5, 6, 11, 10, 28, 24, 21, 26, 15, 18, 7, 29, 14]]
49: [[27, 4], [25, 8], [23, 3], [20, 12], [22, 19], [16, 2, 13, 9, 17], [1, 5, 6, 11, 10, 28, 24, 21, 26, 15, 18, 29, 7, 14]]
50: [[27, 4], [25, 8, 23, 3], [20, 22, 12], [19, 16], [2, 17], [9, 13], [1, 5], [6, 11, 10], [28, 24, 21, 26], [15, 18, 29], [7, 14]]
51: [[27, 4, 25], [8, 23, 3], [20, 12], [22, 19], [16, 2], [17, 9, 13], [1, 5, 6, 11, 10, 28, 24, 21, 26, 15, 18, 7, 29, 14]]
52: [[27], [4, 25, 8], [23, 3, 20], [12, 22, 19], [16], [2, 17, 9], [13, 1, 5], [6, 11, 10, 28], [24, 21, 26, 15], [18, 29, 7], [14]]
53: [[27, 4], [25, 8, 23], [3, 20, 12, 22, 19, 16, 2, 17, 9, 13, 1, 5, 6, 11, 28, 10, 24, 21, 26, 15], [18, 29, 7, 14]]
54: [[27], [4, 25], [8, 23], [3, 22], [20, 19, 12], [18, 2, 13], [9, 17], [1, 5, 6, 11, 10, 28], [24, 21, 26, 15, 16, 29, 7, 14]]
55: [[27, 4], [25, 8], [23, 3], [20, 22], [12, 19, 16], [2, 17], [9, 13, 1], [5, 6, 11], [10, 28], [24, 21], [26, 15], [18, 7, 29, 14]]
56: [[27, 4, 25], [8], [23], [3, 20, 22], [18, 19, 16], [2, 17], [9, 13], [1, 5, 6, 11], [10, 28, 24, 21, 26, 15, 12, 29, 7, 14]]
57: [[27], [4, 25], [8, 23, 3, 20], [12, 22, 19], [16], [2, 13], [9, 17], [1, 5, 6], [11, 10, 28], [24, 21, 26], [15, 18], [29, 7, 14]]
58: [[27], [4], [25, 8], [23, 3], [20, 12], [22, 19], [16, 2, 17], [9, 13, 1, 5, 6, 11, 10, 28, 24, 21, 26, 15, 18, 29, 7, 14]]
59: [[27, 4], [25, 8], [23, 3], [20, 12], [22, 19, 16], [2, 13], [9, 17, 1, 5, 6, 11, 10, 28, 24, 21, 26, 15, 18, 29, 7, 14]]
