0: [[17, 42, 33], [35, 7, 2], [1, 3, 4], [12, 9, 13, 6, 10, 21], [5, 8, 11, 15, 14, 23, 16, 18], [19, 22, 24, 28, 26, 20, 30, 27], [29, 25, 31, 50, 45, 37], [32, 34], [36, 40, 39], [38, 41, 43, 46, 44, 47, 56, 48], [51, 53, 54, 52, 55, 58], [59], [49, 57, 60]]
18: [[17, 42], [33, 35, 2], [7, 1, 3, 4, 24], [11, 5, 12, 9, 6, 8, 10, 13, 14, 31, 15, 22, 21, 18, 19, 16, 20, 23, 25, 26, 27], [28, 30, 29, 34, 38, 46, 44, 32, 36, 37], [39, 43, 40, 47], [41, 48, 45, 54, 56, 51, 52, 49, 60, 50, 53, 59, 55, 57], [58]]
19: [[17, 42], [33, 35, 2, 7, 1, 3, 4, 24, 11, 5, 9, 8], [6, 13, 12, 10, 14, 31, 18, 15, 20, 16, 19], [29, 21, 23, 25, 28, 22, 27, 26, 30, 50, 34, 36, 37, 32, 41, 38, 39, 43, 44, 40, 46, 45, 47, 58, 51], [49, 48, 52, 53, 54, 55, 57, 56, 60, 59]]
20: [[17, 42], [33, 35, 2, 7], [1, 3, 4, 24, 13, 5, 8, 12], [6, 21, 9, 10, 11, 15], [14, 18, 20, 16, 23, 22, 31], [26, 27, 28, 29, 25, 46, 30, 34, 36, 50, 19, 32], [37, 43, 39, 38, 44, 40, 41, 45, 48, 58], [55, 47, 51, 49, 59, 53, 54, 57, 56, 52, 60]]
21: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 24, 11, 6, 8, 12, 10, 28, 9, 5, 29, 13, 27, 18, 16, 15, 23, 19, 21, 31, 14, 22, 20, 25, 46, 30, 50, 36, 34, 26, 45, 32, 37, 39, 41, 38], [48, 40, 44, 52, 43, 47, 51, 53, 60, 56], [55, 54, 49, 59, 57, 58]]
22: [[17, 42, 33], [35, 7, 2], [1, 3, 4], [12, 11, 5, 6, 8, 9], [10, 14, 15, 31, 24, 16, 30, 20, 18, 13, 21, 29], [22, 25, 19, 23, 26, 27, 28, 44, 60, 34, 32, 37, 38, 36], [45, 39, 43, 40, 47, 52, 41, 50, 49, 48, 46, 54, 55, 51, 53, 59, 56, 57, 58]]
23: [[17, 42], [33, 35, 2, 7], [1, 3, 4, 14, 9, 5, 11, 6, 8, 13, 10, 12, 24, 28, 31, 15, 16, 19, 29, 18, 20], [21, 22, 25, 23, 26, 27, 30], [44, 32, 39, 34, 54, 36, 38, 46, 37, 40, 45], [41, 43, 47, 49, 48, 51, 52, 53, 55, 50, 59, 57], [58, 56, 60]]
24: [[17, 42, 33], [35, 2, 7, 1], [3, 4, 24, 9, 5, 13, 10, 6, 11, 15, 8, 25, 18, 12, 20, 19, 22, 14, 16, 21, 23, 29, 26, 27, 31, 28, 30, 52, 36, 37, 32, 40, 39, 34, 47, 41, 38, 44, 43, 56, 51, 58, 45, 46, 48, 54, 50, 53, 55, 59, 49, 60, 57]]
25: [[17, 42, 33, 35, 2, 7, 1], [3, 4], [24, 11, 5, 8, 9, 13, 12, 14, 27], [21, 22, 18, 10, 15, 6, 19, 16, 23, 26, 20, 60, 28, 25, 29, 30, 48, 44, 50, 34, 31, 39, 36, 40, 38, 47, 41, 32], [37, 46, 43, 49, 52, 45, 55, 51, 56, 53, 58, 54, 59, 57]]
26: [[17, 42, 33], [35, 2, 7, 1], [3, 4, 26, 9, 5, 12, 10, 6], [14, 11, 8], [31, 22, 13, 20, 19], [18, 25, 15, 16, 21, 29, 24, 23, 27, 28], [30, 32, 38, 37, 34, 40, 39, 36, 47], [41, 43, 44], [45], [50, 51, 58, 48, 46, 49, 55, 54, 56, 52, 53, 57, 60, 59]]
27: [[17, 42], [33, 35, 2, 7], [1, 3, 4], [14, 9, 5], [11, 8, 6, 12, 30, 13, 10, 29, 15, 21, 20, 18], [19, 16, 23, 22, 24, 28, 31, 25, 27, 26, 52], [32, 54, 34, 37, 36, 38, 43, 39, 41, 40, 44, 47, 46, 48, 45, 53, 49, 60, 51, 55, 50, 57, 56, 58, 59]]
28: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 24, 15], [5, 8, 13, 11, 12, 25, 26, 9, 20, 16, 10, 21, 6], [22, 23, 19, 18, 29, 27, 28, 31, 30, 54, 38, 50, 14, 53, 37, 34, 40, 45, 36, 47, 41, 46, 44, 55, 43, 32], [39, 51, 48, 57, 49, 56, 59, 52, 58, 60]]
29: [[17, 42], [33, 35, 2, 7, 1, 3, 4, 24, 11, 5, 8, 13, 12], [9, 10, 21, 6], [15, 14], [26, 20, 16, 23, 19], [28, 22, 25, 30, 27, 29, 31], [40, 52, 36, 44, 39, 32, 47, 34, 38, 37, 18], [41, 45, 46], [43, 48, 49, 53, 55, 56, 51, 50, 54, 58, 57, 59, 60]]
30: [[17, 42], [33, 35, 2, 7, 1, 3, 4, 24, 11, 5], [12, 9, 6, 8, 13, 10, 14, 31, 15, 16, 22, 18, 23, 20, 19, 21, 25, 26, 27, 30], [58, 29, 34, 38, 28, 36, 39, 44, 37, 47, 43, 32, 45, 41], [46], [48, 60, 40, 51, 53, 49, 52, 50, 55, 59, 54, 56, 57]]
31: [[17, 42, 33, 35, 2, 7, 1, 3, 4], [24, 11, 5], [12, 8, 14], [13, 28, 6, 18, 9, 15, 25, 10, 16, 19, 23, 21], [20, 22, 26, 27, 29, 30, 31, 38, 32, 44, 34, 41, 36, 47, 37, 45, 46, 40, 39, 43, 54, 51, 49, 52, 48, 56, 55, 53, 50, 58, 60, 59, 57]]
32: [[17, 42, 33, 35, 2, 7], [1, 3, 4, 24, 11, 5, 8, 14, 10, 6, 9, 12, 13, 15, 23, 29, 18, 16, 19, 27, 20, 21, 22, 25, 26, 30, 51, 28, 31, 36, 55, 34, 32, 39, 45, 37, 43, 40, 41, 46, 44, 47, 59, 38, 48, 52, 49, 53], [50, 57, 54, 56, 58, 60]]
33: [[17, 42], [33, 35, 2, 7, 1, 3, 4, 24, 11], [5, 12, 6, 10, 13, 14, 8, 9, 27, 18, 29, 16, 21, 26], [23, 20, 19, 28, 25, 22, 30, 31], [32, 54, 40, 15, 38, 36, 37, 34, 43, 47, 41], [44, 45, 39], [46, 49, 58, 51, 52, 48], [55, 53, 50, 57, 56, 59, 60]]
34: [[17, 42], [33, 35, 2, 7], [1, 3, 4], [26, 9, 5], [10, 11, 6, 12, 14, 8, 15, 31, 21], [13, 22, 18], [16, 19, 28, 20, 27, 25, 23, 24, 30, 29, 52, 32, 50, 34, 41, 37, 36, 45, 46, 38, 40, 43, 39, 44, 51, 49, 53, 47, 48, 55, 54, 58, 56, 60, 57, 59]]
35: [[17, 42, 33, 35, 2, 7, 1], [3, 4, 26, 9, 5, 12, 8, 6, 11, 14, 10, 15, 31, 19, 13, 21, 18, 16, 20, 22, 23, 24, 25, 29, 30, 28, 27, 48, 36, 53, 32, 34, 38, 37, 39, 46, 44, 41, 43, 40, 45, 47, 57, 51, 52, 49], [54, 50, 55, 56, 60, 59, 58]]
36: [[17, 42, 33, 35, 2, 7, 1], [3, 4, 24, 11, 5, 8, 25, 6, 9, 14, 10, 12, 15, 21, 20, 30, 16, 26, 27, 13, 18, 22, 19, 23, 28, 31, 29, 58, 36, 50, 37, 40, 45, 44, 34, 38, 46, 41, 43, 47, 32, 60, 39, 49], [51, 48, 52, 53, 55, 56, 54, 57, 59]]
37: [[17, 42, 33, 35, 2, 7, 1], [3], [4, 24, 11, 5, 8, 25, 6, 13, 12, 9, 10, 27, 21, 20, 14, 18, 28, 15, 16, 22, 19, 23, 26, 29, 31, 30, 52, 34, 32, 37, 41, 44, 46, 36, 38, 39, 40, 59, 47, 43, 60, 45, 53, 48, 49, 51, 54, 50, 58, 55, 56, 57]]
38: [[17, 42, 33], [35, 7, 2, 1, 3, 4], [12, 11, 5, 10, 8, 15, 9, 13, 30, 21, 28, 16], [26, 22, 6, 20, 23, 14, 27, 19, 18, 24, 29, 25, 31, 38, 46, 53, 34, 32, 36, 37, 45, 40], [43, 41, 47, 44, 57, 51, 49, 56, 48, 39, 50], [54, 52, 55, 58, 59, 60]]
39: [[17, 42, 33, 35, 2, 7, 1], [3], [4, 24, 11, 5, 8, 25, 6, 28, 13, 10, 12, 15, 21, 20, 14, 19, 9, 16, 18, 22, 23, 30, 26, 29, 31, 27, 52, 34, 32, 37, 41, 44], [36, 38, 43, 39, 40, 59, 46, 45, 47, 51, 53, 49, 48, 55, 56, 54, 60, 50, 57, 58]]
40: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 24, 11], [5, 12, 10, 6, 14, 8, 9, 13, 22, 25, 20, 15], [18, 19, 26, 27, 21, 29, 16, 23, 31, 28], [30, 40, 36, 37, 39, 32, 45, 34, 46], [43, 38, 44], [59], [48, 41, 58, 47, 49, 50, 55, 52, 51, 54, 53, 57, 60, 56]]
41: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 26, 9], [5, 8, 12, 6, 11, 15, 10, 14, 31, 13], [16, 18, 22, 19, 20, 23, 21, 27, 30, 25, 24, 28], [29, 40, 34, 56, 55, 36, 32, 46, 37, 43], [38, 44, 39, 47, 52, 41, 45], [53, 50, 48, 60, 49, 54, 51, 57, 58, 59]]
42: [[17, 42, 33, 35, 2, 7, 1, 3, 4], [24, 11, 5, 12, 8, 22, 13, 9, 10, 25, 15, 14, 20, 21, 6, 19, 18, 16, 23, 26, 30, 27, 28, 29, 31, 40, 52, 46, 44, 32, 36, 37, 39, 47, 34, 38, 41, 43, 45, 49, 48, 51, 50], [56, 60, 58, 53, 57, 55, 59, 54]]
43: [[17, 42, 33], [35], [7, 2, 1], [3, 4, 12, 9, 13, 5, 10, 6, 8, 14, 11, 15, 16, 23, 20, 18, 19, 22, 21, 26, 30, 24, 28, 27, 29, 25, 31, 52, 37, 36, 32, 34, 39, 38, 41, 45, 40, 44, 47, 48], [50, 43, 49, 51, 53, 54, 46, 55, 58, 59, 57, 56, 60]]
44: [[17, 42, 33, 35, 2, 7, 1], [3, 4, 24, 9, 5], [14, 6, 12, 13, 10, 30, 11, 22, 18, 15, 20, 16, 23, 31, 29, 21, 19, 8, 28, 25, 26, 27, 56, 36, 34, 37, 39, 45, 32, 40, 44, 43, 38, 48, 47, 41, 57, 53, 46, 49, 51, 54], [58, 50, 52, 55, 59, 60]]
45: [[17, 42, 33], [35, 2, 7, 1, 3, 4], [24, 11, 5], [10, 6, 8, 13, 12, 15, 16, 31, 9, 28, 18, 20, 19, 22, 14, 21, 27, 51, 23, 25, 29, 30, 50, 34, 37, 44, 26, 39, 46, 32, 38, 36, 40, 43, 41, 47, 45, 59, 48, 54, 52, 53, 55, 49, 57, 56], [60, 58]]
46: [[17, 42, 33], [35, 2, 7], [1, 3, 4], [14, 9, 5, 11, 8, 20, 13, 6, 12, 23, 10], [16, 22, 28, 18, 15, 29, 21, 19, 26, 27], [24, 30, 25, 31, 37, 53, 38, 32], [36, 34, 46, 45, 40, 41, 43, 44], [47, 39, 58, 48, 49, 54, 51, 50, 59, 52, 55, 57, 56, 60]]
47: [[17, 42, 33, 35, 2, 7, 1], [3, 4, 12], [11, 5, 8], [9, 13], [14, 10, 31, 24, 6, 16, 26, 21, 15, 19, 22, 18], [27, 28], [29, 25, 20, 30, 23, 48, 32, 60, 38, 34, 37, 46, 40, 36], [47], [39, 43, 41, 44, 45, 49, 51, 52, 55, 53, 57, 50, 54, 58, 56, 59]]
48: [[17, 42], [33, 35, 2, 7, 1, 3, 4, 26, 9, 5], [8], [12, 15, 13, 10, 14, 31, 27, 23, 19, 11, 28, 24, 22, 16, 20, 29, 25, 30, 32, 54, 38, 34, 36, 40, 37, 41, 47, 39, 45, 43, 56, 44, 48, 49, 53, 50, 51, 46, 18, 21, 6], [55, 57, 59, 52, 58, 60]]
49: [[17, 42, 33, 35, 2, 7, 1], [3, 4, 24, 11, 5, 10, 6, 9, 12, 8], [13, 14, 27, 21, 15, 20, 18, 22, 31, 16, 26], [23, 19, 29, 28, 30, 25, 56, 32, 38, 37, 48, 36, 47, 34, 41, 43, 40, 59, 45, 44, 46, 51, 39, 54, 53, 49, 52, 50, 58, 55, 60, 57]]
50: [[17, 42], [33, 35, 2, 7, 1, 3, 4, 26, 9, 5], [12, 10, 6, 13, 15, 8, 14, 30, 19, 24, 18, 22, 11, 29, 16, 20, 23, 27], [21, 25, 28], [31, 43, 34, 32, 36, 41, 38, 37, 46], [45, 44, 39], [40], [50, 47, 52, 48, 58, 51, 53, 49, 54, 55, 56, 60, 57, 59]]
51: [[17, 42], [33, 35, 2, 7, 1, 3, 4, 24, 11], [5, 8, 9, 14, 12, 22, 13, 15, 10, 16, 28, 18, 21, 23, 26, 20, 25, 30, 31], [27, 29, 19, 6, 38, 40, 37], [34, 32, 36, 46, 44], [45, 39, 41, 47, 43, 50, 49, 51, 54, 52, 48, 55, 53, 56, 57, 58, 59, 60]]
52: [[17, 42, 33, 35, 2, 7], [1, 3, 4, 14, 9, 5, 10, 6, 12], [22, 11, 8, 13, 15, 30, 25, 18, 19, 16, 20, 24], [21, 23, 26, 28, 31, 27, 29, 32, 38, 54], [55, 36, 34, 44, 37, 45, 39, 56, 47, 40, 41, 43], [46, 48, 53, 49, 51, 52, 59, 50, 57, 60, 58]]
53: [[17, 42], [33, 35, 2, 7, 1, 3, 4, 24, 11], [5, 12, 9, 10, 29, 8, 13, 6, 31, 16], [22, 15, 19, 20, 14, 18, 23, 21, 25, 27], [26, 28, 30, 54, 34, 32, 37], [45, 38, 36, 39, 43, 40, 41, 47, 44, 46], [50, 51, 49, 53, 59, 48, 52, 55, 58, 56, 57, 60]]
54: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 24, 11], [5, 12, 8, 10, 22, 6, 9, 13, 15, 26, 21, 16, 14, 23, 19, 25], [30, 18, 28, 29, 20, 27, 31, 60, 32, 36, 34, 44, 37, 38, 47], [40, 45], [48, 57, 39, 53], [41, 43, 54, 46, 51, 50], [52, 56, 49, 55, 58, 59]]
55: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 24, 15], [5, 8, 6, 30, 12, 9, 10, 11, 14, 19, 16, 21, 13], [20, 23, 18, 22, 29, 27, 28, 25, 26, 31, 32, 54, 46], [37, 36, 34], [40, 45, 43, 47, 44, 38], [41, 53, 59], [49], [39, 57, 50], [48, 58, 51, 52, 55, 56, 60]]
56: [[17, 42, 33], [35, 2, 7, 1], [3, 4, 24, 11, 5, 10, 8, 6], [30, 9, 12], [31, 22, 13, 14, 21], [18, 29, 15, 16, 23, 19, 20, 28, 26, 25], [27], [32, 54, 37, 36, 40, 34, 45, 39, 38, 43, 41, 44, 46, 51, 58, 49, 47, 52, 55, 48, 50, 53, 57, 60, 56, 59]]
57: [[17, 42, 33], [35, 2, 7, 1, 3, 4], [24, 11, 5, 12, 6, 10, 13], [8], [9, 14, 27, 19, 29, 16, 18, 28, 15, 20, 21, 22, 23, 26, 31, 52, 25, 30, 34, 32, 38, 45, 36, 37, 41, 47, 43, 40, 59, 39, 44, 57, 46, 51, 48, 49, 55, 54, 50, 53, 56, 58, 60]]
58: [[17, 42], [33, 35, 2, 7, 1, 3, 4, 24, 11, 5], [12, 8, 10, 28, 13, 6, 15, 9, 16, 31, 18, 14, 23, 20, 26, 21, 19, 22, 25, 27], [58, 29, 54, 34], [50, 36, 30, 40, 45, 47, 41, 32, 37, 38, 39, 43, 56, 44, 57, 46, 49, 52, 48, 51, 55, 60, 59, 53]]
59: [[17, 42], [33, 35, 2, 7, 1, 3, 4, 24, 11, 5], [12, 8, 10, 28, 13, 6, 15, 9, 16, 31, 18, 14, 23, 20, 26, 21, 19, 22, 25, 27], [58, 29, 54, 34], [50, 36, 30, 40, 45, 47, 41, 32, 37, 38, 39, 43, 56, 44, 57, 46, 49, 52, 48, 51, 55, 60, 59, 53]]
60: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 24, 11, 5, 12, 8, 22, 6, 15, 14, 16, 27, 23, 9, 10, 18, 13, 19, 21, 20, 25, 31, 26, 29, 28, 30, 38], [32, 53, 34, 36, 44, 37, 47, 39, 41, 40, 45, 58], [54, 59, 48, 56, 49, 57, 55, 43, 50, 46, 51, 52, 60]]
61: [[17, 42, 33, 35, 2], [7, 1, 3, 4, 26, 9, 5, 10, 12, 6, 25, 8, 15, 11, 13, 21, 18, 16, 20, 14, 19, 22, 23, 27, 29, 55, 24, 28, 30, 31, 34, 48, 37, 45, 39, 40, 41, 32, 36, 44, 47, 38, 43, 59, 46, 49, 50, 57, 52, 60], [53, 51, 54, 56, 58]]
62: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 24, 11], [5, 8, 12, 6, 22, 9, 10, 13, 15, 26, 20, 16, 14, 23, 18, 29], [25, 27, 28, 21, 30, 46, 31, 56, 36, 34, 19, 40], [37, 41, 39, 43, 45, 32, 59, 47, 52, 44], [50, 38, 51, 48, 60, 53, 54, 49, 55, 57, 58]]
63: [[17, 42, 33], [35, 2, 7, 1, 3, 4, 8, 9, 13, 5, 6, 22, 24, 10, 11, 26, 30, 12, 25, 16, 14, 15, 20, 18, 21, 23, 19, 28, 31, 27, 29, 34, 37, 36, 52, 32, 45, 39, 41, 38, 43, 40], [47, 46, 49, 51, 48, 44, 50, 54, 55, 53, 56, 57, 59, 58, 60]]
64: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 26, 9], [5, 10, 8, 14, 6, 11], [12, 29, 15, 19, 27, 18, 16, 13, 23], [22, 20, 25, 30, 24, 21, 31, 28, 32, 46, 34], [39, 37, 45, 36, 38, 41, 43, 48, 47, 44, 40, 51, 56], [53, 57, 49, 52, 54, 59, 50, 60, 55, 58]]
65: [[17, 42], [33, 35, 2], [7, 1, 3, 4, 24], [11, 5, 12, 8, 10, 6, 13, 15, 14, 9, 30, 22, 18, 20, 19, 16, 23, 21, 26, 28, 27], [25, 31, 29, 54, 34, 38, 44, 36, 32, 45], [39, 41, 40, 37], [43, 49, 46, 50], [60, 57, 47, 51, 52, 48, 53, 55, 56, 58, 59]]
66: [[17, 42], [33, 35, 2, 7, 1, 3, 4, 24, 11], [5, 14, 8, 6, 10, 12, 15, 16, 23, 31, 9, 29, 19, 13], [20, 22, 21, 18, 25, 26, 27, 28, 60, 36, 30, 34, 32, 45, 47, 39, 40, 51, 37, 41, 38, 43, 44, 53, 49, 56, 54], [55, 46, 48, 50, 58, 52, 57, 59]]
67: [[17, 42, 33, 35, 2, 7, 1], [3, 4, 24, 11, 5, 10, 9, 12, 6, 8, 29, 23, 13], [14, 20, 16, 18, 28, 15, 25, 22, 21, 27, 19], [26, 54, 58, 36, 30, 31, 34, 37, 38, 39, 40, 41, 47, 32, 43, 44, 45, 55, 46, 53, 48, 50, 52, 49, 51, 56, 57, 59, 60]]
68: [[17, 42, 33, 35, 2, 7, 1], [3, 4, 12], [11, 5, 10, 8, 14, 6, 9], [13, 29, 30, 19, 15, 18, 16, 20, 23, 22, 25, 24, 26, 27, 21, 31, 28, 48, 36, 38, 39, 32, 44, 37, 40, 43, 46, 56, 34, 45, 41, 53, 47, 52, 55, 49], [54, 50, 59, 57, 60, 51, 58]]
69: [[17, 42, 33], [35, 3, 6], [1, 2, 4, 12, 9, 13, 10, 8, 22, 7, 11, 15, 5, 14, 23, 19, 18, 16, 20, 24, 28, 30, 21, 25, 26, 31, 29, 27, 34, 44, 36, 32, 37, 38, 40, 39, 41, 43, 52, 45, 46, 47, 56, 48], [50, 55, 49, 54, 51, 58, 59, 53, 57, 60]]
70: [[17, 42, 33, 35, 2, 7, 1], [3, 4], [24, 11, 5], [12, 8, 14], [6, 10, 9, 13, 31], [16, 19, 20, 18, 26, 15, 23, 21, 22, 30, 28, 25], [29, 27, 48, 36, 44, 39, 32, 34, 37, 46], [47, 38, 41, 40], [43, 45, 50, 49, 51, 54, 52, 53, 58, 55, 56, 59, 57, 60]]
71: [[17, 42, 33], [35, 2, 7, 1, 3, 4], [24, 11, 5, 12, 8, 6, 15, 10, 9, 31, 13], [16, 26, 14, 18, 23, 22, 20], [21, 19, 30, 29, 25, 27, 52, 54, 28, 38, 34, 37, 40, 32, 43, 36, 39, 41, 44, 59, 45, 46, 50, 55, 48, 49, 47, 51, 53, 56, 57, 58, 60]]
72: [[17, 42, 33], [35, 2, 7], [1, 3, 4, 24, 11], [5, 12, 9, 6, 26, 14, 8, 10, 31, 18, 13, 15], [27, 16, 19, 20, 21, 22, 25, 23, 29, 28], [30, 49, 52, 37, 34, 32], [38, 44, 36, 46, 40, 41, 45, 39, 43, 47], [56, 51], [54, 57, 48, 55], [50, 53, 58], [59, 60]]
73: [[17, 42, 33], [35, 2, 7, 1, 3, 4, 24, 11, 5, 10, 12], [6, 22, 25, 14, 8, 13, 26, 9, 16, 15, 18, 19, 20, 29, 23, 56, 21, 30, 46, 31, 27, 36, 34, 28, 38, 37, 40, 39, 43, 47, 32, 44, 41, 45, 50, 54, 52, 51, 48, 55, 53, 60, 49, 59, 57, 58]]
