0: [[3, 16, 4, 5, 6], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
19: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
20: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
21: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
22: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
23: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
24: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
25: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
26: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
27: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
28: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
29: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
30: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
31: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
32: [[3, 16, 5, 6, 1, 4], [2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
33: [[3, 16, 5, 4], [6, 1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
34: [[3, 16, 5, 4], [6, 1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
35: [[3, 16, 5, 6, 1, 4], [2, 14, 7, 11, 13, 10, 9, 12], [15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
36: [[3, 16, 5, 6, 1, 4], [2, 14, 7, 11, 13, 10, 9, 12], [15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
37: [[3, 16, 5, 6, 1, 4], [2, 14, 7, 11, 13, 10, 9, 12], [15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
38: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20, 21], [23, 22, 24]]
39: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20, 21], [23, 22, 24]]
40: [[3, 16, 5, 6, 4], [2, 14, 7, 11, 13, 10, 12, 1], [9, 15, 8, 17, 18, 19], [20, 21, 23, 22, 24]]
41: [[3, 16, 5, 6, 4], [2, 14, 7, 11, 13, 10, 1], [12, 9, 15, 8, 17, 18, 19], [20, 21, 23, 22, 24]]
42: [[3, 16, 5, 6, 4], [2, 14, 7, 11, 13, 10, 1], [12, 9, 15, 8, 17, 18, 19], [20, 21, 23, 22, 24]]
43: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12, 9], [15, 8, 17, 18, 19, 20, 21], [23, 22, 24]]
44: [[3, 16, 5, 4], [6, 2, 14, 7, 11, 13, 10, 1], [12, 9, 15, 8, 17, 18, 19], [20, 21, 23, 22, 24]]
45: [[3, 16, 5, 4], [6, 2, 14, 7, 11, 13, 10, 1], [12, 9, 15, 8, 17, 18, 19], [20, 21, 23, 22, 24]]
46: [[3, 16, 5, 4], [6, 2, 14, 7, 11, 13, 10, 1], [12, 9, 15, 8, 17, 18, 19], [20, 21, 23, 22, 24]]
47: [[3, 16, 5, 4], [6, 2, 14, 7, 11, 13, 10, 1], [12, 9, 15, 8, 17, 18, 19], [20, 21, 23, 22, 24]]
48: [[3, 16, 5, 6, 1, 4], [2, 14, 7, 11, 13, 10, 12, 9], [15, 8, 17, 18, 19, 20, 21], [23, 22, 24]]
49: [[3, 16, 5, 6, 1, 4], [2, 14, 7, 11, 13, 10, 12, 9], [15, 8, 17, 18, 19, 20, 21], [23, 22, 24]]
