0: [[17, 11, 7], [19, 2, 22, 6, 3, 20, 4, 13, 1, 5, 16, 8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
21: [[17, 11, 7], [19, 2], [22, 6, 3], [20, 4, 13], [1, 5, 16], [8, 12, 14, 9], [10, 15, 18], [21, 23, 24]]
22: [[17, 11, 7], [19, 2, 22], [6, 3], [20, 4], [13, 1, 5], [16, 8, 12], [14, 9], [10, 15, 18], [21, 23, 24]]
23: [[17, 11, 7], [19, 2, 22, 6, 3, 20, 4, 13, 1, 5, 16, 8, 12, 14, 9, 10], [15, 18, 21, 23, 24]]
24: [[17, 11, 7], [19, 2], [22, 6, 3], [20, 4, 13], [1, 5], [16, 8, 12], [14, 9], [10, 15, 18], [21, 23, 24]]
25: [[17, 11, 7], [19, 2, 22], [6, 3, 20], [4, 13, 1], [5, 16, 8], [12, 14], [9, 10], [15, 18, 21], [23, 24]]
26: [[17, 11, 7], [19, 2, 22, 6], [3, 20, 4], [13, 1, 5], [16, 8, 12], [14, 9, 10], [15, 18, 21], [23, 24]]
27: [[17, 11], [7, 19, 2], [22, 6, 3], [20, 4, 13], [1, 5, 16], [8, 12, 14, 9], [10, 15, 18], [21, 23, 24]]
28: [[17, 11, 7], [19, 2], [22, 6, 3], [20, 4, 13], [1, 5, 16], [8, 12], [14, 9, 10], [15, 18, 21], [23, 24]]
29: [[17, 11], [7, 19, 2], [22, 6, 3], [20, 4, 13], [1, 5], [16, 8, 12], [14, 9], [10, 15, 18], [21, 23, 24]]
30: [[17, 11, 7], [19, 2, 22, 6, 3, 20, 4, 13, 1, 5, 16], [8, 12, 14, 9, 10, 15, 18, 21, 23, 24]]
31: [[17, 11, 7], [19, 2, 22, 6, 3, 20, 4, 13, 1, 5, 16], [8, 12, 14, 9, 10, 15, 18, 21, 23, 24]]
32: [[17, 11, 7], [19, 2, 22, 6, 3], [20, 4, 13, 1], [5, 16, 8], [12, 14, 9], [10, 15], [18, 21, 23, 24]]
33: [[17, 11, 7], [19, 2, 22, 6, 3, 20, 4, 13, 1, 5, 16], [8, 12, 14, 9, 10, 15, 18, 21, 23, 24]]
34: [[17, 11, 7], [19, 2, 22], [6, 3, 20, 4], [13, 1, 5], [16, 8, 12, 14], [9, 10, 15], [18, 21, 23, 24]]
35: [[17, 11, 7], [19, 2, 22], [6, 3, 20], [4, 13, 1], [5, 16, 8], [12, 14, 9], [10, 15], [18, 21, 23, 24]]
36: [[17, 11, 7], [19, 2, 22], [6, 3, 20, 4, 13, 1, 5, 16, 8, 12, 14, 9, 10, 15, 18, 21, 23, 24]]
37: [[17, 11, 7], [19, 2, 22], [6, 3, 20], [4, 13, 1, 5, 16, 8, 12, 14, 9], [10, 15, 18, 21, 23, 24]]
38: [[17, 11, 7], [19, 2], [22, 6, 3], [20, 4, 13, 1, 5, 16, 8, 12, 14, 9, 10, 15, 18, 21, 23, 24]]
39: [[17, 11, 7], [19, 2, 22], [6, 3, 20], [4, 13, 1, 5, 16, 8, 12, 14, 9, 10, 15, 18, 21, 23, 24]]
40: [[17, 11, 7], [19, 2, 22], [6, 3, 20], [4, 13, 1], [5, 16, 8], [12, 14, 9, 10, 15, 18, 21, 23, 24]]
41: [[17, 11, 7], [19, 2, 22], [6, 3, 20], [4, 13, 1, 5], [16, 8, 12, 14, 9, 10, 15, 18, 21, 23], [24]]
42: [[17, 11, 7], [19, 2], [22, 6, 3], [20, 4], [13, 1, 5], [16, 8, 12, 14, 9, 10, 15, 18, 21, 23, 24]]
43: [[17, 11, 7], [19, 2, 22, 6, 3, 20, 4, 13], [1, 5, 16], [8, 12], [14, 9, 10, 15, 18, 21, 23, 24]]
44: [[17, 11], [7, 19, 2], [22, 6, 3, 20, 4, 13, 1, 5, 16, 8, 12, 14, 9, 10, 15, 18, 21, 23, 24]]
45: [[17, 11, 7], [19, 2], [22, 6], [3, 20, 4], [13, 1, 5, 16, 8, 12, 14, 9, 10, 15, 18, 21, 23, 24]]
46: [[17, 11], [7, 19, 2], [22, 6, 3, 20], [4, 13, 1], [5, 16, 8], [12, 14, 9, 10, 15, 18, 21, 23, 24]]
47: [[17, 11, 7], [19, 2], [22, 6, 3], [20, 4, 13], [1, 5], [16, 8, 12], [14, 9, 10, 15, 18, 21, 23, 24]]
