0: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
17: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
18: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
19: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
20: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
21: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
22: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
23: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
24: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
25: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
26: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
27: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13, 16], [11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
28: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13, 16], [11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
29: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13, 16], [11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
30: [[10, 6, 1, 2, 9, 14, 4, 3, 12], [13, 16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
31: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13, 16], [11, 7, 5], [8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
32: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13, 16], [11, 7, 5], [8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
33: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11], [7, 5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
34: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11], [7, 5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
35: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11], [7, 5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
36: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11], [7, 5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
37: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11], [7, 5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
38: [[10, 6, 1, 2, 9, 14, 4, 3, 12], [13, 16, 11], [7, 5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
39: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13, 16], [11, 7], [5, 8, 22, 15, 19, 18, 17], [20, 23, 21, 24]]
40: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20, 23], [21, 24]]
41: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20, 23], [21, 24]]
42: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20, 23], [21, 24]]
43: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13, 16], [11, 7], [5, 8, 22, 15, 19, 18, 17, 20, 23], [21, 24]]
44: [[10, 6, 1, 2, 9, 14, 4, 3], [12, 13, 16, 11], [7, 5, 8, 22, 15, 19, 18, 17], [20, 23, 21, 24]]
45: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11], [7, 5, 8, 22, 15, 19, 18, 17], [20, 23, 21, 24]]
46: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11], [7, 5, 8, 22, 15, 19, 18, 17], [20, 23, 21, 24]]
47: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11], [7, 5, 8, 22, 15, 19, 18, 17], [20, 23, 21, 24]]
48: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7, 5], [8, 22, 15, 19, 18, 17, 20, 23], [21, 24]]
49: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13, 16], [11, 7, 5], [8, 22, 15, 19, 18, 17, 20, 23], [21, 24]]
