0: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 11, 8, 10, 12, 14], [6, 20, 5, 23, 17, 22, 25], [29, 18, 15, 21, 26, 27, 24, 28]]
25: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 14, 15], [10, 6, 11, 12, 18, 17, 20, 21], [22, 23, 26, 28, 25, 24, 29, 27]]
26: [[19, 1, 2, 7, 9, 16, 3], [4, 12, 5, 6, 10, 11], [8, 14, 13, 15, 21, 17, 18, 25], [22, 23, 26, 29, 20, 24, 27, 28]]
27: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 15, 6, 10, 11], [14, 22, 29, 20, 17, 12], [21, 23, 25, 18, 24, 26, 27, 28]]
28: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 15, 10, 6, 14], [11, 12, 21, 17, 22, 18], [29, 23, 25, 20, 24, 26, 27, 28]]
29: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 14, 11, 6, 12], [15, 10, 20, 23, 22, 17], [18, 21, 26, 24, 27, 28, 29, 25]]
30: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 10, 6], [11, 14, 12, 15, 17, 18, 22, 28], [29, 21, 23, 20, 26, 27, 25, 24]]
31: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 14, 15], [10, 11, 26, 22, 17, 20, 6, 12], [21, 23, 24, 25, 18, 27, 29, 28]]
32: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 11, 6, 10, 14], [23, 24, 17, 15, 18, 12], [21, 22, 20, 27, 25, 28, 26, 29]]
33: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 14, 11, 6, 10], [12, 15, 21, 17, 22, 18], [29, 20, 25, 27, 23, 24, 26, 28]]
34: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 14, 11, 6, 10], [12, 15, 21, 17, 22, 18], [29, 20, 27, 23, 25, 28, 24, 26]]
35: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 15, 11, 6, 18], [10, 12, 14, 17, 22, 20], [29, 21, 23, 24, 27, 28, 25, 26]]
36: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 11, 8, 6, 10, 14], [12, 22, 15, 17, 5, 20, 21], [29, 18, 23, 28, 26, 25, 24, 27]]
37: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 15, 5, 8, 11, 14], [6, 12, 23, 21, 10, 22, 17], [18, 25, 24, 20, 26, 27, 29, 28]]
38: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 14, 15, 10], [11, 12, 21, 18, 25, 6, 22], [17, 20, 23, 24, 27, 26, 28, 29]]
39: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 10, 12, 14, 6], [20, 15, 23, 17, 18, 22], [21, 28, 11, 27, 24, 25, 26, 29]]
40: [[19, 1, 2, 7], [9, 16, 3, 4, 12, 13, 5, 10, 6], [24, 8, 29, 14, 15, 23, 20, 28], [17, 18, 11, 21, 22, 25, 26, 27]]
41: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 15, 8, 10, 14], [12, 5, 6, 17, 20, 21, 25, 18], [29, 22, 11, 23, 27, 26, 24, 28]]
42: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 6, 8, 10, 14], [12, 15, 28, 5, 22, 17, 18, 20], [29, 23, 11, 27, 21, 24, 25, 26]]
43: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 14, 6], [11, 10, 26, 15, 21, 17, 22, 12], [18, 20, 23, 27, 24, 25, 28, 29]]
44: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 6, 11, 26, 10, 12], [22, 21, 15, 17, 14], [20, 18, 23, 25, 27, 29, 28, 24]]
45: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 14, 6, 10, 11], [15, 12, 18, 25, 17, 28], [21, 22, 27, 20, 24, 26, 29, 23]]
46: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 10, 14, 15, 6], [12, 21, 23, 17, 11, 28], [29, 18, 22, 20, 26, 25, 24, 27]]
47: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 6, 10, 14], [11, 12, 15, 20, 25, 23, 17], [18, 27, 21, 24, 29, 26, 22, 28]]
48: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 14, 11, 6], [10, 15, 12, 17, 21, 22, 18], [27, 23, 26, 25, 29, 20, 24, 28]]
49: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 15, 14], [6, 11, 27, 12, 10, 17, 20, 28], [21, 23, 24, 25, 18, 26, 29, 22]]
50: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 6, 11, 14, 12], [10, 15, 21, 29, 22, 18], [17, 23, 26, 25, 20, 28, 24, 27]]
51: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 10, 6, 14, 11], [15, 20, 17, 21, 22, 12], [18, 25, 23, 26, 27, 24, 29, 28]]
52: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 14, 11, 10, 26], [6, 22, 21, 12, 15, 17], [18, 23, 25, 24, 20, 29, 27, 28]]
53: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 6, 11, 14], [10, 23, 22, 12, 18, 28, 15], [21, 17, 20, 29, 27, 26, 25, 24]]
54: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 6, 11, 10, 12], [14, 15, 20, 17, 28, 18], [22, 21, 24, 23, 27, 25, 26, 29]]
55: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 10, 14], [6, 11, 20, 15, 21, 27, 23, 24], [12, 26, 17, 18, 22, 25, 29, 28]]
56: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 6, 15, 10], [11, 14, 12, 22, 25, 17, 21], [18, 20, 26, 23, 28, 24, 27, 29]]
57: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 14, 11, 6], [12, 15, 10, 21, 20, 22, 18], [25, 17, 23, 26, 27, 28, 29, 24]]
58: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 14, 11], [10, 6, 12, 22, 15, 21, 18, 28], [17, 23, 25, 20, 27, 24, 26, 29]]
59: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 11, 8, 14, 5, 6], [12, 28, 25, 21, 29, 22, 17], [10, 15, 27, 23, 24, 18, 26, 20]]
