0: [[22], [13, 9, 1, 11, 6], [10, 2, 19], [4, 5], [7, 8, 15], [12, 20], [16, 18, 3], [14, 17], [23, 24, 21]]
29: [[22], [13, 9, 1, 11, 6], [10, 2, 19], [4, 5, 7, 8, 15], [12, 20, 16, 3], [18, 14, 17, 23, 24, 21]]
30: [[22], [13, 6], [9, 1], [11, 10, 2], [19, 4, 5, 7], [8, 12, 15], [20, 16, 18, 3], [14, 17, 23, 24, 21]]
31: [[22], [13, 9, 1, 11, 6], [10, 2, 3], [19, 4, 5, 7], [8, 12, 20, 15], [16, 18, 14, 17, 23, 24, 21]]
32: [[22], [13], [9, 1, 11], [10, 2, 19], [4, 5, 7, 8, 6, 15], [12, 20, 16, 3], [18, 14], [17, 23, 24, 21]]
33: [[22], [13], [9, 1, 11], [10, 2, 19], [4, 5, 7, 8, 6, 15], [12, 20, 16, 3], [18, 14, 17, 23, 24, 21]]
34: [[22], [15, 13, 9, 1, 11, 10, 2, 19, 6], [4, 5, 7], [8, 12, 20, 16, 18, 14, 3], [17, 23, 24, 21]]
35: [[22, 15, 6], [13, 9, 1], [11, 10, 2, 19, 4, 5, 7, 8], [12, 20, 16, 3], [18, 14, 17, 23, 24, 21]]
36: [[22], [13], [9, 1, 11], [10, 2, 19], [4, 5, 7, 6], [8, 12, 20, 15], [16, 18, 14, 17, 23, 24, 21, 3]]
37: [[22, 3], [13, 9, 1, 6], [11, 10, 2], [19, 4], [5, 7, 8, 12, 15], [20, 16, 18, 14, 17, 23, 24, 21]]
38: [[3, 22, 6, 15, 13], [9, 1, 11], [10, 2, 19], [4, 5], [7], [8, 12, 20, 16, 18, 14, 17, 23, 24, 21]]
39: [[22], [15, 13, 6], [9, 1, 11], [10, 2, 19, 3], [4, 5, 7, 8, 12, 20, 16, 18, 14, 17, 23, 24, 21]]
40: [[22], [13, 9], [1, 11, 10, 3, 6], [2, 19, 4], [5, 7, 8, 12, 20, 15], [16, 18, 14, 17, 23, 24, 21]]
41: [[3, 22, 6, 15, 13], [9, 1, 11], [10, 2, 19], [4, 5, 7], [8, 12, 20, 16, 18, 14, 17, 23, 24, 21]]
42: [[22, 15, 6], [13, 9], [1, 11, 10, 2, 19, 4, 5, 7, 8], [12, 20, 16, 3], [18, 14, 17, 23, 24, 21]]
43: [[22], [15], [13, 9, 1, 11, 6], [10, 2, 19, 4, 5, 7, 8, 12, 20, 16, 18, 14, 17, 23, 24, 21, 3]]
44: [[22], [15, 6, 13], [9], [1, 11], [10, 2, 19, 3], [4, 5, 7, 8, 12, 20, 16, 18, 14, 17, 23, 24, 21]]
45: [[3, 22, 6, 15, 13], [9, 1, 11], [10, 2, 19, 4, 5, 7, 8, 12, 20, 16, 18, 14, 17, 23, 24, 21]]
46: [[22, 15], [13, 9], [1, 11, 10, 2, 19], [4, 5, 7, 6], [8, 12, 20, 16, 18, 14, 17, 23, 24, 21, 3]]
47: [[22, 6, 15], [13, 9, 1], [11, 10, 2], [19, 4, 5, 7, 8], [12, 20, 16, 18, 14, 17, 23, 24, 3], [21]]
48: [[3, 22], [6, 15, 13], [9, 1, 11], [10, 2], [19, 4, 5, 7], [8, 12, 20, 16, 18, 14, 17, 23, 24, 21]]
49: [[3, 22, 6], [15, 13, 9], [1, 11], [10, 2, 19], [4, 5, 7, 8, 12, 20, 16, 18, 14, 17, 23, 24, 21]]
