0: [[3, 19, 5, 4, 6, 13, 8, 10, 12], [1, 11, 7, 2, 9, 18, 15, 16, 17, 14], [20, 22, 25, 23, 29], [24, 28], [21, 26, 27]]
14: [[3, 19, 5, 4, 6, 13, 15, 8, 14], [1, 10, 7, 2, 9, 11, 12, 16, 17, 22], [20, 18, 21, 23, 25, 26, 24, 29, 27], [28]]
15: [[3, 19, 5, 1, 6, 11, 10], [8, 2, 13, 4, 7, 9, 14, 12], [15, 16, 17, 18, 22, 21, 20, 23, 25, 27, 24, 26, 28, 29]]
16: [[3, 19, 5, 1, 6], [9, 15, 2], [4, 7, 8, 10, 11, 13], [12, 14, 17, 16, 22, 23], [18, 20, 21, 25], [24, 27, 26, 29, 28]]
17: [[3, 19], [5, 4], [6, 1, 9, 2, 14], [8, 15, 7, 13, 10], [12, 11, 24, 17, 18], [22, 16], [20, 21, 23, 25, 29, 26, 27, 28]]
18: [[3, 19, 5, 2, 10, 12, 9, 4], [22, 1, 7, 15, 8, 11, 13], [14, 16, 17, 18, 21], [6, 25, 20, 24, 28, 23, 27, 26, 29]]
19: [[3, 19, 5, 1, 6, 12, 7], [4, 2, 8, 10, 15, 11, 9, 13, 14, 16], [17, 18, 21, 20, 25, 28, 23, 24, 22, 27, 26, 29]]
20: [[3, 19, 5, 1, 6, 9, 2], [7, 13, 10, 8, 4, 12, 14, 11], [15, 17, 16, 20, 23, 18], [21, 22, 26, 24, 25, 27, 29, 28]]
21: [[3, 19, 5, 4, 6, 13, 8, 10, 2, 1, 7, 15, 9, 11, 26, 12, 18, 17, 14, 20, 16], [22, 21, 25, 24], [27, 23, 29, 28]]
22: [[3, 19], [5, 4, 6], [13, 8, 10, 12, 1, 11, 7, 2, 9, 26, 15, 16, 21, 14, 20, 22, 25, 23, 17, 24, 18, 29, 28, 27]]
23: [[3, 19, 5, 1, 6, 13, 2, 8, 4, 7, 9, 10, 11, 12, 14, 26, 17], [16, 23], [22, 15, 28, 18, 29], [25, 20, 21, 24, 27]]
24: [[3, 19], [5, 4, 6, 13, 12, 7, 10, 1, 9], [14, 2, 11, 8], [26, 17, 15, 22, 20, 16, 18, 21, 25], [23, 24, 27, 29, 28]]
25: [[3, 19, 5, 2, 10], [6, 13], [1, 4], [11, 7, 8, 15], [9, 16, 17, 28, 22], [18, 24, 21, 20, 12, 14], [23, 26, 25, 27, 29]]
26: [[3, 19, 5, 1, 6, 9], [2, 10, 4, 7, 15, 8, 12], [11, 14, 22], [17, 16, 18, 20], [23, 29, 13, 24, 21, 28, 25, 26, 27]]
27: [[3, 19, 5, 1, 6], [10, 7, 2, 4], [8, 11, 13], [12, 9, 15, 14, 17, 16, 18], [21, 22, 26, 20], [23, 24, 27, 25, 29, 28]]
28: [[3, 19], [5, 4], [6, 1, 9, 10, 2], [8, 14, 7, 11, 15], [12, 13, 25, 17, 18], [22, 23], [16, 29, 20, 24, 21], [26, 27, 28]]
29: [[3, 19, 5], [1, 6, 9, 15, 2, 4, 7, 11, 10, 8, 12, 24, 14, 16, 13, 17, 20, 18, 21, 22, 23, 26, 27, 28], [29, 25]]
30: [[3, 19, 5, 4, 6, 12, 8, 10, 2], [1, 7, 15, 9], [11, 18, 13, 27, 17, 14, 22, 16], [28], [21], [20, 24, 25, 23, 29, 26]]
31: [[3, 19, 5, 1, 6, 13], [10, 2, 4, 8, 14, 11], [9, 15, 12, 7, 16], [17, 18, 25, 20, 29, 21, 22], [23, 27, 24, 26, 28]]
32: [[3, 19], [5, 4, 6, 8, 1], [2, 10, 9, 7], [14, 15, 13, 12, 11, 24, 16, 17, 22, 18, 20, 21, 28], [23, 25, 27, 29, 26]]
33: [[3, 19, 5, 1], [6, 13, 11], [2, 12, 4, 15, 8, 7], [9, 10, 16, 14, 17], [22, 20, 18, 21], [24, 23, 26, 27, 25, 29, 28]]
34: [[3, 19], [5, 4, 6, 13, 11, 8, 2], [1, 9, 7, 12, 15, 10, 14], [16, 17, 18, 20, 22, 23, 21, 25, 24], [27, 29, 26, 28]]
35: [[3, 19, 5, 1, 6, 9], [2, 14, 4, 7], [11, 12, 8, 15, 10, 13, 16, 18, 23, 22], [20, 29, 24], [21, 17, 25, 26, 27, 28]]
36: [[3, 19, 5, 1, 6], [13, 15, 14, 2], [8, 12, 4, 10, 9], [7, 11, 17, 16], [18, 23], [20, 25, 21, 29], [24, 22, 26, 27, 28]]
37: [[3, 19], [5, 4], [6, 1, 8, 2, 14, 10, 7, 15, 11, 9, 12, 13, 25, 21, 16, 22, 17, 24, 29, 28, 18, 20, 26, 23, 27]]
38: [[3, 19, 5], [1, 6, 13, 7, 10, 4, 2], [8, 14, 11, 9, 12, 15, 17, 16, 22, 21], [18, 20, 25, 26, 24, 23, 27, 29, 28]]
39: [[3, 19, 5, 1, 6], [10, 2, 8, 7], [4, 9, 12, 11, 13], [14, 15], [16, 23, 22, 21, 18], [26, 17, 20, 25], [24, 27, 29, 28]]
40: [[3, 19, 5, 1, 6], [12, 9], [10, 7, 2, 4, 8], [13, 11, 15, 14, 16, 20, 17, 23, 18, 21, 22, 24, 27, 29, 26, 25, 28]]
41: [[3, 19, 5, 2], [6, 9, 1, 10, 7], [4, 12, 8, 11, 13, 15], [14, 17, 16, 18, 20], [22, 23, 21, 25, 24], [29, 27], [26, 28]]
42: [[3, 19, 5, 1, 6, 13], [2, 8, 14, 11, 4, 10, 9, 15, 12], [20, 17, 16, 21], [22, 23], [28, 7, 29, 24, 25, 18, 26, 27]]
43: [[3, 19, 5, 4], [6, 12, 10, 1, 8], [9, 11, 7, 2, 13], [17, 14, 16], [18, 22, 28, 20], [25, 23, 29], [15, 21], [24, 26, 27]]
44: [[3, 19], [5, 1, 6], [13, 10, 4, 7], [2, 12, 9, 14, 11], [15, 16, 8, 17], [22, 18, 21, 26, 20], [23, 27, 24, 25, 29, 28]]
45: [[3, 19, 5, 2, 6], [15, 12, 8], [1, 4, 7, 9, 10, 11], [16, 13, 17, 23], [14, 20, 18, 25, 22, 21], [24, 26], [27, 28, 29]]
46: [[3, 19, 5, 1, 6], [11, 10, 2, 4, 13, 8, 15, 12, 7, 9], [14, 17, 16, 27, 23], [22, 20, 18, 21, 24], [25, 29, 26, 28]]
47: [[3, 19, 5, 4, 6, 13], [10, 8, 2, 7], [11, 9, 12, 1, 27, 14, 16, 17], [15, 20, 21, 29], [22, 23, 18, 24, 28, 25, 26]]
48: [[3, 19, 5, 1, 6], [14, 2, 7, 9], [8, 4, 13], [10, 11, 26, 12, 16, 23, 15], [22, 17, 27, 28], [21, 25, 18, 20, 24, 29]]
49: [[3, 19, 5, 1, 6, 14, 15], [10, 12, 2], [11, 13, 4, 9, 7, 8, 18, 17, 22, 21, 16, 25, 23, 20, 24, 29, 26, 27, 28]]
50: [[3, 19], [5, 4, 6, 1, 2], [10, 9, 8, 15, 7], [11, 13, 12], [14, 16, 21, 17, 22, 23, 18, 25, 20, 24, 29, 26, 27, 28]]
51: [[3, 19], [5, 1], [6, 10, 9, 2, 4], [8, 7, 12, 11, 15], [28, 13, 27, 17], [18, 22, 14, 16, 29, 20, 24, 21, 26, 25, 23]]
52: [[3, 19, 5, 1, 6, 9], [10, 2, 4, 7], [8, 15, 14, 11, 12, 20, 17, 13, 18, 28], [22, 16, 21], [25, 23, 24, 29, 27, 26]]
53: [[3, 19, 5, 4, 6, 13], [8, 10], [12, 14, 11], [7, 2, 15, 1, 9, 17, 16, 22, 28, 20, 25, 23, 21, 18, 24, 27, 26, 29]]
54: [[3, 19, 5, 4, 6, 11, 15], [10, 1, 8, 14, 2], [7, 9], [28, 12, 13, 17, 18], [23, 29, 16], [20, 22, 24, 25, 26, 27, 21]]
55: [[3, 19, 5, 4, 6, 13, 9], [1, 7, 8, 15, 12], [2, 10, 11, 26, 16], [17, 21, 20], [23, 25, 22, 24, 18, 27, 28, 29, 14]]
56: [[3, 19], [5, 4, 6, 13, 11, 8, 14, 1, 7], [12, 2, 9, 18, 15], [16, 17, 28], [20, 10, 21, 23, 29], [22, 25], [24, 26, 27]]
57: [[3, 19, 5], [2, 6, 13], [1, 10, 4, 7, 8], [9, 12, 11, 16, 15], [25, 14, 22, 21], [18, 26, 17, 20, 24, 23, 27, 28, 29]]
58: [[3, 19, 5, 1], [6, 8], [10, 12, 7, 2, 4], [9, 11, 13, 16], [15, 25, 14, 22], [21, 17, 27, 29, 18], [24, 20, 26, 23, 28]]
59: [[3, 19], [5, 4], [6, 9, 11, 8, 14], [10, 1, 2, 7, 15], [12, 27, 17, 16, 18], [22, 20], [24, 13, 28, 25, 21], [26, 23, 29]]
