0: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
16: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
17: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
18: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
19: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
20: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
21: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
22: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
23: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
24: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
25: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
26: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
27: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
28: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
29: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
30: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
31: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
32: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
33: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
34: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
35: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
36: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
37: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
38: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
39: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
40: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
41: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
42: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
43: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
44: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
45: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
46: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
47: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
48: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
49: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
50: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
51: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
52: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
53: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
54: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
55: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
56: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
57: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
58: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
59: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
