0: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
11: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
12: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
13: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
14: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
15: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
16: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
17: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
18: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
19: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
20: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
21: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
22: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
23: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
24: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
25: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
26: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
27: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
28: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
29: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
30: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
31: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
32: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
33: [[7, 13, 9, 22], [6, 10, 19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
34: [[7, 13, 9, 22], [6, 10, 19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
35: [[7, 13, 9, 22], [6, 10, 19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
36: [[7, 13, 9, 22], [6, 19, 24, 18, 2, 10], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
37: [[7, 13, 9, 22], [6, 19, 24, 18, 2, 10], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
38: [[7, 13, 9, 22], [6, 10, 19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
39: [[7, 13, 9, 22], [6, 10, 19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
40: [[7, 13, 9, 22], [6, 10, 19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
41: [[7, 13, 9, 22], [6, 10, 19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
42: [[7, 13, 9, 22], [6, 10, 19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
43: [[7, 13, 9, 22], [6, 10, 19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
44: [[7, 13, 9, 22], [6, 10, 19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
45: [[7, 13, 9, 22], [6, 10, 19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
46: [[7, 13, 9, 22], [6, 10, 19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
47: [[7, 13, 9, 22], [6, 10, 19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
48: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2, 21, 28], [1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
49: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2, 21, 28], [1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
50: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2, 21, 28], [1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
51: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2, 21, 28], [1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
52: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2, 21, 28], [1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
53: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2, 21, 28], [1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
54: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2, 21, 28], [1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
55: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2, 21, 28], [1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
56: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2, 21, 28], [1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
57: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2, 21, 28], [1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
58: [[7, 13, 9, 22, 6, 19], [24, 18, 2, 10, 21, 28], [1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
59: [[7, 13, 9, 22, 6, 19], [24, 18, 2, 10], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
