0: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 13], [1, 9, 18, 10], [15, 16, 12], [29, 23, 22, 14], [21, 26, 27], [28, 24], [25, 20]]
40: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 13, 1], [9, 26, 14, 15, 20, 12, 23, 10, 16], [18, 21, 22, 24, 25, 27, 28, 29]]
41: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8, 13], [1, 9, 10], [28, 12, 14, 23, 15, 18, 21, 26, 20, 22, 16], [24, 29, 25, 27]]
42: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8], [13, 1, 9, 26], [14, 15, 20, 12], [21, 10, 16, 18, 29, 22, 27, 24, 28, 23, 25]]
43: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 13, 1, 9, 10, 12, 15, 14, 20], [16, 21], [27, 22], [23, 25, 26, 28, 24, 18, 29]]
44: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8], [13, 1, 9, 23], [28, 10, 14, 12, 15], [20, 18, 22, 27, 16, 21, 29, 25, 24, 26]]
45: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8, 13], [1, 9, 18, 15], [10, 12, 16, 29, 23, 20, 14, 21, 22], [27, 28], [26, 25, 24]]
46: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8, 13, 12, 1], [9, 22, 15], [16, 10], [20, 23, 24], [18, 21, 26, 27, 28, 29, 25, 14]]
47: [[5, 17, 6, 11], [2, 19, 7, 3, 4], [8, 9, 1, 13, 15], [12, 18, 14], [10, 20, 16], [23, 22, 27, 26], [25, 21, 24, 29, 28]]
48: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8, 9], [1, 12, 23, 15], [10, 18, 13, 29], [16, 20, 14], [21, 22, 27, 25, 24, 26, 28]]
49: [[5, 17, 6, 11], [2, 19, 7, 3], [4, 8, 13], [1, 9, 14], [10, 12, 15, 18], [22, 23, 29], [26, 21, 28, 16, 25, 24], [20, 27]]
50: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8], [13, 1, 9], [26, 10], [12, 18, 14, 16], [15, 23, 22, 21, 20, 27, 24, 25, 28, 29]]
51: [[5, 17, 6, 11], [2], [19, 7, 3, 4, 8, 13, 1, 9, 10, 12, 18, 14, 20, 22, 15, 21], [26, 25], [23, 16], [29, 27, 24, 28]]
52: [[5, 17, 6, 11], [2, 19], [7, 3, 4], [8, 13, 9, 1], [15, 12, 10, 14, 18], [28, 20, 23, 16, 21, 24, 22, 25, 27, 29], [26]]
53: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8], [13, 9, 1, 18], [14, 23, 20, 12], [10, 15, 16], [22, 21, 24, 27], [25, 26, 29, 28]]
54: [[5, 17, 6, 11], [2, 19, 7, 3], [4, 8, 13, 1, 14, 26, 15, 9, 10, 23, 12], [18, 16, 21, 20, 27, 22, 24], [25, 29, 28]]
55: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8], [13, 1, 9], [14, 28, 10, 12], [20, 15, 18], [16, 26, 21, 22], [27, 25, 29, 23, 24]]
56: [[5, 17, 6, 11], [2, 19, 7, 3], [4, 8, 13], [1, 9, 10, 28], [14, 12, 20, 15], [18, 16, 22], [21], [26, 27, 25, 29, 23, 24]]
57: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8, 9], [1, 13, 12, 10], [14, 20, 15], [21, 18, 23, 16, 22, 26, 24], [28, 25, 27, 29]]
58: [[5, 17, 6], [11, 2, 19], [7, 3, 4, 8], [13, 9, 1, 18], [15, 10, 14], [12, 16, 21, 22], [20, 25, 23, 27], [24, 26], [29, 28]]
59: [[5, 17], [6, 11, 2, 19, 7, 3, 4, 8, 13, 9, 1, 18, 14, 23, 20, 12, 10, 15, 16, 22, 28, 21, 27, 24, 25], [26, 29]]
