0: [[20, 2, 1, 13], [3, 10, 6], [4, 15, 5], [7, 11], [8, 12, 9, 14, 17, 19], [18, 16, 22], [21, 23, 24]]
38: [[2], [10, 6], [3, 4], [15, 5, 7], [11, 8, 12, 13, 20, 1], [9, 14], [17, 19, 18], [16, 22, 21], [23, 24]]
39: [[2, 10, 20], [6, 3, 4, 1], [15, 5], [7, 11, 8, 13], [12, 9, 14, 17, 19, 18, 16, 22, 21, 23, 24]]
40: [[13, 20, 1], [2, 6], [3, 4, 10], [15, 5], [7, 11], [8, 12, 9, 14, 17, 19, 18, 16, 22, 21, 23, 24]]
41: [[2, 10, 20, 1], [6, 3], [4, 15, 5, 7], [11, 8, 12, 13], [9, 14, 17, 19, 18, 16, 22, 21, 23, 24]]
42: [[13, 20, 1], [2, 10], [6, 3], [4, 15, 5, 7], [11, 8, 12, 9, 14, 17, 19, 18, 16, 22, 21, 23, 24]]
43: [[13, 20, 1], [2, 10, 6], [3, 4, 15], [5, 7, 11, 8, 12, 9, 14, 17, 19, 18, 16, 22, 21, 23, 24]]
44: [[1, 2, 20], [10, 6, 13], [3, 4, 15, 5, 7, 11, 8, 12, 9], [14, 17, 19, 18, 16, 22, 21, 23, 24]]
45: [[13, 20, 1], [2], [3, 4, 10], [15, 5, 7, 6], [11], [8, 12, 9, 14, 17, 19, 18, 16, 22, 21, 23, 24]]
46: [[13, 20], [1, 2], [10, 6, 3, 4, 15, 5, 7, 11, 8, 12, 9, 14, 17, 19, 18, 16, 22, 21, 23, 24]]
47: [[13], [2, 6], [3, 4, 1, 10], [15, 5, 7, 11], [8, 12, 20], [9, 14], [17, 19, 18], [16, 22, 21, 23, 24]]
48: [[1, 2], [10, 6, 13, 20], [3, 4, 15, 5, 7], [11, 8, 12, 9, 14, 17, 19, 18, 16, 22, 21, 23, 24]]
49: [[2], [10, 6], [3, 4, 15], [5, 7], [11, 8, 12, 9, 13, 20, 1], [14], [17, 19, 18, 16, 22, 21, 23, 24]]
