0: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8], [26, 27], [15, 31, 14, 19, 13, 23], [16, 18, 51, 59, 17, 21], [25, 20, 28, 29], [30, 11, 57, 33], [32, 42, 34, 35, 37], [39, 36, 44, 45, 40, 10], [41, 53, 46, 43], [61, 47, 60, 52, 48], [58, 55, 62, 56], [49, 63, 50, 54, 68], [66, 64, 65, 73, 67, 71], [78, 69, 70, 72, 76, 75, 74], [79, 84, 82, 81, 83, 80, 85], [87, 86, 88]]
11: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 26, 11, 14], [15, 27, 20, 17, 21, 51], [19, 18, 29, 23, 25, 16, 13], [28, 30], [42, 32, 35, 31, 47, 33, 37, 36, 34, 39, 10], [41, 57, 43, 45, 46, 40, 52, 44, 56, 60, 59, 54, 50, 48, 55, 49, 53, 61, 58, 62, 63, 68, 66, 64, 65, 69, 71, 70, 67, 73, 72, 78, 76, 75, 74, 79, 82, 81, 80, 86, 83, 85, 84, 87, 88]]
12: [[24, 2, 77, 1, 12, 22], [7, 4, 3, 5, 38], [6, 9, 8, 30, 14, 10], [47, 11, 15, 17, 16, 50], [13, 19, 18, 23, 26], [20, 21, 25, 29, 28], [27, 53, 31, 33, 35, 34, 37], [36, 39], [32, 40, 41, 43, 57, 46, 42, 44, 60, 54], [45, 48, 51, 49, 63, 52, 56, 55, 59, 58, 62, 61, 66, 67, 64, 65, 68, 70, 71, 76, 78, 74, 69, 72, 73, 75, 79, 80, 81, 83, 82, 86, 85, 84, 87, 88]]
13: [[24, 2, 77, 1, 12, 22], [7, 4, 3, 5], [38, 6, 9, 8], [26, 11, 14, 15], [25, 21, 17], [29, 13, 23], [16, 19, 18, 28, 20], [27, 30, 56, 34], [31, 32, 37], [36, 48, 61, 33], [45, 40, 47, 42, 43], [41, 35, 46], [63, 52, 60, 50, 49], [44, 55, 51, 62, 57, 53, 39, 10], [54, 58, 59, 66], [72, 65], [64, 69, 71, 67, 78, 70], [73, 74, 76, 68, 79], [75, 82, 81, 83, 86], [84, 85, 80, 87, 88]]
14: [[24, 2, 77, 1, 12, 22], [7, 4, 3, 5, 38], [6, 9, 8, 30, 11], [14, 10, 41, 15, 13], [20, 19, 23, 60, 16], [17, 21, 18, 25], [31, 26, 28], [50, 27, 55], [29, 34, 32, 35, 36, 48], [46, 43, 44], [33, 39, 45, 40, 37, 51], [47, 61, 56, 53, 42], [49, 52, 58, 54, 57, 59, 62], [63, 68, 65, 64], [66, 69], [71, 70, 74, 67, 78, 76], [72, 73, 75, 79, 82, 81], [83, 80, 84, 85, 87, 86, 88]]
15: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 30, 10, 14], [11, 15, 29, 16, 21], [13, 50, 17, 51, 19, 18], [20, 28, 26, 25, 59, 58], [48, 57, 23, 27, 33, 36], [63, 32, 37, 44, 35], [42, 31, 34, 39, 40, 45, 49], [46, 55, 41, 43, 56, 47, 52, 54, 60, 53, 61, 62, 68], [66, 64], [65, 70, 71, 67, 78, 69, 72, 75, 73, 74], [76, 79, 82, 84, 80, 85, 86], [81, 83, 87, 88]]
16: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 10, 11], [31, 30, 14, 15, 20], [60, 17, 13, 16], [50, 18, 19, 28, 21, 27], [23, 52, 25, 26, 29, 37, 33, 32, 57, 35, 42, 36, 44, 34, 43, 45, 41, 46, 40, 49], [53, 62, 48, 51], [47, 39, 54, 58, 59, 56, 55, 61, 63, 66, 72, 65, 64, 74, 71, 69, 78, 67, 68, 70, 79, 75, 73, 76, 82, 80, 83, 87, 84, 86, 85, 88, 81]]
17: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 27, 10], [14, 46, 15, 11, 13], [18, 19, 16, 23, 28, 21, 26, 25, 31, 59, 29, 36], [20, 61, 50, 48, 40], [34, 41, 35, 45, 39, 33, 37, 17, 42, 43, 30, 60, 44, 56], [32, 53, 47, 54, 52], [62, 49, 51], [58, 55, 57, 63, 68], [66, 64, 65, 69, 75, 78], [70, 72, 74, 67, 73], [76, 79, 71, 84, 82, 85, 87, 80, 81, 86, 83, 88]]
18: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8], [26, 11], [14, 27, 18, 25, 10], [13, 29, 23, 16, 48], [19, 49], [15, 17, 20, 61], [56, 51, 30, 33], [21, 54, 28, 37, 53, 58, 34, 31, 32, 36, 35, 39, 44, 40, 41, 42, 46, 43, 45, 47, 52, 50, 55], [62, 57, 60, 59, 63, 68, 65, 64], [69, 71, 67, 66, 70, 72, 76, 73, 74, 75, 79], [78, 81, 82, 80, 86, 87, 85, 84, 83, 88]]
19: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 10, 11, 14], [29, 23, 13, 28, 20], [19, 15, 48, 21, 16, 17], [18, 25, 58, 26, 51, 59], [40, 32, 30, 35, 27], [63, 33, 31, 41, 34, 37, 36, 47, 44, 39, 42, 55, 43, 46, 45, 53, 49], [50, 54, 52, 56, 60, 62, 57, 61, 68, 67, 64, 65], [66, 70, 71, 72, 74, 76, 75, 69, 73, 78, 79, 84, 81, 80, 87, 83], [82, 85, 86, 88]]
20: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 10, 31, 13, 11, 15, 14, 25], [23, 16, 27, 49], [18, 17, 20, 19, 21, 28], [26, 62, 42, 29, 41], [59, 30, 56, 35, 37, 33], [36, 32, 34, 39, 47, 40, 44], [55, 45, 50, 43, 46], [54, 51, 48, 53, 52, 58, 61], [57, 60, 63, 68, 66, 64], [67, 65, 70, 69, 71, 74, 78], [72, 73, 75, 76, 79, 84, 81, 80], [87, 83, 82, 85, 86, 88]]
21: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 26, 14], [10, 11, 15, 27], [13, 21, 17, 50, 19], [16, 20, 29, 28, 23, 18], [61, 36, 34, 41, 60], [30, 58, 56, 25, 31, 33, 32], [42, 43, 44, 35, 37, 39], [46, 40, 52, 53, 54, 45, 47], [48, 49, 62, 57, 51, 55, 59, 63, 68, 72, 64, 65, 69, 71, 70, 75, 66, 67, 74, 78, 73, 76, 79, 81, 80], [82, 83, 86, 85, 84, 87], [88]]
22: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8], [26, 27], [15, 31, 14, 19, 13], [10, 16, 11, 51], [58, 17, 21, 18, 20], [62, 23, 28, 25], [49, 43, 32, 42, 40], [29, 36, 39, 44, 30, 33], [34, 46, 35, 48, 45, 37, 61], [47, 52, 41, 50, 57, 55, 60], [56, 53, 59], [54, 63, 68, 66, 64, 65, 73, 67, 71, 78, 69, 70, 76, 72, 75, 74, 79, 84, 81, 82, 83, 80, 85, 87, 86, 88]]
23: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8], [26, 27], [15, 31, 14, 19, 13], [10, 16, 11, 51], [58, 17, 21, 18, 20], [62, 23, 28, 25], [49, 43, 32, 42, 40], [29, 36, 39, 44, 30, 33], [34, 46, 35, 48, 45, 37, 61], [47, 52, 41, 50, 57, 55, 60], [56, 53, 59], [54, 63, 68, 66, 64, 65, 73, 67, 71, 78, 69, 70, 76, 72, 75, 74, 79, 84, 81, 82, 83, 80, 85, 87, 86, 88]]
24: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 10, 14, 8], [15, 11, 13, 23, 16, 17], [27, 20, 19, 18, 21], [26, 29, 25, 31, 28, 30, 61, 32, 34, 33, 41, 44, 35, 60, 36, 40, 43, 39], [45, 42, 47, 53, 46, 51, 37, 48, 58, 63, 49, 52, 54, 55, 50, 56, 59, 57, 62, 68, 66, 65, 64, 69, 75, 70, 67, 73, 74, 72, 71, 76, 78, 79, 80, 81, 84, 87, 83, 82, 86, 85, 88]]
25: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 10, 11, 14], [31, 23, 13, 20, 15, 51], [19, 18, 21, 17, 16], [27, 25, 59, 26, 45, 42, 40, 28, 30, 35, 58, 63, 33, 29, 44, 32, 34], [46, 39, 36, 37, 43, 41, 47, 50, 61, 52, 49, 54], [55, 48, 56, 53, 62, 60, 57, 68, 66, 64, 67, 65, 78, 70, 73, 75], [72, 74, 69, 71], [76, 79, 84, 81, 80, 87, 83, 85, 82, 86, 88]]
26: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 26, 11], [27, 14, 25, 10, 15], [20, 28, 18, 19, 52, 17, 13, 16, 23, 21, 29], [31, 34, 61, 35, 33, 30], [43, 42, 46, 39, 32], [41, 37, 53, 44, 36], [47, 40, 45, 60, 49, 57, 48, 50, 51, 54, 55, 56, 59, 62, 63, 58, 68], [67, 64, 65, 69, 70, 71, 78, 72, 74, 66, 73, 75, 76, 79, 84, 82, 80, 87, 81, 83, 85, 86, 88]]
27: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 26, 11, 14], [29, 15, 31, 13, 10], [16, 17, 49, 20, 19, 21], [18, 25, 58, 27, 28], [59, 40, 32], [62, 35], [30, 63, 33, 23, 44], [54, 36, 34, 47], [41, 52, 43, 39, 42], [45, 37, 46, 50], [51, 48, 60, 56, 53], [55, 57, 61, 68, 67, 64], [65, 66, 69, 71, 78, 70, 76], [75, 72, 73, 74, 79, 84, 81], [80, 87, 82], [83, 85, 86, 88]]
28: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 14, 25], [13, 43, 23, 10, 15, 17], [11, 19, 16, 50, 21, 18, 26], [51, 20], [28, 30, 58, 27, 33, 29, 36, 44, 34, 61], [31, 39, 32, 35, 41, 46, 57, 37, 52, 40, 53, 42, 45, 55, 47, 48, 54, 56, 59, 60, 63, 49, 62, 68], [67, 64, 65, 66, 70, 69, 71, 73, 78, 72, 74, 76, 75, 79, 84, 81, 80, 83, 85, 87, 86, 82, 88]]
29: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8], [14, 11, 18, 15, 29], [20, 21], [19, 30, 16, 17, 26, 25, 27, 31, 58, 42, 33, 10, 13, 23], [48, 28, 32, 37, 34, 61], [36, 39, 41, 43, 47, 52, 40, 46, 45, 53, 55, 44, 35, 49, 51, 50, 56], [59, 54, 62, 57, 63, 60, 68, 66, 64, 69, 65, 70], [71, 67, 72, 74, 75, 73, 78], [76, 79, 82, 81, 80], [87, 84, 83], [85, 86, 88]]
30: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 27, 10, 11], [15, 14, 17], [13, 25, 23], [18, 49, 57, 16, 21, 20, 31, 26, 60, 30, 63], [19, 28, 48], [43], [39, 29, 45, 32, 33, 35, 36, 41, 42, 40, 44, 37, 46, 61, 47, 50], [55, 34, 51, 52, 56, 54, 58, 59, 53, 62, 68, 66, 64, 65, 71, 69, 67, 78, 70, 75, 72, 76, 79, 73, 74, 84, 81, 80, 83, 82, 85, 86, 87, 88]]
31: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 26, 11], [14, 10, 13, 29, 15], [25, 18, 16, 49], [17, 23, 19, 28], [52, 20, 21], [27, 34, 33, 43, 30, 48], [40, 31, 32, 35, 39, 46, 36], [57, 45, 42, 41, 63, 37], [51, 44, 47, 50, 56], [53, 55, 58, 54, 61, 62], [59, 60, 68, 66, 64], [65, 69, 67, 71, 76], [78, 72, 70, 75, 73], [74, 79, 82, 81, 80], [86, 83], [84, 85, 87, 88]]
32: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 10, 8, 15], [11, 14, 31, 13, 16, 19, 23, 17, 18], [48, 20, 26, 25, 51, 21, 28], [27, 30, 29, 34, 37, 46], [35, 39, 33, 32, 36, 42], [43, 60, 40, 45, 41], [44, 52, 56], [53, 47, 59, 50, 54, 57, 55], [58, 61, 62, 49, 63, 69, 64, 65, 66, 67, 70, 71, 74, 75, 68, 73, 72, 76, 78, 79, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
33: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 10, 11], [31, 30, 14, 23, 16], [60, 17, 13, 15], [50, 20, 29, 18, 21, 19], [25, 52, 27, 26, 28, 34, 35, 32, 33, 39, 46, 36, 37, 40, 41, 45, 43, 44, 42, 48, 49, 47, 57, 51, 54, 53, 62, 58, 55, 56, 61, 59, 63, 68, 66, 65, 64, 73, 71, 67, 70, 69, 76, 72, 79, 74], [78, 75, 82, 81, 80, 87, 84, 86, 85, 83, 88]]
34: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 26, 15, 14], [10, 23, 13, 27, 16], [19, 11, 40, 29], [17, 21, 18, 20, 28, 31, 51, 32, 41, 56, 30, 48, 25, 61, 35, 34, 33, 37, 36, 39], [47, 44, 46, 42, 53, 43, 45, 49, 52, 55, 50, 54, 62, 57, 60, 59, 58, 63, 68, 67, 64, 65], [66, 71, 70, 73, 72, 76, 75, 69, 74, 78, 79, 84, 81, 80], [87, 83, 82, 86, 85, 88]]
35: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 11, 26], [15, 14, 13, 23, 16], [18, 19, 20, 55, 21, 17, 28], [31, 29, 25], [30, 27, 36, 56, 51, 32], [40], [57, 37, 33, 35, 10], [44, 43], [42, 47, 46, 45, 39, 34], [41, 48, 50, 63, 53, 54], [52, 60, 49, 58], [61, 62, 59, 68], [66, 65, 72, 69, 75], [70, 67, 71, 73, 64, 79, 76, 78, 85, 84, 80, 81, 87, 74, 82, 86, 83, 88]]
36: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 26, 11, 14, 15, 10], [17, 13, 25, 16, 50, 19], [18, 20, 23, 27, 28], [21, 63, 52], [29, 62], [33, 57, 58, 34, 32, 40], [37, 55, 36, 30, 39, 31, 47, 41, 35, 44, 42, 45, 46, 49, 54, 43, 56, 48, 61, 59, 53, 51, 60, 68, 67, 64, 65, 66, 71, 73, 75, 69, 76, 72, 70, 74], [78, 79, 84, 81, 80, 87, 83, 82, 86, 85, 88]]
37: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 30, 11], [10, 14, 15, 17, 13, 23, 16, 26, 50, 25, 20, 19, 21, 18, 27, 55, 29, 43, 40, 37, 45, 36, 32, 44, 33, 35, 53, 28, 46, 39, 31, 42, 47, 34, 61, 49, 60, 41, 48, 52, 51, 54, 57, 59, 56, 62, 58, 63, 68, 66, 65, 64, 71, 69, 70, 78, 67, 72, 74, 79], [73, 75, 76, 80, 81, 82, 85, 83, 86, 84, 87, 88]]
38: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 10, 14, 8], [13, 11, 31, 23, 15, 17], [25, 19, 16, 18, 21, 27, 26], [51, 20], [28, 30, 57, 29, 32, 33, 45, 44, 35, 60], [36, 37, 34, 39, 41, 42, 47, 48, 46, 40, 53, 52, 59, 54, 50, 43, 55, 56, 58, 61, 62, 49, 63, 68], [67, 64, 65, 69, 71, 70, 66, 73, 74, 72, 75, 76, 78, 79, 82, 81, 80, 83, 85, 87, 86, 84, 88]]
39: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 14, 11], [18, 15, 29, 28, 20], [26, 10, 27, 13, 52, 25, 16], [17, 19, 62, 23, 21, 30], [40, 31, 34, 42, 45], [32, 57, 36, 35, 53, 43], [47, 33, 44, 37, 41, 39], [61, 46, 48, 49, 50], [51, 56, 54], [60, 58, 59, 63, 55, 68], [66, 64, 67, 69, 65], [70, 75, 71, 74, 72, 73, 78], [76, 79, 82, 84, 80], [87, 81, 83], [85, 86, 88]]
40: [[24, 2, 77, 1, 12, 22], [7, 4, 3, 5, 38], [6, 9, 8, 26, 11], [14, 13, 15, 17, 31, 16, 18], [19, 51, 21, 20, 23, 27, 28, 29, 25, 63, 45, 10, 34, 41, 53, 30, 37, 46, 39, 32, 42, 44, 43, 40, 33, 35, 52, 47, 62, 56, 36, 50, 54, 48, 49, 55, 57, 58, 59, 60, 61, 68, 66, 64, 65, 69, 70, 71, 67, 74, 72, 76, 73, 75, 78, 79, 82, 81, 80, 86, 85, 83, 84, 87, 88]]
41: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 26], [11, 10, 13], [25, 28, 15], [14, 16, 23, 20, 18], [19, 17, 31, 21, 30, 27, 29, 51], [61, 33, 41, 37, 36, 32], [35, 44, 39, 46, 34, 40, 47], [43, 45, 42, 53, 55, 48, 50], [49, 54, 52, 58], [56, 57, 63], [60, 62, 59], [68, 66, 64, 65, 69, 67], [78, 74, 70, 71, 73], [76, 75, 72, 79, 84], [81, 83, 85, 87, 80, 82, 86, 88]]
42: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 10, 14, 8], [13, 15, 29, 23, 11, 17], [25, 18, 16, 19, 21, 20, 28], [50, 26], [31, 27, 41, 61, 30, 37, 46, 44, 34], [60, 32, 33, 51, 36, 35, 42, 39, 43, 56, 40, 45, 54, 49, 48, 52, 47, 55, 62, 59, 57, 58, 63, 53, 68, 66, 64, 65, 69, 71, 67, 70, 72, 73, 76, 74, 75, 78, 79, 82, 81, 80, 87, 84, 83, 85], [86, 88]]
43: [[24, 2, 77, 1, 12, 22], [7, 4, 3, 5, 38], [6, 9, 8, 26, 11, 10], [15, 13, 29, 17, 21], [14, 50, 16, 51, 19, 18], [20, 23, 25, 27, 28, 35], [57, 37, 30, 59, 32, 39], [31, 34, 36, 40, 41, 33, 63, 43], [44, 42, 45, 49, 60, 55, 46, 48, 52, 47, 54, 53, 56, 61, 58, 62, 68, 66, 64, 65, 71, 67, 70, 78, 69, 72, 75, 73, 74, 76, 79, 88, 81, 80, 85, 83, 87, 84, 86, 82]]
44: [[24, 2, 77, 1, 12, 22, 7], [4, 3, 5, 38, 6], [9, 8, 26, 11, 14, 15], [23, 10, 13, 18, 17, 16], [19, 28, 20, 21, 31], [27, 29, 30, 32, 34], [56, 51, 37, 25, 58], [36, 40, 41, 42, 33, 46, 43], [35, 44, 47], [61, 53, 49, 48, 52, 45], [50], [39, 63, 54, 55, 62], [57, 59], [60, 68, 67, 65, 64, 66], [71, 69, 70, 73, 72, 74, 76, 75], [78, 79, 82, 81], [80, 87, 83, 85, 84, 86, 88]]
45: [[24, 2, 77, 1, 12, 22], [7, 4, 3, 5, 38], [6, 9, 10, 11, 8], [14, 46, 29, 13, 25, 31, 19], [16, 26], [17, 15, 18, 21, 20, 55, 23, 58, 59, 51], [28, 33, 43, 34, 36, 27, 37, 30, 32, 41, 56, 57, 35, 39, 42, 44, 47, 62, 40, 49, 45, 54, 50, 48, 53, 60, 52, 61, 63, 68, 66, 65, 64, 71, 67, 70, 69, 72, 78, 76, 73, 79, 74, 75, 84, 81, 80], [82, 86, 83, 85, 87, 88]]
46: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 10, 27], [14, 11, 29, 13, 15, 16, 18, 17, 59, 26, 19], [21, 20, 23, 31, 60, 54, 36, 28, 57, 30, 42, 25, 33, 32, 62, 43, 34, 41, 35, 53, 39, 37, 40, 44, 45, 51, 47, 50, 52, 49, 46, 55, 56, 48, 58, 61, 63, 68, 66, 64, 65, 70, 67, 71, 73], [69, 74, 72, 78, 75, 76, 79, 84, 81, 80, 87, 83, 82, 85, 86, 88]]
47: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 10], [27, 14, 28, 23, 11, 15], [13], [17, 18, 50, 21, 16, 19, 25, 20, 30, 56, 54], [29, 58, 34], [26, 35, 59, 31, 33, 63], [37, 39, 32, 36, 47, 43], [40, 42, 53, 41, 44], [45, 51, 55], [46, 49, 52, 48, 57, 60, 62, 61, 68, 67, 64, 65], [66, 71, 69, 70, 74, 76, 72, 73, 75, 78, 79, 84, 81, 80, 87, 83], [82, 86, 85, 88]]
48: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 27, 11], [10, 26, 14, 17, 16, 13, 18, 23, 15, 25, 19], [49, 20, 21, 30, 31, 28, 59, 29, 36, 56, 55, 32, 33, 34, 45, 39, 37, 43, 46, 40, 41], [47, 42, 35, 52, 44], [60, 48, 51, 53, 54, 50, 58, 63, 57, 61, 62, 68, 66, 64, 73, 65, 71, 67, 70, 74, 78, 72], [76, 75, 69, 79, 82, 81, 80, 87, 83, 85, 86, 84, 88]]
49: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 10, 11, 14], [29, 13, 15, 28, 16, 19, 20, 48, 21, 17, 25, 23], [30, 27, 31, 18, 43, 40, 34, 26, 39, 32, 55, 33, 35, 41, 37, 36], [44, 45, 49, 47], [46, 53, 42, 63, 50, 56, 57, 54, 51, 52, 58, 59, 62, 60, 61, 68, 67, 64, 65, 70, 66, 79, 71, 74, 72, 75, 69, 73, 76, 78, 82, 81, 80, 87, 83, 84, 85, 86, 88]]
50: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 26, 11], [14, 10, 13, 29, 15], [28, 19, 16, 17], [18, 23, 25, 21], [50, 20, 27], [30, 34, 59, 42, 31, 32], [40, 33, 41, 39, 37, 44, 36], [57, 35, 43, 45, 63, 53], [49, 46, 55, 48, 51], [47, 52, 58, 54, 61, 62], [56, 60, 68, 66, 64], [65, 69, 70, 71, 78], [74, 72, 76, 75, 67, 73], [79, 82, 81, 80, 86], [83, 84], [85, 87, 88]]
