0: [[11, 17, 4], [3, 1, 35, 18, 12, 37, 2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21], [22, 24], [25, 28, 26], [31, 32, 30, 33, 34], [36]]
12: [[11, 17, 4], [3, 1, 35, 18, 12, 37, 2, 5], [7, 9, 6], [8, 14, 10], [29, 13, 19], [15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34], [36]]
13: [[11, 17, 4], [3, 1], [35, 18, 12], [37, 2], [5, 7, 9], [6, 8, 14], [10, 29, 13], [19, 15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
14: [[11, 17, 4], [3, 1], [35, 18], [12, 37, 2], [5, 7, 9], [6, 8, 14], [10, 29, 13], [19, 15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
15: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21, 22], [24, 25, 28, 26], [31, 32, 30], [33, 34, 36]]
16: [[11, 17], [4, 3, 1], [35, 18, 12], [37, 2, 5], [7, 9, 6, 8], [14, 10, 29], [13, 19], [15, 20, 16], [23, 27, 21], [22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
17: [[11, 17, 4], [3, 1], [35, 18, 12], [37, 2], [5, 7], [9, 6, 8], [14, 10, 29], [13, 19], [15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
18: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21], [22, 24, 25], [28, 26], [31, 32, 30], [33, 34, 36]]
19: [[11, 17, 4], [3, 1, 35, 18, 12, 37, 2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21, 22], [24, 25, 28], [26, 31, 32], [30, 33, 34, 36]]
20: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5], [7, 9], [6, 8], [14, 10], [29, 13, 19], [15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
21: [[11, 17, 4], [3, 1], [35, 18, 12], [37, 2], [5, 7, 9], [6, 8, 14], [10, 29, 13], [19, 15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26, 31], [32, 30, 33], [34, 36]]
22: [[11, 17, 4], [3, 1, 35], [18, 12], [37, 2, 5], [7, 9], [6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21, 22], [24, 25, 28], [26, 31], [32, 30], [33, 34, 36]]
23: [[11, 17], [4, 3, 1], [35, 18, 12], [37, 2, 5], [7, 9], [6, 8, 14], [10, 29, 13], [19, 15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34], [36]]
24: [[11, 17, 4], [3, 1], [35, 18], [12, 37, 2], [5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21, 22], [24, 25, 28], [26, 31, 32, 30], [33, 34, 36]]
25: [[11, 17], [4, 3, 1], [35, 18, 12], [37, 2], [5, 7, 9], [6, 8, 14], [10, 29], [13, 19, 15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
26: [[11, 17, 4], [3, 1, 35], [18, 12], [37, 2], [5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23, 27], [21, 22, 24], [25, 28, 26, 31, 32, 30], [33, 34, 36]]
27: [[11, 17], [4, 3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16], [23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
28: [[11, 17], [4, 3, 1], [35, 18, 12], [37, 2, 5], [7, 9, 6], [8, 14, 10], [29, 13, 19], [15, 20, 16], [23, 27, 21], [22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
29: [[11, 17], [4, 3, 1], [35, 18, 12], [37, 2, 5], [7, 9, 6], [8, 14], [10, 29, 13], [19, 15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
30: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21, 22], [24, 25, 28], [26, 31, 32, 30], [33, 34, 36]]
31: [[11, 17], [4, 3], [1, 35], [18, 12, 37], [2, 5], [7, 9, 6], [8, 14], [10, 29], [13, 19, 15], [20, 16], [23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
32: [[11, 17], [4, 3, 1], [35, 18, 12], [37, 2, 5], [7, 9, 6], [8, 14, 10], [29, 13], [19, 15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
33: [[11, 17], [4, 3, 1], [35, 18], [12, 37], [2, 5], [7, 9], [6, 8, 14], [10, 29, 13], [19, 15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
34: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21, 22], [24, 25], [28, 26], [31, 32, 30], [33, 34], [36]]
35: [[11, 17, 4], [3, 1, 35, 18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29, 13], [19, 15, 20], [16, 23, 27, 21], [22, 24, 25], [28, 26], [31, 32, 30], [33, 34, 36]]
36: [[11, 17, 4], [3, 1], [35, 18, 12], [37, 2], [5, 7, 9], [6, 8, 14], [10, 29], [13, 19], [15, 20, 16], [23, 27, 21], [22, 24, 25], [28, 26, 31], [32, 30, 33], [34, 36]]
37: [[11, 17, 4], [3, 1], [35, 18, 12], [37, 2], [5, 7, 9], [6, 8, 14], [10, 29], [13, 19], [15, 20, 16], [23, 27, 21], [22, 24, 25], [28, 26, 31], [32, 30, 33], [34, 36]]
38: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6], [8, 14], [10, 29, 13], [19, 15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26], [31, 32], [30, 33, 34, 36]]
39: [[11, 17], [4, 3, 1], [35, 18, 12], [37, 2], [5, 7], [9, 6], [8, 14], [10, 29, 13, 19], [15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30, 33, 34, 36]]
40: [[11, 17], [4, 3, 1], [35, 18, 12], [37, 2, 5], [7, 9, 6], [8, 14, 10], [29, 13], [19, 15], [20, 16, 23], [27, 21, 22], [24, 25, 28, 26], [31, 32, 30], [33, 34, 36]]
41: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6], [8, 14, 10], [29, 13, 19], [15, 20, 16], [23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
42: [[11, 17, 4], [3, 1], [35, 18], [12, 37, 2], [5, 7, 9], [6, 8, 14], [10, 29, 13], [19, 15], [20, 16, 23], [27, 21, 22], [24, 25, 28], [26, 31, 32], [30, 33, 34], [36]]
43: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21, 22], [24, 25, 28], [26, 31, 32], [30, 33, 34, 36]]
44: [[11, 17, 4], [3, 1], [35, 18, 12], [37, 2], [5, 7, 9], [6, 8, 14], [10, 29], [13, 19, 15], [20, 16, 23], [27, 21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
45: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21, 22], [24, 25, 28], [26, 31, 32], [30, 33, 34, 36]]
46: [[11, 17, 4], [3, 1, 35, 18, 12, 37, 2, 5, 7], [9, 6, 8], [14, 10, 29, 13], [19, 15, 20], [16, 23, 27, 21, 22, 24, 25, 28, 26, 31, 32, 30], [33, 34, 36]]
47: [[11, 17, 4], [3, 1, 35, 18, 12, 37, 2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19], [15], [20, 16, 23, 27, 21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
48: [[11, 17], [4, 3], [1, 35, 18], [12, 37, 2], [5, 7, 9], [6, 8, 14], [10, 29], [13, 19, 15], [20, 16, 23], [27, 21, 22], [24, 25, 28], [26, 31, 32, 30, 33, 34, 36]]
49: [[11, 17], [4, 3, 1], [35, 18, 12], [37, 2, 5], [7, 9], [6, 8, 14], [10, 29, 13], [19, 15, 20], [16, 23, 27], [21, 22, 24], [25, 28], [26, 31, 32], [30, 33, 34, 36]]
50: [[11, 17, 4], [3, 1, 35, 18, 12, 37, 2, 5, 7], [9, 6], [8, 14, 10], [29, 13, 19], [15, 20, 16], [23, 27, 21], [22, 24, 25, 28, 26, 31, 32, 30, 33, 34], [36]]
51: [[11, 17, 4], [3, 1, 35], [18, 12], [37, 2, 5], [7, 9], [6, 8, 14], [10, 29, 13], [19, 15, 20], [16, 23], [27, 21], [22, 24, 25], [28, 26, 31, 32], [30], [33, 34, 36]]
52: [[11, 17, 4], [3, 1], [35, 18, 12], [37, 2], [5, 7, 9], [6, 8], [14, 10], [29, 13, 19, 15, 20, 16], [23, 27, 21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
53: [[11, 17, 4], [3, 1], [35, 18, 12], [37, 2, 5], [7, 9, 6], [8, 14, 10], [29, 13, 19, 15, 20, 16], [23, 27, 21, 22, 24, 25, 28], [26, 31, 32, 30, 33, 34, 36]]
54: [[11, 17, 4, 3, 1, 35, 18, 12, 37, 2, 5, 7], [9, 6, 8, 14, 10, 29, 13, 19, 15, 20, 16, 23, 27], [21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
55: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15, 20], [16, 23, 27], [21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
56: [[11, 17, 4, 3, 1, 35, 18, 12, 37, 2], [5, 7, 9, 6, 8, 14, 10, 29, 13, 19, 15, 20, 16, 23], [27, 21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
57: [[11, 17, 4], [3, 1, 35], [18, 12], [37, 2, 5], [7, 9, 6], [8, 14, 10], [29, 13, 19, 15, 20], [16, 23, 27, 21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34], [36]]
58: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10], [29, 13, 19], [15, 20, 16], [23, 27, 21], [22, 24, 25], [28, 26, 31, 32, 30, 33, 34, 36]]
59: [[11, 17, 4], [3, 1], [35, 18, 12], [37, 2, 5, 7, 9, 6, 8, 14, 10, 29, 13, 19], [15, 20, 16, 23, 27, 21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
60: [[11, 17], [4, 3], [1, 35, 18], [12, 37, 2], [5, 7, 9], [6, 8, 14], [10, 29], [13, 19, 15], [20, 16, 23], [27, 21, 22], [24, 25, 28], [26, 31, 32], [30, 33, 34, 36]]
61: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5], [7, 9, 6], [8, 14, 10], [29, 13, 19], [15, 20, 16], [23, 27, 21], [22, 24, 25], [28, 26, 31], [32, 30], [33, 34], [36]]
62: [[11, 17, 4], [3, 1], [35, 18], [12, 37, 2, 5, 7, 9, 6], [8, 14, 10, 29, 13, 19, 15, 20, 16, 23, 27, 21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
63: [[11, 17], [4, 3], [1, 35, 18], [12, 37, 2], [5, 7, 9, 6], [8, 14, 10], [29, 13, 19], [15, 20, 16], [23, 27, 21], [22, 24, 25], [28, 26, 31], [32, 30, 33], [34, 36]]
64: [[11, 17, 4], [3, 1], [35, 18, 12], [37, 2, 5], [7, 9, 6], [8, 14, 10], [29, 13, 19, 15, 20, 16, 23, 27, 21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
65: [[11, 17, 4], [3, 1], [35, 18, 12], [37, 2, 5], [7, 9, 6], [8, 14, 10], [29, 13, 19], [15, 20, 16, 23], [27, 21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
66: [[11, 17], [4, 3, 1], [35, 18, 12, 37, 2, 5, 7], [9, 6, 8, 14, 10, 29, 13, 19, 15, 20, 16, 23, 27, 21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
67: [[11, 17], [4, 3, 1], [35, 18], [12, 37, 2], [5, 7, 9], [6, 8, 14], [10, 29, 13], [19, 15, 20], [16, 23, 27, 21, 22, 24], [25, 28, 26, 31, 32, 30, 33, 34, 36]]
68: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6], [8, 14], [10, 29, 13], [19, 15], [20, 16, 23, 27, 21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
69: [[11], [17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29, 13, 19, 15, 20, 16, 23, 27, 21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
70: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29, 13, 19], [15, 20, 16, 23, 27, 21, 22, 24, 25, 28, 26, 31, 32, 30], [33, 34, 36]]
71: [[11, 17], [4, 3], [1, 35], [18, 12, 37], [2, 5, 7], [9, 6], [8, 14, 10], [29, 13, 19], [15, 20, 16], [23, 27, 21], [22, 24, 25], [28, 26], [31, 32, 30], [33, 34, 36]]
72: [[11, 17], [4, 3, 1], [35, 18, 12], [37, 2, 5, 7, 9, 6, 8, 14, 10, 29, 13, 19, 15, 20, 16, 23, 27, 21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
73: [[11, 17], [4, 3], [1, 35, 18], [12, 37, 2], [5, 7, 9], [6, 8, 14], [10, 29, 13], [19, 15, 20], [16, 23, 27], [21, 22, 24, 25, 28, 26, 31, 32, 30, 33, 34, 36]]
