0: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
20: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
21: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
22: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
23: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
24: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
25: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
26: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
27: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
28: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
29: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
30: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
31: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
32: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
33: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
34: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
35: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
36: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
37: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
38: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
39: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
40: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
41: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
42: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
43: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
44: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
45: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
46: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
47: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
48: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
49: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
50: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
51: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
52: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
53: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
54: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
55: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
56: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
57: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
58: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
59: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
