0: [[5, 35, 7, 1, 2], [30, 20, 19, 3, 32, 44], [12, 8, 11, 4, 25, 14, 15, 29, 6, 10], [9], [13, 17, 16, 18, 21], [24, 23, 26, 22, 27, 31, 28, 54, 34], [33, 38, 36, 37, 45], [43, 51, 41, 42, 39], [40, 46, 48, 50, 47], [60, 55, 52, 53, 56], [49, 57], [58, 59]]
19: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 6, 4, 10], [9, 8, 11, 15, 13, 14], [21, 16, 17, 23, 18, 28, 25, 22], [24, 29, 31, 26, 27, 53, 33, 34, 39, 36, 43, 46, 37, 38, 40, 41], [42, 45, 51, 47, 48, 52, 55, 49, 54, 50, 56, 59, 57, 58, 60]]
20: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44], [12, 13, 4, 28, 8], [11, 9, 29, 10, 15, 14], [16, 17, 6, 21, 31, 25], [22, 26, 18, 23, 24, 27], [52, 36, 33, 37, 51], [39, 34, 42, 46, 38], [40, 45, 41, 58, 54, 59], [43, 48, 50, 49, 55, 47], [53, 56, 60, 57]]
21: [[5, 35, 7, 2, 3, 30], [20, 19, 1, 32, 44, 12, 4], [6, 10, 9, 8, 15, 29, 11, 26, 17, 14], [13, 18, 16, 23, 21, 31, 22, 24, 25, 27, 28], [36, 37, 38, 39, 41], [40, 42, 46, 43, 33, 47, 53, 34, 45, 48], [57, 50, 51, 60, 49, 52, 54, 56, 55, 58, 59]]
22: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12, 6, 11, 10, 4], [8, 14, 31, 13, 15], [16, 9, 18, 22, 17, 21], [29, 27, 23, 25, 24, 26, 28], [36, 33, 37, 38, 47], [34, 39, 41, 54, 42, 45, 40, 46, 43, 50, 48], [51, 57, 52, 55, 53, 58, 49, 59, 56, 60]]
23: [[5, 35, 7, 2, 3, 30], [20, 19, 1, 32], [44, 12, 6, 9, 4, 8, 10, 13, 27, 11, 28, 14, 15, 23, 17, 22, 21, 24, 26, 18, 25, 16], [29, 31, 38, 33, 34, 36], [37, 47, 43, 45, 40], [42, 48, 41, 46, 59, 50, 53, 39, 49, 52, 51, 55, 57], [58, 56, 54, 60]]
24: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44], [12], [8, 15, 9, 14, 10, 27, 31, 4, 6, 25, 11, 18, 17, 21, 24, 16, 13, 22, 23, 29, 26, 28, 36, 33, 37, 39, 38, 40, 42, 46, 41, 47, 43, 45, 51, 60, 48, 49, 52, 53, 54, 34, 57, 56], [55, 50, 59, 58]]
25: [[5], [35, 7, 2, 1, 30], [20, 19, 3, 32, 44, 4], [6, 8, 12, 9, 15, 10, 13, 14, 11, 17, 22, 16, 21, 18, 24, 29, 25, 26, 28, 23, 27, 31], [38, 33, 34, 36, 37, 39, 42, 41, 40, 43, 46, 47, 45, 51, 48, 49, 56, 55, 54, 50, 52, 53, 59, 57, 58, 60]]
26: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32], [44, 12, 4, 10, 6], [8, 9, 11, 14, 15, 28], [13, 16, 21, 23, 17], [18, 29, 22], [25, 24, 31, 26, 27, 52, 34], [36, 46, 39, 33, 47, 40], [37, 38, 41, 45], [42, 59, 51, 53, 48], [43, 50, 55, 49, 54, 56, 57, 58, 60]]
27: [[5, 35, 7, 2, 3], [30], [20, 19, 1, 32, 44, 12], [6, 4, 8, 9, 11, 14, 13, 31, 10, 15, 24, 16, 22, 17, 23, 18, 25, 21, 27, 26, 28, 29], [36, 34, 33, 38, 37, 39, 40, 46, 43, 42, 47, 41, 45], [48, 52, 54, 49, 53, 50, 56, 57, 58, 55, 51, 59, 60]]
28: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 4, 10, 6, 8, 9, 16], [15, 27, 11, 14], [17, 21, 23, 22, 13, 24, 25, 29, 26, 28, 36, 58, 37, 31, 33, 45, 34, 38, 39, 41, 40, 43, 42, 46, 54, 18, 47, 50, 48, 49, 52, 53, 55, 51, 56, 60], [59, 57]]
29: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12, 4, 14, 6], [9, 31, 8, 15, 11, 13, 23, 16, 24, 28, 25, 17, 27, 26, 29, 33, 41, 36, 49, 34, 39, 47, 18, 40, 46, 42, 22, 43, 45, 37, 38, 50, 10, 21], [52, 54, 48, 53, 59, 58, 51, 55, 57, 60, 56]]
30: [[5, 35, 7, 2, 1, 30], [20, 19, 3, 32], [44, 4, 6, 8, 14, 12, 11, 10, 31, 9, 13, 29, 15, 23, 17, 18, 25, 16, 21, 27, 22, 24], [26, 28, 36, 33, 43, 54], [38, 45, 34, 39, 42, 37, 41, 40, 46, 47, 50, 48, 49, 52, 55, 58, 51, 53, 57, 59, 56, 60]]
31: [[5, 35, 7, 2, 1, 30], [20, 19, 3, 32, 44], [12, 6, 4, 10, 15], [8, 11, 9, 13, 17, 14], [26, 21, 23, 16, 18, 28], [22, 27, 25, 29, 24], [31, 54, 33, 34, 37], [36, 39, 41, 47, 38, 40], [45, 42, 43, 55, 50], [57, 49, 53, 46, 48, 51], [52, 56, 59, 58, 60]]
32: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32, 44, 12], [4, 6, 8, 24, 9, 25, 10], [14, 21, 18, 11], [15, 17, 13, 23, 16], [27, 22, 26, 29, 28], [31, 33, 53, 36, 39, 34], [38, 43, 37, 47, 45], [40, 41, 42, 50, 51], [55, 56, 52, 54, 46], [48, 49, 57, 58, 59], [60]]
33: [[5, 35, 7, 2, 1, 30], [20, 19, 3, 32, 44, 12, 4, 14, 8, 9, 11, 15, 31, 13, 25, 17, 16, 22, 29, 10, 21, 6], [24, 23, 26, 60, 59, 38, 46, 41, 37, 18], [39, 27, 42, 28, 33, 43, 34, 36, 40, 52, 45], [58, 48, 53, 51, 54], [47, 50, 55, 49, 57, 56]]
34: [[5, 35, 7, 2, 1, 30], [20, 19, 3, 32, 44], [12, 4, 13, 8, 11, 14, 9, 31, 15, 10], [6, 16, 17, 21, 24, 18, 22, 23, 26, 27, 25, 29], [28, 39, 33, 36, 37], [38, 41, 40, 45, 34, 43, 46], [42, 47, 53, 50, 57, 52, 55, 51, 48, 54, 49, 59, 56, 58, 60]]
35: [[5, 35, 7, 2, 1, 30], [20, 19, 3, 32], [44, 4, 6, 8, 14, 9, 15, 10, 29, 11, 12, 13, 16, 22, 17, 18, 21, 24, 31, 26, 25, 23], [27, 28, 38, 33, 34, 36], [37, 46, 42, 45, 43, 39, 40, 41, 47, 59, 50, 49, 48, 55, 52, 54, 51, 53, 58, 56, 57, 60]]
36: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32, 44], [12, 6, 10, 11, 8, 4, 9], [15, 13, 31, 29], [18, 23, 14], [17, 24, 16, 21, 22], [25, 26, 27, 28, 36], [33, 45, 47, 34, 37, 38], [40, 42], [39, 41, 43, 54, 56, 51, 46, 48, 52], [53, 49, 50, 55, 58, 57, 59, 60]]
37: [[5, 35, 7, 2, 1, 30], [20, 19, 3, 32, 44], [12, 4, 8, 15, 10, 6], [29, 11, 9, 14, 25, 13, 18, 16, 17, 22, 21], [31, 23, 24, 26, 27, 28, 54, 34, 37, 45, 36, 38, 41, 39, 40, 33, 42, 58, 43, 46, 47, 50, 49, 52, 57, 48, 51, 53, 55, 59, 56, 60]]
38: [[5, 35, 7, 2, 3, 30], [20, 19, 1, 32, 44], [12, 6, 11, 9, 4], [8, 10, 13, 14, 15, 21], [27, 24, 23, 16, 18], [28, 17, 26, 22, 29, 25, 31], [52, 34, 43, 36, 41], [37, 47, 33, 38, 39, 45, 40, 46], [59, 51, 48, 42], [50, 54, 49, 53, 55, 56, 57, 58, 60]]
39: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12, 4, 10, 6, 8], [14, 17, 15, 27, 13, 9, 11, 21, 16, 18, 22, 29], [23, 25, 24, 26, 60], [58, 37, 59, 34, 47, 28, 39], [31, 40, 33, 43], [42, 46, 54, 36, 38, 48, 57, 55, 52, 41, 45, 49, 50, 51], [53, 56]]
40: [[5, 35, 7, 3, 2], [30, 20, 19, 1, 32], [44], [12], [4, 11, 8, 14, 10, 6, 29, 15, 17, 9, 18, 16, 22, 24, 21, 28, 13, 26, 23, 25, 27, 31, 52, 34, 37, 39, 33, 36, 42, 43, 38, 47, 41, 40, 46, 45, 48, 51, 55, 53, 54, 49, 58, 56], [57, 50, 59, 60]]
41: [[5, 35, 7, 1, 2], [30, 20, 19, 3, 32, 44], [12, 9, 10, 4, 11, 6], [8, 29, 13, 14, 18, 15, 17, 16, 22, 23, 24, 21], [28, 26, 27, 31], [25, 54, 33, 37, 38], [36, 34, 42, 43, 49], [40, 41, 39, 45, 56], [48, 46, 47, 60, 53], [52, 50], [57, 51], [59, 58, 55]]
42: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 4, 6, 10, 8, 11, 9, 14, 13], [15, 29, 18, 21, 16, 22], [26, 17, 23, 24], [31, 28, 27, 25, 52, 33], [45, 39, 34, 37, 47, 36, 38, 40], [41, 46, 43, 59, 51, 53, 55, 42, 49, 58, 50, 48, 54, 57, 56, 60]]
43: [[5, 35, 7, 2, 1, 30], [20, 19, 3, 32], [44, 13, 4, 6, 9, 8], [11, 25, 14, 10, 12, 24, 31, 22, 18, 26, 17, 15, 16, 21, 27, 28, 29, 23, 45, 39, 38, 36, 34, 37, 46, 33, 43, 47, 42], [41, 55, 50, 40, 48], [53, 52, 49, 54, 51], [57, 58, 59, 56, 60]]
44: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32], [44, 12, 6, 4, 24, 9, 10, 11, 13, 31, 14, 8, 29, 15, 18], [16, 23, 21, 17, 27], [22, 26, 28, 25, 36, 34, 42, 39, 33, 38, 40, 45, 37, 43, 47, 41, 51, 60, 46, 48, 49, 53, 54, 50, 52, 56, 55, 57, 59, 58]]
45: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 10, 4, 6, 8, 11], [9, 13, 14, 29], [18, 25, 16, 26, 15, 21, 17, 22, 23, 24, 27, 28, 31, 36, 37, 33, 39, 34, 38], [42, 43, 40, 41, 45, 46, 47, 58, 51, 55, 56, 54, 52, 49, 50, 48, 59, 53, 57, 60]]
46: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 4, 6, 13, 9, 11, 25, 29, 10, 8, 16], [14, 22, 18, 15, 28, 17, 26, 21, 24, 23, 31, 27, 52, 49, 34, 38, 36, 37, 47, 41, 40, 33, 39, 43, 42, 51, 48, 45, 59, 46, 50, 53, 54, 58, 55, 57, 56, 60]]
47: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12, 6, 4, 10, 8], [11, 13, 9, 14, 29], [15, 18, 31, 17, 16, 22, 23, 21, 27, 24, 26, 25, 28, 36, 33, 37, 55, 39, 34, 45, 40, 42, 38, 43, 47, 46, 41, 51, 50, 52, 53, 48, 54, 49, 56, 57, 59, 58, 60]]
48: [[5, 35, 7, 2, 9], [30, 20, 19, 3, 32], [44, 12, 4, 14, 1, 13, 6, 28, 8, 31, 10, 29, 15, 23, 16, 18, 17], [11, 22, 26, 27, 25, 21, 24, 45, 55, 34, 33, 36, 38, 42, 37, 47, 39, 40, 41, 43, 49, 51, 46, 58, 60, 53, 50], [52, 54, 56, 57, 48, 59]]
49: [[5, 35, 7, 3, 2], [30, 20, 19, 1, 32], [44, 12, 4, 10, 8, 6], [9, 15, 29, 11, 27], [18, 13, 16, 17, 14, 22], [21, 24, 25, 23, 28, 31, 26, 53, 34, 37, 46, 33, 36, 38], [41, 54, 39, 45, 40, 59, 42, 50], [43, 47, 49, 51, 55, 52, 57, 56, 48, 58, 60]]
50: [[5, 35, 7, 2, 1], [30], [20, 19, 3, 32, 44, 12], [4, 15, 24, 11, 6, 9, 13, 31, 10, 8, 25, 14, 23, 16, 18, 21, 17, 29, 22, 26, 28, 27], [36, 34, 42, 37, 33, 38, 40, 58, 39, 43], [47, 41, 45, 52, 46, 50, 49, 53, 51, 54, 48], [56, 55, 57, 59, 60]]
51: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12, 6, 8, 10, 4], [27, 13, 9, 28], [14, 11, 15, 29, 16], [22, 23, 17, 18, 21, 26, 24, 25, 31, 36, 33, 38, 46, 39, 37, 42, 41, 34, 47, 45, 40, 58, 49, 50], [43, 48, 53, 55, 52, 54, 60, 51, 59, 56, 57]]
52: [[5, 35, 7, 2, 1, 30], [20, 19, 3, 32, 44], [12, 6, 8, 4, 10, 27], [9, 29, 21, 11], [13, 15, 24, 16, 26, 17], [25, 22, 31, 23, 28, 36, 41, 53, 33, 38, 37, 39, 43, 34, 40, 45, 42, 46, 47, 49, 56, 18, 14], [55, 52, 48, 51, 54], [50, 59, 57, 58, 60]]
53: [[5, 35, 7, 3, 2], [30, 20, 19, 1, 32], [44, 12, 6, 4, 8, 11], [14, 10, 29, 25, 9], [13, 15, 22, 18, 16, 21], [27, 17, 26, 23, 24, 28, 31], [52, 36, 34, 40, 45], [39, 42, 46, 33, 47, 37, 38, 41], [55, 43, 48, 54], [49, 51, 56, 53, 50, 58, 57, 59, 60]]
54: [[5, 35, 7, 2, 1, 30], [20, 19, 3, 32], [44, 4, 6, 8, 14, 9, 15, 11, 29, 10, 12, 13, 17, 24, 25, 22, 21, 16, 27, 26], [28, 23, 37, 31, 38], [33, 36, 39, 40, 45, 43], [46, 42, 34, 41], [49, 47, 18, 51, 48], [50, 53, 52, 54, 55, 56], [58, 60, 57, 59]]
55: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 14, 4, 11, 26], [9, 6, 15, 31, 22], [24, 8], [10, 21, 13, 18, 23], [16, 27, 17, 25, 29, 28], [36, 33, 41, 38, 37], [39, 47, 34, 40, 43], [42, 45, 46, 57, 50, 54], [56, 51, 58, 55, 49, 48, 52, 53, 59, 60]]
56: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32, 44], [12, 6], [4, 8, 9, 10, 15], [24, 11, 13, 14, 17, 18, 16, 22, 31, 21, 23, 25, 26, 27, 28, 29, 33, 36, 34, 37, 39, 45, 46, 43, 38, 41, 40, 42, 56, 49, 54, 51, 47, 48, 52, 50, 53, 59], [58, 55, 57, 60]]
57: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12, 4, 6, 10, 9], [8, 15, 13, 11, 16], [21, 26, 14, 22, 17, 23], [18, 27, 31, 24, 25], [28, 29, 36, 37, 38, 33, 45, 42, 43, 47, 34, 41, 39, 40, 46, 49, 48, 57, 51, 55, 50, 52, 53, 54, 56, 59, 58, 60]]
58: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 6, 4, 10, 8, 9], [11, 31, 15, 14], [25, 29, 13, 16, 18], [17, 23, 22, 21], [24, 26, 27, 28, 38], [33, 36, 34, 39, 37], [43], [41, 40, 46, 47, 45, 42, 51, 48, 49, 54, 52, 55, 58, 50, 53, 57, 59, 56, 60]]
59: [[5, 35, 7, 2, 1, 30], [20, 19, 3, 32, 44], [13, 4, 8, 9, 6, 11], [15, 27, 16, 10, 12, 23], [17, 25, 14, 24], [21, 26, 18, 28, 31], [29, 36, 38, 34, 39, 47, 37, 33, 45], [40, 46, 41, 43, 42, 55, 49, 22, 51, 53], [48, 50, 52, 54, 58, 56, 57, 59, 60]]
60: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32], [44, 12, 6, 13, 4, 10], [9, 8, 14, 11, 15], [21, 16, 23, 18, 22], [25, 28, 17, 24, 26, 27, 29], [31, 52, 33, 38, 39, 34, 36, 47, 43, 41, 37, 42], [40, 45, 59, 48, 55, 53, 51, 46, 49, 50, 54, 57, 56, 58, 60]]
61: [[5], [35, 7, 2, 3, 30, 20, 19, 1, 32, 44, 4], [15, 9, 6, 8, 10, 11, 17, 12, 28, 13, 14, 31, 22, 16, 24, 18, 23, 21, 25, 26, 27, 29, 39, 34, 54, 36, 37, 33, 46, 41, 45, 40, 42, 38, 47, 48, 49, 50, 43, 51, 52, 53, 58, 55, 56, 57, 59, 60]]
62: [[5, 35, 7, 2, 11], [30, 20, 19, 3, 32], [44, 12, 6], [1, 8, 9, 4, 13, 14, 10, 15, 16, 25, 18], [27, 22, 24, 17, 21, 28, 31, 23, 26, 29, 48, 33, 34, 53, 37, 36, 46, 43], [38, 40, 45, 42, 56, 39], [54, 51, 47], [41, 50, 59, 52, 49], [58, 55, 57, 60]]
63: [[5, 35, 7, 2], [3, 30, 20, 19, 1, 32, 44, 12, 6, 4, 9, 8, 14, 10, 11, 27, 13, 18, 25, 17, 15, 31, 16], [21, 23, 24, 26, 28, 29, 22, 36, 39, 33, 45, 37, 34, 47, 38, 40, 42, 41, 46, 43], [51, 49, 52, 56, 48, 53, 55, 50, 54, 57, 58, 59, 60]]
64: [[5, 35, 7, 2, 3, 30], [20, 19, 1, 32, 44], [12, 4, 11, 8, 9], [10, 15, 13, 6, 14, 18], [21, 24, 17, 16, 23, 26], [28, 27, 22, 25, 31, 29, 52, 34], [33, 38, 39, 36, 37], [43, 41, 47, 42, 40], [45, 59, 49, 50, 58], [46, 48, 51, 53, 54], [56, 55], [57, 60]]
65: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [4, 15, 9, 8, 6, 10], [12, 14, 11, 28, 13, 24], [23, 17, 22, 16], [26, 21, 18, 25, 27, 31], [29, 38, 34, 37, 39, 33], [41, 43, 36, 40, 47, 45], [46, 42, 51, 50], [49, 60, 52, 55, 54], [48, 53, 56, 57, 59], [58]]
66: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32, 44], [13, 6, 8, 10, 12, 9], [11, 15, 14, 27], [25, 16, 17, 22, 4, 29, 18, 21, 23, 24], [26, 31, 28, 38, 33, 34, 39, 36, 37, 45, 40, 41, 43, 46, 42, 47, 59, 52, 55, 49, 51, 53, 56, 54, 48, 57, 50, 60, 58]]
67: [[5, 35, 7, 2, 11, 30], [20, 19, 3, 32, 44], [12, 6, 1, 8, 4, 10], [9, 15, 14, 13, 17], [22, 16, 23, 18, 24, 28], [21, 27, 31, 25, 29, 26, 39, 33], [37, 34, 38, 43, 40, 45], [36, 41, 42, 47], [46, 52, 48, 50, 53, 55, 54, 57], [51, 49, 59, 56, 58, 60]]
68: [[5, 35, 7, 2, 1, 30], [20, 19, 3, 32, 44], [12, 4, 14, 9], [11, 8, 31, 25, 13, 6], [10, 15, 24, 16, 17, 18], [23, 26], [27, 22, 21, 28, 49, 56, 29, 38], [33, 34, 45, 47, 41, 36, 40, 46, 42, 37, 50, 58, 57, 39, 43, 53, 48, 55, 51, 52, 54, 59, 60]]
69: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 4, 10, 14, 8, 6], [9, 11, 31, 28], [13, 16, 22, 17, 15], [18, 21, 29, 23, 27], [26, 24, 25, 36, 42, 37, 47, 43, 33, 39, 34, 41, 40, 48, 59, 38, 45, 50, 46, 51, 53, 49, 52, 54, 55, 58, 57, 56, 60]]
70: [[5, 35, 7, 2, 3, 30], [20, 19, 1, 32, 44, 12, 6, 14, 8, 10, 4, 13, 9, 11, 27, 29], [25, 18, 22, 15, 21, 24, 23, 26, 16, 28, 17, 31], [36, 34, 33, 37, 39, 40, 43, 42, 58, 38, 46], [41, 47, 45, 50, 49, 48, 51, 54, 53, 55, 52, 56, 57, 59, 60]]
71: [[5, 35, 7, 2, 3, 30], [20, 19, 1, 32, 44], [4, 6, 10], [9, 8, 11, 12, 13, 14], [15, 18, 23, 17, 21, 22, 16, 28, 31, 24, 26, 29, 25, 27, 52, 34], [40, 47, 39, 37, 45, 33, 38, 36, 43, 46, 56, 59, 51, 54, 50, 41, 42, 49, 48, 55, 58, 53, 57, 60]]
72: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32, 44], [4, 6, 11, 8, 10, 9], [14, 29, 15, 16, 13, 12, 28], [22, 18, 21, 17, 27], [26, 23, 24, 25, 31], [52, 33, 34, 37], [39, 36, 42, 43, 59, 38, 41, 40, 47], [45, 50, 48, 46, 51, 55, 49, 53, 54, 56, 58, 57, 60]]
73: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12, 6, 15, 9, 10], [4, 11, 31, 8, 22], [29, 13, 18, 23, 14, 24], [16, 17, 21, 26, 25, 27, 28], [36, 33, 37, 38, 45], [41, 42, 46, 49, 39, 47, 40, 43], [48, 50, 51, 54], [57, 52, 34, 53, 55, 56, 58, 59, 60]]
