0: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4], [15, 18, 11, 10], [17, 16, 14], [20, 25], [23, 12, 22], [27, 21, 26], [24, 28, 29]]
41: [[13, 9, 7], [2, 19, 1, 5, 6, 3, 8, 4, 15, 18, 11, 10], [24, 20, 16, 14, 25, 17, 12, 22, 23, 21, 26, 27, 28, 29]]
42: [[13, 9, 7], [2, 19, 1, 5, 6, 3, 8, 4, 15, 18, 11, 10], [12, 16, 28, 20, 25, 21, 14, 17, 23, 22, 26, 24, 27, 29]]
43: [[13, 9, 7], [2, 19, 1, 5, 6, 3, 8, 4, 15, 18, 11, 10], [17, 20, 16, 28, 25, 12, 14, 22, 26, 21, 23, 27, 24, 29]]
44: [[13, 9, 7, 2, 19, 1, 5, 6, 3], [8, 4, 15, 18, 11, 10, 12, 20, 14, 16, 25], [23, 17, 22, 21, 28, 26, 24, 27, 29]]
45: [[13, 9, 7], [2, 19, 1, 5], [6, 3, 8], [4, 15, 18, 11, 12, 10, 22, 14, 17, 29, 28, 16, 20, 23, 21, 26, 27, 24, 25]]
46: [[13, 9, 7], [2, 19, 1, 5], [6, 3], [8, 4, 15], [18, 11, 10], [16, 12, 14, 17, 20, 23, 22, 25, 21, 26, 27, 28, 24, 29]]
47: [[13, 9, 7], [2, 19, 1, 5, 6, 3], [8], [4, 15, 18, 11, 10, 12, 20, 17, 21, 16, 22, 24, 28, 27, 23, 26, 25, 14, 29]]
48: [[13, 9, 7, 22], [2, 19, 1], [5, 6, 3], [8, 4, 15], [18, 11, 10], [16, 12], [24, 23], [20, 17, 21, 14], [25, 26, 28], [27, 29]]
49: [[13, 9, 7], [2, 19, 1, 5, 6, 3, 8, 4, 15, 18, 11, 10, 17, 16, 14, 20, 25, 23, 12, 22, 24, 21, 26], [27, 28, 29]]
50: [[13, 9, 7], [2, 19], [1, 5], [6, 3, 8], [4, 15, 18, 11], [10, 17, 16, 14, 20, 25, 23, 12, 22, 28, 21, 27, 26, 24, 29]]
51: [[13, 9], [7, 2], [19, 1, 5, 6], [3, 8, 4], [15, 18, 11], [12, 21, 16], [10, 20], [25, 23, 17], [22, 24, 29], [26, 27, 14], [28]]
52: [[13, 9], [7, 2, 19], [1, 5, 6], [3, 8, 4], [15, 18, 11], [10, 12, 16], [28, 21, 25], [22, 14, 17], [23, 20, 26], [24, 27, 29]]
53: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4], [15, 18], [11, 10], [17, 16, 12], [21, 25, 22], [28, 20], [29, 14, 27], [26, 24, 23]]
54: [[13, 9], [7, 2], [19, 1, 5], [6, 3, 8], [4, 15], [18, 11, 10], [14, 12, 16], [17, 24, 20], [23, 27, 22], [21, 25, 26], [28, 29]]
55: [[13, 9], [7, 2], [19, 1, 5], [6, 3, 8], [4, 15, 18], [11, 10, 12], [20, 14], [16, 25, 22, 21, 17], [28, 27, 26], [24, 23, 29]]
56: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4, 15], [18, 11], [10, 22, 12], [20, 16, 17], [23, 24, 27], [14, 21, 25], [26, 28, 29]]
57: [[13, 9], [7, 2, 19], [1, 5], [6, 3, 8], [4, 15], [18, 11], [10, 17, 20], [14, 12, 25, 29], [21, 23, 24, 22, 16, 28, 27, 26]]
58: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4, 15], [18, 11, 14], [10, 16], [28, 12, 25], [21, 20, 23], [24, 22], [26], [17, 27, 29]]
59: [[13, 9, 7], [2, 19, 1, 5], [6, 3, 8], [4, 15, 18], [11, 10], [14, 12, 16], [20, 24, 23], [17, 27, 26], [21, 22, 25], [28, 29]]
