0: [[19, 3, 5, 1, 10], [4, 2, 6, 7, 15, 12], [14, 9, 18, 11, 17, 16], [8, 22, 13], [25, 20], [23, 24, 28], [26, 27, 21, 29]]
11: [[19, 3, 5, 1], [10, 4, 2, 6], [7, 15, 9, 14], [11, 22, 13, 21], [16, 8, 17, 18], [25, 20], [23, 12, 28], [26, 27, 24, 29]]
12: [[19, 3, 5, 1, 2], [4, 6, 9, 12], [15, 13, 8, 11, 18, 7, 16, 17, 20, 21, 24, 25, 27, 22, 10], [23, 26, 28, 29, 14]]
13: [[19, 3, 5, 1, 2, 6, 4, 10], [15, 9, 7, 13, 12], [8, 11, 28], [18, 20, 29, 16, 17, 22, 14], [23, 21, 24, 25, 26, 27]]
14: [[19, 3, 5, 1, 2, 6], [4, 11, 14, 15, 9, 8, 7, 10, 13], [21, 16, 18, 26, 12, 22, 20, 24, 17, 23, 25, 27, 28, 29]]
15: [[19, 3, 5, 1, 10], [4, 2, 6, 13], [15, 12, 7, 11, 9, 14], [17, 16, 8], [20, 26, 21, 25], [23, 28, 24, 27, 18], [22, 29]]
16: [[19, 3, 5, 1, 10, 2, 6, 4], [7, 15], [8, 9, 29, 12, 11], [14, 13], [23, 16, 20, 17, 22, 21, 18, 24], [27, 26, 28, 25]]
17: [[19, 3, 5, 1, 10, 2], [4, 7, 11, 13, 12, 9], [8, 26, 15, 28, 14, 6, 16, 18, 17, 21, 27], [20, 22, 25], [23, 24, 29]]
18: [[19, 3, 5, 1, 10, 2], [13, 6, 15, 11, 7, 8], [14, 9, 16], [21, 12, 4, 18, 24, 17], [23, 22, 25, 20, 26, 27, 29, 28]]
19: [[19, 3, 5, 1, 10, 4], [2, 7, 12, 15, 9, 6], [11, 14, 13, 17, 24], [8, 16, 18], [25, 20, 26, 28], [22, 23, 29, 21, 27]]
20: [[19, 3, 5, 1, 10], [2, 4, 6, 7, 15, 9], [13, 11, 12, 14, 17, 24, 8, 18, 16, 25, 20, 23], [21, 28, 26, 27, 22, 29]]
21: [[19, 3], [5, 1, 10, 2, 4, 12], [7, 14, 8], [13, 6, 16, 15, 24, 17], [9, 11, 28, 22, 18, 29], [20, 26, 23, 27, 21, 25]]
22: [[19, 3, 5, 1, 10, 4], [2, 13, 7, 6, 9], [12, 11, 15, 8, 17], [24, 14, 18, 16, 25, 20, 23], [22, 28, 27, 26, 21], [29]]
23: [[19, 3, 5, 1, 10], [2, 4, 6, 7, 13, 9], [8, 11, 14, 15, 16, 28, 12, 24, 18], [17, 21, 20, 22, 23, 26, 27, 25, 29]]
24: [[19, 3, 5, 1, 10, 2], [4, 12, 14, 11], [7, 9, 8, 26, 13, 24, 15, 6, 20, 17, 21, 18, 25, 22, 16, 23, 27, 28], [29]]
25: [[19, 3, 5, 1, 10, 2], [6, 4, 13, 7, 9], [15, 11], [8, 12, 24], [25, 14, 22, 17, 29, 18, 16, 20, 21, 27, 23, 26, 28]]
26: [[19, 3, 5, 1, 10], [2, 4, 12, 14, 15], [11, 8, 6, 7, 13], [17, 9, 22, 16, 18], [20, 23, 21, 24, 28, 26], [25, 27, 29]]
27: [[19, 3, 5, 1, 10], [2, 4, 13, 7, 11, 8], [6, 9, 15, 12, 24], [14, 22, 17, 16, 20, 18], [21, 28, 23, 27], [25, 29, 26]]
28: [[19, 3, 5, 1, 10, 2, 6, 4], [7, 15], [12, 8, 9, 11, 13, 14, 17, 22, 16, 20, 18, 28, 21, 23], [24, 25, 27], [26, 29]]
29: [[19, 3, 5, 1, 10, 2], [6, 4, 13, 7, 8], [9, 11, 14, 15, 17, 24], [12, 16, 18], [27, 20, 21, 22], [28, 23, 26, 25, 29]]
30: [[19, 3], [5, 1, 10], [2, 4, 6, 7, 12, 15, 8, 9, 13, 14, 11, 24, 17, 20], [22, 16, 21, 23, 18, 28, 26, 29, 25, 27]]
31: [[19, 3, 5, 1, 10, 2], [6, 4, 13, 12, 7, 9], [8, 11, 14, 24, 16, 15], [22, 17, 27, 18, 29, 26, 20, 23], [21, 25, 28]]
32: [[19, 3], [5, 1, 10, 4, 2, 6, 7, 14, 11, 8, 9, 15, 12, 24, 16, 13, 22, 17, 25, 18, 23, 26, 20, 28, 27, 21], [29]]
33: [[19, 3, 5, 1, 10, 2], [4, 6, 14, 15, 12], [8, 7], [11, 13, 17, 20, 22, 16, 9, 21, 23, 24], [18, 26, 27, 29, 25, 28]]
34: [[19, 3], [5, 1, 10, 2, 4, 13, 7, 15, 12, 8, 9, 27, 11, 21, 14, 6, 20, 16, 17, 23, 18, 22, 26, 25, 28, 24], [29]]
35: [[19, 3, 5, 1, 10, 2], [6, 4, 7, 14], [12, 8, 9, 26, 11, 17, 13, 22, 15, 18, 25, 20, 29, 21, 23, 24, 16, 27], [28]]
36: [[19, 3, 5, 1], [2, 6, 4, 7, 13, 15, 9, 8, 11], [10, 12, 17, 24, 18, 14, 20, 21, 16, 22, 25, 23, 26, 27, 29, 28]]
37: [[19, 3], [5, 1, 2, 6, 4, 13, 7, 15, 9, 8, 11, 10, 12, 17, 25, 18, 14, 16, 20, 23, 29, 21, 22, 27, 24, 26], [28]]
38: [[19, 3, 5, 1, 10, 2], [6, 4, 14, 15, 8], [9, 11], [7, 12, 13, 24, 23, 18, 16, 17], [20, 21, 22, 26], [29, 27, 28, 25]]
39: [[19, 3, 5, 1, 10, 2], [6, 4, 15, 11, 8], [12, 13, 7, 9, 28], [17, 20, 14, 16, 22, 21], [23, 18, 24, 27, 25, 26, 29]]
40: [[19, 3, 5, 1, 10], [4, 2, 14, 7, 11, 16], [12, 9, 20], [13, 6, 15, 8], [17, 18, 25, 22], [21, 28, 23], [27, 26, 24, 29]]
41: [[19, 3, 5], [1, 2, 6, 4, 10, 7, 15, 8, 9, 27, 14, 13, 29, 16, 11, 22, 20, 17, 12, 23, 18, 21, 26, 24], [25, 28]]
42: [[19, 3, 5], [1, 10], [2, 4, 6, 7, 14, 8], [11, 9, 20, 12, 13, 28], [24, 15, 29], [17, 18, 16, 22], [21, 23, 25, 26, 27]]
43: [[19, 3, 5, 1, 10, 4], [2, 6, 15], [13, 12], [8, 7, 11], [9, 24, 16, 26], [18, 14, 27, 20, 22, 17, 23, 21, 25, 28, 29]]
44: [[19, 3, 5, 1, 10, 2], [4, 13, 6, 14, 7, 9], [8, 11, 15, 16, 12, 22], [17, 18, 26, 21, 20, 25, 28, 23], [27, 29, 24]]
45: [[19, 3, 5, 1, 2, 6, 4, 7, 9, 14], [8, 10], [11, 13, 15, 22, 23, 16], [12, 17, 24, 20, 21, 28, 18, 25, 27, 26, 29]]
46: [[19, 3, 5], [1, 10, 2, 4, 7, 12, 9, 15, 11, 8, 6, 13, 20, 16, 18, 14, 23], [17, 21, 24, 22, 25], [26, 27, 28, 29]]
47: [[19, 3, 5], [1, 10, 2, 4, 7, 6, 9, 15, 12, 8, 11, 14, 20], [16, 18, 13, 17, 28, 21, 22, 23, 26, 24, 27, 29, 25]]
48: [[19, 3, 5, 1, 10], [2, 4, 7, 12, 15, 8], [6, 11, 14, 13, 17], [24, 22, 9, 16, 21, 20], [18, 23, 25, 26], [27, 29, 28]]
49: [[19, 3], [5, 1, 10, 2], [6, 4, 7, 15, 11, 8, 14, 18], [9, 20, 12, 21, 22, 13, 16, 28, 17], [26, 27, 24, 25, 23, 29]]
50: [[19, 3, 5, 1], [10, 2, 4, 6, 15, 13], [7, 8, 18, 9, 11], [21, 12, 14], [16, 22, 17, 24, 23, 27], [20, 26, 25, 28, 29]]
51: [[19, 3, 5, 1, 2, 6], [4, 12, 7, 15, 8], [13, 11], [10, 9, 18], [25, 14, 16, 22, 28, 21], [17, 24, 26, 20, 27, 23], [29]]
52: [[19, 3, 5], [1, 10, 2], [4, 7, 13, 11, 12, 8], [15, 25, 9], [17, 24, 14, 6, 20, 16], [18, 21, 22, 23, 26, 27, 29, 28]]
53: [[19, 3, 5, 1, 10, 2, 4, 13], [6, 7, 14, 9], [8, 12, 11, 15, 26, 17, 18, 20], [16, 22, 21, 23], [27, 24, 29], [25, 28]]
54: [[19, 3, 5, 1, 2, 6, 4, 7], [10, 15], [9, 8, 29], [12, 11, 14, 13, 18, 16, 20], [21, 22, 28, 17, 24, 23, 25, 26, 27]]
55: [[19, 3, 5, 1, 10], [4, 2, 6, 7, 15, 8], [9, 13, 14], [11, 16, 12, 21, 23], [24, 17, 29], [22, 18, 20, 25, 28, 27, 26]]
56: [[19, 3, 5], [1, 2, 6, 4], [12, 15, 14, 11, 9, 7, 8, 10, 28, 13, 22], [17, 18, 16, 23, 20, 24, 29, 21, 25, 27, 26]]
57: [[19, 3, 5], [1, 10, 4, 2, 6, 7, 11], [12, 13, 9, 8, 14, 26], [17, 15, 24, 18, 20, 21], [29, 16, 22, 27, 23, 25, 28]]
58: [[19, 3, 5, 1, 10], [2, 4, 6, 7, 15], [9, 8, 11, 14, 25, 17], [12, 16, 28], [18, 20, 23, 21], [13, 24, 26, 27, 22, 29]]
59: [[19, 3, 5, 1], [10, 2, 4, 7, 11, 12], [9, 6, 13], [14, 29, 24, 15, 22, 8], [18, 20, 21, 27, 16], [17, 23, 25, 28, 26]]
