0: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3, 33, 22], [16, 20, 35, 12, 2], [23, 7, 19, 14, 37], [5, 13, 11], [21, 27], [28, 24, 26], [31, 30, 34]]
19: [[15, 6, 8, 36], [25], [17, 4, 18, 9], [32, 10, 29, 1], [3, 33, 22, 16], [20, 35, 12, 2], [23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
20: [[15, 6, 8, 36], [25], [17, 4, 18, 9], [32, 10, 29, 1], [3, 33, 22, 16], [20, 35, 12, 2], [23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
21: [[15, 6, 8, 36], [25], [17], [4, 18], [9, 32, 10, 29], [1, 3, 33, 22], [16, 20, 35, 12, 2], [23, 7, 19], [14, 37, 5, 13, 11], [21, 27, 28, 24, 26], [31, 30, 34]]
22: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32], [10, 29, 1], [3, 33], [22, 16, 20, 35], [12, 2, 23], [7, 19, 14], [37, 5, 13, 11], [21, 27, 28, 24], [26, 31, 30, 34]]
23: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32], [10, 29, 1, 3, 33], [22, 16, 20], [35, 12, 2], [23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
24: [[15, 6, 8], [36, 25], [17, 4], [18, 9, 32], [10, 29, 1], [3, 33, 22], [16, 20, 35], [12, 2], [23, 7, 19, 14], [37, 5, 13], [11, 21, 27], [28, 24, 26], [31, 30, 34]]
25: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3, 33], [22, 16], [20, 35, 12, 2, 23], [7, 19, 14], [37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
26: [[15, 6, 8], [36, 25], [17, 4], [18, 9], [32, 10, 29], [1, 3, 33, 22], [16, 20, 35], [12, 2, 23, 7], [19, 14, 37, 5, 13], [11, 21, 27, 28, 24], [26, 31, 30, 34]]
27: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3], [33, 22, 16], [20, 35, 12], [2, 23, 7], [19, 14, 37, 5], [13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
28: [[15, 6, 8, 36], [25], [17, 4, 18], [9, 32, 10, 29], [1, 3, 33], [22, 16, 20, 35, 12], [2, 23, 7], [19, 14], [37, 5, 13, 11], [21, 27, 28], [24, 26, 31, 30, 34]]
29: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32], [10, 29], [1, 3, 33, 22], [16, 20, 35], [12, 2, 23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
30: [[15, 6, 8], [36, 25], [17, 4], [18, 9, 32, 10], [29, 1, 3], [33, 22, 16, 20], [35, 12, 2, 23, 7, 19, 14, 37, 5, 13], [11, 21, 27, 28, 24, 26, 31, 30, 34]]
31: [[15, 6], [8, 36], [25, 17, 4], [18, 9, 32, 10], [29, 1], [3, 33, 22, 16, 20], [35, 12, 2, 23, 7], [19, 14], [37, 5, 13], [11, 21, 27], [28, 24, 26], [31, 30, 34]]
32: [[15, 6, 8, 36], [25], [17, 4, 18], [9, 32, 10, 29], [1, 3, 33, 22, 16, 20, 35, 12, 2, 23, 7, 19, 14, 37, 5, 13], [11, 21, 27, 28], [24, 26, 31, 30, 34]]
33: [[15, 6, 8], [36, 25], [17, 4], [18, 9], [32, 10, 29], [1, 3, 33, 22], [16, 20, 35], [12, 2, 23, 7], [19, 14, 37, 5, 13, 11], [21, 27, 28, 24, 26, 31, 30, 34]]
34: [[15, 6, 8], [36, 25], [17, 4], [18, 9], [32, 10, 29, 1], [3, 33, 22, 16], [20, 35, 12], [2, 23, 7], [19, 14, 37], [5, 13, 11], [21, 27, 28, 24], [26, 31, 30, 34]]
35: [[15, 6, 8, 36, 25], [17, 4, 18, 9, 32], [10, 29, 1], [3, 33, 22, 16, 20], [35, 12, 2, 23, 7], [19, 14, 37], [5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
36: [[15], [6, 8, 36], [25, 17, 4], [18, 9], [32, 10, 29], [1, 3, 33, 22], [16, 20, 35, 12], [2, 23], [7, 19, 14, 37], [5, 13, 11, 21], [27, 28, 24, 26], [31, 30, 34]]
37: [[15, 6, 8, 36, 25], [17, 4, 18, 9], [32], [10, 29, 1, 3], [33, 22, 16, 20, 35, 12], [2, 23, 7], [19, 14, 37, 5], [13, 11, 21, 27], [28, 24, 26], [31], [30, 34]]
38: [[15, 6, 8], [36, 25], [17, 4], [18, 9, 32, 10, 29], [1, 3, 33, 22], [16, 20, 35, 12], [2, 23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
39: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3, 33, 22, 16], [20], [35, 12], [2, 23, 7, 19], [14, 37, 5, 13], [11, 21, 27], [28, 24, 26, 31, 30, 34]]
40: [[15, 6, 8, 36, 25], [17, 4, 18, 9], [32, 10, 29, 1, 3], [33, 22, 16, 20, 35], [12, 2, 23, 7], [19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
41: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3, 33], [22], [16, 20], [35, 12, 2, 23], [7, 19, 14, 37, 5, 13, 11, 21, 27, 28], [24, 26, 31, 30, 34]]
42: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10, 29, 1, 3], [33, 22, 16, 20, 35], [12, 2, 23], [7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
43: [[15, 6, 8, 36], [25, 17, 4], [18, 9, 32], [10, 29, 1, 3], [33, 22, 16], [20, 35], [12, 2], [23, 7, 19, 14, 37], [5, 13, 11, 21, 27], [28, 24], [26, 31, 30, 34]]
44: [[15, 6, 8, 36], [25], [17, 4, 18, 9], [32, 10, 29, 1], [3, 33, 22, 16], [20, 35, 12], [2, 23, 7], [19, 14, 37], [5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
45: [[15, 6, 8], [36, 25], [17, 4, 18, 9, 32], [10, 29, 1], [3, 33, 22, 16], [20, 35, 12, 2], [23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
46: [[15], [6, 8, 36], [25], [17, 4, 18, 9], [32, 10, 29], [1, 3, 33], [22, 16, 20], [35, 12], [2, 23, 7, 19], [14, 37, 5, 13, 11], [21, 27, 28, 24], [26, 31, 30, 34]]
47: [[15, 6, 8, 36], [25, 17, 4, 18], [9, 32, 10, 29], [1, 3, 33, 22], [16, 20, 35, 12], [2, 23, 7, 19, 14, 37, 5], [13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
48: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32], [10, 29, 1, 3, 33, 22, 16, 20, 35, 12], [2, 23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30], [34]]
49: [[15, 6], [8, 36, 25], [17, 4, 18, 9], [32, 10, 29, 1], [3, 33, 22, 16], [20, 35], [12, 2, 23, 7], [19, 14], [37, 5, 13, 11], [21, 27, 28, 24], [26, 31, 30, 34]]
50: [[15, 6, 8, 36], [25, 17, 4], [18, 9, 32, 10, 29], [1, 3, 33], [22, 16], [20, 35, 12], [2, 23, 7, 19], [14, 37, 5, 13, 11, 21], [27, 28, 24, 26, 31, 30, 34]]
51: [[15, 6], [8, 36, 25], [17, 4, 18, 9], [32, 10, 29], [1, 3, 33, 22], [16, 20, 35, 12], [2, 23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
52: [[15, 6, 8, 36], [25, 17, 4], [18, 9, 32, 10], [29, 1, 3, 33], [22, 16, 20], [35, 12, 2], [23, 7, 19], [14, 37, 5], [13, 11, 21, 27], [28, 24, 26, 31], [30, 34]]
53: [[15, 6, 8, 36], [25, 17, 4], [18, 9, 32], [10, 29, 1, 3], [33, 22, 16, 20, 35], [12, 2, 23, 7, 19], [14, 37, 5], [13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
54: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1], [3, 33, 22, 16], [20, 35, 12], [2, 23], [7, 19, 14, 37], [5, 13, 11, 21, 27], [28, 24], [26, 31, 30, 34]]
55: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3], [33, 22, 16, 20, 35, 12, 2, 23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
56: [[15, 6, 8, 36], [25], [17, 4, 18], [9, 32, 10, 29], [1, 3, 33, 22, 16, 20, 35, 12, 2, 23, 7, 19, 14, 37, 5, 13], [11, 21, 27, 28, 24, 26, 31, 30, 34]]
57: [[15, 6, 8, 36], [25], [17, 4, 18, 9], [32, 10, 29], [1, 3], [33, 22, 16, 20], [35, 12, 2, 23], [7, 19, 14], [37, 5, 13], [11, 21], [27, 28, 24], [26, 31, 30, 34]]
58: [[15, 6, 8, 36, 25, 17, 4, 18, 9, 32, 10, 29, 1, 3, 33, 22, 16], [20, 35, 12, 2, 23, 7, 19], [14, 37, 5, 13, 11, 21, 27, 28, 24], [26, 31, 30, 34]]
59: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32], [10, 29, 1], [3, 33, 22, 16, 20, 35, 12, 2, 23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
60: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32], [10, 29, 1], [3, 33, 22, 16, 20, 35, 12, 2, 23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
61: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32], [10, 29, 1], [3, 33, 22, 16, 20, 35, 12, 2, 23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
62: [[15], [6, 8, 36], [25, 17, 4], [18, 9, 32], [10, 29, 1], [3, 33, 22], [16, 20, 35], [12, 2], [23, 7, 19], [14, 37, 5], [13, 11], [21, 27, 28, 24], [26, 31, 30, 34]]
63: [[15, 6, 8, 36], [25], [17, 4, 18], [9, 32, 10, 29], [1, 3, 33, 22, 16], [20, 35, 12, 2, 23], [7, 19, 14], [37, 5, 13, 11, 21], [27, 28, 24, 26, 31], [30, 34]]
64: [[15, 6, 8, 36], [25, 17, 4, 18], [9, 32, 10, 29], [1, 3, 33, 22], [16, 20, 35, 12], [2, 23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30], [34]]
65: [[15, 6, 8], [36, 25], [17, 4, 18], [9, 32, 10, 29, 1], [3, 33, 22, 16], [20, 35, 12, 2, 23], [7, 19, 14, 37, 5], [13, 11, 21, 27], [28, 24, 26, 31, 30, 34]]
66: [[15, 6], [8, 36], [25, 17, 4], [18, 9, 32, 10, 29], [1, 3], [33, 22, 16, 20, 35], [12, 2, 23, 7, 19], [14, 37], [5, 13, 11, 21], [27, 28, 24], [26, 31, 30, 34]]
67: [[15, 6, 8, 36], [25], [17, 4, 18], [9, 32, 10, 29], [1, 3, 33, 22, 16], [20, 35, 12, 2, 23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
68: [[15, 6, 8, 36], [25, 17, 4, 18], [9, 32, 10, 29], [1, 3, 33, 22, 16, 20, 35], [12, 2, 23, 7, 19, 14], [37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30], [34]]
69: [[15, 6, 8], [36, 25, 17], [4, 18, 9, 32], [10], [29, 1], [3, 33, 22, 16], [20, 35, 12, 2], [23, 7, 19, 14], [37, 5, 13, 11, 21, 27], [28, 24, 26, 31, 30, 34]]
70: [[15, 6, 8, 36], [25, 17, 4, 18], [9, 32, 10, 29], [1, 3, 33, 22, 16, 20, 35, 12, 2, 23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
71: [[15, 6, 8], [36, 25, 17], [4, 18], [9, 32, 10, 29], [1, 3], [33, 22, 16, 20], [35, 12, 2, 23], [7], [19, 14], [37, 5, 13, 11, 21], [27, 28, 24, 26], [31, 30, 34]]
72: [[15, 6, 8], [36, 25], [17, 4, 18, 9], [32, 10], [29, 1, 3], [33, 22, 16], [20, 35, 12], [2, 23, 7, 19], [14, 37, 5], [13, 11, 21], [27, 28, 24], [26, 31, 30, 34]]
73: [[15, 6, 8], [36, 25], [17, 4, 18, 9], [32, 10, 29, 1], [3, 33, 22], [16], [20, 35], [12, 2, 23, 7], [19, 14], [37, 5, 13], [11, 21], [27, 28, 24], [26, 31, 30, 34]]
