0: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8, 11], [5, 17, 6], [1, 9, 19, 16, 2], [18, 13, 7, 10, 12, 22], [21, 29, 14]]
19: [[26, 27], [28, 24, 23], [25, 20], [15, 3], [4, 8], [11, 5, 17, 6], [1, 9, 19], [16, 2, 13, 18], [7, 10, 12, 22], [21, 29, 14]]
20: [[26, 27], [28, 24, 23], [25, 20], [15, 3], [4, 8, 11], [5, 17, 6, 1, 9], [19, 18, 2, 13, 16, 7, 10, 12], [21, 29, 22, 14]]
21: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4], [8, 11, 5, 17, 6, 1, 9, 19], [16, 2, 18, 13, 7, 10, 12, 22, 21, 29, 14]]
22: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8], [11, 5, 17], [6, 1, 9, 19, 18], [2, 12, 13, 7, 10, 16, 22, 21, 29, 14]]
23: [[26, 27], [28, 24, 23], [25, 20], [15, 3], [4, 8, 11, 5], [17, 6, 1, 9, 19, 16, 2, 18, 13, 7, 10, 12, 22, 21, 29, 14]]
24: [[26, 27], [28, 24, 23], [25, 20], [15, 3], [4, 8, 11], [5, 17, 6, 1, 9, 19, 16, 2, 18], [13, 7, 10], [12, 22, 21, 29, 14]]
25: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8], [11, 5], [17, 6, 1], [9, 19], [16, 2, 18], [13, 7, 10, 12, 22, 21, 29, 14]]
26: [[26, 27], [28, 24], [23, 25, 20], [15, 3, 4, 8, 11], [5, 17, 6, 1, 9, 19, 18], [2, 13, 7, 16, 21, 29, 10, 12, 22, 14]]
27: [[26, 27], [28, 24, 23], [25, 20, 15], [3, 4, 8], [11, 5, 17, 6, 1, 9, 19, 16, 2, 18, 13, 7, 10, 12, 22, 21, 29, 14]]
28: [[26, 27], [28, 24, 23], [25, 20], [15, 3], [4, 8, 11, 5], [17, 6], [1, 9, 19, 16], [2, 18, 13], [7, 10, 12, 22], [21, 29, 14]]
29: [[26, 27], [28, 24, 23], [25, 20], [15, 3], [4, 8, 11], [5, 17, 6, 1], [9, 19], [18, 2, 13, 16, 7, 10, 12, 22, 21, 29, 14]]
30: [[26, 27], [28, 24, 23], [25, 20], [15, 3], [4, 8, 11], [5, 17, 6, 1], [9, 19], [18, 2, 13, 16, 7, 10, 12, 22, 21, 29, 14]]
31: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4], [8, 11], [5, 17, 6], [1, 9, 19], [16, 2, 18, 13], [7, 10, 12], [22, 21, 29, 14]]
32: [[26, 27], [28, 24, 23], [25, 20], [15, 3], [4, 8, 11], [5, 17, 6], [1, 9], [19, 16], [2, 18], [13, 7], [10, 12, 22], [21, 29, 14]]
33: [[26, 27], [28, 24, 23], [25, 20, 15, 3, 4, 8], [11, 5, 17, 6, 1, 9, 19, 16, 2], [18, 13, 7, 10, 12, 22, 21, 29, 14]]
34: [[26, 27], [28, 24, 23], [25, 20, 15, 3], [4, 8, 11], [5, 17, 6], [1, 9], [19, 16, 2], [18, 13, 7, 10, 12], [22, 21, 29, 14]]
35: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8], [11, 5], [17, 6, 1, 9, 19], [18, 2, 12], [13, 7], [10, 16, 22, 21, 29, 14]]
36: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8], [11, 5], [17, 6, 1, 9, 19], [18, 2, 12], [13, 7], [10, 16, 22, 21, 29, 14]]
37: [[26, 27], [28, 24, 23], [25, 20, 15], [3, 4, 8, 11, 5, 17, 6, 1, 9, 19, 16, 2, 18, 13, 7, 10, 12, 22, 21], [29, 14]]
38: [[26, 27], [28, 24, 23], [25, 20, 15], [3, 4, 8], [11, 5, 17, 6, 1], [9, 19, 18], [2, 12], [13, 7, 10], [16, 22], [21, 29, 14]]
39: [[26, 27], [28, 24], [23, 25, 20], [15, 3], [4, 8, 11], [5, 17, 6, 1, 9, 19, 16, 2, 18], [13, 7, 10, 12, 22, 21, 29, 14]]
40: [[26, 27], [28, 24, 23], [25, 20], [15, 3], [4, 8, 11, 5, 17, 6, 1, 9, 19], [18, 2, 12, 13, 7], [10, 16, 22, 21, 29, 14]]
41: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4], [8, 11], [5, 17], [6, 1, 9], [19, 16], [2, 18, 13], [7, 10, 12, 22], [21, 29, 14]]
42: [[26, 27], [28, 24, 23], [25, 20], [15, 3], [4, 8, 11], [5, 17], [6, 1, 9], [19, 16, 2, 18, 13, 7, 10, 12, 22, 21, 29, 14]]
43: [[26, 27], [28, 24, 23], [25, 20], [15, 3], [4, 8, 11], [5, 17], [6, 1, 9, 19], [16, 2, 18, 13, 7, 10, 12, 22, 21, 29, 14]]
44: [[26, 27], [28, 24, 23], [25, 20], [15, 3], [4, 8, 11], [5, 17, 6], [1, 9, 19], [18, 2, 13], [16, 7], [10, 12, 22, 21], [29, 14]]
45: [[26, 27], [28, 24, 23], [25, 20, 15], [3, 4, 8, 11], [5, 17, 6], [1, 9, 19], [18, 2, 13, 7, 16], [29, 10, 22, 21, 12, 14]]
46: [[26, 27], [28, 24, 23], [25, 20, 15, 3, 4, 8, 11, 5, 17, 6, 1, 9, 19, 16, 2, 18, 13, 7, 10], [12, 22, 21, 29, 14]]
47: [[26, 27], [28, 24, 23, 25, 20, 15, 3, 4, 8, 11], [5, 17, 6, 1, 9, 19, 18, 2, 12, 13, 7, 10, 16, 22, 21, 29, 14]]
48: [[26, 27], [28, 24, 23], [25, 20, 15], [3, 4, 8], [11, 5], [17, 6, 1], [9, 19], [16, 2, 18, 13, 7, 10], [12, 22, 21], [29, 14]]
49: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4], [8, 11, 5], [17, 6, 1], [9, 19], [18, 2], [13, 16, 7], [10, 12], [22, 21, 29, 14]]
50: [[26, 27], [28, 24, 23, 25], [20, 15], [3, 4, 8, 11, 5], [17, 6, 1], [9, 19, 16], [2, 18, 13, 7, 10], [12, 22, 21, 29, 14]]
51: [[26, 27], [28, 24, 23, 25, 20, 15, 3, 4, 8, 11, 5, 17, 6, 1, 9, 19, 16, 2, 18, 13, 7, 10, 12, 22, 21], [29, 14]]
52: [[26, 27], [28, 24], [23, 25], [20, 15, 3], [4, 8, 11, 5, 17], [6, 1, 9, 19, 16, 2, 18, 13, 7, 10, 12, 22, 21, 29], [14]]
53: [[26, 27, 28], [24, 23, 25, 20, 15, 3, 4, 8], [11, 5, 17, 6, 1, 9, 19, 18, 2, 12, 13, 7, 10, 16, 22, 21], [29, 14]]
54: [[26, 27], [28, 24, 23, 25, 20, 15, 3, 4, 8, 11, 5, 17, 6, 1, 9, 19, 16, 2], [18, 13, 7, 10, 12, 22, 21, 29, 14]]
55: [[26, 27, 28], [24, 23, 25, 20, 15, 3, 4, 8, 11, 5, 17, 6, 1, 9, 19, 16, 2, 18, 13, 7, 10, 12, 22, 21], [29, 14]]
56: [[26, 27, 28], [24, 23, 25, 20, 15, 3, 4, 8, 11], [5, 17, 6, 1, 9, 19, 18, 2, 12, 13], [7, 10, 16, 22, 21, 29, 14]]
57: [[26, 27, 28], [24, 23, 25], [20, 15, 3, 4], [8, 11, 5], [17, 6], [1, 9, 19], [16, 2, 18], [13, 7, 10], [12, 22], [21, 29, 14]]
58: [[26, 27, 28], [24, 23, 25, 20, 15], [3, 4, 8, 11, 5, 17, 6, 1, 9, 19, 18, 2, 12, 13], [7, 10, 16, 22, 21, 29, 14]]
59: [[26, 27, 28, 24, 23, 25, 20, 15, 3], [4, 8, 11, 5, 17, 6, 1, 9, 19, 16, 2], [18, 13, 7, 10, 12, 22, 21, 29, 14]]
