0: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
19: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 19, 17, 10], [28, 23, 24, 29]]
20: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 17, 19, 10], [28, 23, 24, 29]]
21: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 19, 17], [28, 23, 24, 29]]
22: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 17, 10, 19], [28, 23, 24, 29]]
23: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 17, 19, 10], [28, 23, 24, 29]]
24: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 19, 17, 10], [28, 23, 24, 29]]
25: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
26: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
27: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
28: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
29: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
30: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
31: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
32: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
33: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
34: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
35: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
36: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
37: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
38: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
39: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
40: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
41: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
42: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
43: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
44: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
45: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
46: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
47: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
48: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
49: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
50: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
51: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
52: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
53: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
54: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
55: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
56: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
57: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
58: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
59: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 19, 17], [28, 23, 24, 29]]
