0: [[38, 5, 7], [3, 1, 4], [24, 2, 12, 22], [6, 9, 10], [14, 15, 41], [26], [11, 25, 13, 23], [36, 16, 17, 18], [21, 50, 19, 20], [27, 53, 28], [49, 61, 42, 29], [30, 34, 55, 31], [33, 37], [44, 35, 46, 39, 8], [32, 58, 40], [54, 56, 45, 47], [48, 60], [51, 52, 57, 63], [59, 62, 68, 43], [66, 64, 65, 75], [70, 71, 69], [73, 72, 76, 67], [74, 77, 78], [79, 82, 81, 80], [85, 83, 87, 84], [86, 88]]
12: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 13], [16, 17, 19], [29, 20, 18, 25, 28, 30], [23, 27, 26, 59, 53, 31, 62, 32, 55, 48, 21, 33, 35, 58, 40, 34, 39, 36, 37, 42, 43, 44, 61, 45, 49, 46, 56, 47, 52, 50, 57, 54, 51, 60, 63, 69, 64, 67, 66, 68, 65, 70, 73, 78, 74, 71, 75, 72, 76, 77, 79, 82, 81, 80], [85, 83, 87, 86, 84, 88]]
13: [[38, 5, 7], [3, 1, 4], [24, 2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 17], [60, 13, 25], [18, 23, 28], [16, 50, 20, 31, 27, 21], [58, 19, 35, 26], [29, 63, 46, 49, 32, 43, 33, 57, 47, 36, 30, 39, 42, 45, 44, 53, 34], [56, 37, 48, 40, 54, 52, 55], [51, 59, 61, 62, 72, 65, 64, 67, 69, 66, 68, 76, 79, 70, 77, 71, 78, 73, 74, 75, 82, 85, 80, 81, 83, 84, 86, 87, 88]]
14: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [16, 11, 25, 20, 8, 49, 29, 18, 19, 21, 17, 23, 27, 26, 30, 63, 28, 56, 43, 31, 34, 36, 35, 13], [39, 37, 32, 33, 44, 47, 45, 40, 42, 46, 52, 55, 59, 48, 53, 54, 51, 50, 57, 60, 61, 62, 58, 74, 66, 65, 68, 64, 67, 70, 71, 78, 69, 72, 73, 75, 77, 76, 79, 82, 84, 80, 87, 81, 86, 83, 85, 88]]
15: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [16, 11, 25, 20, 8, 49, 29, 18, 19, 21, 17, 23, 27, 26, 30, 63, 28, 56, 43, 31, 34, 36, 35, 13], [39, 37, 32, 33, 44, 47, 45, 40, 42, 46, 52, 55, 59, 48, 53, 54, 51, 50, 57, 60, 61, 62, 58, 74, 66, 65, 68, 64, 67, 70, 71, 78, 69, 72, 73, 75, 77, 76, 79, 82, 84, 80, 87, 81, 86, 83, 85, 88]]
16: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 20, 21, 16, 13, 17, 19], [18, 27, 23, 25, 26, 60, 35, 58, 63, 29, 28, 62, 30, 34, 32, 33, 39, 31, 43, 42, 46, 49, 36, 40, 44, 45, 48, 53, 37, 47, 56, 50, 51, 52, 55, 54, 57, 59, 61, 66, 65, 64, 70, 67, 68, 71, 76, 69, 73], [74, 72, 75, 79, 77, 78, 82, 85, 80, 81], [83, 84, 86, 87, 88]]
17: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 25, 13, 17, 57, 18, 19, 23, 31, 20, 28, 26, 21, 27], [53, 51, 59, 48, 29, 43, 16, 35, 63, 46, 33, 30, 36, 34, 62, 40, 32, 39, 37, 42, 44, 45, 61, 47, 49, 52, 56, 50, 54, 55, 58, 60, 70, 64, 65, 69, 67, 66, 68, 78, 75, 76, 73, 74, 71, 72, 79, 77, 84, 81, 80, 82, 87, 83, 85, 86, 88]]
18: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 19], [13, 20, 25, 17, 16, 18, 53, 29, 21, 23, 62, 28, 26, 27, 31, 30, 57, 35, 33, 32, 34, 43, 42, 36, 39, 37, 45, 44, 46, 48, 50, 40, 51, 54, 47, 49, 63, 52, 55, 56, 59, 60, 61, 58, 68], [67, 64, 65, 66, 71, 70, 69, 78, 72, 74, 75, 73, 76, 77, 79, 82, 81, 80, 83, 87, 85, 84, 86, 88]]
19: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [16, 11, 21, 8], [29, 13, 18, 17, 19, 23], [20, 25, 31], [27, 26], [28, 55, 43, 30], [42, 60, 39], [36, 33, 35], [37, 34, 40, 32, 46, 45, 47, 44, 50, 57, 49, 52, 63, 54, 56, 59, 48, 51, 53, 58, 62, 61, 68, 65, 64, 67, 69, 66, 70, 78, 77, 72, 73, 71, 79, 74, 75, 76, 82], [85, 80, 81, 83, 84], [87, 86, 88]]
20: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 27], [16, 17, 13, 18, 28, 21, 19, 52, 20, 23, 58, 25, 30, 63, 35, 33, 31, 55, 32, 26, 47, 42, 29, 44, 34, 37, 39, 36, 62, 40, 43, 61, 46, 51, 49, 45, 48, 54, 50, 56, 57], [53, 60, 59], [65, 68, 66, 67, 69, 64, 71, 72, 77, 75, 78, 70, 73, 76, 74, 79, 82, 81, 80, 86, 83, 84, 85, 87, 88]]
21: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 27, 19], [13, 16, 18, 52, 21, 28, 11, 58, 17, 29, 30, 60, 26, 50, 20, 23, 25, 62, 34, 31, 39, 55, 32, 35, 36, 33, 56, 44, 37, 43, 42, 40, 53, 45, 46, 54, 61, 51, 47, 49, 48, 57, 59, 63, 67, 64, 65, 68, 75, 66, 71], [76, 69, 79, 78, 70, 72, 74, 73, 77, 82, 81, 80, 85, 84, 87, 83, 86, 88]]
22: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 21, 49, 13, 16, 26, 19, 18, 20], [50, 28, 17, 23, 54, 30, 29, 60, 25, 31, 42, 40, 32, 37, 33, 53, 36, 43, 62, 27], [34, 35, 47, 39, 45, 44, 46, 48, 52, 55, 51, 57, 56, 59, 61, 58, 63, 66, 68, 69, 64, 65, 67, 76, 71, 78, 70, 75, 74, 73, 72, 79, 77, 82, 85, 80, 81, 83, 86, 84, 87, 88]]
23: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [16, 11, 17], [29, 8, 13], [28, 18, 20, 23, 19, 25, 26, 21, 31, 27, 30], [60, 58, 46, 49, 43, 32, 33, 34, 37, 35, 36, 44, 45, 40, 50, 47, 42, 48, 54, 57, 51, 39, 52, 55, 56, 61, 53, 59, 62, 63, 69, 64, 65, 66, 70, 67, 76, 68, 79, 71, 73], [78, 74, 72], [75, 77, 86, 80, 82, 81, 84, 87, 83, 85, 88]]
24: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 25, 17], [27, 13, 20, 18], [23, 16, 19], [26, 57, 53, 21, 60, 31, 34, 39, 30, 28, 29, 33, 32, 35, 44, 36, 47, 37, 40, 43, 42, 59, 45, 56, 61, 48, 58, 46, 50, 51], [49, 52, 54, 63, 62, 55, 68, 67, 64, 65, 66, 71, 69, 76, 70, 77, 73, 72, 75, 74, 79, 78, 82, 85, 80, 81, 83, 84, 86, 87, 88]]
25: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [16, 11, 19], [8, 13, 17, 29, 21, 20, 30, 25, 23, 27, 26, 60, 18, 28, 61, 49, 31, 51, 36, 32, 33, 35, 39, 34, 37, 62, 43, 44, 45, 40, 42, 46, 52, 59, 47, 48], [57, 54, 53, 50, 58, 56, 63, 55, 68, 65, 64, 66, 67, 71, 69, 76, 74, 79, 70, 72, 75, 73, 78, 77, 82, 81, 80, 84, 85, 87, 86, 83, 88]]
26: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [16, 11, 25], [8, 29, 13], [19, 20, 17, 23, 56, 21, 18, 59, 54, 50], [27, 31, 26, 30], [28, 53, 48, 34, 32, 39, 43, 40, 33, 35, 36, 42, 45, 46, 44, 47, 49, 52, 58, 37, 60, 51, 55, 61, 57, 62, 63, 68, 65, 64, 66, 69, 75, 70, 74, 77, 67, 71, 72, 73, 76, 79, 78, 82, 81, 84, 80, 83, 86, 87, 85, 88]]
27: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [16, 11, 18, 8, 49, 17, 25, 23, 13, 20, 21, 27, 19, 26, 29, 28, 31, 30, 37, 59, 34, 39, 36, 32, 33, 44, 40, 45, 35, 46, 47, 42, 56, 43, 48], [52, 61, 60, 51, 55, 53, 50, 57, 54, 58, 62, 63, 68, 66, 65, 64, 71, 67, 75, 77, 70, 73, 69, 74, 72, 79], [76, 78, 82, 81, 80, 83, 85, 87], [86, 84, 88]]
28: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 25], [13, 21, 17], [18, 16, 29], [23, 20, 28], [31, 26, 19], [30, 33, 63, 58, 27, 61], [34, 36], [32, 43, 35, 39, 48, 42, 55, 60, 40, 45, 44, 46, 47, 37, 51, 49, 50, 54, 52, 53, 57, 56, 59, 62, 66, 65, 64, 68, 71, 67, 69, 79, 74, 70, 73, 72, 75, 78, 77, 76, 82, 85, 80, 81, 84, 87, 83, 86, 88]]
29: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 27, 11], [13, 16, 51, 17], [25, 18, 23], [19, 21, 20, 26, 57, 28, 54, 29, 30, 55, 31, 34, 35, 63, 44, 40, 33, 39, 46, 43, 32, 36, 42, 37, 47, 48, 49, 45, 50, 56, 61, 52, 58, 62, 53, 59, 60, 66, 65, 64, 68, 67, 71, 70, 69, 75, 73, 79, 72, 77, 74, 78, 76, 82, 81, 80, 85, 86, 87, 84, 83, 88]]
30: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 25], [13, 17, 30], [21, 16, 20], [18, 19, 26], [27, 23, 52], [28, 29, 58], [42, 34, 51], [44, 36, 31, 32, 33, 35], [40, 47, 49, 37, 54, 43, 46, 39, 50, 53, 45, 57, 59], [60, 55, 48, 63, 56, 61, 62, 66, 69, 65], [64, 68, 67, 70, 73, 79, 71, 75, 72], [78, 74, 77, 76, 82, 81, 80, 83, 87, 84, 85, 86, 88]]
31: [[38, 5, 7], [3, 1, 4], [24, 2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 27, 11, 16], [17, 13, 28], [23, 18, 20, 55, 25, 21], [19, 26], [46, 33, 31], [29, 35], [47, 36, 37], [44, 32, 43, 34, 40, 30, 42, 45, 51, 39, 49, 50, 54, 52, 56], [53, 57, 48, 58, 62, 63, 59, 60, 61, 69, 64, 66], [67, 68, 71, 65, 76, 75], [73], [70, 74, 72, 78, 77, 79], [82, 81, 80, 86, 83, 85, 84, 87, 88]]
32: [[38, 5, 7, 3], [1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 17], [45, 44, 25], [19, 21, 13], [16, 50, 30, 23], [20, 26, 62], [18, 39, 28, 27, 31, 29, 34, 32, 47, 37, 57, 35], [36, 40, 43, 42, 46, 52], [49, 33, 53, 59, 48, 60, 54, 55, 51, 56, 58, 61, 63, 65, 64, 66, 67, 69, 70, 68, 76, 79, 71, 78, 72, 73, 75, 74, 77, 86, 81, 80, 83, 82, 84, 85, 87, 88]]
33: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [16, 11, 19], [13, 8, 25], [17, 18, 20], [23, 56, 28], [21, 27], [31, 58, 26], [29, 51, 30, 53, 46, 33, 32], [35, 37, 34], [40, 36, 39, 44, 42, 45], [43, 63, 52, 49, 47, 48, 54, 62, 55, 50, 57, 60, 59, 61, 68, 65, 64, 66, 69, 74, 70, 78, 67, 79, 73, 71, 72, 75, 77, 76, 82, 81, 80, 84, 86, 87, 83, 85, 88]]
34: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 25, 13, 23, 49, 18, 21, 17, 16], [50, 28, 19, 27, 20, 46, 29, 62], [30, 31, 26, 45, 34], [53, 33, 51, 42, 43], [47, 35, 32], [36, 37, 57, 39], [40, 44, 58], [48, 52, 59], [54, 56, 55, 61], [60, 85, 74], [68, 69, 67, 64], [66, 77, 63, 65], [70, 71], [72, 73, 75, 78, 79, 82, 76, 80, 81, 83, 87, 84, 86, 88]]
35: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 27, 11], [16, 17, 13], [20, 23, 18, 25, 54, 26], [21], [55, 30, 62, 49, 19, 58], [29, 31, 28, 36, 34, 32, 35, 39, 37, 43, 44, 40, 42, 33, 45, 63, 46, 53, 47, 50, 51, 48, 57, 52, 56, 59, 60, 61, 68, 65, 66, 69, 64, 67, 70, 74, 79, 73, 75, 71, 72, 76, 77, 78, 82, 81, 80, 86, 83, 84, 85, 87, 88]]
36: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 13], [27, 16, 25], [17, 18, 19, 20, 26, 28, 23, 21, 31, 60, 34, 36, 30, 29, 39, 42, 33, 32, 40, 54, 44, 59, 37, 35], [45, 43, 46, 48, 47, 49, 52, 51, 50, 53, 58, 56, 55, 57, 63, 62, 61, 67, 65, 66, 64, 69, 71, 68], [76, 70, 79, 72, 73, 75, 77, 74, 78], [82, 85, 80, 81, 83, 86, 87, 84, 88]]
37: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [16, 11, 13, 17, 8, 19, 21, 31, 18, 52, 27, 20, 23, 51, 56, 58, 37, 59, 25, 28, 47, 35, 29, 36, 30], [57, 26, 42], [32, 40, 43, 33, 39, 34, 44, 45, 55, 46, 49, 48, 50, 54], [53, 60, 61, 63, 62, 68, 66, 65, 67, 64, 69, 74, 70, 79, 73, 71, 72, 77, 76, 78, 75, 82, 81, 80, 83, 85, 84, 86, 87, 88]]
38: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [16, 11, 17, 45, 8, 29, 13, 19], [20, 21, 23, 25, 31, 18, 57, 26, 27, 28, 43, 30], [62, 33, 34, 37], [49, 35, 36, 40, 55, 44, 47, 46, 42, 48, 39, 60, 50, 52, 32, 53, 59, 56, 51, 63, 54, 61, 58, 66, 64, 67, 65, 71, 68, 69, 78, 76, 75, 72, 70, 73, 74, 77, 79, 84, 81, 80, 85, 86, 87, 82, 83, 88]]
39: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 27], [13, 25, 16], [17, 19, 18, 23], [52, 20, 51], [28, 26, 62], [21, 35, 30], [29, 31, 32], [44, 34, 40], [33, 46, 39], [36, 37, 45, 47, 43, 48], [61, 42, 57, 53, 49, 58], [50, 55, 59, 56, 54, 60, 63, 68, 65, 66, 67], [64, 71, 69, 76], [73, 75, 70, 72], [74, 78], [77, 79, 82, 85, 80], [83, 81, 84, 87, 86, 88]]
40: [[38, 5, 7], [3, 1, 4], [24, 2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 27, 17], [16, 11, 21], [28, 13, 18], [50, 19, 25], [31, 20, 52], [44, 53, 26, 46, 23, 29], [30, 54, 39, 35, 32, 33, 36, 37, 42, 40, 51], [43, 34, 45, 47, 49, 48], [55, 57, 58, 59], [56, 60, 61, 62, 63, 69, 66, 64, 67, 68, 71, 65, 70, 72, 77, 73, 75, 78, 76, 74, 79, 86, 81, 80, 82, 83, 85, 84, 87, 88]]
41: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 27, 17], [11, 18, 25], [13], [16, 20, 26, 21, 19, 29, 28, 62, 23, 55, 30, 32, 44, 47, 37, 36, 33, 31, 34, 35, 40, 39, 51, 60, 42, 46, 45, 58, 48, 43, 50, 52, 49, 61, 53, 63, 54, 56, 57, 59, 70, 64, 65, 68, 74, 71, 69, 77, 66, 67, 72], [76, 73, 78, 79, 75, 82, 85, 80, 84, 87, 81, 83, 86, 88]]
42: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 27, 17, 57, 11, 21, 13, 19, 18, 16], [20, 26, 28, 23, 52, 31, 25, 54, 30, 29, 46, 34, 35, 32, 36, 49, 44, 43, 37, 45, 33, 39, 47, 40, 42, 53, 50, 48], [51, 58, 55, 62, 60, 59, 61, 56, 63, 65, 66, 68, 67, 64, 69, 76, 78, 75, 70, 71, 74, 73, 72, 79, 77, 82, 85, 80, 81, 84, 87, 83, 86, 88]]
43: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 17], [25, 20, 13], [23, 16, 19], [18, 21, 29], [28, 27, 30], [42, 61, 62], [26, 40], [31, 39, 44], [51, 58, 33, 32], [34, 36, 37], [55, 46, 35, 45, 47, 50, 52, 53], [49, 48, 54, 56, 63, 57], [43, 59, 60, 68, 65, 64, 67, 66, 69, 71, 79], [78, 70, 74, 73, 77, 72, 75, 76, 82, 85, 80], [83, 81, 86, 84, 87, 88]]
44: [[38, 5, 7, 3], [1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 29], [13, 18, 28], [17, 21, 19], [16, 30, 23], [20, 25, 26, 27, 58, 33, 34, 31, 36, 46, 39, 37, 42, 32, 40, 59, 45, 35, 47, 43, 44, 52, 49, 61], [48, 51, 50, 62, 55, 53, 54, 56, 60, 57, 63, 66, 69, 68, 64, 65, 67, 70, 73, 79, 71, 74, 77, 72], [75, 76, 78, 82, 81, 80, 83, 85, 84], [87, 86, 88]]
45: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 21], [17, 16, 13], [23, 18, 19], [27, 20, 26], [60, 28, 25, 30, 63, 29, 32, 44, 31, 37, 36, 33, 47], [35, 34, 42, 39], [43, 54, 40, 46], [45, 56, 48, 58, 51, 52, 50, 53, 49, 55, 57, 59, 61, 62], [70, 64, 65, 67, 66, 71, 69, 79, 73, 68, 72, 76, 74, 78, 77, 75, 82, 85, 80, 84, 81, 83, 87, 86, 88]]
46: [[38, 5, 7], [3, 1, 4], [24, 2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 27, 25], [11, 19, 13, 16], [18, 17, 21], [20, 28, 23, 29], [26, 30, 31], [46, 54, 32], [33, 53, 57, 34], [43, 39, 40], [35, 37, 47, 36, 50, 42], [44, 45, 56, 48, 49, 51, 55, 52, 60, 62, 59, 58, 61, 63, 67, 64, 69], [66, 68, 65, 78, 76, 73, 71, 74, 70, 72, 77, 79, 75, 82, 81, 80, 87, 84, 83, 85, 86, 88]]
47: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [16, 11, 18], [29, 8, 21, 39], [17, 20], [19, 30, 26], [61, 27, 25], [28, 58, 37], [47, 34, 46, 35], [31, 56, 33], [36, 40], [32, 42, 43, 13, 23], [48, 44, 57], [52, 45], [60, 55, 50, 49, 51, 54, 53, 59, 62, 63, 68, 64, 65, 70, 69, 71, 67, 79, 74, 73, 75, 66, 72, 78, 77, 76, 86, 81, 80, 83, 84, 82, 85, 87, 88]]
48: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 25], [13, 23, 37], [20, 16, 17, 28, 19, 31], [27, 18, 21], [26, 55, 29, 46], [30, 50, 52, 45], [48, 33, 49, 35], [34, 47, 36], [32, 44, 39], [40, 42, 60], [43, 51, 53], [56, 54, 59], [62, 57, 63, 58, 61, 65, 67, 64, 66, 69, 68, 79, 70, 71, 72, 76, 73, 75], [78, 74, 77, 82, 81, 80, 85, 83], [84, 86, 87, 88]]
49: [[38, 5, 7], [3, 1, 4], [24, 2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 27, 17], [56, 13, 29], [28, 23, 11, 26, 19, 16, 20, 18, 51, 21, 53, 62, 45, 25, 30, 32, 52, 42, 33, 35, 31, 34, 58, 43, 36, 39, 44, 37, 40, 60, 49, 57, 46, 47, 48, 50, 61, 55, 59, 54, 63, 69, 66, 64, 67, 71, 68, 65, 70, 75, 73, 76, 72, 74, 78, 77, 79, 86, 81, 80, 82, 85, 83, 84, 87, 88]]
50: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [26, 11, 25], [13, 17, 8], [16, 18, 20, 21], [50, 19, 23], [27, 52, 28, 49], [55, 43, 29, 30], [35, 54], [31, 36, 37, 44, 32, 40, 47, 33, 48, 42, 34, 39, 56, 62, 45, 46, 58, 53, 57, 61, 51, 59, 60, 63, 73, 66, 64, 65, 75, 70, 71, 69, 67, 68, 77, 74, 72, 76, 79, 78, 82, 81, 80, 87, 84, 85, 86, 83, 88]]
